 Score Rank
TBC1D3F 0.05323599048913748 1
YWHAG 0.034327852239438204 2
IGF2R 0.03367063335128022 3
CCM2 0.029331933240074205 4
MPL.1 0.028166061645940675 5
MPL 0.02756357343869413 6
IRAK1.1 0.026971540795100443 7
HLA-DOB 0.024689737285926182 8
GMPR2 0.0213801684035286 9
HLA-DOB.1 0.019231566148766182 10
DKFZP434H168 0.018633118747508982 11
ZNF394.1 0.018347578950161817 12
MRPS33.1 0.018331841905825565 13
KARS 0.01788620849297573 14
MRPS33 0.016449722678811025 15
ZNF549 0.01643298991742215 16
PIBF1 0.01521812201115691 17
ARRDC1.1 0.015198201831561882 18
ASB3 0.01503490214009148 19
ZMYND19.1 0.014819675964177846 20
RABGAP1.1 0.014440323263692828 21
PMS2P1 0.013654013627687 22
IRAK1 0.013210793650793647 23
TK2 0.013134499978136342 24
VPS4B 0.01311021851615497 25
RABGAP1 0.012763333870638218 26
CCDC88A.1 0.012574262889169725 27
ZMYND19 0.012570137486041378 28
C20orf196 0.012198353759766807 29
HNRNPF.1 0.01214816637949927 30
BCKDK 0.011750534649551897 31
CAPS 0.011271574937223363 32
FAM174B.1 0.011223904597961963 33
ZNF394 0.010666676232915548 34
ATP13A1 0.01017958017184104 35
CAPS.1 0.01011630016521321 36
AKR7A2P1 0.010104131868131869 37
FOXD3 0.010030450657036317 38
SF3A3 0.009998050414427227 39
KARS.1 0.009943100206958901 40
ALG14 0.009920558115719404 41
FAM19A2 0.009746303111070725 42
PDE5A 0.009730006105006106 43
SPSB1 0.009260762704728222 44
SLC40A1.1 0.009232048467575842 45
C17orf82 0.009074708624708628 46
TSSK1B 0.008727966930897967 47
TMED3 0.008713878972878973 48
PTPN12 0.008508834498834501 49
SLC25A13 0.008463081372362308 50
SOAT2 0.008182336182336183 51
TEP1 0.007512497719394273 52
LRBA 0.007344112236969379 53
KIF14 0.007236261423761423 54
CORO6.1 0.0071106965133631815 55
SYNM 0.00694242509627125 56
PCNX 0.0068324319713208605 57
UBE2O 0.006678928961537658 58
PROK2 0.0063268210955711 59
HNRNPF 0.005892359015297548 60
TRPM6 0.005764790764790763 61
NR4A2 0.005637142130689044 62
PEX13 0.005500110521662247 63
MARCH1 0.005480326125487416 64
MXD1 0.005010858908368487 65
MICA 0.004930706431698988 66
SQSTM1 0.004871225482336593 67
HNRNPH3 0.004659162402278343 68
SAP130.1 0.004598367714157189 69
GSDMA 0.004351752645502645 70
SAP130 0.00433894068894069 71
MANBAL 0.004337517688966967 72
SLC6A9 0.004319593450028232 73
ZNF212.1 0.004236680911680911 74
BCKDK.1 0.003949103875190832 75
MMP8 0.003703703703703703 76
SLC40A1 0.003663190636523971 77
MMGT1 0.003658309591642925 78
CCDC88A 0.003656961538461537 79
FAM122A 0.0035210186954752177 80
CEP120 0.003406746031746032 81
PCNX.1 0.003355299893343372 82
EIF2B3.1 0.003200920316160108 83
ZNF212 0.003020331850688994 84
DALRD3 0.003005050505050505 85
TEP1.1 0.0029743867243867245 86
TSGA10 0.0029722003647929575 87
FAM174B 0.002755367337976034 88
ARRDC1 0.002692298647854203 89
CEP120.1 0.0025185185185185185 90
PTPN12.1 0.002472727272727273 91
VAV2 0.002414462081128746 92
ZFYVE28 0.002216296296296296 93
SPSB1.1 0.0022037037037037034 94
C1orf56 0.0021260221260221263 95
UQCRH.1 0.0016133333333333345 96
CORO6 0.001517857142857143 97
C17orf82.1 0.0014340499991826374 98
UQCRH 0.0013076923076923075 99
EIF2B3 0.0006374999999999996 100
ZBTB6 0.0005189255189255189 101
S1PR5 0.0 102
EID2.1 0.0 103
C11orf35 0.0 104
EID2 0.0 105
