	Score	Rank
IQSEC2	0.04920703267524857	1
PCNP	0.046238669721083515	2
CORO2A	0.045364278934272084	3
RABEP2	0.044781933589138775	4
HLA-DMB	0.035705220577634374	5
FOXD2	0.033452106520983446	6
ARRB1	0.03216418980581542	7
MPHOSPH9	0.031172776380585906	8
VPS45	0.030823746777204633	9
EIF2B1	0.029352180050375164	10
ZMYND12	0.02870867868575306	11
MAN2C1	0.027232487867379748	12
ZNF385D	0.02712722504548591	13
HNRNPC	0.026380886829312614	14
BCKDHA	0.022976418396418397	15
PMS2CL	0.022546399156399156	16
SYNJ2	0.020605271544122113	17
VAT1	0.01889887353752967	18
TENM1	0.01866187978687979	19
TSFM	0.017824820107428804	20
EI24	0.017476328642534428	21
UQCRC2	0.017209417480667483	22
PTPN1	0.01708355852243591	23
ZC2HC1A	0.016974712733398612	24
SLC39A9	0.015202486402486403	25
ZNF434	0.013825222097128633	26
TBKBP1	0.013265864570212399	27
ZNF208	0.01287765262125578	28
TUFM	0.012729230472740168	29
MRPL51	0.01262498078612209	30
SAMM50	0.01250238986795051	31
KANSL2	0.012339825219098724	32
ATP11B	0.01157051885312755	33
TMED10P1	0.011023597883597882	34
C17orf79	0.01010820634920635	35
KIAA1468	0.009950583246135467	36
CCL7	0.009537059364645571	37
CDC26	0.009377315171287502	38
IGF1R	0.009081386514719849	39
NCBP1	0.008980264180264182	40
GRWD1	0.008976096367400715	41
C20orf112	0.008840197070010734	42
RPL7L1	0.008655936357549259	43
LOC283070	0.008632804232804233	44
C16orf80	0.008562441077441077	45
CENPW	0.0070513782016230885	46
ZBTB10	0.006964285714285714	47
AMOTL1	0.006827262246975686	48
FAM198B	0.006593961593961594	49
HNRNPH1	0.00653397065897066	50
CCDC85C	0.006363883177950574	51
TEK	0.005448535032443076	52
LOC100128398	0.005257619675010979	53
SPRYD3	0.005141708319048222	54
MZT1	0.005065878766965726	55
ZNF484	0.0033063883989809906	56
POLR3F	0.0032692307692307686	57
PROCA1	0.003182266009852217	58
SNX9	0.0029440162494510317	59
CCDC50	0.0026475456910239527	60
KRT18	0.002361111111111111	61
COPG2	0.0021504591619534138	62
GATAD2A	0.0019540229885057457	63
TMX4	0.0017586206896551728	64
C11orf30	0.0013599999999999994	65
ZFYVE19	0.001345362456473567	66
FAM173B	0.001287878787878788	67
MRPS31	0.0012592592592592592	68
CAPRIN1	0.0011945542380324987	69
LOC148696	0.00108974358974359	70
DKC1	0.0010079051383399208	71
