 Score Rank
CDKN1C.1 0.04120072851674375 1
CD300LB.1 0.03588211490378674 2
ZNF718.1 0.03323613605616869 3
CD300LB 0.03276910721051835 4
CDKN1C 0.03197621818340731 5
OAS3 0.0265039034388459 6
ZNF718 0.025512993299606577 7
NSF.1 0.024130198376507397 8
RPL23AP82.1 0.02163980452167372 9
GOLGA4 0.020959447357677363 10
UBTD1 0.01930055832632089 11
RBX1 0.018812366390284014 12
ARMC5 0.01864359579839877 13
MARK2P9 0.01820554445554446 14
LOC100506123 0.01760731710744499 15
C1QTNF6 0.016814068284656526 16
PKD1 0.016621077070122482 17
NAPSB 0.01607917205343676 18
CRLF2 0.015641633043310094 19
GTF3C5.1 0.015501925649552073 20
IFIT1 0.015442364732021733 21
GTF3C5 0.01534881803807635 22
LONP2 0.01507597802891584 23
CA1 0.014787831363682759 24
DYNLL1 0.014190513273313788 25
P2RY6 0.013937469974351952 26
NSF 0.01369842616533793 27
LIG3 0.013694957003780534 28
GOLGA4.1 0.012967546159980374 29
NAPSB.1 0.012648944193061841 30
ZNF513 0.01224008893368414 31
GKAP1 0.012142138906844792 32
MRC1.1 0.011770953056040779 33
NOSIP 0.010875344404143426 34
CEP95 0.010263366377917462 35
TCP1 0.010213675213675217 36
BLOC1S6 0.010144442050563054 37
ALAS2.1 0.010014107887609158 38
XPC 0.009882228465735669 39
LOC100506123.1 0.00968781851966376 40
STAG1 0.009553359447897267 41
STAG1.1 0.009535767455102042 42
RNF2 0.0091788473992836 43
TOX2 0.009016305017377322 44
LONP2.1 0.008937324470872266 45
ALAS2 0.008681489847060023 46
GAS8.1 0.008580165239172594 47
KCTD10 0.00821694359562007 48
RSBN1L 0.007866723612521935 49
PPBP 0.007263124461351007 50
RNF217 0.007235366607077135 51
PPBP.1 0.007042687888552551 52
IFIT1.1 0.006915967804125701 53
RIC8B 0.006706911397037448 54
EIF1 0.006628071361043496 55
SLC25A20 0.006272902278320236 56
EML4 0.00622777777777778 57
FOXD4L5 0.0061452850877192974 58
SERPINI1 0.006074231032125769 59
HEXA-AS1 0.006008590936374551 60
ARMC5.1 0.005956243286788399 61
ENC1.1 0.005792210814797361 62
C11orf30 0.005479659659226224 63
PDSS2.1 0.0054329664558130965 64
C11orf30.1 0.005353961827646039 65
KLHL11 0.005082835057099765 66
MRC1 0.004975796233923169 67
KCTD10.1 0.004746013790131437 68
BAIAP2L2 0.004719820620555915 69
SGPP2 0.004646013429295165 70
EIF2B1 0.004604195146958305 71
FEZ1 0.0045912018653615294 72
SCP2 0.004472386804034138 73
CEBPD 0.004379960317460318 74
LEFTY1 0.004311417748917749 75
RABL6 0.004299585218702866 76
RPL23AP82 0.0042049748893640305 77
GAS8 0.0039480519480519505 78
IFNA1.1 0.003638813075087586 79
RNF2.1 0.0035826946519348485 80
UBE3B.1 0.003375199362041468 81
UBE3B 0.0030976284744667097 82
PSMB7 0.0029629629629629637 83
TOX2.1 0.0025846471067059317 84
IFNA1 0.0025000000000000005 85
PLCXD1 0.0024545641524251157 86
LYAR 0.002430509580582907 87
PDSS2 0.0023485991133049963 88
IFITM2 0.002083333333333334 89
SPIN2B 0.0020706744236156016 90
TCP1.1 0.0019553975436328386 91
ZNF586 0.0019425019425019434 92
CST3.1 0.0016454134101192923 93
CST3 0.0012605042016806728 94
MARCH1 0.0012500000000000005 95
MESDC2 0.001236263736263736 96
ENC1 0.0012340600575894698 97
VIT 0.0011961722488038281 98
TIMM23 0.0 99
TAF1B 0.0 100
FCGBP 0.0 101
EIF2B1.1 0.0 102
CD300LD 0.0 103
