	Score	Rank
TOR3A	0.05459607402186735	1
GAS6	0.048727367891717235	2
EMR4P	0.046910677042255974	3
RBPJ	0.04615656857945892	4
KCNQ5	0.035845241638321985	5
RPL23AP64	0.03391128966206365	6
IFI6	0.03231977001326846	7
CDKN1A	0.03150303215426878	8
DYNC2H1	0.03128071405718464	9
ANKS6	0.03072043847678522	10
STAB1	0.029672358891108884	11
PLCL1	0.024371344438585144	12
C11orf21	0.022652858622285863	13
PSMB5	0.022624434389140267	14
PDS5B	0.021676542264172864	15
PPARGC1B	0.02129218310746125	16
CEP85L	0.020124592899360697	17
GTF3C3	0.019999999999999997	18
CD300C	0.01931316526610644	19
UBE2Z	0.01891666666666666	20
ZNF585A	0.018040445513665324	21
RIC3	0.017296918767506997	22
C1QC	0.016566472742943327	23
GOLGA2P5	0.01655491518051326	24
BAIAP2-AS1	0.016471099046399876	25
DACT1	0.015779308873339858	26
EID2B	0.013956510940582959	27
RNF19A	0.013939393939393937	28
ARMC2	0.012453943115707819	29
NSD1	0.012380952380952378	30
XKRX	0.01214285714285714	31
BTLA	0.011211195054945054	32
ZNF714	0.010975417771083405	33
C9orf89	0.010961788686459738	34
BCRP3	0.01093145244848031	35
PCBD1	0.010024786324786324	36
ANXA4	0.009923365169478124	37
EIF2AK3	0.009511890679917695	38
PACS1	0.009491764629232659	39
TCN2	0.008999421631000577	40
PTGIR	0.008879551820728289	41
EMP3	0.008484368899074779	42
NAPRT1	0.00808133043427161	43
ZFYVE9	0.00764705882352941	44
NAP1L1	0.007570850202429149	45
LEF1	0.006924305888975347	46
LAMTOR2	0.006562499999999998	47
SPICE1	0.005952380952380953	48
MAP3K6	0.004993465865565664	49
EIF6	0.004939761023848505	50
CD300E	0.00457579185520362	51
KLHDC8B	0.004553267973856208	52
LOH12CR1	0.004395604395604396	53
ACP2	0.0039374454235135345	54
ZNF597	0.003641456582633052	55
DNASE2	0.003604254201680671	56
ANO10	0.0035973856209150328	57
DNASE1L1	0.0031244762862409916	58
ALAD	0.0028544241949788134	59
SFT2D1	0.002843622448979592	60
TBPL1	0.0026792929292929297	61
LY6E	0.002647058823529412	62
MERTK	0.00256883507062121	63
BLOC1S4	0.0025	64
IFITM1	0.0023437499999999995	65
SCO2	0.002261363636363636	66
DTNB	0.0021266968325791853	67
METRNL	0.0012499999999999998	68
MR1	0.0012380952380952382	69
P2RY2	0.0012276785714285712	70
PAQR4	0.0010859728506787325	71
C2	0.000678733031674208	72
