 Score Rank
LMO7 0.055771324354657696 1
MRPS6 0.03973516864937588 2
ZFAND1 0.03683207535321822 3
RNF207 0.03653426783944026 4
FAM103A1 0.03524306213480817 5
PGM5 0.03523529681046923 6
MTL5 0.030562990414141667 7
PDK4 0.030021957293864348 8
LOC643802 0.027272306339318167 9
HLA-DMB 0.027123277980985495 10
KLHL12 0.024588746950013122 11
OXLD1 0.02335248521147531 12
LYSMD3 0.02116997761963437 13
KCTD12 0.021120981929528042 14
MRI1 0.020890170940170944 15
ZC2HC1A 0.02027281398150964 16
ZNF740 0.020171566573113087 17
ZNF491 0.020168185929013517 18
SDF2L1 0.019914022988505746 19
SPSB2 0.019661796918455196 20
MYO5A 0.018401802185327092 21
IQSEC1 0.017959420049937294 22
HIST3H2A 0.01789920471491618 23
KHDRBS2 0.017537177903882713 24
FERMT3 0.01729556950139915 25
NOC3L 0.01616727272727273 26
LOC441454 0.015916635745207176 27
ZNF737 0.015550247999710365 28
PRPF40B 0.014978036347348518 29
HABP4 0.014238888888888891 30
TMEM199 0.01409285256760768 31
C9orf85 0.013915537865735498 32
HIST1H2BB 0.013664850891237703 33
FAM120A 0.013520979020979025 34
RPS6KA3 0.013268073593073594 35
CENPA 0.012858341505938762 36
NAP1L5 0.011742857142857142 37
RRAS 0.011590338526208091 38
SEC22C 0.011446240541068126 39
CHD6 0.010870698317175083 40
SLC35E1 0.009235000000000002 41
LPCAT4 0.008964035964035966 42
SLC39A8 0.008902564834798718 43
FLT4 0.008567765567765569 44
SAMM50 0.008425925925925929 45
SNORA48 0.00793939393939394 46
RMND5A 0.007675213675213675 47
OR3A3 0.007584511784511787 48
DYRK2 0.007012218045112783 49
FLJ40292 0.006730769230769232 50
GBF1 0.006657342657342659 51
ETS2 0.006134074074074074 52
ALG2 0.005761111111111112 53
C5orf25 0.005723748473748475 54
ZBTB49 0.005641025641025643 55
LOC283070 0.005151515151515153 56
LOC100190986 0.004835374493231638 57
HNRNPC 0.0045776643990929735 58
ANKLE2 0.0034000000000000007 59
CMAS 0.0031875000000000002 60
UBE2M 0.002914285714285715 61
HCG26 0.0023626721763085412 62
MTHFR 0.0021047619047619057 63
SNORA10 0.001954022988505748 64
