 Score Rank
SENP7 0.052617607057721456 1
PTCH2 0.04542384658710619 2
SLC38A6 0.03981134153803868 3
KDM4A 0.0387514327628857 4
NAT9.1 0.03732360235915 5
BCKDK 0.03517476703811676 6
NAT9 0.03317566373424352 7
UBR1 0.030770677345293703 8
MGAT2 0.026419014216923907 9
C14orf142 0.02536347283799855 10
UBE2A 0.02313310188673864 11
HACL1.1 0.020844975751533927 12
BRD1.1 0.02080652920074912 13
SIK3 0.019927173908934576 14
FAM19A2 0.019496732059282217 15
CYBRD1 0.018768548770655487 16
FCER2 0.017313877767794472 17
HPSE 0.01615882770015305 18
COPB1.1 0.016022716829206595 19
ATP6V0B 0.015949128609939023 20
MYO6 0.015212159638761205 21
BTBD10 0.015083445351580361 22
RELL1.1 0.01489062052208471 23
RELL1 0.014512474161812177 24
BTBD10.1 0.01301661671661671 25
BSCL2 0.012889233328198054 26
PSMA7.1 0.012577754603256271 27
HACL1 0.012490073875583511 28
WNT10A 0.012433981858006003 29
UBE2V1.1 0.012041912676392895 30
OR4A15.1 0.011650543160491711 31
TYW5 0.01157135930144345 32
LOC100134868 0.011492513468157899 33
BRD1 0.011350702482879517 34
INO80 0.011274818886441693 35
CLEC12B 0.010959144744144741 36
PSMA7 0.010878281440781441 37
COPB1 0.010773813505335243 38
HESX1 0.010490192089600937 39
SH3TC1 0.010377793956675943 40
TMEM14C 0.010346723911009624 41
POR 0.01021676247922708 42
GJA1 0.009090167467395728 43
LOC100507634 0.008987443162676495 44
MARCH1 0.008536283734034856 45
PRSS30P 0.008372289411311826 46
FBXW11 0.0081511201032137 47
SPRYD7 0.008112590670199362 48
KRT23 0.007878935878935877 49
VPS4B 0.007336115001556175 50
ILF3 0.007185374149659861 51
TRPM6 0.006516086643695751 52
RBM19 0.006467719032057266 53
NPL 0.006102439737681669 54
ISL2.1 0.006095278958265226 55
LOC100128505 0.005626653627579552 56
OR2K2 0.005616840067826909 57
PTCRA 0.005427944047223223 58
PIGO 0.005409481339916119 59
BACE2 0.00536111111111111 60
ZNF551 0.005360236945019552 61
KRT23.1 0.004619565217391303 62
DEF8 0.004441740867827824 63
C10orf54 0.0042359440267335 64
SPRYD7.1 0.004228848086399574 65
GGT1 0.00397692199775533 66
ISL2 0.0038961131461131464 67
DEF8.1 0.0037481409567875724 68
UBE2V1 0.003392505720823798 69
OR4A15 0.0031724137931034464 70
LOC100507634.1 0.0029941239316239317 71
BHLHE22 0.002797596153846153 72
STH 0.002772961249277039 73
INO80.1 0.0019480519480519476 74
TULP4 0.0017888198757763972 75
APLNR 0.0005681818181818176 76
