 Score Rank
FAM100A 0.04074048237236965 1
PRKCZ 0.03873745273853406 2
EIF1AX 0.03347486764611378 3
TTC30A 0.03194193223375209 4
ZNF708 0.030673814276142214 5
SUMF2 0.02968273243252235 6
PPIAL4F 0.02820209831018655 7
THBS3 0.027178754031363498 8
RAE1 0.02674773998808926 9
CDK15 0.026658102890477466 10
SF3B14 0.026569619514472457 11
DENND6B 0.02651863480368661 12
MELK 0.026267193341873114 13
CENPV 0.024387102956955897 14
ALG10B 0.023917576088123352 15
JAG2 0.023600027187294995 16
LOC399815 0.02123034718549425 17
REP15 0.02068762718762719 18
SDHA 0.020059941987133796 19
QRSL1 0.01978450813503335 20
RABL3 0.019138497456687963 21
LOC100289361 0.019018543663938403 22
RNF41 0.018780746472309942 23
PYROXD2 0.018608977439992482 24
LOC646471 0.018421343364240856 25
CDK1 0.018259540673002218 26
COL15A1 0.018006537237919677 27
MAPK11 0.017757003929270765 28
FAM159A 0.017345555942595417 29
CRELD2 0.01613259259844289 30
SLC9A3R2 0.016117047780650724 31
COG3 0.015913688680497393 32
ABR 0.015780696142400037 33
ZNF440 0.015752151365596746 34
BFAR 0.014811217649452948 35
GAPDHS 0.014756785441449307 36
JPX 0.013386683495457536 37
PET100 0.013109449809449811 38
ARG2 0.012880082439566145 39
PLD6 0.01235108122012147 40
RFPL3 0.011415662190641085 41
ARMC5 0.011146248403241412 42
FRYL 0.01077254972696149 43
BTBD10 0.009494348244348244 44
DHFRL1 0.00929352346999406 45
SOCS3 0.009162058142816358 46
LOC595101 0.008787240537240538 47
LOC389791 0.007238095238095239 48
FCER2 0.00699163002030649 49
FBXW11 0.006381955157556119 50
FOXM1 0.005393808986707595 51
WDR19 0.00531211272387743 52
LSM7 0.004510037348272643 53
HBM 0.004183707826564972 54
KLHL15 0.0037197712418300657 55
C17orf66 0.002690368562764397 56
ZNF37BP 0.0023143779199142527 57
FLT3LG 0.0014606227106227115 58
PPIAL4E 0.001342592592592593 59
RPP21 0.0013122171945701363 60
PYURF 0.0012946428571428577 61
CAPZB 0.0012888888888888893 62
CUL4A 0.0011047619047619048 63
