 Score Rank
DPP10 0.07797777777777777 1
HCLS1 0.05874040404040404 2
DAPP1 0.04197651515151515 3
S100P 0.03786851851851852 4
CCL20 0.0375 5
CD28 0.0322 6
CCL11 0.02783838383838384 7
BACH1 0.0272 8
IRAK4 0.023857142857142858 9
LAMP3 0.023818181818181818 10
CRKL 0.02172558922558922 11
CXADR 0.02104074074074074 12
MMP-10 0.020680555555555556 13
APEX1 0.020016835016835016 14
MILR1 0.01681818181818182 15
DPP7 0.016564814814814813 16
AREG 0.01584722222222222 17
RANKL 0.015 18
TYMP 0.014966329966329966 19
NADK 0.014873737373737374 20
CD244 0.013924284511784511 21
CLEC6A 0.013150000000000002 22
CXCL5 0.012800000000000002 23
TPSAB1 0.011851851851851851 24
PILRB 0.011388888888888888 25
MCP-2 0.011315151515151516 26
MCP3 0.010984848484848486 27
FAM3C 0.010895622895622896 28
MCP1 0.01077777777777778 29
ALDH1A1 0.010588636363636363 30
OSM 0.01018888888888889 31
CNTNAP2 0.01 32
TXNDC5 0.01 33
PD-L1 0.01 34
CXCL10 0.01 35
SERPINB6 0.01 36
GRAP2 0.01 37
PSIP1 0.01 38
METRNL 0.009558333333333332 39
TNFSF14 0.009466666666666668 40
DCTN1 0.009222222222222222 41
CST5 0.008924410774410776 42
SUMF2 0.008737373737373736 43
CX3CL1 0.008642857142857143 44
LRP11 0.007666666666666666 45
FCRL3 0.007612500000000001 46
CD8a 0.007499999999999999 47
ENPP7 0.007466666666666666 48
DDX58 0.007407407407407407 49
SNAP23 0.007338271604938271 50
NCR1 0.007200000000000001 51
GALNT3 0.007199999999999999 52
NTF4 0.007199999999999999 53
CLUL1 0.006944444444444444 54
TINAGL1 0.006817592592592592 55
DCBLD2 0.006777777777777777 56
CCL19 0.0057750000000000015 57
ENO2 0.005555555555555556 58
AHCY 0.005333333333333334 59
GHRL 0.005333333333333333 60
IL10 0.005230555555555555 61
REG4 0.005090909090909091 62
FGF-19 0.004909090909090908 63
GLRX 0.0044444444444444444 64
CDHR5 0.004444444444444444 65
CA13 0.004444444444444444 66
NPTXR 0.004224999999999999 67
TREM1 0.0031818181818181824 68
SH2D1A 0.0031818181818181824 69
CLEC4A 0.003181818181818181 70
DAB2 0.002799999999999999 71
CCL3 0.0027654320987654324 72
TRIM5 0.002592592592592593 73
CLMP 0.002592592592592593 74
CLEC4C 0.0025925925925925925 75
CTSO 0.0025000000000000005 76
MCP4 0.0025000000000000005 77
CLEC4D 0.0025000000000000005 78
NFATC3 0.0025 79
ITGA11 0.0025 80
ADGRE2 0.0023333333333333335 81
MMP-1 0.001431818181818182 82
