	Score	Rank
p_ENTPD5	0.08224489795918367	1
p_S100P	0.067	2
p_EGLN1	0.04666666666666666	3
p_FGF-19	0.03871428571428571	4
p_NTF4	0.032857142857142856	5
p_CTSO	0.03214285714285715	6
p_IRF9	0.03014285714285714	7
p_PAG1	0.03	8
p_TRIM5	0.027142857142857146	9
p_PLXNA4	0.027142857142857146	10
p_IRAK1	0.024142857142857146	11
p_NFATC3	0.024000000000000004	12
p_TINAGL1	0.02	13
p_APEX1	0.02	14
p_PSIP1	0.02	15
p_DDC	0.02	16
p_IL7	0.02	17
p_CD40	0.01952380952380952	18
p_CCL25	0.017142857142857144	19
p_CD164	0.017142857142857144	20
p_DFFA	0.017142857142857144	21
p_BAG6	0.017	22
p_CXCL12	0.016666666666666666	23
p_ZBTB16	0.015714285714285715	24
p_DDX58	0.015	25
p_CCL3	0.014142857142857145	26
p_COMT	0.013333333333333334	27
p_CCL23	0.013333333333333332	28
p_NOMO1	0.012857142857142855	29
p_VEGFA	0.012857142857142855	30
p_CD5	0.012142857142857144	31
p_IRAK4	0.012000000000000002	32
p_CXCL1	0.01	33
p_GLB1	0.01	34
p_HDGF	0.01	35
p_USP8	0.01	36
p_EDAR	0.01	37
p_TRAF2	0.01	38
p_GALNT3	0.01	39
p_FCRL6	0.01	40
p_TREM1	0.01	41
p_CNTNAP2	0.01	42
p_CKAP4	0.009666666666666665	43
p_STAMPB	0.007142857142857143	44
p_SEMA3F	0.007142857142857143	45
p_LAG3	0.007142857142857143	46
p_CST5	0.007142857142857143	47
p_CRKL	0.007000000000000001	48
p_TSHB	0.007000000000000001	49
p_CLEC6A	0.006666666666666666	50
p_MMP-1	0.005999999999999998	51
p_PRDX5	0.004897959183673469	52
p_CA13	0.003333333333333333	53
p_Flt3L	0.003333333333333333	54
p_AXIN1	0.003333333333333333	55
p_ANGPT2	0.003	56
p_TNFRSF9	0.003	57
p_EN-RAGE	0.003	58
p_DAB2	0.002999999999999999	59
p_KLRD1	0.002857142857142857	60
p_TWEAK	0.002857142857142857	61
p_PD-L1	0.002857142857142857	62
p_DNER	0.002857142857142857	63
p_APLP1	0.002857142857142857	64
p_Beta-NGF	0.002857142857142857	65
p_CANT1	0.002857142857142857	66
