	Score	Rank
p_APEX1	19.0	1
p_IRF9	18.331075643776828	2
p_TRIM5	16.910407725321893	3
p_ENTPD5	16.502682403433475	4
p_S100P	13.22049356223176	5
p_DFFA	13.210300429184555	6
p_IL7	9.463049892703863	7
p_CD40	8.704935622317596	8
p_TNFRSF9	8.623390557939915	9
p_ICA1	6.758047210300429	10
p_MMP-1	5.381974248927039	11
p_CXCL12	5.153902896995709	12
p_CCL23	4.124396459227468	13
p_EGLN1	3.6389484978540776	14
p_FCRL6	3.2093807480073577	15
p_CNTNAP2	2.9763948497854087	16
p_SERPINB8	2.9152360515021467	17
p_ZBTB16	1.510039852851011	18
