	Score	Rank
p_AXIN1	0.1420135593573094	1
p_IL7	0.07916666666666666	2
p_STAMPB	0.07911921411921413	3
p_VEGFA	0.0610930735930736	4
p_SCF	0.05373106060606061	5
p_MCP3	0.0498241341991342	6
p_Flt3L	0.02953125	7
p_uPA	0.02818181818181818	8
p_CXCL5	0.027596153846153847	9
p_CDCP1	0.02477272727272727	10
p_CD40	0.017179487179487182	11
p_TNFSF14	0.017153679653679654	12
p_CXCL10	0.015454545454545453	13
p_Beta-NGF	0.014790088383838385	14
p_IL18	0.014412202380952381	15
p_CD6	0.013844696969696969	16
p_CX3CL1	0.013629722550177095	17
p_TGF-alpha	0.013452380952380952	18
p_IL8	0.013106060606060605	19
p_MMP-10	0.012727272727272728	20
p_CD5	0.012727272727272728	21
p_CCL4	0.01234375	22
p_CCL20	0.012329545454545454	23
p_MCP1	0.012201704545454545	24
p_CCL19	0.01195616883116883	25
p_CCL11	0.010976430976430978	26
p_IL-18R1	0.01085227272727273	27
p_ADA	0.010790043290043292	28
p_ST1A1	0.010037202380952381	29
p_FGF23	0.009740259740259738	30
p_OPG	0.009230769230769232	31
p_MMP-1	0.008983913813459268	32
p_CD244	0.008497596153846154	33
p_CCL23	0.008237179487179488	34
p_IL-10RB	0.008125	35
p_TRAIL	0.008012820512820512	36
p_CST5	0.008011363636363636	37
p_HGF	0.007975618131868131	38
p_CCL25	0.007380952380952381	39
p_TNFB	0.007272727272727273	40
p_CXCL6	0.006718749999999999	41
p_TNFRSF9	0.006547619047619047	42
p_PD-L1	0.006510416666666666	43
p_RANKL	0.006435185185185186	44
p_IL-12B	0.00625	45
p_4E-BP1	0.006153846153846154	46
p_SIRT2	0.0060416666666666665	47
p_CASP-8	0.005714285714285714	48
p_CSF-1	0.005454545454545454	49
p_CCL3	0.005000000000000001	50
p_IL6	0.004999999999999999	51
p_FGF-21	0.004143772893772893	52
p_MCP4	0.0031250000000000006	53
p_OSM	0.0027272727272727275	54
p_DNER	0.0027272727272727275	55
p_EN-RAGE	0.0026442307692307694	56
p_CXCL9	0.00234375	57
