 Score Rank
OCTADECENOICACID--9-(Z)-TMS-1-M/z222 0.046727671609119864 1
OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337 0.04094237467293845 2
GALACTURONICACID-MEOX5TMS_2-1-M/z334 0.04000498499972606 3
ORNITHINE-N-N-O-TMS_1-1-M/z144 0.03900617859779464 4
GLUCURONICACID-MEOX5TMS_2-1-M/z334 0.03383990110608852 5
LYSINE-N-N-N-O-TMS_2-1 0.03314928667752699 6
ACONITICACID-trans-3TMS-1 0.031242068481126588 7
LAMINARIBIOSE-MEOX8TMS_1-1-M/z217 0.028053586643497185 8
1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371 0.022898574873799028 9
SORBOSE-MEOX5TMS_1-1-M/z364 0.02164375738553924 10
CITRULLINE-3TMS_1(Ornthine)-1 0.021605836099929273 11
SORBOSE-MEOX5TMS_2-1 0.021526273301118025 12
2-AMINOBUTYRICACID-O-N-TMS-1-M/z130 0.02127642813127883 13
URICACID-N-O-O-O-TMS-1-M/z72 0.02068763061765454 14
ACETAMINOPHEN-2TMS-1-M/z297 0.019575134775315937 15
OCTADECENOICACID-9-(E)-TMS-1-M/z339 0.01950972799788238 16
ALPHA-TOCOPHEROL-TMS-1-M/z504 0.01903933885227369 17
LYSINE-N-N-O-TMS_3-1 0.01898679343216854 18
GAMMA-TOCOPHEROL-TMS-1 0.018832958805150832 19
Kynuerine_Mz192-Time:373.01to374.92Mass:192to192 0.01729376170992228 20
SUCROSE-8TMS-1-M/z362 0.01524515280184785 21
ISOCITRICACID-4TMS-1-M/z466 0.01480140680575463 22
BETA-ALANINE-N-O-TMS-1-M/z218 0.014605538851453392 23
LYSINE-N-N-O-TMS_1-1-M/z102 0.014529372361069697 24
HEPTADECANOICACID-TMS-1-M/z132 0.014068327730034311 25
FRUCTOSE-MEOX5TMS_1-1-M/z366 0.013973732299221171 26
INOSINE-4TMS-1-M/z217 0.013885551041026995 27
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301 0.012902081760346377 28
CYSTEINE-N-O-S-TMS-1-M/z218 0.01282754498922977 29
3-HYDROXYBUTYRICACID-2TMS-1-M/z204 0.012557584653671607 30
LACTOSE-MEOX8TMS_1-1-M/z204 0.012368708936566079 31
HEXADECANOICACID-TMS-1-M/z171 0.011564114763390126 32
HYPOXANTHINE-2TMS-1-M/z282 0.011416338985088982 33
CYSTINE-N-N-O-O-TMS-1-M/z297 0.011362866923736488 34
ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230 0.011282310926065277 35
PHENYLALANINE-N-O-TMS-1-M/z268 0.0111329164662498 36
MALTOSE-MEOX8TMS_1-1-M/z361 0.011014519999850916 37
ISOERYTHRITOL-4TMS-1-M/z277 0.010450731518410545 38
GLUTAMINE-N-N-O-TMS_1-1-M/z347 0.010441711625148158 39
Myo_Inositol_phosphate_Ri2399Mz299 0.01025313068573938 40
Tryptophan_Ri2161Mz202 0.009760175454418875 41
PYROGLUTAMICACID-N-O-TMS-1-M/z159 0.009648501016568245 42
GLYCINE-N-N-O-TMS-1-M/z246 0.009582840767539246 43
ALANINE-N-O-TMS-1-M/z192 0.009436539978310165 44
LEUCINE-N-O-TMS-1-M/z158 0.00908470911421222 45
METHYLHISTIDINE-2TMS-1-M/z168 0.008864840900128167 46
CELLOBIOSE-MEOX8TMS_2-1-M/z361 0.008560092416976474 47
TAURINE-3TMS-1-M/z328 0.008522363945578234 48
INOSITOL-scyllo-6TMS-1-M/z432 0.008503549139647541 49
ERYTHRITOL-4TMS-1-M/z277 0.008446307444762467 50
Benzenebutanoic_acid_Ri2182Mz192 0.00820013015868994 51
CITRICACID-4TMS-1-M/z465 0.007743894887573053 52
SALICYLICACID-2TMS-1-M/z268 0.00766857019121512 53
TYROSINE-N-O-O-TMS-1-M/z382 0.007657971928613807 54
OCTADECANOICACID-TMS-1-M/z313 0.0072969369566008215 55
TRYPTOPHAN-N-N-O-TMS-1-M/z303 0.007090950985830849 56
THREONINE-N-O-O-TMS-1-M/z293 0.006825621979814524 57
NIGEROSE-MEOX-8TMS_2-1-M/z361 0.006710467250141163 58
SERINE-N-O-O-TMS-1-M/z307 0.006330691763885039 59
GLYCERICACID-3TMS-1-M/z307 0.006092011249619945 60
ISOLEUCINE-N-O-TMS-1-M/z233 0.005800332125603863 61
BENZOICACID-TMS-1 0.005687768149724672 62
ORNITHINE-N-N-N-O-TMS_2-1-M/z420 0.0054363075196408525 63
CREATININE-3TMS-1-M/z329 0.004941676336086275 64
CHOLESTEROL-TMS-1-M/z247 0.004316751612232164 65
BETA-ALANINE-N-N-O-TMS-1-M/z304 0.0041514575098814226 66
NAPROXEN-TMS-1-M/z303 0.004027432712215321 67
VALINE-N-O-TMS-1-M/z246 0.0034807495242277853 68
DODECANOIC-ACID-TMS-1-M/z257 0.0032933557183557178 69
MALICACID-3TMS-1-M/z245 0.002767857142857143 70
ASPARAGINE-N-N-O-TMS-1-M/z231 0.002113636363636363 71
LYXOSE-MEOX4TMS_1-1-M/z104 0.0014761904761904756 72
FUMARICACID-2TMS-1-M/z246 0.001347826086956521 73
LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361 0.001341991341991342 74
N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159 0.001263586956521739 75
