 Score Rank
DODECANOIC-ACID-TMS-1-M/z257 0.05854957037183879 1
GLYCERICACID-3TMS-1-M/z307 0.03863421376417699 2
ACONITICACID-trans-3TMS-1 0.03678069844070659 3
Tryptophan_Ri2161Mz202 0.036657308552791736 4
LYSINE-N-N-O-TMS_3-1 0.031162854001184834 5
LACTOSE-MEOX8TMS_1-1-M/z204 0.02966525260391875 6
ALPHA-TOCOPHEROL-TMS-1-M/z504 0.02767680428814883 7
2-AMINOBUTYRICACID-O-N-TMS-1-M/z130 0.026717050220835318 8
ISOCITRICACID-4TMS-1-M/z466 0.02626873918565095 9
Myo_Inositol_phosphate_Ri2399Mz299 0.024583453248633074 10
CITRICACID-4TMS-1-M/z465 0.024430761150614093 11
GLYCINE-N-N-O-TMS-1-M/z246 0.024381863202586885 12
ISOERYTHRITOL-4TMS-1-M/z277 0.02359182725079729 13
LYXOSE-MEOX4TMS_1-1-M/z104 0.020652440983587195 14
PHENYLALANINE-N-O-TMS-1-M/z268 0.019565768388803487 15
1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371 0.01839026124619889 16
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301 0.016598405524643915 17
FUMARICACID-2TMS-1-M/z246 0.01571285445559343 18
CITRULLINE-3TMS_1(Ornthine)-1 0.015398235562167453 19
ORNITHINE-N-N-N-O-TMS_2-1-M/z420 0.015367231389933596 20
TRYPTOPHAN-N-N-O-TMS-1-M/z303 0.015119850739197183 21
3-HYDROXYBUTYRICACID-2TMS-1-M/z204 0.01472377669957048 22
CYSTINE-N-N-O-O-TMS-1-M/z297 0.014629270186335402 23
VALINE-N-O-TMS-1-M/z246 0.014545694437141803 24
HEPTADECANOICACID-TMS-1-M/z132 0.014160367612263896 25
ORNITHINE-N-N-O-TMS_1-1-M/z144 0.013867663453292942 26
GAMMA-TOCOPHEROL-TMS-1 0.013844011094462885 27
N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159 0.013811551460048904 28
INOSITOL-scyllo-6TMS-1-M/z432 0.013810495386965976 29
OCTADECANOICACID-TMS-1-M/z313 0.013805784493284491 30
CYSTEINE-N-O-S-TMS-1-M/z218 0.012914179570429571 31
LYSINE-N-N-N-O-TMS_2-1 0.01275427513662808 32
HEXADECANOICACID-TMS-1-M/z171 0.012301693255053214 33
GALACTURONICACID-MEOX5TMS_2-1-M/z334 0.01222142857142857 34
TAURINE-3TMS-1-M/z328 0.011821488516511141 35
SORBOSE-MEOX5TMS_2-1 0.011489367250396662 36
ALANINE-N-O-TMS-1-M/z192 0.011103305961762473 37
URICACID-N-O-O-O-TMS-1-M/z72 0.010979641586035448 38
INOSINE-4TMS-1-M/z217 0.010895063759769643 39
BETA-ALANINE-N-O-TMS-1-M/z218 0.010574789915966387 40
PYROGLUTAMICACID-N-O-TMS-1-M/z159 0.009462815656565657 41
MALICACID-3TMS-1-M/z245 0.009240526018099547 42
THREONINE-N-O-O-TMS-1-M/z293 0.009069590093971963 43
OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337 0.008979707792207792 44
LEUCINE-N-O-TMS-1-M/z158 0.008769058599771267 45
CHOLESTEROL-TMS-1-M/z247 0.008569776949241235 46
METHYLHISTIDINE-2TMS-1-M/z168 0.008562782805429863 47
NAPROXEN-TMS-1-M/z303 0.008530423987776928 48
Benzenebutanoic_acid_Ri2182Mz192 0.008319859994617684 49
ERYTHRITOL-4TMS-1-M/z277 0.00825603525433842 50
OCTADECENOICACID--9-(Z)-TMS-1-M/z222 0.00747496140501655 51
MALTOSE-MEOX8TMS_1-1-M/z361 0.007439827819239583 52
NIGEROSE-MEOX-8TMS_2-1-M/z361 0.007399675050533481 53
SORBOSE-MEOX5TMS_1-1-M/z364 0.007181774108244696 54
OCTADECENOICACID-9-(E)-TMS-1-M/z339 0.0065370879120879135 55
ISOLEUCINE-N-O-TMS-1-M/z233 0.006355767176902043 56
Kynuerine_Mz192-Time:373.01to374.92Mass:192to192 0.0058737879767291525 57
LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361 0.0058677462887989215 58
TYROSINE-N-O-O-TMS-1-M/z382 0.005782921122994653 59
SERINE-N-O-O-TMS-1-M/z307 0.005637175324675325 60
BETA-ALANINE-N-N-O-TMS-1-M/z304 0.005424058554227728 61
GLUCURONICACID-MEOX5TMS_2-1-M/z334 0.00505680634244648 62
LAMINARIBIOSE-MEOX8TMS_1-1-M/z217 0.004962236083244487 63
CREATININE-3TMS-1-M/z329 0.004948426573426572 64
CELLOBIOSE-MEOX8TMS_2-1-M/z361 0.004830193615907902 65
HYPOXANTHINE-2TMS-1-M/z282 0.004534412955465588 66
SALICYLICACID-2TMS-1-M/z268 0.00448232043431581 67
ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230 0.004288884192730347 68
SUCROSE-8TMS-1-M/z362 0.004192857142857143 69
BENZOICACID-TMS-1 0.0032523245984784443 70
GLUTAMINE-N-N-O-TMS_1-1-M/z347 0.0029212184873949588 71
FRUCTOSE-MEOX5TMS_1-1-M/z366 0.00275080897363506 72
ASPARAGINE-N-N-O-TMS-1-M/z231 0.002566176470588236 73
ACETAMINOPHEN-2TMS-1-M/z297 0.0023186813186813187 74
