Probes,G104,G108,G109,G110,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G373,G374,G375,G382,G383,G385,G386,G387,G390,G397
4E-BP1,0.068848,-9.780703,-0.557764,6.384285,-0.572628,-0.780331,-3.211924,-0.209296,-0.420483,0.435142,6.670013,-3.161455,0.102468,-0.113205,0.053126,-0.755871,-0.014424,0.203759,-0.723613,-0.167746,-0.036133,0.128996,-0.038838,-0.064293,0.151244,-9.671234,-0.347695,-0.696161,-0.366911,-3.852739,0.03637,0.085478,0.265715,-0.08696,-0.018014,-0.429547,0.00163,-0.440276,0.154504,0.213397,0.222573,0.409395,-0.255987,-0.561916
ACP6,-0.131859,-0.117816,0.196795,0.15467,-0.164064,0.09265,-0.07541,-0.190467,-0.111982,0.131819,0.035645,0.259226,-0.104689,-0.070111,0.002126,-0.00768,-0.116862,-0.068737,-3.51492,-3.54777,-0.020827,3.343297,-0.174336,6.608896,-0.020321,-0.157402,-0.112431,-0.168944,0.02355,-0.10497,-0.031329,-0.127509,-6.566485,-0.081927,-3.43094,-0.071554,-0.035243,0.004289,2.978469,3.296607,-3.312949,-0.651654,-0.681419,-0.058399
ADA,0.034258,-0.007228,0.161573,2.598116,3.495921,-0.104408,-0.271931,3.365418,-0.524792,-0.023993,0.248839,-0.270748,0.171515,-0.279937,3.490826,0.240698,-0.314125,-0.013389,0.006067,-0.161627,0.458412,3.297671,-3.311636,0.027146,0.147066,-0.388478,0.245169,0.024013,0.155947,-0.126225,-0.112109,-0.649934,3.133165,0.167759,3.047826,0.250211,0.082324,-0.198467,0.427515,0.137293,-0.173098,-0.065285,0.255652,0.155706
ADGRE2,0.144582,-0.009334,0.147741,0.485644,-0.007386,3.45961,0.182288,0.055254,0.042732,-3.207401,0.226371,0.321118,-0.183816,-0.022324,0.163051,-0.000943,-0.07803,0.004209,0.014989,0.025267,-3.239912,0.131905,0.173046,0.290148,-0.056666,0.181893,0.241104,-0.110492,0.052912,0.035997,0.003667,-3.113385,0.055315,0.001166,0.081749,-0.063009,-0.052353,0.039539,3.442428,3.357787,-3.166065,-0.290463,-0.62417,-0.078573
ADGRG2,-0.071124,3.105421,-0.023438,0.373115,-3.444598,-0.05891,0.028777,-0.066174,-0.004444,0.030851,0.114925,0.377994,3.070332,-0.068113,0.166846,0.140314,-0.218288,-0.348811,-0.13248,-0.254124,0.020113,0.037782,-6.707767,0.12113,-0.043041,-0.006875,0.151936,-0.248613,-0.014535,-0.036855,-0.062694,0.146653,-2.984037,-0.174859,-0.023375,-0.324311,-0.052196,0.025428,0.133437,-0.027479,0.116792,0.064202,0.005257,-0.067814
AHCY,-0.971715,7.430964,-7.657988,-0.753876,-1.321126,-8.664534,-6.909614,1.666879,-1.924547,9.209767,4.494749,-7.497372,0.088078,0.225229,0.71478,-0.127844,-1.001891,-2.550385,0.435946,-1.194205,9.160049,-8.766382,-0.459303,0.881664,0.706881,1.290303,-0.382085,-0.668548,0.900783,-1.764885,-0.910132,-2.060348,-0.135701,0.0,-1.892899,9.255969,0.0,0.0,7.745691,5.929919,-0.167191,-0.445193,1.720458,0.66058
ALDH1A1,0.245614,0.016353,0.263041,-0.533757,-0.22568,-0.578568,0.165977,0.225457,-0.860873,0.400998,0.716205,-3.043762,0.007621,-0.058256,0.104304,-0.06539,-0.124563,-3.415854,-0.230386,2.495297,0.438548,-0.881013,-0.460616,0.275835,0.148406,6.353388,0.014961,-3.391725,-0.001728,-0.876979,-0.449735,-0.361238,-0.490606,-6e-05,-0.595982,0.123525,0.377289,-0.629972,-0.287431,0.250896,3.146388,-0.71304,0.159564,3.507595
ANGPT2,-0.16271,-0.116808,0.168402,0.473735,-0.080147,-3.354418,-0.016599,3.184442,-0.045928,0.001109,0.065675,0.273572,-0.315017,-0.128422,-0.139953,-0.057974,-0.051659,-0.218248,-0.25473,-0.278168,-0.069548,0.173808,-0.101296,0.174435,-0.241558,-0.160233,0.042559,2.888681,0.029591,3.380626,0.091174,-0.278849,3.708782,-0.256473,-0.009234,-3.976959,3.286336,-0.051914,0.238742,3.049898,0.204801,-0.185208,0.087838,-0.181765
ANGPTL1,0.36252,0.006762,0.348477,4.082708,0.341257,0.372939,0.285183,0.467064,0.19536,3.362148,3.478152,0.32071,-0.151026,0.018958,3.672207,-3.326174,3.434059,6.806853,3.269696,0.044989,0.089009,0.28638,0.494861,0.476883,0.046852,0.490705,0.472745,-0.006306,0.010068,0.139176,-0.015265,0.448141,0.183936,-3.179634,0.15016,-3.315022,-0.023605,0.048225,-3.258349,0.096694,0.205426,-2.882031,-0.70062,-0.049904
ANGPTL7,-7.39986,-0.215208,3.43887,0.584738,-7.565317,0.018805,-0.266233,-0.29292,-0.2583,-6.440334,-0.186895,0.762556,0.052311,7.085124,6.879105,0.048311,-0.128057,-7.374925,-0.302562,-7.077636,-0.761683,7.698837,-0.51766,0.283793,-0.449389,-0.085134,-0.000316,-7.866205,-0.196507,0.062269,-0.169042,3.424759,7.631594,-0.272331,-7.032212,-0.159073,3.403867,0.128351,-0.107043,0.381704,3.653301,-3.295029,-0.714812,0.132291
APEX1,-0.424117,0.325551,-1.803334,-1.02362,-8.188445,-0.310279,-0.027205,-1.10497,-8.029079,8.804795,0.989823,-0.532991,-0.709041,6.927031,0.217786,0.055077,-8.356776,0.684001,0.560431,-0.030231,8.296144,3.079676,0.061532,-0.262871,-0.668376,-8.629894,-0.304267,-0.286682,0.470774,-8.207453,-8.064482,-8.787197,0.486133,-0.822744,-1.744237,1.137262,0.394068,-0.505674,1.41516,7.793699,-0.84499,-0.541333,3.748349,7.429865
APLP1,-0.016458,-0.138526,-0.142024,0.214338,0.466699,-3.599676,3.287509,3.572303,0.108242,-3.541014,-0.320918,0.246494,-0.144676,-0.008875,0.072883,0.039506,-3.050954,0.147108,3.264878,-0.015962,-0.171813,0.016625,6.458436,-0.130145,0.36561,0.398322,-3.270184,-0.159744,0.000411,0.082504,0.004985,0.033796,0.473034,0.014613,-0.243039,-0.337369,0.17172,0.262398,-0.119978,0.008789,0.122976,-3.304458,-0.596152,-0.116412
AREG,-0.024455,-0.237023,-6.841205,-0.298793,-7.034725,0.369135,0.273755,-0.467262,-6.84945,0.078992,-0.061958,6.749055,0.136068,0.11641,0.007318,-0.030045,-0.297608,-7.170557,0.228016,-3.322334,-0.24795,-0.794913,7.171868,0.344099,0.149194,-0.005267,0.744262,-0.32949,0.26611,-0.078567,-6.879622,-6.562227,0.129327,-0.062957,-0.09259,-0.163925,-7.004842,0.114009,3.804754,-0.125301,-0.706393,-0.077706,-0.06066,0.015252
ARG1,0.067405,0.332878,0.725554,-1.433843,-0.455262,-3.674733,3.425132,-0.402808,-1.030805,-2.061456,0.902391,-0.161767,-0.056572,0.041068,0.053177,-3.349791,-0.679354,0.041349,-0.176019,-0.784659,0.636922,-0.80672,-0.435432,0.395134,-0.23734,-0.925992,-0.095685,-0.155132,-3.184437,-1.517162,2.684257,-1.32107,6.069303,-0.260832,-4.405937,-2.543794,0.364692,-1.490721,0.412123,0.366192,-0.275282,-0.575893,-0.606998,-0.003106
