Probes	G104	G108	G109	G110	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G373	G374	G375	G382	G383	G385	G386	G387	G390	G397
4E-BP1	0.06884754	-9.780702871	-0.557764154	6.384284895	-0.572628044	-0.780330836	-3.211923656	-0.209295983	-0.420482548	0.435142264	6.670013049	-3.161455019	0.102468177	-0.113205431	0.053125751	-0.755871296	-0.014424429	0.203758633	-0.723612942	-0.167746032	-0.036133309	0.128995974	-0.038838284	-0.064293474	0.151243898	-9.671233936	-0.347695125	-0.696161451	-0.366910507	-3.852739254	0.036370219	0.085477696	0.265714821	-0.08696043	-0.018014063	-0.42954747	0.001629504	-0.440276044	0.154504159	0.213396681	0.222573355	0.409395225	-0.255987359	-0.561915513
ACP6	-0.131858956	-0.117816404	0.196794627	0.154670065	-0.164064202	0.092650338	-0.075410333	-0.190467126	-0.111981716	0.131819324	0.03564537	0.259225779	-0.104688915	-0.070110559	0.002125526	-0.007679872	-0.116861507	-0.068736509	-3.514920188	-3.547770007	-0.020827084	3.343296588	-0.174336397	6.608895998	-0.020320773	-0.157401946	-0.112430621	-0.168944008	0.023549619	-0.104969797	-0.031329322	-0.127509071	-6.566485029	-0.08192698	-3.430939503	-0.071553761	-0.035243369	0.004288677	2.978468644	3.296606934	-3.312948832	-0.651654059	-0.681418826	-0.058398837
ADA	0.034257893	-0.007227689	0.161572671	2.598116094	3.495920921	-0.104408097	-0.271930876	3.365417786	-0.524792055	-0.023992629	0.248838913	-0.2707482	0.171514757	-0.27993734	3.490826323	0.240698276	-0.31412464	-0.013388938	0.006066634	-0.161626707	0.458411925	3.297671041	-3.311636101	0.027146428	0.147065653	-0.388477586	0.245168665	0.02401267	0.155946686	-0.126224774	-0.112108582	-0.649933623	3.133165155	0.167759392	3.047825532	0.250210541	0.082323726	-0.198466756	0.427514793	0.137292663	-0.173098009	-0.065284509	0.255651504	0.155705861
ADGRE2	0.144582134	-0.009334381	0.147740709	0.485644128	-0.007386006	3.459609681	0.18228756	0.055254485	0.042731893	-3.207400559	0.226371278	0.321118447	-0.18381615	-0.022323636	0.163050717	-0.000943141	-0.078029702	0.004209126	0.014988512	0.025267	-3.239912032	0.131905247	0.173045693	0.290147809	-0.05666638	0.18189332	0.241103701	-0.110491563	0.052911617	0.035997388	0.003666584	-3.113385045	0.055315258	0.001166265	0.081749497	-0.063009368	-0.052352874	0.03953906	3.442427579	3.357787184	-3.166064839	-0.290463163	-0.62416983	-0.078572964
ADGRG2	-0.071123744	3.105420602	-0.023438238	0.373115352	-3.4445976	-0.058909963	0.028777382	-0.066173994	-0.004444369	0.030851158	0.11492507	0.377993778	3.070332298	-0.06811259	0.16684577	0.14031391	-0.218288215	-0.348810738	-0.13248033	-0.254123694	0.020113214	0.037782217	-6.707767031	0.121130032	-0.043041305	-0.006875381	0.151936431	-0.248613169	-0.014534887	-0.036855275	-0.062694225	0.146652951	-2.984036843	-0.17485934	-0.02337458	-0.324310594	-0.052196053	0.025428028	0.133436655	-0.027478547	0.116791545	0.064201743	0.005257322	-0.067813992
AHCY	-0.971715078	7.43096394	-7.657988086	-0.753875723	-1.321126292	-8.664534376	-6.909614104	1.666878652	-1.924546748	9.209767322	4.494748687	-7.497372141	0.088077879	0.225229323	0.714780336	-0.127843964	-1.001890779	-2.550384661	0.43594583	-1.194205076	9.160048876	-8.766381939	-0.459302778	0.881664122	0.706880519	1.290302905	-0.382084745	-0.668548337	0.900782534	-1.764884779	-0.910131772	-2.060347979	-0.135701168	0.0	-1.892899338	9.255968898	0.0	0.0	7.745690901	5.929918665	-0.167191091	-0.44519268	1.720457504	0.660579547
ALDH1A1	0.245614274	0.016352576	0.263040818	-0.533756919	-0.225680116	-0.578567856	0.165977168	0.225456705	-0.86087306	0.400997701	0.716204733	-3.043761807	0.007621317	-0.05825605	0.104304343	-0.065390218	-0.124562784	-3.415853983	-0.230386422	2.495296962	0.438548202	-0.8810126	-0.460615744	0.275835232	0.148406175	6.353387559	0.014961336	-3.391724556	-0.001727632	-0.876979319	-0.449735013	-0.361238021	-0.49060587	-6.04e-05	-0.595981644	0.123525323	0.377288676	-0.629972252	-0.287431136	0.250896438	3.146387539	-0.713039798	0.159563507	3.507594889
ANGPT2	-0.162710135	-0.1168079	0.168402042	0.473735059	-0.080147267	-3.354417579	-0.016598701	3.184442483	-0.045927564	0.001109246	0.065675172	0.273572478	-0.315017151	-0.128422257	-0.139952961	-0.05797444	-0.051659271	-0.218248031	-0.25472981	-0.27816846	-0.069547699	0.173807634	-0.101296089	0.174435498	-0.241557678	-0.160233286	0.042559375	2.888680735	0.029590683	3.380626385	0.091174074	-0.27884861	3.708782192	-0.256473105	-0.009233723	-3.976958567	3.286336007	-0.051913696	0.23874233	3.049898077	0.204800892	-0.185207902	0.087837822	-0.181765188
ANGPTL1	0.36251999	0.006761836	0.348477114	4.082708432	0.341257496	0.372938645	0.285183211	0.467063883	0.195360482	3.36214844	3.478151516	0.32071025	-0.151026498	0.018958207	3.672207093	-3.326174404	3.434058677	6.806852801	3.269696427	0.044989104	0.089009328	0.286379643	0.494861383	0.476882588	0.046852147	0.49070459	0.472745166	-0.006306396	0.010068133	0.139176325	-0.015264646	0.448140762	0.183936321	-3.179633555	0.150159883	-3.315022401	-0.023605023	0.048224786	-3.258349005	0.09669428	0.205425627	-2.882030985	-0.700620274	-0.049903881
ANGPTL7	-7.399859649	-0.215207509	3.43886999	0.584737599	-7.565316678	0.018805133	-0.266233372	-0.292920268	-0.258300005	-6.440334363	-0.18689542	0.762555686	0.052311233	7.085124062	6.879104792	0.048310744	-0.128056599	-7.374925186	-0.30256221	-7.077636411	-0.761682832	7.698836554	-0.517659986	0.283792966	-0.449389118	-0.085133509	-0.000315563	-7.866204731	-0.196507121	0.062268565	-0.169041879	3.424758664	7.63159404	-0.272331429	-7.032211582	-0.159072671	3.403866688	0.128351137	-0.107043385	0.381703848	3.653301422	-3.295028712	-0.714811874	0.132290528
