Probes,G104,G108,G109,G110,G112,G113,G117,G123,G126,G128,G132,G133,G134,G135,G136,G139,G142,G144,G302,G303,G304,G306,G310,G316,G319,G328,G332,G337,G356,G358,G359,G360,G362,G363,G367,G368,G373,G374,G375,G379,G382,G383,G385,G386,G387,G390,G391,G395,G397
IL10,0.557745,-0.0113,-0.126254,-0.157595,0.53865,0.271718,-0.839344,0.160333,0.871862,-0.060256,0.372156,1.107068,0.442654,0.857747,0.216753,0.370093,-0.554318,-2.837647,-0.036594,0.206437,0.176427,-0.159114,0.198473,0.113557,1.121732,-3.00012,-0.029247,-0.09258,0.062812,0.506367,0.340086,-0.486592,3.476335,0.137838,-0.159252,-2.93813,-3.120865,0.043359,-0.040136,0.279953,0.596238,0.188882,0.443153,-3.050318,0.210161,-0.156147,0.09408,0.265132,1.104269
IL-10RB,-0.066895,-0.133839,-0.000171,-0.043822,-0.170119,0.122224,0.079273,-0.083233,-6.441766,-0.079056,0.046566,-0.022985,-0.084833,0.172224,0.053129,0.079794,-0.199547,0.018811,-0.121228,3.411259,3.351673,0.062648,-0.08389,6.616348,3.349796,0.059973,-0.038844,-0.060998,0.0291,0.096871,-0.084486,-0.394857,0.027116,-3.302375,-0.065724,0.010441,-0.035647,-0.006316,-0.11665,0.080742,0.087957,0.003748,0.160715,-0.026883,-0.003548,3.266036,-0.001055,-0.069417,0.139288
CCL11,0.008438,-6.666311,-0.033001,0.031363,0.020408,0.010809,-0.025995,0.013448,0.122074,-0.004788,0.018784,0.029918,-0.013446,0.030159,0.012913,3.319222,-0.039685,0.059777,-0.038654,0.017315,0.102283,-0.093897,0.028038,-0.045068,-0.019877,0.01808,3.396616,0.069684,-0.001766,3.268358,0.002753,-0.057275,-0.047112,0.009517,-3.339103,-0.001799,-6.650744,-0.015763,0.027069,3.363601,3.339279,-0.026931,0.019104,-3.293384,3.321694,-0.018451,-0.01798,0.020212,3.409359
MMP-1,0.054836,6.543044,-0.142475,0.120251,-0.029769,-0.309573,-0.253906,0.192987,-0.028877,-0.105338,0.052467,0.016328,-0.045106,0.025237,-0.001199,-3.421344,-0.146453,-0.170319,0.001096,-0.10264,0.180132,0.279806,-0.165851,6.204358,0.189099,-0.013984,-0.09537,-0.174267,-0.002377,0.072466,-0.026337,-0.159605,-0.107503,-0.012107,0.008157,6.637969,-0.03499,-0.175375,0.039884,-0.032421,0.075183,-6.839431,-6.619506,0.087809,0.032568,-0.025951,-0.021359,0.037742,-9.836833
CCL3,0.251758,0.011086,-0.068259,0.164276,-0.106158,0.304854,-0.093259,0.269738,0.296115,-0.195234,-3.208704,0.240754,0.123318,0.315467,0.026073,0.027484,-0.142961,0.303239,-0.155452,-0.083811,-0.356375,0.331528,0.125047,-0.227243,0.348207,3.430616,3.644557,-3.134139,0.033523,3.319053,0.106031,-0.554217,-0.364374,0.017184,-0.143668,0.087496,0.180046,-0.156293,0.103634,3.431019,0.229419,0.153758,0.180301,0.339103,0.050933,3.311798,0.022387,0.148435,3.652915
TNFB,0.304953,3.27673,0.031878,3.38208,0.276384,0.49394,3.449295,0.289592,0.288228,0.172045,0.112062,0.028145,0.098172,0.078775,0.15809,-0.028653,0.21556,3.327565,-0.109969,3.526262,0.16276,0.070121,-0.181715,0.097511,-0.064494,0.054275,0.117325,0.435464,0.167165,0.180598,-0.152748,0.147103,0.017048,0.206115,0.171988,0.069105,0.197254,0.281929,0.123528,0.118601,0.062609,0.145517,-0.029718,0.182201,3.072255,0.030784,3.284726,0.137937,0.258405
TNFSF14,0.180589,-0.392323,-0.457942,0.272828,0.091115,-0.787372,-0.217107,0.299599,0.074563,-0.769937,0.260046,-0.34913,-0.134311,0.075716,-0.038591,2.808983,-0.62584,-0.332713,0.182162,0.014796,-3.983645,-0.168449,-0.019978,-0.553331,0.408935,-0.160406,0.075124,-0.219713,-0.134633,3.017028,-0.488516,-0.460239,0.118426,-0.464303,0.040838,-0.016013,-3.408473,-0.549024,0.287546,-0.06136,-3.404494,-0.544884,0.188881,0.314612,0.16354,-0.335183,-0.074522,0.102106,0.427059
TRAIL,-3.173281,3.429666,3.37005,0.062125,3.340331,3.512122,0.0697,0.123114,0.441688,0.024397,3.399472,0.176527,0.131816,0.210075,0.039956,0.112339,-0.12401,-3.089072,0.035448,0.148588,0.194636,-0.014231,0.234132,3.255202,0.184871,0.191955,3.419869,3.355917,0.046636,0.094454,0.177242,-0.118715,0.0717,0.183362,-0.035428,0.118764,0.120453,0.095181,0.159024,0.113771,0.105052,0.104484,3.489457,0.199841,0.126717,-3.303456,0.035899,0.11367,-6.40934
CX3CL1,0.235676,0.036426,0.046011,-3.258354,0.275777,0.390237,0.150758,0.251913,0.352992,-0.147441,0.183102,0.228986,0.067467,0.059293,0.121663,0.118397,0.208962,0.07348,0.083484,0.380275,0.302181,0.097734,-3.350185,0.090266,0.15872,0.198631,6.983767,-2.673079,0.12656,0.262446,-0.16989,0.183661,0.057924,0.288527,0.293355,0.270969,0.119738,0.119935,0.145218,3.528527,3.40756,0.121848,-3.326723,0.122297,-0.180601,0.197705,0.046216,-0.048777,0.383471
CST5,-0.009715,-0.043863,-0.029672,-0.051308,-0.233649,0.105839,0.273935,0.048611,-6.510375,-0.140654,0.044594,-0.025458,-0.051851,0.082008,0.010668,0.028434,-3.453153,0.090244,-0.010321,0.053059,0.046842,-0.054909,0.108157,3.122094,0.005219,0.082136,3.512156,-3.485932,-0.021885,0.234583,-0.027253,-0.229832,0.142713,-0.029034,-0.074193,0.011877,-0.039514,-0.005612,-0.070773,0.072144,0.127644,-3.308416,0.117856,0.016902,6.619671,-0.103879,-0.064216,-3.298758,-0.018636
