Probes	G104	G108	G109	G110	G112	G113	G117	G123	G126	G128	G132	G133	G134	G135	G136	G139	G142	G144	G302	G303	G304	G306	G310	G316	G319	G328	G332	G337	G356	G358	G359	G360	G362	G363	G367	G368	G373	G374	G375	G379	G382	G383	G385	G386	G387	G390	G391	G395	G397
IL10	0.557744948	-0.011300236	-0.126253804	-0.157595226	0.538649576	0.271717742	-0.839344048	0.160332521	0.871862456	-0.060256285	0.372155674	1.107067652	0.442653761	0.857746618	0.216752979	0.37009255	-0.55431848	-2.837646533	-0.036594015	0.206437055	0.176427202	-0.159113697	0.198473192	0.113556772	1.121731827	-3.000120228	-0.029247398	-0.092579767	0.062812173	0.506367048	0.34008555	-0.486592117	3.476335323	0.137837939	-0.159252172	-2.938129892	-3.120864926	0.043358687	-0.040135633	0.279953449	0.596237671	0.188882034	0.443153101	-3.050317818	0.210161009	-0.156146967	0.094080347	0.265132262	1.104269423
IL-10RB	-0.066894899	-0.133839227	-0.000171439	-0.043821938	-0.170118714	0.122224306	0.079273314	-0.083233394	-6.441765824	-0.079055947	0.046566471	-0.022985016	-0.084833071	0.172224313	0.053128525	0.079793935	-0.199546786	0.018810696	-0.121227528	3.411258648	3.351673254	0.062647626	-0.083889533	6.616347603	3.349795705	0.05997262	-0.03884419	-0.060997913	0.029100348	0.096870923	-0.084485722	-0.394857484	0.027115973	-3.302375488	-0.065724367	0.010441371	-0.035646842	-0.006316239	-0.116650351	0.080742289	0.087956651	0.003748478	0.160714548	-0.026882687	-0.003547633	3.266035581	-0.001055048	-0.069417441	0.139288486
CCL11	0.008437794	-6.66631058	-0.033000655	0.031362615	0.020408498	0.010809193	-0.02599499	0.013448438	0.122073693	-0.004788411	0.018783515	0.029917657	-0.013445678	0.03015882	0.012912746	3.319222073	-0.039685234	0.059777101	-0.038653543	0.017314831	0.1022834	-0.093897323	0.028037565	-0.045068119	-0.019876537	0.018080427	3.396616378	0.069684044	-0.001766459	3.268357797	0.002753041	-0.057274585	-0.047112288	0.009517087	-3.339102843	-0.001799383	-6.650744279	-0.015762613	0.027069014	3.363601373	3.339279294	-0.026930769	0.019103603	-3.293383814	3.321693741	-0.018450833	-0.017980452	0.020212323	3.409359474
MMP-1	0.054835866	6.543044378	-0.142475482	0.12025136	-0.029769266	-0.309573293	-0.253906467	0.192986908	-0.028877077	-0.105338201	0.05246742	0.01632817	-0.045105964	0.025237291	-0.00119875	-3.421343539	-0.146452867	-0.170318804	0.001095857	-0.102640042	0.180132467	0.279806416	-0.16585074	6.20435791	0.189098666	-0.013984229	-0.095369644	-0.174266549	-0.002376763	0.072466239	-0.026336895	-0.159604816	-0.107502501	-0.012106603	0.008156601	6.637969123	-0.034990277	-0.175374677	0.039883536	-0.032421478	0.075183477	-6.839430751	-6.619505794	0.087808621	0.032567862	-0.025950675	-0.021358582	0.037742094	-9.836833451
CCL3	0.251757593	0.011085687	-0.068259127	0.16427578	-0.10615847	0.304854214	-0.093258908	0.269737509	0.296115003	-0.195233584	-3.208704447	0.240753797	0.123318121	0.315466608	0.026073356	0.027484237	-0.142961259	0.303238558	-0.155451584	-0.083810579	-0.356375261	0.331528392	0.125046596	-0.227243273	0.348207335	3.430616136	3.644557282	-3.134139456	0.033523034	3.319052914	0.10603055	-0.554216502	-0.364373856	0.017184469	-0.143667811	0.087495543	0.180045696	-0.156293467	0.10363428	3.431018956	0.229418689	0.153758148	0.180300676	0.339103299	0.050932989	3.311797868	0.022386872	0.148435232	3.652915037
TNFB	0.30495318	3.2767299	0.031878048	3.382079891	0.276384175	0.493940099	3.449294945	0.289591902	0.288227691	0.17204465	0.112062218	0.028144654	0.098172374	0.078775245	0.158089522	-0.028653041	0.215560338	3.327565421	-0.109969067	3.526262478	0.162760146	0.070120702	-0.181714771	0.097511407	-0.064493957	0.054275024	0.117324711	0.435463545	0.167164653	0.180597786	-0.152748142	0.147103157	0.017048102	0.206114905	0.171988016	0.069105316	0.19725448	0.281928513	0.123527786	0.118601261	0.062608867	0.145517209	-0.029718462	0.182200756	3.072255315	0.030783515	3.284726163	0.137937372	0.258405408
TNFSF14	0.180588858	-0.392322929	-0.457942098	0.272828072	0.091115135	-0.787371647	-0.217107444	0.299599078	0.074562762	-0.769937402	0.260045567	-0.349129599	-0.134310888	0.075716476	-0.038591449	2.808982585	-0.625840418	-0.332712647	0.182162197	0.014796341	-3.983645454	-0.168449175	-0.019978338	-0.553330754	0.408935193	-0.160405866	0.075124498	-0.219712759	-0.134633162	3.017028052	-0.488516335	-0.460238563	0.118425533	-0.464303079	0.040838312	-0.016012561	-3.408473003	-0.549023546	0.287546294	-0.061360499	-3.404494005	-0.544883666	0.188880939	0.314611565	0.163539587	-0.335183105	-0.074522494	0.102105569	0.427059094
TRAIL	-3.173281318	3.429666449	3.370049553	0.062125408	3.340331392	3.512122243	0.069700236	0.123114179	0.441687583	0.024397124	3.399472284	0.176527173	0.131816273	0.210075211	0.03995646	0.112338917	-0.124009834	-3.089072407	0.035448289	0.14858817	0.194636219	-0.014230744	0.23413243	3.255201795	0.184871395	0.191954577	3.419869146	3.355916681	0.046636178	0.094453903	0.177242123	-0.11871466	0.071700095	0.183362281	-0.035428292	0.118763626	0.120453455	0.095181269	0.159023612	0.113770528	0.105051743	0.10448376	3.489457168	0.199840804	0.126717084	-3.303456234	0.035899372	0.113669858	-6.409340292
CX3CL1	0.235675752	0.036425966	0.046011069	-3.258354368	0.275777133	0.390237365	0.150758335	0.251913079	0.352991681	-0.147440568	0.183102227	0.228985782	0.067466632	0.059292555	0.121662698	0.118397002	0.208961919	0.073479688	0.083483668	0.38027451	0.302180796	0.097734002	-3.350185379	0.09026624	0.158719654	0.198630717	6.983767325	-2.673079081	0.126559677	0.262446464	-0.169889758	0.183661361	0.057924349	0.28852687	0.293354598	0.270968945	0.119737883	0.119934642	0.145218095	3.528526759	3.407559902	0.1218481	-3.326723298	0.122297275	-0.180601268	0.197705362	0.046216035	-0.048777304	0.383471201
CST5	-0.009715222	-0.043862935	-0.029672296	-0.05130778	-0.233648616	0.105839043	0.273934631	0.048610956	-6.51037485	-0.14065414	0.044594062	-0.025458382	-0.051851069	0.082008381	0.01066805	0.028433777	-3.453153083	0.0902436	-0.010320616	0.053058548	0.046842082	-0.054908594	0.108157264	3.122094006	0.005219423	0.082135781	3.51215571	-3.485932253	-0.02188517	0.234583064	-0.027253297	-0.229831693	0.142712895	-0.02903396	-0.074192584	0.011877431	-0.039514274	-0.005612388	-0.07077277	0.072144023	0.127644384	-3.308415685	0.117855582	0.016901603	6.619671351	-0.103878965	-0.064215544	-3.298758102	-0.018636276
