Probes,G103,G104,G108,G110,G111,G114,G119,G120,G124,G126,G130,G134,G301,G303,G305,G310,G313,G314,G315,G317,G318,G322,G323,G325,G328,G332,G337,G338,G355,G366
hsa_piR_000332_DQ570396,-0.8341,-0.164329,-1.097008,0.185681,7.869586,-0.670605,-9.885875,-7.342922,0.521614,2.553554,1.896247,0.259724,-2.696601,-0.305273,-4.850449,-0.667423,-6.751953,-3.109053,-1.672623,-0.619229,-0.30773,0.040769,-0.406213,3.338362,0.2837,0.044312,-0.198602,-0.00211,-1.4281,-0.080003
hsa_piR_000352_DQ570419,-2.419063,5.121073,0.125384,3.185681,-0.552479,-4.577496,-0.835459,-3.34042,0.906736,0.231626,5.48121,0.788653,-0.822132,0.694727,1.171919,-0.367863,3.225327,-1.359031,0.649305,1.30677,-1.232179,0.040769,2.850126,-1.442998,1.267022,0.044312,2.801398,2.62794,-1.338832,-5.571856
hsa_piR_000753_DQ570940,0.196927,-6.932514,-0.526692,0.068324,0.254876,-6.974386,1.25765,-1.633467,2.071811,-0.530215,-0.334707,-4.656753,-0.304284,-1.627201,-1.684346,-0.667423,-0.540207,-0.069524,-5.858489,1.692715,-3.427262,-0.105082,-0.471064,0.308615,-3.803763,0.545709,0.953401,2.132539,0.410838,3.327373
hsa_piR_000765_DQ570956,1.510456,-0.303625,0.261958,0.393107,-0.083923,1.046822,1.446939,0.688449,-1.24331,0.567893,-1.23503,1.846785,0.486775,-1.583466,0.378989,0.435599,0.24453,-0.974986,1.187358,1.405083,-0.105826,0.118159,0.360037,1.545771,-0.401776,1.135632,1.613433,-0.573857,2.400551,-0.985937
hsa_piR_000775_DQ570968,-0.249138,-0.164329,-1.097008,0.185681,-0.632649,-5.528586,-2.618719,0.244543,-1.422676,0.419253,0.758744,6.21392,-4.747227,0.494428,-0.515294,-0.667423,-1.456497,0.515438,-5.233338,-0.619229,-0.30773,-1.096735,0.885553,4.186359,6.166343,0.349166,4.049326,1.528404,0.687377,2.335035
hsa_piR_000794_DQ570992,-1.458591,-0.164329,-0.533107,0.5201,0.573052,-4.918533,5.214171,0.364837,0.521614,0.869056,1.311285,0.922689,-1.211175,2.885868,-1.150009,-2.714729,4.372169,-0.399673,-6.078615,0.027134,-0.30773,0.121689,-1.27411,0.665937,3.453625,-0.789679,-3.549099,-0.122405,-2.496271,-0.427926
hsa_piR_000805_DQ571003,0.327651,-0.49114,0.26912,-0.026623,-0.522526,1.448694,-0.110671,1.970368,0.725973,0.599135,1.896247,-0.219944,-0.242128,-3.23338,-0.195452,0.180574,-0.582028,0.869075,0.327377,-0.578006,0.933278,0.299081,-0.821251,-0.254214,1.017625,-0.330084,-2.089896,1.077324,-0.529029,0.690516
hsa_piR_000807_DQ571005,-0.090772,0.463702,-0.664376,0.118358,-0.207694,0.811788,0.082078,0.546051,0.847718,0.09879,1.150293,2.067079,-1.719321,-1.193956,-0.547214,-0.505152,-0.210661,0.299709,-0.533646,-0.475494,0.165606,0.147078,0.982939,0.15567,0.2837,0.030807,-0.528886,0.091354,-0.909516,3.17412
hsa_piR_001043_DQ571336,-1.285207,-0.797606,-1.359509,-0.501851,2.024643,-1.085643,-2.10244,-2.930523,-0.025044,0.952428,-0.327241,0.267818,0.157422,0.898717,-0.36393,-0.749417,2.400172,2.280399,-0.082761,-1.011546,-1.274485,0.259937,-0.268051,-0.495465,0.251022,-2.540651,-1.099801,1.256392,-3.072113,-0.130629
hsa_piR_001184_DQ571550,-1.155371,0.924938,-0.016412,0.184895,-1.71342,-1.543514,-1.112852,0.99915,0.997783,0.513196,1.101566,-0.05675,-0.742405,-0.280944,-0.484822,-0.838695,0.260431,-0.031689,-0.204038,0.106861,-0.141436,-0.462529,-1.330486,0.192106,-0.841831,-0.738097,-0.14596,-1.204216,-1.55637,2.537975
hsa_piR_001311_DQ571812,0.1659,-0.722107,0.106525,0.122487,-0.692656,0.329395,-0.47564,0.829505,-0.352069,-0.193023,-0.644321,1.281098,0.782699,-0.319629,-1.558705,-0.51542,-0.931362,-1.112593,0.571303,1.75581,-0.79623,0.618536,-0.167701,0.186359,-0.723089,0.76313,0.931059,-0.590094,1.814122,-0.947552
hsa_piR_001312_DQ571813,0.958803,-0.097215,-0.426942,0.584448,0.418046,0.785135,0.679766,0.292161,-0.551739,1.328985,-0.680983,1.169526,0.247101,-1.457276,0.04018,0.616346,0.191697,-0.595248,0.973755,1.267898,0.197553,0.01561,1.38302,1.22353,-0.262984,1.013938,1.323776,0.097169,1.891291,0.076248
hsa_piR_001943_DQ572589,4.809756,-0.164329,-1.097008,2.770644,3.906953,-0.670605,-0.894353,-6.022244,0.521614,6.319089,1.896247,0.259724,0.110754,6.705954,-1.150009,-0.667423,5.17286,5.485065,0.649305,-3.678123,-0.30773,-3.959231,-5.264194,-4.341118,0.2837,-6.555601,-0.198602,-0.00211,-9.03543,-0.080003
hsa_piR_002441_DQ573293,-1.8341,-0.675291,-1.097008,0.700254,-0.552479,-0.670605,6.059843,0.308673,0.17766,0.231626,6.355679,0.844687,-1.40382,-0.305273,6.317596,-0.892716,-0.582028,0.515438,-4.105582,0.281235,-0.30773,5.170052,1.593787,-0.190017,6.166343,3.744751,-1.537404,-0.00211,0.470971,3.108659
hsa_piR_002808_DQ573776,-0.8341,-4.334254,0.487955,0.433609,-5.137441,-0.670605,-1.18193,0.96075,1.07683,-5.322963,1.896247,1.581652,0.032751,-3.475198,0.900617,-1.387315,-0.582028,0.174401,0.649305,0.550696,-3.387457,0.040769,-0.025609,-0.220605,3.569103,-3.540651,3.608753,-0.00211,-0.447209,-0.080003
hsa_piR_002811_DQ573780,-3.004025,-1.127803,1.426554,-5.062246,-1.506675,0.43631,-5.031857,1.994764,1.444993,-3.675265,3.149077,2.415002,-1.046788,-1.080207,1.408722,-1.667423,-1.301399,-1.375856,-2.350695,-0.034266,3.779733,-2.102189,2.886568,-0.852322,0.069576,-0.277617,3.26083,-2.344146,-2.620745,3.651349
hsa_piR_002852_DQ573835,2.750862,1.157599,0.439045,2.507609,-0.645588,-4.371045,-0.491388,2.348879,-0.826996,0.372488,2.978709,0.55518,-0.861232,-1.7907,-0.265487,-0.2804,0.183507,-0.484562,-4.350695,0.210846,0.257867,-0.033232,-1.406213,-0.038014,-0.234148,-0.093192,-0.465117,0.747911,-0.27732,1.183032
hsa_piR_003007_DQ574050,-0.8341,-0.164329,-1.097008,5.611946,-0.552479,-0.670605,-0.894353,-5.310046,0.521614,-5.260227,1.896247,0.259724,0.110754,-3.305273,-1.150009,-0.667423,-0.582028,0.515438,0.649305,-4.078661,-0.30773,0.040769,-0.406213,1.016434,0.2837,0.044312,-0.198602,-0.00211,1.773534,-0.080003
hsa_piR_003731_DQ575069,-0.8341,-0.164329,2.92536,5.139877,-0.552479,-6.314461,2.059843,4.151433,-4.835938,-3.353337,3.48121,0.259724,1.695716,-7.867516,-7.779366,4.856139,2.002935,1.515438,0.649305,5.647558,-2.612241,0.040769,-0.231127,3.679399,0.2837,-4.277617,-0.198602,-0.127641,5.244326,-4.937984
hsa_piR_003739_DQ575080,-1.718623,-4.919217,1.999854,0.497625,3.447521,-0.670605,-4.216281,0.244543,-1.278087,7.319089,1.455675,0.259724,3.110754,1.279689,-2.228012,-0.667423,-4.582028,-1.572025,-4.051134,0.117737,-0.30773,5.362697,-1.453519,1.016434,0.2837,5.567873,-3.52053,-0.00211,-0.498983,-3.080003
hsa_piR_003853_DQ575245,-0.8341,-0.164329,-1.47552,0.185681,-0.552479,5.13675,4.353574,-0.376946,0.521614,0.231626,1.896247,0.259724,0.110754,-0.305273,-1.150009,-0.667423,-0.582028,-0.958493,3.234268,-0.619229,-0.30773,0.040769,-1.543717,-1.790921,-3.416739,0.044312,-0.198602,-0.00211,-7.182987,-0.080003
hsa_piR_004153_DQ575660,1.197748,-0.444437,0.272226,3.474905,1.041046,1.562056,4.032832,0.829505,-0.282835,2.038981,-0.171924,2.072492,2.890363,-1.135348,1.474482,3.126336,0.709739,-0.723349,3.056481,2.498037,-2.169084,-0.129156,1.889243,2.775426,-0.442539,2.927797,2.519255,0.805244,2.829592,1.379429
hsa_piR_004216_DQ575746,-6.043554,-0.164329,-1.77508,0.185681,5.469889,-0.670605,-4.179755,-4.34042,-3.285741,0.231626,1.896247,0.259724,0.110754,5.087044,-1.150009,-0.667423,-0.582028,1.97487,0.649305,-0.619229,-0.30773,-3.281159,-0.406213,1.016434,0.2837,-5.313241,-0.198602,-0.00211,-7.33499,-0.080003
hsa_piR_004271_DQ575827,0.1659,-0.637082,1.085195,1.050751,-0.515953,2.13675,-0.212679,1.141449,-0.940491,0.360909,0.066172,1.14108,-0.175551,1.279689,2.157419,-0.442717,-0.80442,0.293046,-0.32115,1.068827,0.107307,-4.659671,-0.550603,0.364357,-1.656179,-1.286334,-0.126452,1.048516,0.8364,0.77982
hsa_piR_004307_DQ575881,-0.8341,4.835671,-0.807501,4.433609,1.925568,-0.670605,0.570315,1.151433,2.521614,0.549987,-3.010643,0.316308,0.46439,-1.890236,0.570837,2.856139,-0.582028,1.000865,0.649305,0.324187,-1.530122,-3.959231,0.053218,0.694506,1.868663,-2.277617,5.32496,-0.00211,0.910702,-0.080003
hsa_piR_004308_DQ575882,-0.8341,2.420633,-1.097008,3.355606,2.617446,-0.670605,-0.894353,3.566471,0.521614,6.535407,-1.425681,-4.647167,2.432682,-0.305273,-1.150009,2.42004,-0.582028,0.515438,0.649305,0.146306,-1.182199,-4.817212,-0.406213,-3.507128,0.2837,0.044312,-0.198602,-0.00211,-1.4281,-0.080003
hsa_piR_004506_DQ576200,-0.097135,-0.164329,-1.097008,0.185681,-0.552479,-0.670605,3.913002,1.414468,0.521614,0.231626,3.48121,-4.325238,0.110754,6.087044,-1.150009,-0.667423,-0.582028,0.515438,0.649305,-0.619229,-0.30773,0.040769,-6.635032,-3.442998,0.2837,0.044312,-0.198602,-0.00211,-0.717606,-3.664965
hsa_piR_004553_DQ576262,-1.238491,2.420633,0.182374,-0.482868,-0.614255,0.979452,5.613442,0.781808,0.521614,1.401551,-2.389155,-2.740276,0.110754,-2.375663,-1.150009,-1.491173,-2.582028,-0.534031,-0.854586,-0.1188,-0.30773,-0.306034,-1.406213,-0.274243,0.2837,-1.068751,0.670154,0.786385,0.083799,-0.664965
hsa_piR_004801_DQ576605,-2.205398,2.643026,-4.114355,-0.124659,1.745202,3.173744,-5.462827,-3.40162,-0.542516,2.62554,2.137255,-3.199708,0.110754,2.78219,-0.123537,1.66442,0.526907,2.715971,-2.433157,-0.335086,-4.002875,-1.092498,-1.865645,-6.071029,-3.964227,-3.353124,-5.286065,0.545377,-4.817427,1.591375
hsa_piR_004895_DQ576731,-5.641455,-0.164329,-4.184471,0.185681,-0.552479,-0.670605,-0.894353,-6.077385,0.521614,0.231626,1.896247,0.259724,0.110754,4.739121,-1.150009,-0.667423,5.090398,1.551062,0.649305,-0.619229,-0.30773,0.040769,-0.406213,-3.153491,0.2837,0.044312,-0.198602,-0.00211,-8.086311,-0.080003
hsa_piR_004918_DQ576766,-0.8341,3.643026,-1.097008,0.185681,-0.552479,-0.670605,4.427575,1.922615,0.521614,0.231626,1.896247,0.259724,0.110754,-0.305273,-1.150009,-0.545433,-0.582028,0.515438,-3.672623,-0.619229,-0.30773,4.040769,-0.406213,-2.684006,0.2837,0.044312,-0.198602,-0.00211,1.541527,6.00746
hsa_piR_004962_DQ576828,-0.8341,3.53611,-1.097008,0.185681,-0.552479,-0.670605,5.036384,0.244543,0.521614,0.231626,1.896247,0.259724,0.110754,-0.305273,-1.150009,-1.467125,-0.582028,0.515438,-3.051134,-0.619229,-0.30773,0.040769,-2.183821,1.016434,0.2837,4.503743,-0.198602,-0.00211,-1.296855,6.474586
hsa_piR_004987_DQ576872,0.085729,-0.184507,1.22492,0.269339,3.576804,0.716418,-0.479316,-0.003385,-0.034779,-0.020916,-0.439356,1.361262,1.506682,-0.082881,-0.463509,0.856139,0.102471,0.820293,-1.063413,0.763241,-1.550773,2.095217,0.503589,0.384166,-0.760694,-0.086933,0.998435,-0.175442,0.256398,2.035475
hsa_piR_005531_DQ577598,2.920787,-0.164329,2.710347,1.770644,5.955316,-0.670605,-0.894353,-5.181722,0.521614,-2.090302,-1.425681,0.259724,0.110754,6.087044,-1.150009,-0.667423,5.484062,2.66228,0.649305,-2.899337,-0.30773,0.040769,-2.406213,-3.507128,0.2837,-6.241091,-0.198602,-0.00211,-5.622478,-0.080003
hsa_piR_005799_DQ577967,0.078437,-0.594964,0.27926,0.853106,-0.796148,0.042774,0.41583,1.452138,0.727556,0.07782,0.64832,0.373381,-1.202663,-0.305273,0.940593,-1.270352,2.002935,-0.316164,0.446812,0.550696,0.533904,0.497976,-0.505749,1.03846,-0.874665,-1.377152,0.394773,0.054473,0.741825,2.401739
hsa_piR_005983_DQ578216,-0.8341,-0.061518,1.505028,0.857058,-1.832587,-6.714999,-0.894353,1.244543,0.521614,-2.227806,-3.103753,-0.083578,0.373788,-8.066824,-1.150009,0.400748,-4.453513,-1.020615,-5.132054,0.982222,-0.923389,-0.493568,-0.406213,-1.498139,0.213065,1.739457,-0.298138,0.734855,-1.4281,-0.080003
hsa_piR_006426_DQ578783,-0.997599,-1.842401,1.809883,-1.055327,-4.252919,-6.77913,2.515038,-0.755457,0.821175,-6.958199,6.754228,-9.515063,-2.852721,-2.585381,-2.354368,-0.082461,0.559328,0.89395,-5.183585,1.199531,-2.269547,5.326171,-0.262849,-0.205959,1.2837,-0.679171,0.067132,1.683016,-2.341563,1.510477
