Probes	G103	G104	G108	G110	G111	G114	G119	G120	G124	G126	G130	G134	G301	G303	G305	G310	G313	G314	G315	G317	G318	G322	G323	G325	G328	G332	G337	G338	G355	G366
hsa_piR_000332_DQ570396	-0.834100377	-0.164329233	-1.097007955	0.185681035	7.869585928	-0.67060514	-9.885874964	-7.342922312	0.521614372	2.553553857	1.896247333	0.259724039	-2.696601413	-0.305273264	-4.850449077	-0.667423294	-6.75195261	-3.1090527	-1.672622788	-0.619228984	-0.307730055	0.040768761	-0.406213346	3.338361987	0.283700336	0.044311501	-0.198601827	-0.002110481	-1.42809982	-0.080002556
hsa_piR_000352_DQ570419	-2.419062878	5.121072985	0.125384466	3.185681035	-0.552478837	-4.577495735	-0.835459429	-3.340419805	0.906736295	0.231625762	5.481209834	0.788652505	-0.822132294	0.694726736	1.171918737	-0.367863014	3.225327313	-1.359030954	0.649305307	1.306770435	-1.23217902	0.040768761	2.850126407	-1.442997727	1.267021595	0.044311501	2.801398172	2.62793991	-1.338832481	-5.571855652
hsa_piR_000753_DQ570940	0.196926518	-6.932513557	-0.52669223	0.068324085	0.254876084	-6.974385888	1.257649975	-1.63346678	2.071811456	-0.530214502	-0.334707101	-4.656752606	-0.304283989	-1.627201359	-1.684345786	-0.667423294	-0.540207433	-0.069524336	-5.858489333	1.692715022	-3.427261686	-0.105082105	-0.471064489	0.308614643	-3.803762506	0.545709284	0.953401267	2.132539046	0.410837748	3.327373242
hsa_piR_000765_DQ570956	1.510455541	-0.303625086	0.261958047	0.393107031	-0.083922661	1.046821693	1.44693931	0.688449332	-1.243309595	0.567892884	-1.235029843	1.846785194	0.486774785	-1.583465833	0.378988591	0.435599334	0.244529857	-0.974985811	1.187357911	1.405083403	-0.105826135	0.118158908	0.360037385	1.545770686	-0.401775822	1.135631651	1.613432608	-0.573857122	2.400551477	-0.985936704
hsa_piR_000775_DQ570968	-0.249137876	-0.164329233	-1.097007955	0.185681035	-0.632649187	-5.528586135	-2.618718676	0.244542696	-1.422676194	0.419252764	0.758743811	6.213920349	-4.747227485	0.494428086	-0.515293822	-0.667423294	-1.456496727	0.515438164	-5.233337742	-0.619228984	-0.307730055	-1.096734762	0.885552779	4.186358894	6.166343385	0.349166082	4.049325686	1.528404236	0.687377398	2.335034944
hsa_piR_000794_DQ570992	-1.458591242	-0.164329233	-0.533107069	0.520100075	0.573052044	-4.918532653	5.214171339	0.36483693	0.521614372	0.869055681	1.311284834	0.922689052	-1.211174585	2.885868224	-1.150009359	-2.714729011	4.372168702	-0.399672938	-6.078615147	0.027134062	-0.307730055	0.121688757	-1.27410981	0.665936645	3.453625337	-0.789678548	-3.549099074	-0.122404714	-2.496271322	-0.427925859
hsa_piR_000805_DQ571003	0.327650693	-0.491139549	0.269119944	-0.026622568	-0.522525617	1.448693788	-0.110671025	1.970367732	0.725972872	0.59913489	1.896247334	-0.219943519	-0.242127512	-3.233380345	-0.195452329	0.180573611	-0.582027609	0.869075119	0.327377212	-0.578006321	0.933278046	0.299080757	-0.821250844	-0.254213698	1.017625475	-0.330084015	-2.089895567	1.077323987	-0.529028728	0.690515598
hsa_piR_000807_DQ571005	-0.090772281	0.46370199	-0.664376396	0.118358012	-0.207693536	0.811787627	0.082078411	0.54605125	0.847718144	0.098790078	1.150292957	2.067078961	-1.719321489	-1.193956241	-0.547213564	-0.505151867	-0.210660581	0.299709474	-0.533646375	-0.475493506	0.165606087	0.147077664	0.982938694	0.155669689	0.283700336	0.030807236	-0.528886474	0.091353874	-0.909516158	3.174119859
hsa_piR_001043_DQ571336	-1.285207131	-0.797605671	-1.359509115	-0.501851198	2.024642909	-1.085642639	-2.102439759	-2.930523318	-0.025044239	0.95242764	-0.327240944	0.267817721	0.15742157	0.898716787	-0.363930264	-0.749416668	2.400171749	2.280399389	-0.082761488	-1.011546406	-1.274484797	0.259937282	-0.268050906	-0.495465147	0.251021814	-2.540651	-1.099800536	1.256392234	-3.072113243	-0.130628629
hsa_piR_001184_DQ571550	-1.155371059	0.924938105	-0.016411833	0.184895468	-1.713419626	-1.543513744	-1.112851624	0.999150416	0.997783232	0.513196118	1.101566242	-0.056749626	-0.742405102	-0.280943934	-0.484822128	-0.838694723	0.260431114	-0.031688581	-0.20403775	0.106861254	-0.141436302	-0.462528742	-1.330486019	0.192105891	-0.841830546	-0.738097064	-0.145960347	-1.204215888	-1.556370064	2.537975002
hsa_piR_001311_DQ571812	0.165899623	-0.722106904	0.106525439	0.122487209	-0.692656497	0.32939486	-0.475639962	0.829505197	-0.352069177	-0.193023333	-0.644321048	1.28109769	0.782699313	-0.319628557	-1.55870533	-0.515420202	-0.931361861	-1.112593058	0.571302795	1.755810448	-0.796229714	0.618535761	-0.167701259	0.186358893	-0.723088829	0.763129748	0.931059305	-0.590094333	1.814121576	-0.947552259
hsa_piR_001312_DQ571813	0.958803388	-0.097215038	-0.426941886	0.584448112	0.418046268	0.785134696	0.679766217	0.292160716	-0.551739007	1.328984638	-0.680983287	1.16952623	0.247101028	-1.457276357	0.040180068	0.616346481	0.191696535	-0.595247633	0.973754862	1.267898357	0.197552728	0.015610464	1.383019559	1.223530126	-0.262984337	1.013937851	1.323776136	0.097169033	1.891290958	0.076247509
hsa_piR_001943_DQ572589	4.809755812	-0.164329233	-1.097007955	2.770643536	3.906952781	-0.67060514	-0.894353117	-6.022243845	0.521614372	6.319088603	1.896247333	0.259724039	0.11075351	6.705953992	-1.150009359	-0.667423294	5.172859893	5.485064515	0.649305307	-3.678122673	-0.307730055	-3.959231238	-5.264194341	-4.341118112	0.283700336	-6.555601342	-0.198601827	-0.002110481	-9.035430132	-0.080002556
hsa_piR_002441_DQ573293	-1.834100378	-0.675291152	-1.097007955	0.700254209	-0.552478837	-0.67060514	6.059843192	0.308673033	0.177659972	0.231625762	6.355678952	0.844686539	-1.403819663	-0.305273264	6.317596192	-0.892715607	-0.582027608	0.515438164	-4.105582195	0.281235343	-0.307730055	5.170051778	1.593786654	-0.190016986	6.166343385	3.744751219	-1.537403741	-0.002110481	0.470971272	3.108659008
hsa_piR_002808_DQ573776	-0.834100377	-4.334254234	0.487954546	0.43360855	-5.137441339	-0.67060514	-1.181929708	0.96074973	1.076829531	-5.32296309	1.896247333	1.581652134	0.032750998	-3.475198266	0.900616715	-1.387315376	-0.582027608	0.174401247	0.649305307	0.550696018	-3.387457246	0.040768761	-0.025609343	-0.220605305	3.569102555	-3.540651	3.608753095	-0.002110481	-0.447208642	-0.080002556
hsa_piR_002811_DQ573780	-3.004025379	-1.127803356	1.426554001	-5.062246478	-1.506675149	0.436310064	-5.031856642	1.994764387	1.444993092	-3.675264834	3.149077488	2.415002264	-1.046787767	-1.080206708	1.408721601	-1.667423296	-1.301399143	-1.375855576	-2.350694693	-0.034266483	3.779732788	-2.102189192	2.886568403	-0.852321575	0.06957553	-0.277616594	3.260829792	-2.344146149	-2.620744897	3.651349431
