Sample,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G123,G126,G130,G132,G133,G134,G135,G136,G137,G138,G139,G140,G142,G143,G144,G301,G303,G304,G305,G306,G307,G308,G309,G310,G311,G312,G313,G314,G315,G317,G318,G319,G320,G322,G323,G324,G325,G327,G328,G332,G334,G335,G336,G337,G338,G340,G341,G342,G345,G347,G350,G352,G354,G357,G359,G360,G361,G362,G363,G365,G366,G367,G368,G370,G372,G373,G374,G375,G376,G379,G381,G382,G383,G384,G385,G387,G389,G390,G391,G392,G393,G394,G396,G397
1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371,7028.0,-1619.0,1272.0,-908.0,42.0,1471.0,-1911.0,1256.0,114.0,1267.0,327.0,86.0,661.0,1123.0,-490.0,667.0,271.0,-2396.0,1765.0,-676.0,-413.0,717.0,860.0,-515.0,-501.0,387.0,-1133.0,182.0,62.0,678.0,-265.0,-841.0,502.0,165.0,1166.0,-143.0,464.0,-465.0,255.0,2126.0,1018.0,5.0,-459.0,502.0,-1071.0,421.0,118.0,428.0,1140.0,79.0,-216.0,-331.0,-147.0,342.0,-448.0,-161.0,154.0,934.0,-258.0,609.0,-50.0,565.0,625.0,723.0,86.0,970.0,537.0,-88.0,1016.0,-146.0,-133.0,-868.0,-128.0,-272.0,701.0,-1723.0,-202.0,283.0,496.0,-1088.0,-434.0,-502.0,377.0,690.0,285.0,-75.0,-873.0,67.0,-416.0,74.0,973.0,-67.0,37.0,354.0,68.0,-70.0,544.0,839.0,575.0,647.0,429.0,-16.0
1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301,715.0,1649.0,-1585.0,2126.0,-3136.0,-2332.0,-3353.0,-1209.0,-2723.0,-1585.0,3180.0,2231.0,-4382.0,-1236.0,207.0,2121.0,1453.0,-3015.0,-1090.0,-5401.0,-373.0,1853.0,-1704.0,-3244.0,-971.0,-873.0,-1913.0,371.0,-9.0,2272.0,-52.0,-2253.0,969.0,-995.0,122.0,-375.0,177.0,-788.0,-226.0,1007.0,1194.0,458.0,-1237.0,1368.0,-2779.0,143.0,-3691.0,183.0,-897.0,-826.0,-2632.0,159.0,-2533.0,-8.0,-436.0,1564.0,1255.0,-1450.0,2408.0,1501.0,-376.0,1940.0,-1814.0,73.0,988.0,-483.0,-1992.0,454.0,1309.0,-1870.0,-2373.0,-37.0,-444.0,-572.0,2179.0,-1628.0,-624.0,-787.0,-269.0,-323.0,-172.0,-668.0,-130.0,-1027.0,14.0,-382.0,-2885.0,-3532.0,-1502.0,1099.0,-2537.0,-1663.0,670.0,-3681.0,-1469.0,-874.0,-1228.0,1621.0,-302.0,-88.0,-191.0,836.0
2-AMINOBUTYRICACID-O-N-TMS-1-M/z130,-16330.0,-3922.0,56725.0,-52546.0,-59990.0,-17191.0,-16904.0,-85805.0,-7694.0,-58696.0,-38124.0,65355.0,-39121.0,20363.0,-29242.0,5186.0,-24173.0,40929.0,-1746.0,-6781.0,-8944.0,-5023.0,-10067.0,27803.0,3452.0,-46359.0,-11147.0,35642.0,-36579.0,-15010.0,-36531.0,19550.0,-4374.0,47385.0,6578.0,10172.0,-20268.0,-41633.0,-6057.0,-830.0,2402.0,-39701.0,-8841.0,-24508.0,11055.0,-25130.0,9813.0,23289.0,16774.0,21605.0,-31866.0,-5865.0,-1211.0,-30456.0,8642.0,-15115.0,-37080.0,6639.0,13259.0,-39313.0,7434.0,-20399.0,15438.0,4150.0,10774.0,-11089.0,10289.0,-6322.0,-13548.0,-28775.0,-34647.0,-10965.0,-19075.0,27093.0,-52403.0,5409.0,38750.0,17985.0,-26570.0,-23499.0,39857.0,40941.0,6329.0,47538.0,4778.0,-4354.0,-20319.0,60422.0,-54172.0,-23913.0,-28182.0,-29292.0,24491.0,-52070.0,-40689.0,54099.0,46894.0,-61535.0,13717.0,6176.0,-4837.0,-39162.0
3-HYDROXYBUTYRICACID-2TMS-1-M/z204,6374.0,1041.0,2375.0,-628.0,-19739.0,733.0,-1146.0,-4809.0,-284.0,984.0,-492.0,5805.0,-9638.0,-975.0,6884.0,1718.0,-61.0,5540.0,2160.0,-4080.0,-422.0,-184.0,19.0,14814.0,1922.0,-21107.0,-1903.0,1251.0,3466.0,3131.0,1268.0,-211.0,-142.0,-1184.0,946.0,-40.0,3751.0,-4347.0,690.0,-91.0,-1190.0,-1044.0,-1666.0,-2552.0,-1111.0,-43606.0,349.0,2225.0,-6282.0,2611.0,-3591.0,849.0,3281.0,-3863.0,-138.0,-11402.0,9019.0,511.0,-381.0,-95.0,-739.0,1001.0,-15306.0,-619.0,1497.0,1135.0,3176.0,-10310.0,-293.0,-27446.0,-318.0,-914.0,-774.0,-3508.0,-2817.0,493.0,1986.0,-676.0,-38255.0,-2085.0,6672.0,10372.0,2558.0,2586.0,2311.0,2226.0,-24662.0,3414.0,843.0,5023.0,2.0,-4217.0,11772.0,1337.0,3693.0,1216.0,17404.0,6492.0,1360.0,816.0,-944.0,-1399.0
ACETAMINOPHEN-2TMS-1-M/z297,-111.0,498.0,-478.0,264.0,-361.0,458.0,-430.0,-531.0,-460.0,432.0,425.0,-164.0,432.0,126.0,-56.0,0.0,206.0,-452.0,0.0,349.0,99.0,88.0,67.0,-165.0,-91.0,126.0,683.0,353.0,-46.0,259.0,927.0,61.0,2134.0,53.0,-692.0,6770.0,-246.0,156.0,-274.0,0.0,-176.0,308.0,-254.0,-355.0,41.0,-97.0,-2493.0,-41.0,-141.0,593.0,-90.0,-454.0,254.0,0.0,120.0,-37.0,207.0,-151.0,169.0,0.0,0.0,0.0,-601.0,-118.0,-241.0,-227.0,113.0,-276.0,89.0,0.0,-409.0,-193.0,824.0,21.0,326.0,147.0,123.0,-364.0,1119.0,234.0,208.0,-902.0,-3437.0,-192.0,-29.0,-44.0,-282.0,-182.0,0.0,310.0,-246.0,262.0,199.0,7446.0,331.0,504.0,50.0,2388.0,126.0,1279.0,-18.0,-140.0
ACONITICACID-trans-3TMS-1,2528.0,672.0,6047.0,-1415.0,-2939.0,138.0,-1682.0,-2300.0,-824.0,14.0,-422.0,617.0,-336.0,-2194.0,816.0,1620.0,1653.0,1023.0,-3657.0,-2254.0,-239.0,800.0,-1919.0,-3466.0,2701.0,2737.0,-466.0,1747.0,-3704.0,-4230.0,1149.0,-1715.0,-3093.0,-1158.0,317.0,97.0,1030.0,1358.0,986.0,2256.0,738.0,850.0,-229.0,1469.0,2352.0,1007.0,3460.0,808.0,-892.0,135.0,-2025.0,-445.0,1388.0,-27.0,2099.0,5252.0,587.0,207.0,-3291.0,-1404.0,668.0,4328.0,-1742.0,-1566.0,2186.0,1603.0,-1059.0,-2514.0,2430.0,-2234.0,1428.0,1060.0,-1114.0,-1623.0,-514.0,-655.0,649.0,3496.0,2498.0,3895.0,2108.0,3675.0,1350.0,949.0,2258.0,-2373.0,-1781.0,-2483.0,1810.0,5489.0,-552.0,-527.0,1656.0,2440.0,-1520.0,3468.0,1421.0,-1730.0,3853.0,-8286.0,-1919.0,-763.0
ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230,161.0,-520.0,-204.0,56.0,669.0,279.0,170.0,100.0,165.0,-17.0,-125.0,20.0,349.0,-71.0,-189.0,-48.0,-273.0,-154.0,-612.0,95.0,-248.0,-34.0,-168.0,235.0,-46.0,-6.0,-416.0,243.0,-7.0,-161.0,-649.0,-103.0,341.0,73.0,-167.0,-667.0,113.0,-127.0,-646.0,30.0,28.0,-66.0,-321.0,-127.0,440.0,42.0,-142.0,41.0,220.0,208.0,-117.0,-145.0,-88.0,-64.0,117.0,464.0,34.0,-69.0,471.0,-219.0,31.0,-418.0,110.0,-41.0,-205.0,61.0,-211.0,-88.0,101.0,-640.0,-275.0,-23.0,-113.0,84.0,60.0,377.0,-85.0,102.0,43.0,-80.0,-71.0,-183.0,179.0,24.0,163.0,172.0,-178.0,117.0,5.0,-152.0,243.0,215.0,-29.0,257.0,618.0,178.0,65.0,28.0,125.0,-41.0,106.0,-40.0
ALANINE-N-O-TMS-1-M/z192,-6099.0,-1189.0,-3485.0,552.0,-6939.0,-599.0,8199.0,5467.0,-1008.0,-4462.0,-7932.0,4369.0,-124.0,299.0,-3857.0,2790.0,-2013.0,774.0,-1829.0,2341.0,71.0,-4820.0,1751.0,-1819.0,4705.0,2533.0,-645.0,19.0,-11405.0,-4771.0,521.0,1039.0,-1220.0,-5122.0,-4564.0,3939.0,2249.0,-3407.0,-127.0,-591.0,4478.0,6476.0,2689.0,7862.0,-2680.0,1115.0,2224.0,-533.0,1175.0,-3808.0,1115.0,-3806.0,-3362.0,2930.0,1025.0,7859.0,-4807.0,-6672.0,-4160.0,-1200.0,3232.0,-3093.0,3195.0,-3192.0,1275.0,4890.0,-2328.0,-221.0,-1859.0,-92.0,-2195.0,-6357.0,-3612.0,491.0,-3562.0,-4300.0,-1201.0,-1229.0,2046.0,-861.0,-3334.0,616.0,-3191.0,506.0,-11920.0,-1774.0,3814.0,1054.0,-6536.0,-10956.0,-1563.0,4195.0,-4089.0,-4244.0,-52.0,6354.0,1985.0,-5879.0,5854.0,-4728.0,6484.0,-4909.0
ALPHA-TOCOPHEROL-TMS-1-M/z504,743.0,-464.0,318.0,-1293.0,-1081.0,-990.0,-1304.0,-697.0,-995.0,-721.0,-192.0,1378.0,-368.0,-2080.0,-1095.0,-928.0,55.0,602.0,-1688.0,-3180.0,-641.0,880.0,-680.0,960.0,-1132.0,-1148.0,-823.0,-8.0,128.0,426.0,-139.0,-939.0,763.0,45.0,-359.0,434.0,-497.0,167.0,-848.0,-132.0,623.0,220.0,-293.0,-373.0,-304.0,403.0,-656.0,-405.0,10.0,-944.0,39.0,254.0,688.0,-346.0,410.0,-17.0,730.0,-2003.0,1410.0,-528.0,-697.0,-169.0,-436.0,1319.0,72.0,-691.0,-346.0,643.0,275.0,-3678.0,-1544.0,-34.0,-378.0,-461.0,284.0,226.0,-943.0,-148.0,-835.0,-584.0,-557.0,-102.0,-1016.0,312.0,71.0,-170.0,-1419.0,155.0,-1303.0,50.0,-830.0,-560.0,57.0,-568.0,-519.0,-573.0,-124.0,-573.0,-194.0,-121.0,-250.0,200.0
ASPARAGINE-N-N-O-TMS-1-M/z231,-73.0,157.0,1565.0,498.0,-3331.0,2494.0,-2221.0,1847.0,6426.0,-306.0,931.0,1541.0,-754.0,928.0,133.0,3080.0,-388.0,1882.0,318.0,1434.0,559.0,-744.0,5843.0,1652.0,14388.0,2003.0,-1918.0,1862.0,-13183.0,-7327.0,941.0,1651.0,-327.0,-433.0,-137.0,31.0,-231.0,-1343.0,1158.0,-1275.0,3681.0,3614.0,2273.0,1437.0,856.0,1818.0,3628.0,3785.0,-995.0,4535.0,-1060.0,-1962.0,-343.0,1450.0,478.0,6293.0,-5165.0,-2142.0,-524.0,804.0,4979.0,1387.0,1970.0,-1041.0,3316.0,2592.0,2018.0,1626.0,608.0,2143.0,-1018.0,-5293.0,-42.0,1545.0,2851.0,1128.0,-1141.0,-1948.0,1639.0,-2867.0,-1466.0,2610.0,314.0,1984.0,-1995.0,1157.0,4818.0,2467.0,-4001.0,-4095.0,-1183.0,431.0,-8669.0,-1173.0,111.0,3533.0,2306.0,-2314.0,2553.0,3298.0,10907.0,-2761.0
