id,label,group,nodesize
KCNQ5,KCNQ5,1,29
CDKN1A,CDKN1A,1,26
CEP85L,CEP85L,1,16
UBE2Z,UBE2Z,1,15
RIC3,RIC3,1,14
GOLGA2P5,GOLGA2P5,1,13
BAIAP2-AS1,BAIAP2-AS1,1,13
RNF19A,RNF19A,1,11
BTLA,BTLA,1,9
PCBD1,PCBD1,1,8
NAPRT1,NAPRT1,1,6
LAMTOR2,LAMTOR2,1,5
LOH12CR1,LOH12CR1,1,3
SFT2D1,SFT2D1,1,2
IFITM1,IFITM1,1,1
SCO2,SCO2,1,1
DTNB,DTNB,1,1
METRNL,METRNL,1,1
MR1,MR1,1,1
mch,mch,2,69
monocytes,monocytes,2,68
eosinophils,eosinophils,2,55
leukocytes,leukocytes,2,53
neutrophils,neutrophils,2,48
basophils,basophils,2,13
c_CXCL11,c_CXCL11,3,100
c_MCP2,c_MCP2,3,80
c_CX3CL1,c_CX3CL1,3,48
c_CXCL10,c_CXCL10,3,47
p_ENTPD5,p_ENTPD5,4,68
p_S100P,p_S100P,4,55
p_EGLN1,p_EGLN1,4,38
p_FGF-19,p_FGF-19,4,32
p_NTF4,p_NTF4,4,27
p_CTSO,p_CTSO,4,26
p_IRF9,p_IRF9,4,24
p_PAG1,p_PAG1,4,24
p_TRIM5,p_TRIM5,4,22
p_PLXNA4,p_PLXNA4,4,22
p_IRAK1,p_IRAK1,4,20
p_NFATC3,p_NFATC3,4,19
p_TINAGL1,p_TINAGL1,4,16
p_APEX1,p_APEX1,4,16
p_PSIP1,p_PSIP1,4,16
p_DDC,p_DDC,4,16
p_IL7,p_IL7,4,16
p_CD40,p_CD40,4,16
p_CCL25,p_CCL25,4,14
p_CD164,p_CD164,4,14
p_DFFA,p_DFFA,4,14
p_BAG6,p_BAG6,4,14
p_CXCL12,p_CXCL12,4,13
p_ZBTB16,p_ZBTB16,4,13
p_DDX58,p_DDX58,4,12
p_CCL3,p_CCL3,4,11
p_COMT,p_COMT,4,11
p_CCL23,p_CCL23,4,11
p_NOMO1,p_NOMO1,4,10
p_VEGFA,p_VEGFA,4,10
p_CD5,p_CD5,4,10
p_IRAK4,p_IRAK4,4,9
p_CXCL1,p_CXCL1,4,8
p_GLB1,p_GLB1,4,8
p_HDGF,p_HDGF,4,8
p_USP8,p_USP8,4,8
p_EDAR,p_EDAR,4,8
p_TRAF2,p_TRAF2,4,8
p_GALNT3,p_GALNT3,4,8
p_FCRL6,p_FCRL6,4,8
p_TREM1,p_TREM1,4,8
p_CNTNAP2,p_CNTNAP2,4,8
p_CKAP4,p_CKAP4,4,8
p_STAMPB,p_STAMPB,4,5
p_SEMA3F,p_SEMA3F,4,5
p_LAG3,p_LAG3,4,5
p_CST5,p_CST5,4,5
p_CRKL,p_CRKL,4,5
p_TSHB,p_TSHB,4,5
p_CLEC6A,p_CLEC6A,4,5
p_MMP-1,p_MMP-1,4,4
p_PRDX5,p_PRDX5,4,4
p_CA13,p_CA13,4,2
p_Flt3L,p_Flt3L,4,2
p_AXIN1,p_AXIN1,4,2
p_ANGPT2,p_ANGPT2,4,2
p_TNFRSF9,p_TNFRSF9,4,2
p_EN-RAGE,p_EN-RAGE,4,2
p_DAB2,p_DAB2,4,2
p_KLRD1,p_KLRD1,4,2
p_TWEAK,p_TWEAK,4,2
p_PD-L1,p_PD-L1,4,2
p_DNER,p_DNER,4,2
p_APLP1,p_APLP1,4,2
p_Beta-NGF,p_Beta-NGF,4,2
p_CANT1,p_CANT1,4,2
ISOLEUCINE-N-O-TMS-1M/z233,ISOLEUCINE-N-O-TMS-1M/z233,5,47
THREONINE-N-O-O-TMS-1M/z293,THREONINE-N-O-O-TMS-1M/z293,5,39
LEUCINE-N-O-TMS-1M/z158,LEUCINE-N-O-TMS-1M/z158,5,24
PYROGLUTAMICACID-N-O-TMS-1M/z159,PYROGLUTAMICACID-N-O-TMS-1M/z159,5,22
ORNITHINE-N-N-N-O-TMS_2-1M/z420,ORNITHINE-N-N-N-O-TMS_2-1M/z420,5,21
CELLOBIOSE-MEOX8TMS_2-1M/z361,CELLOBIOSE-MEOX8TMS_2-1M/z361,5,18
CHOLESTEROL-TMS-1M/z247,CHOLESTEROL-TMS-1M/z247,5,18
HYPOXANTHINE-2TMS-1M/z282,HYPOXANTHINE-2TMS-1M/z282,5,18
SERINE-N-O-O-TMS-1M/z307,SERINE-N-O-O-TMS-1M/z307,5,17
LYSINE-N-N-O-TMS_1-1M/z102,LYSINE-N-N-O-TMS_1-1M/z102,5,16
GLUTAMINE-N-N-O-TMS_1-1M/z347,GLUTAMINE-N-N-O-TMS_1-1M/z347,5,13
BETA-ALANINE-N-O-TMS-1M/z218,BETA-ALANINE-N-O-TMS-1M/z218,5,13
3-HYDROXYBUTYRICACID-2TMS-1M/z204,3-HYDROXYBUTYRICACID-2TMS-1M/z204,5,12
ORNITHINE-N-N-O-TMS_1-1M/z144,ORNITHINE-N-N-O-TMS_1-1M/z144,5,12
GALACTURONICACID-MEOX5TMS_2-1M/z334,GALACTURONICACID-MEOX5TMS_2-1M/z334,5,12
PHENYLALANINE-N-O-TMS-1M/z268,PHENYLALANINE-N-O-TMS-1M/z268,5,12
SORBOSE-MEOX5TMS_2-1,SORBOSE-MEOX5TMS_2-1,5,12
ISOERYTHRITOL-4TMS-1M/z277,ISOERYTHRITOL-4TMS-1M/z277,5,12
SORBOSE-MEOX5TMS_1-1M/z364,SORBOSE-MEOX5TMS_1-1M/z364,5,12
LAMINARIBIOSE-MEOX8TMS_2-1M/z361,LAMINARIBIOSE-MEOX8TMS_2-1M/z361,5,10
FRUCTOSE-MEOX5TMS_1-1M/z366,FRUCTOSE-MEOX5TMS_1-1M/z366,5,10
ASPARAGINE-N-N-O-TMS-1M/z231,ASPARAGINE-N-N-O-TMS-1M/z231,5,10
