id,label,group,nodesize
SEPT10,SEPT10,1,45
NCR1,NCR1,1,44
BAZ2A,BAZ2A,1,41
HP1BP3,HP1BP3,1,36
PLEKHD1,PLEKHD1,1,35
KDELR2,KDELR2,1,34
MIB1,MIB1,1,30
BRWD1,BRWD1,1,27
MRPL49,MRPL49,1,27
HSD17B1,HSD17B1,1,24
FAM70A,FAM70A,1,20
TMEM150B,TMEM150B,1,20
SDF2L1,SDF2L1,1,19
ALG6,ALG6,1,18
SNRNP25,SNRNP25,1,17
C11orf30,C11orf30,1,17
IFNA21,IFNA21,1,17
AGFG1,AGFG1,1,16
METTL17,METTL17,1,14
C19orf10,C19orf10,1,14
FBXW7,FBXW7,1,14
TCERG1L,TCERG1L,1,13
C3,C3,1,12
ARL2,ARL2,1,11
LYZ,LYZ,1,9
FN3KRP,FN3KRP,1,9
FAM120A,FAM120A,1,9
TPD52,TPD52,1,8
NEK9,NEK9,1,8
BCKDHA,BCKDHA,1,8
ATP11B,ATP11B,1,8
OR52M1,OR52M1,1,8
NUS1,NUS1,1,6
PDE12,PDE12,1,6
LASP1,LASP1,1,5
TMEM198B,TMEM198B,1,3
UQCRC2,UQCRC2,1,3
creatinine,creatinine,2,100
hematocrit,hematocrit,2,85
alt,alt,2,84
hemoglobin,hemoglobin,2,81
leukocytes,leukocytes,2,73
neutrophils,neutrophils,2,42
