id,label,group,nodesize
LMO7,LMO7,1,30
HNRNPC,HNRNPC,1,25
KLHL12,KLHL12,1,20
RNF207,RNF207,1,19
LOC441454,LOC441454,1,18
HLA-DMB,HLA-DMB,1,18
C9orf85,C9orf85,1,17
KCTD12,KCTD12,1,16
SLC35E1,SLC35E1,1,16
PDK4,PDK4,1,15
NAP1L5,NAP1L5,1,15
CHD6,CHD6,1,14
SDF2L1,SDF2L1,1,14
ALG2,ALG2,1,12
GBF1,GBF1,1,12
MRI1,MRI1,1,10
LOC100190986,LOC100190986,1,9
SLC39A8,SLC39A8,1,8
HIST3H2A,HIST3H2A,1,8
NOC3L,NOC3L,1,8
ZC2HC1A,ZC2HC1A,1,7
ZNF491,ZNF491,1,6
OR3A3,OR3A3,1,6
OXLD1,OXLD1,1,6
CENPA,CENPA,1,5
IQSEC1,IQSEC1,1,5
LOC283070,LOC283070,1,5
ZNF737,ZNF737,1,4
PRPF40B,PRPF40B,1,4
DYRK2,DYRK2,1,4
SNORA48,SNORA48,1,3
SERTAD1,SERTAD1,1,3
FERMT3,FERMT3,1,3
ETS2,ETS2,1,2
ZNF740,ZNF740,1,2
FLT4,FLT4,1,2
LOC643802,LOC643802,1,2
HCG26,HCG26,1,2
TMEM199,TMEM199,1,2
MYO5A,MYO5A,1,2
AP3D1,AP3D1,1,1
SNORA10,SNORA10,1,1
ZBTB49,ZBTB49,1,1
FLJ40292,FLJ40292,1,1
SCARNA15,SCARNA15,1,1
POLR2A,POLR2A,1,0
UBE2M,UBE2M,1,0
creatinine,creatinine,2,68
monocytes,monocytes,2,58
crp,crp,2,53
neutrophils,neutrophils,2,53
basophils,basophils,2,49
alt,alt,2,47
hemoglobin,hemoglobin,2,38
hematocrit,hematocrit,2,32
leukocytes,leukocytes,2,30
c_MCP4,c_MCP4,3,100
c_OSM,c_OSM,3,89
c_CXCL10,c_CXCL10,3,79
p_Beta-NGF,p_Beta-NGF,4,65
p_CCL4,p_CCL4,4,44
p_CCL20,p_CCL20,4,41
p_HGF,p_HGF,4,26
p_RANKL,p_RANKL,4,21
p_TRAIL,p_TRAIL,4,21
p_CXCL10,p_CXCL10,4,21
p_IL7,p_IL7,4,19
p_Flt3L,p_Flt3L,4,19
p_OPG,p_OPG,4,18
p_CD5,p_CD5,4,16
p_CXCL5,p_CXCL5,4,15
p_CCL3,p_CCL3,4,14
p_VEGFA,p_VEGFA,4,13
