id,source,target,Weight,group
0,TMEM184A,THTPA,0.807142857142857,0
1,ZNF597,UPF1,0.8285714285714284,0
2,THTPA,TMEM184A,0.807142857142857,0
3,UPF1,ZNF597,0.8285714285714284,0
4,ALANINE-N-O-TMS-1M/z192,MICAL3,0.8428571428571429,1
5,neutrophils,leukocytes,0.931188933048194,1
6,leukocytes,neutrophils,0.9311889330481938,1
7,GAMMA-TOCOPHEROL-TMS-1,c_CXCL10,0.8035714285714284,0
8,p_RANKL,p_VEGFA,0.9857142857142854,1
9,p_4E-BP1,p_VEGFA,0.9392857142857142,1
10,p_IL8,p_VEGFA,0.9571428571428571,1
11,p_CXCL10,p_VEGFA,0.9392857142857142,1
12,p_MCP3,p_VEGFA,0.9785714285714284,1
13,p_IL7,p_VEGFA,0.9249999999999998,1
14,p_IL6,p_VEGFA,0.8999999999999999,1
15,p_TWEAK,p_VEGFA,0.9178571428571428,1
16,p_OSM,p_VEGFA,0.9214285714285713,1
17,p_ST1A1,p_VEGFA,0.9571428571428571,1
18,p_MCP-2,p_VEGFA,0.9607142857142855,1
19,p_FGF23,p_VEGFA,0.9535714285714283,1
20,p_CSF-1,p_VEGFA,0.9214285714285713,1
21,p_SCF,p_VEGFA,0.9714285714285713,1
22,p_CCL4,p_VEGFA,0.95,1
23,p_DNER,p_VEGFA,0.9749999999999999,1
24,p_CCL19,p_VEGFA,0.9214285714285713,1
25,p_CX3CL1,p_VEGFA,0.9642857142857141,1
26,p_TNFRSF9,p_VEGFA,0.9428571428571427,1
27,p_CD8a,p_VEGFA,0.9035714285714285,1
28,p_IL-18R1,p_VEGFA,0.982142857142857,1
29,p_CD40,p_VEGFA,0.8964285714285712,1
30,p_CXCL5,p_VEGFA,0.9464285714285712,1
31,p_CCL25,p_VEGFA,0.9892857142857142,1
32,p_TNFB,p_VEGFA,0.9214285714285713,1
33,p_MMP-10,p_VEGFA,0.95,1
34,p_LIF-R,p_VEGFA,0.9892857142857142,1
35,p_CXCL1,p_VEGFA,0.8928571428571428,1
36,p_CXCL6,p_VEGFA,0.8857142857142855,1
37,p_CCL20,p_VEGFA,0.8749999999999999,1
38,p_CDCP1,p_VEGFA,0.9464285714285712,1
39,p_CXCL9,p_VEGFA,0.9035714285714285,1
40,p_HGF,p_VEGFA,0.982142857142857,1
41,p_MMP-1,p_VEGFA,0.9357142857142854,1
42,p_FGF-19,p_VEGFA,0.9535714285714283,1
43,p_PD-L1,p_VEGFA,0.8857142857142855,1
44,p_STAMPB,p_VEGFA,0.9428571428571427,1
45,p_CCL3,p_VEGFA,0.95,1
46,p_uPA,p_VEGFA,0.9607142857142855,1
47,p_IL-10RB,p_VEGFA,0.8999999999999999,1
48,p_TRAIL,p_VEGFA,0.9857142857142854,1
49,p_FGF-21,p_VEGFA,0.9714285714285713,1
50,p_CCL11,p_VEGFA,0.9464285714285712,1
51,p_CCL23,p_VEGFA,0.8857142857142855,1
52,p_MCP4,p_VEGFA,0.9785714285714284,1
53,p_MCP1,p_VEGFA,0.932142857142857,1
54,p_CST5,p_VEGFA,0.914285714285714,1
55,p_CASP-8,p_VEGFA,0.95,1
56,p_LAPTGF-beta1,p_VEGFA,0.9357142857142854,1
57,p_CD244,p_VEGFA,0.982142857142857,1
58,p_VEGFA,p_RANKL,0.9857142857142854,1
59,p_4E-BP1,p_RANKL,0.9428571428571427,1
60,p_IL8,p_RANKL,0.9178571428571428,1
61,p_CXCL10,p_RANKL,0.9178571428571428,1
62,p_MCP3,p_RANKL,0.9678571428571429,1
63,p_IL7,p_RANKL,0.932142857142857,1
64,p_IL6,p_RANKL,0.914285714285714,1
65,p_TWEAK,p_RANKL,0.932142857142857,1
66,p_OSM,p_RANKL,0.95,1
67,p_ST1A1,p_RANKL,0.9714285714285713,1
68,p_MCP-2,p_RANKL,0.932142857142857,1
69,p_FGF23,p_RANKL,0.982142857142857,1
70,p_CSF-1,p_RANKL,0.9571428571428571,1
71,p_SCF,p_RANKL,0.9964285714285712,1
72,p_CCL4,p_RANKL,0.9785714285714284,1
73,p_DNER,p_RANKL,0.9678571428571429,1
74,p_CCL19,p_RANKL,0.9357142857142854,1
75,p_CX3CL1,p_RANKL,0.9928571428571428,1
76,p_TNFRSF9,p_RANKL,0.9785714285714284,1
77,p_CD8a,p_RANKL,0.9214285714285713,1
78,p_IL-18R1,p_RANKL,0.9857142857142854,1
79,p_CD40,p_RANKL,0.8892857142857141,1
80,p_CXCL5,p_RANKL,0.9107142857142855,1
81,p_CCL25,p_RANKL,0.9964285714285712,1
