id,source,target,Weight,group
0,CLEC11A,KRT18,0.8666666666666665,0
1,PPP1R21,HABP4,0.8424242424242423,1
2,BRCA2,HABP4,0.8060606060606059,0
3,alt,HABP4,0.8303030303030302,0
4,KRT18,CLEC11A,0.8666666666666665,0
5,BTD,CLEC11A,0.8424242424242423,0
6,ARHGAP23,OR3A3,0.8181818181818182,1
7,PIGM,MAN2C1,0.8545454545454544,1
8,UBASH3B,MAN2C1,0.8060606060606059,0
9,p_TGF-alpha,MAN2C1,0.8060606060606059,1
10,p_PD-L1,MAN2C1,0.8787878787878788,1
11,TSPAN13,COMTD1,0.8060606060606059,1
12,NIGEROSE-MEOX-8TMS_2-1-M/z361,LOC146880,0.8181818181818182,1
13,ISOCITRIC-ACID-4TMS-1-M/z466,LOC146880,0.8787878787878788,1
14,DODECANOIC-ACID-TMS-1-M/z257,LOC146880,0.9272727272727272,1
15,CITRIC-ACID-4TMS-1-M/z465,LOC146880,0.8303030303030302,1
16,LYSINE-N-N-N-O-TMS_2-1,LOC146880,0.8060606060606059,1
17,MAN2C1,PIGM,0.8545454545454544,1
18,p_CCL19,PIGM,0.8060606060606059,1
19,ALANINE-N-O-TMS-1-M/z192,PIGM,0.8181818181818182,1
20,ASPARAGINE-N-N-O-TMS-1-M/z231,PIGM,0.8181818181818182,1
21,ORNITHINE-N-N-O-TMS_1-1-M/z144,PIGM,0.8787878787878788,1
22,CITRULLINE-3TMS_1-(Ornthine)-1,PIGM,0.8303030303030302,1
23,ALPHA-TOCOPHEROL-TMS-1-M/z504,SGIP1,0.8424242424242423,1
24,RHOU,PSMA5,0.8060606060606059,1
25,CLEC11A,BTD,0.8424242424242423,0
26,MMP11,SPRY3,0.8060606060606059,0
27,POP7,SPRY3,0.8060606060606059,0
28,SGTB,SPRY3,0.8666666666666665,1
29,DODECANOIC-ACID-TMS-1-M/z257,SPRY3,0.8424242424242423,1
30,BCKDHA,CYBASC3,0.8181818181818182,1
31,VPS45,CYBASC3,0.8424242424242423,1
32,GIT1,CYBASC3,0.8181818181818182,1
33,UBASH3B,CYBASC3,0.8060606060606059,0
34,METHYL-HISTIDINE-2TMS-1-M/z168,C10orf11,0.8787878787878788,1
35,URIC-ACID-N-O-O-O-TMS-1-M/z72,C10orf11,0.8666666666666665,1
36,BCKDHA,NEK9,0.8787878787878788,1
37,PSMA5,RHOU,0.8060606060606059,1
38,neutrophils,LEMD2,0.8666666666666665,1
39,hsa-miR-7162-3p,LEMD2,0.8181818181818182,1
40,ALANINE-N-O-TMS-1-M/z192,LEMD2,0.9151515151515152,1
41,ASPARAGINE-N-N-O-TMS-1-M/z231,LEMD2,0.8060606060606059,1
42,TYROSINE-N-O-O-TMS-1-M/z382,LEMD2,0.8424242424242423,1
43,COMTD1,TSPAN13,0.8060606060606059,1
44,NAPROXEN-TMS-1-M/z303,TSPAN13,0.9272727272727272,0
45,PYROGLUTAMIC-ACID-N-O-TMS-1-M/z159,TSPAN13,0.8787878787878788,0
46,CYBASC3,BCKDHA,0.8181818181818182,1
47,NEK9,BCKDHA,0.8787878787878788,1
48,MMP11,BCKDHA,0.8060606060606059,1
49,CYBASC3,VPS45,0.8424242424242423,1
50,PPP1R21,VPS45,0.8545454545454544,0
51,GIT1,VPS45,0.8181818181818182,1
52,PPP1R21,BTAF1,0.8060606060606059,1
53,GIT1,BTAF1,0.8424242424242423,0
54,SPRY3,MMP11,0.8060606060606059,0
55,BCKDHA,MMP11,0.8060606060606059,1
56,ILDR2,MMP11,0.8181818181818182,1
57,STRADA,PDHX,0.8303030303030302,0
58,3-HYDROXYBUTYRIC-ACID-2TMS-1-M/z204,PDHX,0.8303030303030302,0
59,OCTADECENOIC-ACID--9-(E)-TMS-1-M/z339,PDHX,0.8424242424242423,0
60,OCTADECENOIC-ACID--9-(Z)-TMS-1-M/z222,PDHX,0.8303030303030302,0
61,1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371,PDHX,0.8424242424242423,0
62,HABP4,PPP1R21,0.8424242424242423,1
63,VPS45,PPP1R21,0.8545454545454544,0
64,BTAF1,PPP1R21,0.8060606060606059,1
65,GIT1,PPP1R21,0.8545454545454544,0
