id,source,target,Weight,group
0,VPS45,PCNP,0.7818181818181817,1
1,EIF2B1,PCNP,0.8545454545454544,1
2,UQCRC2,PCNP,0.9272727272727272,1
3,ZNF434,PCNP,0.7575757575757575,1
4,TBKBP1,PCNP,0.7454545454545454,0
5,TUFM,PCNP,0.8060606060606059,1
6,SAMM50,PCNP,0.8181818181818182,1
7,CDC26,PCNP,0.7212121212121211,1
8,NCBP1,PCNP,0.7818181818181817,1
9,RPL7L1,PCNP,0.9030303030303028,1
10,AMOTL1,PCNP,0.709090909090909,0
11,GATAD2A,PCNP,0.8060606060606059,0
12,TMX4,PCNP,0.7818181818181817,0
13,CAPRIN1,PCNP,0.7818181818181817,1
14,DKC1,PCNP,0.7333333333333332,1
15,ast,PCNP,0.7333333333333332,1
16,POLR3F,RABEP2,0.8303030303030302,0
17,FAM173B,RABEP2,0.709090909090909,0
18,c_TRAIL,RABEP2,0.7696969696969697,0
19,Benzenebutanoic_acid_Ri2182Mz192,RABEP2,0.7454545454545454,1
20,GAMMA-TOCOPHEROL-TMS-1,RABEP2,0.7939393939393938,1
21,LACTOSE-MEOX8TMS_1-1M/z204,RABEP2,0.8060606060606059,1
22,hematocrit,HLA-DMB,0.8753839828992931,0
23,1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1M/z301,HLA-DMB,0.8024353176576853,0
24,TMED10P1,ARRB1,0.8303030303030302,0
25,IGF1R,ARRB1,0.7212121212121211,0
26,LOC283070,ARRB1,0.7575757575757575,0
27,HNRNPH1,ARRB1,0.709090909090909,1
28,EIF2B1,MPHOSPH9,0.8666666666666665,1
29,PMS2CL,MPHOSPH9,0.709090909090909,1
30,EI24,MPHOSPH9,0.8545454545454544,1
31,PTPN1,MPHOSPH9,0.709090909090909,0
32,TBKBP1,MPHOSPH9,0.8666666666666665,0
33,KANSL2,MPHOSPH9,0.8181818181818182,1
34,TMED10P1,MPHOSPH9,0.709090909090909,0
35,GRWD1,MPHOSPH9,0.709090909090909,1
36,SNX9,MPHOSPH9,0.8666666666666665,1
37,DKC1,MPHOSPH9,0.7333333333333332,1
38,c_CXCL10,MPHOSPH9,0.7333333333333332,0
39,c_MCP4,MPHOSPH9,0.8181818181818182,0
40,PCNP,VPS45,0.7818181818181817,1
41,BCKDHA,VPS45,0.7212121212121211,1
42,TBKBP1,VPS45,0.7454545454545454,0
43,TUFM,VPS45,0.7212121212121211,1
44,SAMM50,VPS45,0.9515151515151514,1
45,KIAA1468,VPS45,0.8060606060606059,1
46,NCBP1,VPS45,0.9030303030303028,1
47,RPL7L1,VPS45,0.7818181818181817,1
48,SPRYD3,VPS45,0.709090909090909,0
49,COPG2,VPS45,0.8424242424242423,1
50,GATAD2A,VPS45,0.709090909090909,0
51,TMX4,VPS45,0.8666666666666665,0
52,C11orf30,VPS45,0.7575757575757575,0
53,MRPS31,VPS45,0.7818181818181817,1
54,LOC148696,VPS45,0.7575757575757575,0
55,PCNP,EIF2B1,0.8545454545454544,1
56,MPHOSPH9,EIF2B1,0.8666666666666665,1
57,PMS2CL,EIF2B1,0.7333333333333332,1
58,TENM1,EIF2B1,0.7333333333333332,0
59,EI24,EIF2B1,0.8666666666666665,1
60,PTPN1,EIF2B1,0.7818181818181817,0
61,TBKBP1,EIF2B1,0.8787878787878788,0
62,SAMM50,EIF2B1,0.8060606060606059,1
63,CDC26,EIF2B1,0.7333333333333332,1
64,RPL7L1,EIF2B1,0.7333333333333332,1
65,SNX9,EIF2B1,0.7575757575757575,1
66,DKC1,EIF2B1,0.8909090909090909,1
67,c_MCP4,EIF2B1,0.7454545454545454,0
68,TENM1,ZMYND12,0.7333333333333332,0
69,lymphocytes,ZMYND12,0.709090909090909,1
70,p_PD-L1,ZMYND12,0.7212121212121211,0
71,SPRYD3,MAN2C1,0.7696969696969697,0
72,C11orf30,MAN2C1,0.709090909090909,0
73,creatinine,MAN2C1,0.7212121212121211,1
74,leukocytes,MAN2C1,0.7333333333333332,1
75,VAT1,ZNF385D,0.8424242424242423,1
76,LOC283070,ZNF385D,0.709090909090909,1
77,TUFM,HNRNPC,0.709090909090909,1
78,CENPW,HNRNPC,0.8424242424242423,1
79,creatinine,HNRNPC,0.7212121212121211,1
80,p_S100P,HNRNPC,0.7333333333333332,1
81,p_ENPP7,HNRNPC,0.7939393939393938,1
82,p_SUMF2,HNRNPC,0.7575757575757575,1
83,p_NADK,HNRNPC,0.709090909090909,1
84,p_CD2AP,HNRNPC,0.7818181818181817,1
85,p_ALDH1A1,HNRNPC,0.7818181818181817,1
86,p_APEX1,HNRNPC,0.7333333333333332,1
87,p_AHCY,HNRNPC,0.7696969696969697,1
88,p_CLUL1,HNRNPC,0.7575757575757575,1
89,p_ITGA11,HNRNPC,0.709090909090909,1
90,p_MMP-1,HNRNPC,0.7333333333333332,1
91,p_PAG1,HNRNPC,0.7333333333333332,1
