id,source,target,Weight,group
0,LOC100128398,hsa-miR-187-5p,0.970869407746935,1
1,MYO5A,hsa-miR-376c-3p,0.9793347398179019,1
2,MYO5A,hsa-miR-6511a-3p,0.9638384637073858,1
3,MYO5A,hsa-miR-5591-3p,0.9506088679811713,1
4,MYO5A,hsa-miR-4466,0.9843457638618903,1
5,MYO5A,hsa-miR-676-5p,0.9642166790326038,1
6,MYO5A,hsa-miR-3960,0.9833374994262011,1
7,KRT18,hsa-miR-2276-5p,0.9546088048986167,0
8,KRT18,SCF,0.95586307491596,0
9,KRT18,IL-18R1,0.9537893096556823,1
10,KRT18,CCL25,0.9559306569393817,1
11,NAT8B,CD40,0.9519190635086179,0
12,HABP4,TRAIL,0.9591968155862945,1
13,CLEC11A,hsa-miR-2276-5p,0.9803702622886539,1
14,OR3A3,hsa-miR-6865-3p,0.9661435525529739,1
15,OR3A3,hsa-miR-6810-5p,0.9750182105859067,1
16,OR3A3,hsa-miR-1180-5p,0.9718252177928645,1
17,OR3A3,hsa-miR-6733-3p,0.9602747136228926,1
18,OR3A3,hsa-miR-6806-5p,0.9641752768549113,1
19,LOC146880,hsa-miR-648,0.9574922318284967,0
20,LOC146880,hsa-miR-365a-5p,0.9800325076922204,0
21,PIGM,hsa-miR-7162-3p,0.9520777830801115,1
22,SESTD1,hsa-miR-376c-3p,0.975896047912797,1
23,SESTD1,hsa-miR-4466,0.9777910808027391,1
24,SESTD1,hsa-miR-3960,0.9601512560771018,1
25,TRPM2,hsa-miR-648,0.972621619770248,0
26,TRPM2,hsa-miR-365a-5p,0.9700209469538322,0
27,C10orf11,hsa-miR-6865-3p,0.9715332578933236,0
28,C10orf11,hsa-miR-1180-5p,0.9866083226750028,0
29,C10orf11,hsa-miR-4515,0.9892366450729443,0
30,C10orf11,hsa-miR-6850-5p,0.954441147008296,0
31,LEMD2,hsa-miR-7162-3p,0.9602037935094353,1
32,BCKDHA,hsa-miR-7162-3p,0.9592366265378587,1
33,VPS45,hsa-miR-6732-5p,0.9908323407314547,0
34,VPS45,hsa-miR-29a-5p,0.9867221274669633,0
35,VPS45,IL8,0.9557045328251572,0
36,PDHX,CDCP1,0.9516991932651714,0
37,PDHX,TNFRSF9,0.9544584789041921,0
