id,source,target,Weight,group
0,RNF41,CXCL5,0.959774532872498,0
1,SUMF2,MMP-1,0.9555082725712856,0
2,RFPL3,CD244,0.9750279050308052,0
3,ZNF708,CXCL10,0.9677910662851572,1
4,ZNF708,TRAIL,0.9718760401929873,0
5,ZNF708,MCP1,0.9830457636522186,1
6,ALG10B,Flt3L,0.9534166497820694,0
7,BTBD10,CXCL10,0.9812727601185728,0
8,LOC389791,TRAIL,0.9783826141279043,1
9,LOC389791,MCP1,0.9830373066666863,0
10,CUL4A,CXCL6,0.9548874779658192,0
11,DHFRL1,IL7,0.9627718147066848,0
12,MAPK11,IL7,0.9659460093908222,1
13,SCARNA18,Flt3L,0.9602707993775005,1
14,LOC100289361,CD6,0.9931404082200833,0
15,hematocrit,CSF-1,0.9778983246847587,1
16,hematocrit,CXCL5,0.9738649491237673,1
17,hematocrit,CCL3,0.9797784557810767,0
18,hematocrit,CX3CL1,0.9749656545799231,0
19,hematocrit,MCP3,0.9766176980555185,1
20,CXCL10,CCL25,0.9713486088845963,1
21,MCP3,CSF-1,0.9988801624330557,0
22,MCP3,CXCL5,0.995676729360373,0
23,MCP3,FGF23,0.976397676659616,0
24,MCP3,CCL3,0.9959209279299249,1
25,MCP3,CX3CL1,0.9994457000655891,1
26,MCP3,MCP3,0.9879573067376559,0
27,hsa_piR_002808_DQ573776,TNFB,0.9694904856153904,1
28,hsa-miR-1227-3p,TWEAK,0.9846350264167825,1
29,hsa-miR-1227-3p,ADA,0.9964897079319031,0
30,hsa-miR-130a-5p,MCP1,0.9529237358563026,0
31,hsa-miR-8060,CSF-1,0.9791166260910779,0
32,hsa-miR-8060,CXCL5,0.9831702034225754,0
33,hsa-miR-8060,FGF23,0.9755568879448304,0
34,hsa-miR-8060,CCL3,0.9612288770145896,1
35,hsa-miR-8060,CX3CL1,0.9732024667732444,1
36,hsa-miR-8060,MCP3,0.9858220084878591,0
37,hsa-miR-451a,CCL19,0.9547749377296461,1
38,hsa_piR_014959_DQ590455,IL-12B,0.9774910971367318,0
39,hsa-miR-6784-3p,Beta-NGF,0.9540547500474343,0
40,hsa-miR-6784-3p,IL-18R1,0.9695530495308337,1
41,hsa-miR-6784-3p,CXCL6,0.9745183776055496,1
42,hsa_piR_019068_DQ596183,MMP-10,0.9691184962380955,0
43,hsa-miR-1537-5p,TRAIL,0.9540442498949251,0
44,hsa-miR-1537-5p,MCP1,0.9530000466021079,1
45,hsa-miR-374b-5p,IL7,0.9621629497498585,0
46,hsa-miR-6830-3p,AXIN1,0.9786629325781692,1
47,hsa-miR-548ak,CSF-1,0.9601353890283776,1
48,hsa-miR-548ak,FGF23,0.9549593830253683,1
49,hsa-miR-548ak,CCL3,0.9718961250730511,0
50,hsa-miR-548ak,CX3CL1,0.9655616181642688,0
51,hsa-miR-548ak,MCP-2,0.9745656786585738,1
52,hsa-miR-31-5p,IL-12B,0.9863738508819158,1
53,hsa-miR-31-5p,IL-10RB,0.9677388134877362,1
54,hsa-miR-367-5p,CCL19,0.9552259838601473,1
55,hsa-miR-3661,TNFRSF9,0.9583073365209226,1
56,hsa-miR-3689a-3p,CCL4,0.9684512217375756,1
57,hsa-miR-1468-3p,CCL20,0.9647991806876283,1
58,hsa-miR-675-5p,Beta-NGF,0.982802351617015,0
59,hsa-miR-675-5p,IL-18R1,0.9898580924529908,1
60,hsa-miR-675-5p,CXCL6,0.9840362579383769,1
61,hsa-miR-5699-3p,IL6,0.987099957332446,1
62,hsa-miR-572,TNFRSF9,0.9635192680675346,1
63,hsa-miR-3928-3p,AXIN1,0.9715461603248814,1
64,hsa-miR-363-3p,CXCL9,0.9624442185851111,0
65,hsa-miR-4727-5p,CSF-1,0.9528074285058798,0
66,hsa-miR-4727-5p,CXCL5,0.9584283798539832,0
67,hsa-miR-4727-5p,FGF23,0.9662154656330194,0
68,hsa-miR-4727-5p,MCP3,0.9533255948126219,0
69,hsa-miR-15a-5p,IL-12B,0.9662837047488684,0
70,hsa-miR-15a-5p,IL-10RB,0.9584838223166317,0
71,hsa-miR-3153,CCL20,0.9680763513512936,1
72,hsa-miR-6842-3p,IL-12B,0.970552353916015,1
73,hsa-miR-6842-3p,IL-10RB,0.981485633583779,1
74,hsa-miR-5687,OSM,0.9599668083813147,1
75,hsa_piR_021303_DQ599270,CSF-1,0.971297273450011,1
76,hsa_piR_021303_DQ599270,CXCL5,0.9855167242684447,1
77,hsa_piR_021303_DQ599270,FGF23,0.989058026978936,1
78,hsa_piR_021303_DQ599270,CCL3,0.9534861830342362,0
79,hsa_piR_021303_DQ599270,CX3CL1,0.9622622626835943,0
80,hsa_piR_021303_DQ599270,MCP3,0.9592349695447273,1
81,hsa_piR_021303_DQ599270,TRYPTOPHAN-N-N-O-TMS-1-M/z303,0.9576537674877078,1
82,hsa-miR-4778-5p,CXCL10,0.9782898596650793,0
83,hsa-miR-4778-5p,TRAIL,0.9656458413040113,1
84,hsa-miR-4778-5p,MCP1,0.9807521401419677,0
85,hsa-miR-10b-5p,CD5,0.983995431230406,1
86,hsa-miR-10b-5p,MCP4,0.9577444726019809,0
87,hsa-miR-10b-5p,TGF-alpha,0.9908212801654686,1
88,hsa-miR-10b-5p,CCL23,0.9526965621485559,1
89,hsa-miR-486-5p,IL-12B,0.9507979700087793,0
90,hsa-miR-3617-3p,Beta-NGF,0.952629159797417,0
91,hsa-miR-3617-3p,IL6,0.959747015395712,1
92,hsa-miR-3617-3p,IL-18R1,0.9794730088627829,1
93,hsa-miR-3617-3p,CXCL6,0.9778685680073691,1
94,Flt3L,ALG10B,0.9534166497820694,0
95,Flt3L,SCARNA18,0.9602707993775005,1
96,Flt3L,MALIC-ACID-3TMS-1-M/z245,0.9800373515610211,1
97,CCL4,hsa-miR-3689a-3p,0.9684512217375756,1
98,CCL4,TNFSF14,0.9518462572916192,1
99,CCL4,FRUCTOSE-MEOX-5TMS_1-1-M/z366,0.966158305881808,0
100,Beta-NGF,hsa-miR-6784-3p,0.9540547500474343,0
101,Beta-NGF,hsa-miR-675-5p,0.982802351617015,0
102,Beta-NGF,hsa-miR-3617-3p,0.952629159797417,0
103,Beta-NGF,IL-18R1,0.9868558382595525,0
104,Beta-NGF,CXCL6,0.9779426866007135,0
105,Beta-NGF,PHENYLALANINE-N-O-TMS-1-M/z268,0.9869641483720221,0
