id,label,group,nodesize
ZNF606,ZNF606,1,31
SEPT10,SEPT10,1,28
NCR1,NCR1,1,27
BAZ2A,BAZ2A,1,26
MYO5A,MYO5A,1,24
HP1BP3,HP1BP3,1,22
PLEKHD1,PLEKHD1,1,22
KDELR2,KDELR2,1,21
ZNF385D,ZNF385D,1,21
MIB1,MIB1,1,19
NDUFV3,NDUFV3,1,18
BRWD1,BRWD1,1,17
MRPL49,MRPL49,1,17
PVR,PVR,1,16
NFE2L2,NFE2L2,1,15
HSD17B1,HSD17B1,1,15
ABHD14A,ABHD14A,1,14
PIGF,PIGF,1,14
TMEM169,TMEM169,1,13
SENP5,SENP5,1,12
CFP,CFP,1,12
FAM70A,FAM70A,1,12
TMEM150B,TMEM150B,1,12
SDF2L1,SDF2L1,1,11
ALG6,ALG6,1,11
UBL4A,UBL4A,1,11
SNRNP25,SNRNP25,1,11
C11orf30,C11orf30,1,10
IFNA21,IFNA21,1,10
AGFG1,AGFG1,1,10
HEATR3,HEATR3,1,10
METTL17,METTL17,1,9
C19orf10,C19orf10,1,9
FBXW7,FBXW7,1,8
TCERG1L,TCERG1L,1,8
PPP1R8,PPP1R8,1,7
C3,C3,1,7
AIFM3,AIFM3,1,7
ARL2,ARL2,1,6
TYROBP,TYROBP,1,6
FLAD1,FLAD1,1,6
C1orf177,C1orf177,1,6
LYZ,LYZ,1,6
FN3KRP,FN3KRP,1,5
FAM120A,FAM120A,1,5
ZFAND4,ZFAND4,1,5
TPD52,TPD52,1,5
NEK9,NEK9,1,5
BCKDHA,BCKDHA,1,5
ATP11B,ATP11B,1,5
OR52M1,OR52M1,1,5
DUSP5,DUSP5,1,4
NUS1,NUS1,1,4
PDE12,PDE12,1,4
NDFIP2,NDFIP2,1,4
SH3BGRL3,SH3BGRL3,1,3
LASP1,LASP1,1,3
TMEM198B,TMEM198B,1,2
PUM2,PUM2,1,2
UQCRC2,UQCRC2,1,1
REST,REST,1,1
SPRY3,SPRY3,1,1
mch,mch,2,100
platelets,platelets,2,81
creatinine,creatinine,2,62
monocytes,monocytes,2,59
hematocrit,hematocrit,2,53
alt,alt,2,52
hemoglobin,hemoglobin,2,50
mcv,mcv,2,47
leukocytes,leukocytes,2,45
lymphocytes,lymphocytes,2,42
basophils,basophils,2,41
ast,ast,2,32
neutrophils,neutrophils,2,26
