id,label,group,nodesize
AASS,AASS,1,27
GATAD2B,GATAD2B,1,22
IRF4,IRF4,1,19
THTPA,THTPA,1,16
FBXL19,FBXL19,1,16
PPIH,PPIH,1,16
CIC,CIC,1,16
BCS1L,BCS1L,1,15
EGR3,EGR3,1,14
ZNHIT3,ZNHIT3,1,14
ITGB2-AS1,ITGB2-AS1,1,14
LY6G5B,LY6G5B,1,13
MED12,MED12,1,13
CYYR1,CYYR1,1,13
PKMYT1,PKMYT1,1,12
NELL2,NELL2,1,11
MRPS11,MRPS11,1,11
PI4KAP1,PI4KAP1,1,11
ARHGAP33,ARHGAP33,1,10
ZNF516,ZNF516,1,10
MIR1307,MIR1307,1,9
FRYL,FRYL,1,9
STK17A,STK17A,1,9
ZXDA,ZXDA,1,9
C19orf71,C19orf71,1,9
CLDN7,CLDN7,1,9
NR2C2AP,NR2C2AP,1,9
LOC727896,LOC727896,1,9
ORAOV1,ORAOV1,1,8
SPPL3,SPPL3,1,8
PLA2G4C,PLA2G4C,1,8
SH2D3A,SH2D3A,1,7
UPF1,UPF1,1,7
FAM122A,FAM122A,1,6
TPPP3,TPPP3,1,6
STBD1,STBD1,1,6
TMEM156,TMEM156,1,6
SOCS3,SOCS3,1,5
DDX24,DDX24,1,5
GPSM2,GPSM2,1,5
CD209,CD209,1,5
TMEM184A,TMEM184A,1,5
TUBGCP6,TUBGCP6,1,5
PPFIA3,PPFIA3,1,5
MREG,MREG,1,5
ZNF597,ZNF597,1,5
SNORA30,SNORA30,1,5
IL16,IL16,1,5
SLC12A6,SLC12A6,1,5
GOLIM4,GOLIM4,1,5
UPP1,UPP1,1,4
TMX1,TMX1,1,4
CDC42EP1,CDC42EP1,1,4
SNORA70B,SNORA70B,1,4
SIPA1,SIPA1,1,4
LOC100507053,LOC100507053,1,3
CIT,CIT,1,3
SNX15,SNX15,1,2
AATF,AATF,1,2
ICOSLG,ICOSLG,1,2
PVRL3,PVRL3,1,1
ZC3HC1,ZC3HC1,1,1
RBM48,RBM48,1,1
HOXA4,HOXA4,1,1
MICAL3,MICAL3,1,0
TAF6L,TAF6L,1,0
MRPL55,MRPL55,1,0
monocytes,monocytes,2,75
hematocrit,hematocrit,2,59
mcv,mcv,2,44
leukocytes,leukocytes,2,43
alt,alt,2,40
neutrophils,neutrophils,2,38
platelets,platelets,2,37
crp,crp,2,35
hemoglobin,hemoglobin,2,34
lymphocytes,lymphocytes,2,32
creatinine,creatinine,2,32
mch,mch,2,32
ast,ast,2,28
basophils,basophils,2,26
OSM,OSM,3,100
CX3CL1,CX3CL1,3,80
CXCL11,CXCL11,3,80
CXCL10,CXCL10,3,76
MCP4,MCP4,3,73
TRAIL,TRAIL,3,70
CSF1,CSF1,3,69
MCP3,MCP3,3,9
VEGFA,VEGFA,4,72
RANKL,RANKL,4,39
4E-BP1,4E-BP1,4,28
IL8,IL8,4,27
CXCL10,CXCL10,4,25
MCP3,MCP3,4,23
IL7,IL7,4,21
IL6,IL6,4,19
TWEAK,TWEAK,4,17
OSM,OSM,4,15
ST1A1,ST1A1,4,14
MCP-2,MCP-2,4,13
FGF23,FGF23,4,13
CSF-1,CSF-1,4,12
SCF,SCF,4,11
CCL4,CCL4,4,11
DNER,DNER,4,10
CCL19,CCL19,4,10
CX3CL1,CX3CL1,4,9
TNFRSF9,TNFRSF9,4,9
CD8a,CD8a,4,8
IL-18R1,IL-18R1,4,8
CD40,CD40,4,8
CXCL5,CXCL5,4,7
CCL25,CCL25,4,7
TNFB,TNFB,4,7
MMP-10,MMP-10,4,7
LIF-R,LIF-R,4,7
CXCL1,CXCL1,4,7
CXCL6,CXCL6,4,6
CCL20,CCL20,4,6
CDCP1,CDCP1,4,5
CXCL9,CXCL9,4,5
HGF,HGF,4,4
MMP-1,MMP-1,4,4
FGF-19,FGF-19,4,4
PD-L1,PD-L1,4,4
STAMPB,STAMPB,4,4
CCL3,CCL3,4,4
uPA,uPA,4,3
IL-10RB,IL-10RB,4,3
TRAIL,TRAIL,4,3
FGF-21,FGF-21,4,2
CCL11,CCL11,4,2
CCL23,CCL23,4,2
MCP4,MCP4,4,2
MCP1,MCP1,4,2
CST5,CST5,4,1
CASP-8,CASP-8,4,1
LAPTGF-beta1,LAPTGF-beta1,4,1
CD244,CD244,4,1
GLYCINE-N-N-O-TMS-1M/z246,GLYCINE-N-N-O-TMS-1M/z246,5,24
-Tryptophan_Ri2161Mz202,-Tryptophan_Ri2161Mz202,5,23
