Probes RABGAP1 IRAK1 CAPS PCNX TSGA10 ZMYND19 CCM2 CEP120 ZNF394 MPL SLC40A1 HLA-DOB EID2 ARRDC1 FOXD3 VAV2 CORO6 PTPN12 EIF2B3 BCKDK TEP1 HNRNPF CCDC88A KARS SAP130 PROK2 DALRD3 PEX13 FAM174B FAM19A2 MANBAL C17orf82 TMED3 SOAT2 MRPS33 SYNM ATP13A1 UQCRH VPS4B SQSTM1 GSDMA ZNF212 DKFZP434H168 C20orf196 MICA HNRNPH3 PMS2P1 IGF2R C11orf35 UBE2O SPSB1 MARCH1 ZBTB6 YWHAG TRPM6 PIBF1 RABGAP1 IRAK1 LRBA CAPS PCNX ZMYND19 CEP120 ZNF394 MPL SLC40A1 HLA-DOB EID2 ARRDC1 CORO6 PTPN12 EIF2B3 BCKDK TEP1 HNRNPF CCDC88A KARS SF3A3 SAP130 TBC1D3F FAM174B C17orf82 MRPS33 GMPR2 MMGT1 KIF14 UQCRH S1PR5 ZFYVE28 C1orf56 ALG14 ZNF212 TK2 MXD1 SLC25A13 AKR7A2P1 ASB3 FAM122A ZNF549 MMP8 PDE5A SLC6A9 TSSK1B NR4A2 SPSB1 Class
G101 -0.283689912 -0.191641776 -0.829192358 0.03727867 0.378365561 0.191437762 0.327986935 -0.95381975 0.35207278200000003 -0.955737405 0.32888338 -0.472796217 0.365678226 0.177485875 0.0 -0.499376938 -0.14339352 -0.088927362 0.5561989479999999 -0.277185031 0.577133084 1.129136569 -0.043513485 0.638900399 0.018428621 -1.871535322 -1.0801806109999998 -0.292135716 -0.329128036 0.067767872 -0.262365425 0.0 -0.520439746 0.57049751 0.7152011490000001 -1.170570886 0.98697103 2.687533459 -0.00067382 -0.529470304 0.081148502 0.143829147 -1.1339385 -0.959260021 0.536802247 -0.466003388 -0.058932053 0.047780887 0.830833481 -0.016642665 0.981236735 1.374119902 0.245977302 1.189048309 -1.603387539 -0.32322596800000003 -0.283689912 -0.191641776 0.023269639 -0.829192358 0.03727867 0.191437762 -0.95381975 0.35207278200000003 -0.955737405 0.32888338 -0.472796217 0.365678226 0.177485875 -0.14339352 -0.088927362 0.5561989479999999 -0.277185031 0.577133084 1.129136569 -0.043513485 0.638900399 -0.251577295 0.018428621 -0.404008403 -0.329128036 0.0 0.7152011490000001 -0.404386383 -0.551742662 0.310272726 2.687533459 0.185307384 -1.193260858 -1.232472613 -0.447790383 0.143829147 -0.308873044 -0.193888911 -0.058750503 -0.7733894159999999 -0.424143649 -0.017562618000000002 -0.158779025 0.577291989 0.08156774900000001 0.348167765 -0.439248917 0.231484953 0.981236735 1
G102 -0.178110884 -0.513496318 -0.8710080109999999 -0.634976919 -1.041473061 -0.52006984 0.285879516 -1.148805298 0.19628244600000005 -0.938661413 -0.406025103 -1.0212707909999998 -0.273402582 -0.105904529 -0.439135835 -0.213851151 -2.580407854 0.6635501429999999 -0.399312009 0.131809953 1.14975467 0.06158393 -0.038366173 0.5835749 -0.128668827 -0.649426766 -0.228713878 -0.689245491 -0.437894353 0.341461318 -0.29853961100000004 0.0 -0.5326268129999999 -1.184313347 0.182472958 -1.326396539 0.341429141 -1.169937004 0.7240560859999999 0.08024972400000001 0.866791677 0.08312485900000001 -1.726034728 -0.229604332 1.239861723 0.3950095420000001 -0.939360015 0.170315904 -2.472337954 -0.282473588 0.684715634 1.890599184 -0.197930747 -0.119926566 -0.676298519 -0.433686145 -0.178110884 -0.513496318 -1.096160603 -0.8710080109999999 -0.634976919 -0.52006984 -1.148805298 0.19628244600000005 -0.938661413 -0.406025103 -1.0212707909999998 -0.273402582 -0.105904529 -2.580407854 0.6635501429999999 -0.399312009 0.131809953 1.14975467 0.06158393 -0.038366173 0.5835749 0.295527256 -0.128668827 -0.63124549 -0.437894353 0.0 0.182472958 0.303712488 0.092216229 -0.517722999 -1.169937004 0.187722491 -1.246766388 -2.457145135 -0.235647141 0.08312485900000001 0.214392346 2.788122619 1.238727268 1.133947378 -0.351228528 -0.741879497 0.14723218300000002 -0.028892295 -0.807018536 0.866791677 0.759171369 -0.641163928 0.684715634 1
G103 -0.322036329 0.108535572 -0.842157759 0.023524578 0.29113647600000003 -0.873598192 -0.356920521 -1.27914063 0.026802503 -0.22388323 1.378758141 -0.356276993 0.332678272 -0.484466996 -0.654930211 -0.222197667 -0.113710161 -0.528970785 -1.220299378 0.8938630540000001 0.712273851 0.91948027 0.314743416 1.086834716 -0.109539806 0.7696691999999999 -1.193879121 -0.022713489 -0.039037268 0.880078369 -0.08714804699999999 0.0 -0.321990179 -2.484478014 -0.007983572 0.079060548 0.97263219 -0.09706621 0.6225151170000001 0.023564733 -2.871831355 -0.63720991 -3.26575144 0.050321867 1.32007626 0.8090818790000001 -0.471334904 0.927588899 -0.568921001 0.229776316 1.4729465940000002 1.422886346 0.15233502699999998 0.111913759 -0.203958357 -0.128997662 -0.322036329 0.108535572 -0.841391001 -0.842157759 0.023524578 -0.873598192 -1.27914063 0.026802503 -0.22388323 1.378758141 -0.356276993 0.332678272 -0.484466996 -0.113710161 -0.528970785 -1.220299378 0.8938630540000001 0.712273851 0.91948027 0.314743416 1.086834716 -0.15768964800000002 -0.109539806 -0.013946219 -0.039037268 0.0 -0.007983572 0.68218646 -0.07630972 0.367590599 -0.09706621 -0.8864316240000001 -0.782151485 -1.4185111380000002 -0.16925753899999998 -0.63720991 0.188349002 2.198975641 0.810486535 -1.323024855 -0.121892697 -0.127003903 -0.06604276 0.908661426 -0.23846849 -0.416248278 0.829884988 -0.23606332 1.4729465940000002 1
G104 0.242639962 -0.322185535 -1.255413464 0.08397396300000001 0.105275175 -0.362907395 0.055961582 -2.08070077 0.6347132670000001 -0.725964915 1.26572716 -1.4731667730000002 0.354351161 -0.283905938 1.903907548 0.046828922 -0.5501804610000001 0.116271442 -0.96712343 0.451483919 0.872617832 1.639167399 0.220686483 1.331857509 0.82708056 0.554239567 -1.405739729 -0.207907945 -1.230509461 0.6539432270000001 -0.364503421 0.936654689 -0.443156638 -0.94750734 -0.060636566 -0.8847357109999999 1.590209306 0.3671406920000001 -0.036948392 0.213645841 -3.229944473 -0.549203842 -2.045875411 -1.593630226 0.920489061 0.422393037 0.231175775 1.202947088 -0.120651915 0.563412295 1.481525458 1.626082855 -0.159641533 1.226809124 -1.7305412830000002 -0.963062039 0.242639962 -0.322185535 -1.080898543 -1.255413464 0.08397396300000001 -0.362907395 -2.08070077 0.6347132670000001 -0.725964915 1.26572716 -1.4731667730000002 0.354351161 -0.283905938 -0.5501804610000001 0.116271442 -0.96712343 0.451483919 0.872617832 1.639167399 0.220686483 1.331857509 -0.246806931 0.82708056 -0.701027882 -1.230509461 0.936654689 -0.060636566 0.505878944 -0.498312473 0.704656963 0.3671406920000001 -1.456953784 -2.523196667 -0.33686488299999995 0.155015516 -0.549203842 -0.0905094 1.806398291 1.223783996 -0.996514135 -0.606534726 -0.28880521800000003 -0.342618086 -0.515712095 0.567041631 -0.795112562 1.49986856 -0.415876526 1.481525458 0
G105 -0.8078535859999999 1.125543104 -0.146425368 -0.234577385 -1.295111778 -0.777535422 0.5783956170000001 -0.786328554 -0.676391796 0.8655663709999999 -0.511551757 0.909436974 -0.223191906 -0.187880645 0.348460172 0.265171359 1.047722131 -0.794753881 -0.453317982 0.072847336 0.781157993 0.5019884520000001 -1.019106208 0.099927806 0.459374667 -0.690769741 -0.046767238 -0.404924626 -3.16242983 0.363984178 -0.092679597 1.290317558 0.579795741 0.0 -0.824796162 -1.415881196 0.7730060040000001 -0.454827281 -0.7792096709999999 0.587206194 0.0 -0.998425651 -0.734711028 -0.921544331 1.063640617 0.82881818 0.511193255 -0.06628779 0.336051576 0.393013998 2.024254816 0.437536818 -0.185617903 1.061239118 -1.229569476 0.074192416 -0.8078535859999999 1.125543104 -1.06441325 -0.146425368 -0.234577385 -0.777535422 -0.786328554 -0.676391796 0.8655663709999999 -0.511551757 0.909436974 -0.223191906 -0.187880645 1.047722131 -0.794753881 -0.453317982 0.072847336 0.781157993 0.5019884520000001 -1.019106208 0.099927806 0.34075722299999994 0.459374667 -0.054706798 -3.16242983 1.290317558 -0.824796162 0.538366225 -0.540650992 0.25984819 -0.454827281 -4.056787664 -0.181573765 -0.957216383 1.147800126 -0.998425651 0.351994542 0.434118254 1.4941169559999998 1.647137088 0.118839218 -0.426547046 -0.848415101 0.008367578 0.128349524 2.0439687930000003 2.577464275 -0.893151331 2.024254816 1
G108 -0.023350466 0.7527053000000001 -0.333403706 -0.545627241 -1.858622587 -0.367913599 0.478445425 -0.1571227 0.158606697 -0.33107452800000003 0.6536424279999999 -0.32719865600000003 0.582291436 0.317573716 0.0 0.234446836 -1.61703396 -0.016806021 -0.361571909 -0.201496007 0.180348893 1.272954328 1.061396996 0.949269728 0.238085147 -0.521569409 -0.44770581 -0.5945273839999999 -0.604271961 0.676560701 -0.589046081 0.0 0.092216919 -1.354446829 0.265330122 0.508296828 0.90464753 0.8308870190000001 -0.25875474800000003 -0.077322447 0.390264712 0.072185724 -0.022442737 1.064138605 0.626011165 0.050735155 0.043906508 0.173405981 -0.955055786 0.225893078 1.3552321980000002 0.83060666 -0.19627026 0.597207507 -2.057099048 -0.040047495 -0.023350466 0.7527053000000001 -0.335248153 -0.333403706 -0.545627241 -0.367913599 -0.1571227 0.158606697 -0.33107452800000003 0.6536424279999999 -0.32719865600000003 0.582291436 0.317573716 -1.61703396 -0.016806021 -0.361571909 -0.201496007 0.180348893 1.272954328 1.061396996 0.949269728 -0.046565867 0.238085147 -0.656365485 -0.604271961 0.0 0.265330122 0.551250357 -0.8591857759999999 1.533197326 0.8308870190000001 1.149675815 -0.450318203 -0.765895825 -0.6991935970000001 0.072185724 -0.629934762 0.7178580040000001 0.299473668 -0.7641232259999999 0.0893953 -0.27384149 -0.139871956 -0.154891855 -0.255097988 -0.024205527 -0.603118878 -0.120362826 1.3552321980000002 1
G109 -0.007313131 0.074237375 -1.0535902190000002 0.125288321 -0.067101305 -2.026830092 -0.092740132 -0.6158078020000001 0.180851801 1.319966987 1.3345998 -0.415155873 -0.54119724 0.230179989 1.016741179 0.349325113 -0.556218371 -0.295777051 -1.671296057 0.228610619 0.441538537 0.52745102 0.067966761 0.640126105 0.7723792629999999 -0.8370593140000001 -0.590945046 -0.198738032 0.65524574 0.607246045 -0.327399317 1.016741179 -0.658644893 0.025241639 -1.265914147 -1.319261704 1.13300835 -0.702822728 0.17908085 0.41119195 -1.319261704 -0.793321974 -0.13680223800000002 0.151762414 1.390732036 0.424546032 -0.050305587 0.8518281879999999 -0.470782467 0.7451639959999999 1.897777606 0.945381212 -0.322981571 -0.173201568 -1.36868931 -0.319862902 -0.007313131 0.074237375 -0.481778361 -1.0535902190000002 0.125288321 -2.026830092 -0.6158078020000001 0.180851801 1.319966987 1.3345998 -0.415155873 -0.54119724 0.230179989 -0.556218371 -0.295777051 -1.671296057 0.228610619 0.441538537 0.52745102 0.067966761 0.640126105 -0.341868712 0.7723792629999999 0.174193645 0.65524574 1.016741179 -1.265914147 0.945765191 0.29360510100000003 1.617554564 -0.702822728 -0.778504805 -0.933355929 -0.33003678 0.297581119 -0.793321974 0.077836218 1.717547903 0.772012265 -0.565258361 -0.284892574 -0.538378198 -0.890614247 0.03433738 0.8354255079999999 1.185456115 1.016741179 1.483693816 1.897777606 1
G110 0.135059262 0.8486944590000001 -0.89144411 -0.473799298 -1.7321401440000002 -1.135550753 0.519443097 -0.8369899279999999 0.469637862 0.577689769 0.853564605 -1.44921155 0.3662182920000001 0.014013427 2.810433912 0.524269322 -1.319949702 0.78487094 -0.359861328 0.7786265109999999 1.992044303 1.008489 0.370393025 0.999287456 0.419989708 1.315463173 -1.071418356 -0.276575459 -0.846178465 0.975156064 0.157741485 1.001796876 -0.110947174 0.0 -1.789830672 0.353882426 1.046381748 0.015283956 0.484215592 0.544829621 -1.805107169 0.003917676 -1.356682916 -0.025007011000000003 0.758081247 0.451365386 -0.476450375 1.296767476 -0.710263405 1.126284192 2.003012599 0.498818055 0.006508122 0.913367792 -2.2140412080000003 -0.623017939 0.135059262 0.8486944590000001 -1.282866379 -0.89144411 -0.473799298 -1.135550753 -0.8369899279999999 0.469637862 0.577689769 0.853564605 -1.44921155 0.3662182920000001 0.014013427 -1.319949702 0.78487094 -0.359861328 0.7786265109999999 1.992044303 1.008489 0.370393025 0.999287456 -0.360901653 0.419989708 -0.571761619 -0.846178465 1.001796876 -1.789830672 0.600706589 -0.491515083 -2.496821662 0.015283956 0.0 -1.4870979 -1.023542072 0.028795872 0.003917676 -0.055074898 2.700335271 0.051545539 -1.839343251 0.057825561 -0.7554884629999999 -0.570948577 0.451447239 1.366023512 -0.333561712 0.0 0.987140365 2.003012599 1
G111 0.083815748 0.3989882 -0.8705207909999999 -0.736786937 -1.125439658 0.168820568 -0.277241087 -0.428277156 0.3805054570000001 -2.263833902 -0.47257337 -1.055464742 0.534520576 -0.022232655 1.275123183 -0.234972177 -0.898444273 0.22396782 -0.710527542 0.386869618 0.402720697 1.175715469 0.370225745 1.208630491 -0.622077949 -0.85929821 -0.319893145 0.061510833 -1.360723074 1.291363801 0.430453125 2.612984019 0.437394382 -1.813990689 0.7370744779999999 0.375684851 0.85191595 0.90743593 -0.238287074 -0.028339109 0.899574317 -0.450620865 0.570788458 0.5588930529999999 0.960090421 0.24838019100000006 -0.336416968 -0.102804616 0.210444128 -0.454041014 1.268135194 1.660796823 0.080282731 0.7704436570000001 -3.552825195 -0.380693505 0.083815748 0.3989882 -0.882344683 -0.8705207909999999 -0.736786937 0.168820568 -0.428277156 0.3805054570000001 -2.263833902 -0.47257337 -1.055464742 0.534520576 -0.022232655 -0.898444273 0.22396782 -0.710527542 0.386869618 0.402720697 1.175715469 0.370225745 1.208630491 0.180757493 -0.622077949 -0.605265515 -1.360723074 2.612984019 0.7370744779999999 0.6202393829999999 -0.4962741020000001 -0.7031390390000001 0.90743593 -1.713750361 -1.799730019 -1.645872425 1.058084788 -0.450620865 -0.623747633 0.816824201 0.425129422 0.723508093 -0.061457706 -0.100166842 0.21611305 1.579034115 -1.999705034 -0.209166599 2.34373477 -0.557978281 1.268135194 1
G112 0.410816323 -1.79982975 -0.601350994 -0.26070498 1.286886963 -0.78279634 -0.91563975 1.302191821 -0.431290237 0.97352029 -0.399912166 2.124459806 0.566417619 -1.26682125 0.78241269 1.228388747 -0.447836088 0.543489387 0.798848969 -0.119169447 1.024174948 0.293246574 -0.059782725 1.670054819 -0.344999846 -1.924696787 -0.7425305740000001 0.778448522 0.235517814 -0.157948734 -0.290866198 0.0 -0.602537575 -0.397350424 0.80635053 0.371739201 0.207947531 0.094158924 2.088294516 -0.399248669 0.25713869 -0.596044098 -1.126435138 -0.985357038 0.468470414 0.706836259 -0.292513809 -0.001390865 1.492098175 0.928853119 -0.899615908 0.602344205 -0.32433392 -0.286945587 1.373516313 0.806519801 0.410816323 -1.79982975 0.404495894 -0.601350994 -0.26070498 -0.78279634 1.302191821 -0.431290237 0.97352029 -0.399912166 2.124459806 0.566417619 -1.26682125 -0.447836088 0.543489387 0.798848969 -0.119169447 1.024174948 0.293246574 -0.059782725 1.670054819 0.920786621 -0.344999846 -0.35265266799999995 0.235517814 0.0 0.80635053 0.650203133 0.16999874399999998 -0.440460463 0.094158924 -1.39818853 -0.840714097 0.241142381 -2.357996466 -0.596044098 0.673775036 1.734577919 0.576026158 0.421312903 0.123585304 -0.42074124 -1.34992652 1.623590711 1.76797244 1.109694566 0.0 0.60305342 -0.899615908 0
