Probes CAPRIN2 PCNT TSG101 VAV1 ZBTB5 YWHAE TRPM4 PIAS4 CAPRIN2 HERC6 LPXN VAV1 ZMYND15 FOXD2-AS1 NIPBL Class
G101 0.963690555 -0.476117418 0.250932289 0.646139521 -1.118363569 -0.475636405 -1.803759264 -0.551588098 0.963690555 4.32996612 -0.576076949 0.646139521 0.08583360599999999 -1.364847928 -0.352514439 1
G102 0.055510203 -0.301984285 0.542341443 0.31588857800000003 -0.916657884 0.190301966 0.520947281 -0.312446022 0.055510203 3.930595308 -0.508319014 0.31588857800000003 0.8397069070000001 -0.813127539 0.254857281 1
G103 -0.911532165 -1.164725644 0.728283693 -0.101497438 -0.439052116 0.485186406 0.5936745929999999 -0.13069003199999998 -0.911532165 3.590157232 -0.835387013 -0.101497438 2.293545698 -0.781172335 0.24774454 1
G104 -0.045292112 -1.7335563930000002 0.7037494129999999 0.391753439 -0.7249635390000001 0.833404815 0.241164805 -0.139993127 -0.045292112 4.369656877 -0.987988588 0.391753439 0.3728778720000001 -1.054197974 0.289230644 0
G105 -0.116146963 -0.135554603 0.312137969 -0.426602975 -1.006084373 0.247176379 -2.063967282 0.681583251 -0.116146963 3.33342242 -0.332608904 -0.426602975 1.09978164 0.364596119 -0.299212477 1
G108 0.8316604870000001 -0.491334446 0.63080686 0.053962351 -0.642044484 0.12915584300000002 0.775951919 0.115674965 0.8316604870000001 4.063432473 -0.136013558 0.053962351 0.557800115 -1.13812765 -0.116786048 1
G109 0.13790153800000002 -0.802419415 0.588332166 -0.08119773599999999 -0.4701717070000001 0.206307175 -0.430754931 -0.492578676 0.13790153800000002 4.664259983 -0.980468507 -0.08119773599999999 1.035835581 -0.843382504 0.755663187 1
G110 0.654124755 -0.209130892 1.121940583 0.802245276 -1.019624855 0.462811334 0.7436801559999999 0.284553783 0.654124755 4.4170189230000005 -0.912238318 0.802245276 1.277192176 -0.774600473 0.598224027 1
G111 -0.421615195 -0.546444384 0.626609145 -0.054356254000000014 -1.120222757 0.8877740940000001 1.037951212 -0.049717319 -0.421615195 4.285205452 -0.950036814 -0.054356254000000014 0.615703545 -0.002731082 -0.099885773 1
G112 0.278452457 0.424307462 0.08455421099999999 -0.099136126 -1.116573598 0.80232761 -1.248803764 0.085544047 0.278452457 4.472424964 -0.49491577 -0.099136126 0.475753232 -0.955444415 0.8799550740000001 0
G114 0.121340605 -0.80713924 0.384394797 0.584897413 0.177595648 1.347715864 -0.008564313 0.274653619 0.121340605 3.702440566 -0.5583507679999999 0.584897413 0.479489795 -0.309864847 0.904142716 1
G117 0.6836334620000001 -0.7020028620000001 0.33208978100000003 0.247123567 -1.745884692 0.170264942 -0.002576965 0.006439856 0.6836334620000001 4.605317004 -0.209446257 0.247123567 1.03784075 -0.63724896 -0.14289543 1
G119 0.277474756 -0.294211618 0.789561455 0.670108088 -0.217659602 -0.150343587 -0.116482537 -0.859461554 0.277474756 4.08957004 0.037819272 0.670108088 0.950011508 -1.39809607 0.014362676 1
G120 -0.7628136999999999 -0.416262625 1.077276857 -0.007068478 -0.985037113 0.508611701 0.738904267 -0.120785591 -0.7628136999999999 3.539468387 -0.778049112 -0.007068478 2.509586538 0.13968775 0.646325441 1
G126 0.320517752 -1.160613385 1.101482035 0.159881226 -0.6971722490000001 0.8581355409999999 0.28288932 -0.043578768 0.320517752 4.336303625 -0.197508844 0.159881226 1.226823638 -1.109841953 0.837413526 1
