	SH3BGRL3	TFG	LRRC61	CDKN1C	FERMT3	PDE6D	ZNF503	LZIC	SLC3A2	SGTB	TMEM248	C2CD2L	RAD54L2	PTPN6	HPS4	DHX30	LINC00671	KIAA0226	SF3A1	C4orf33	TCF7L2	CXCR2P1	CTDP1	UNC13D	DERL3	FEM1B	USE1	EHBP1L1	IL17RA	LYSMD2	LSM14A	SLC9A3R2	ZHX1	GRID2IP	HLCS	GPR108	MAGED4B	SLC35B2	CEACAM22P	FUT10	FAM78A	RUNDC3A	LYSMD1	CTSD	TTC3	SLC35E1	ACSF3	KCTD6	TRIM36	ATG4D	LILRB4	NAPSA	PRSS53	AGFG1	ZNF385D	USP31	PHACTR4	NICN1	ZNF71	SQSTM1	LOC283070	PRSS23	HABP4	FAM64A	CCRL2	ZNF841	DPF2	VSIG10L	LOC100506730	YIPF3	ZSWIM3	ING1	MT1G	DGAT1	Class
G101	-0.55012182	2.290934639	0.644808019	0.531338934	-0.225222565	0.068581119	-0.080506647	0.640846552	-0.25323215	-0.280578716	0.29665516	0.985765342	0.750724683	-0.384838396	0.639129783	-0.375665552	0.193078942	0.30645109	-0.255811061	-0.194517844	-1.123455461	-0.04524281	0.686326889	0.958439261	0.113003183	-0.512201367	-0.441700804	-0.487056059	0.328921168	0.75536966	-0.381419306	0.182215325	0.485781918	0.455876983	0.229228566	-0.476646195	-0.808030119	0.681188102	-0.439248917	0.275480521	0.164050767	0.263510964	-0.483124505	0.195494998	0.276401523	-0.279135739	-0.773671926	-1.245069067	-0.235621239	0.38886396	0.640923427	-0.541910828	1.737663978	1.048023641	0.095395476	-0.949329029	-0.296323105	0.399685737	-0.420124156	-0.436942248	-0.18858131	1.657445277	-1.009485263	0.818899417	-0.962713946	-0.159352268	-0.321939945	-0.375665552	0.422866832	-0.709230731	0.840937934	2.202323465	1.862466133	2.239359647	NO
G102	-0.22463914	2.7924052	0.999889931	-0.319436396	-0.457632005	0.891523423	0.73211882	0.744129772	-0.366336183	-0.195965466	0.449518365	0.06153806	0.587042392	-0.445595247	0.256196218	-0.647239692	-0.101793726	0.001228938	-0.010839501	-0.609646489	-0.489583287	-0.034444857	0.430752945	1.208639569	0.072415079	-0.399153166	-0.410762695	-0.709957989	-0.36925843	0.044137029	-0.295798559	-0.004966756	0.275914076	0.52060319	-0.312901879	-0.384691432	0.375968484	0.980423891	0.0	0.070634506	-0.149169077	0.642732011	0.24158722	-0.341601692	0.248051254	-0.108831252	-0.697591532	-0.668979457	0.344717308	0.988184796	-0.096802794	0.315155026	-0.281420001	0.108411384	1.058558843	-0.390012592	-0.449562995	0.198512348	0.758730317	-0.15479432	-0.478202758	1.551420414	-0.414805276	1.430015713	0.025300717	-0.047841393	0.008293433	1.12923475	0.137103337	-0.327494036	1.057475839	1.789011949	0.380880075	1.818350609	NO
G103	0.25000643	3.197429781	1.466499088	0.846621657	0.202547492	-0.42138198	0.562967147	0.349593279	0.022916325	-0.285408103	-0.432855853	0.7719461	-0.205713654	0.040371056	0.074500056	-0.238632219	0.393253941	0.148019993	0.808557301	-0.392315894	0.00600971	0.440949176	1.113846872	1.71620473	0.14049501	-0.148352593	0.059735677	0.393286729	0.66372699	0.368980803	-0.132071814	0.628690063	0.446353838	1.100560674	0.110169839	0.040081158	-0.259033783	0.129989161	0.158715596	0.213726408	-0.142184011	0.879898758	-0.538263808	0.636852476	-0.445245979	0.400426064	0.596593189	-0.291007783	1.221111661	0.917868406	-0.431731057	0.945879737	1.303045397	0.352768308	1.182790185	0.106833425	0.030473023	0.571208117	-0.300867173	0.296187067	0.213200319	-0.064608569	-0.323411447	0.924802195	-0.116984476	-0.262698818	0.171063196	0.286831225	0.295899886	0.245052362	0.290702501	0.415607623	-0.523776208	1.651917229	NO
G104	0.12882428	0.484451098	-0.523884951	-0.389486047	0.274953238	-0.488114252	0.36155567	-0.704805699	0.193635454	0.125277085	-0.37742057	-0.493834267	0.148779694	0.045685992	-0.193424681	0.766945629	0.571729549	0.096213443	0.318496522	-0.016565947	-0.059741791	0.351906129	-0.109743796	-0.371913083	0.357985688	0.062678881	0.332982914	0.044721422	0.552008291	-1.829582627	-0.009642755	-0.052476781	0.262760032	-0.25430555	-0.801752805	0.190737798	-0.044432189	0.354865266	0.918589941	0.55794487	0.481722595	1.152925257	1.014324352	0.60155551	-0.172203905	0.311375445	0.304188031	-0.00178873	-0.526791057	0.267126895	-0.49007033	1.717339839	0.216658103	-0.840067821	0.617370487	0.530338021	0.723440788	0.480002571	-0.340779992	0.08380439	0.549064488	-0.202063485	-0.099671026	0.054393424	-0.121611996	-0.654881601	-0.100401556	0.932070329	-0.785447225	-0.191045489	-0.058704708	0.52608247	0.168464484	-0.02147029	AE
G108	-0.43616799	1.9831682	1.379427949	-0.058190239	-0.027855371	-0.322244947	0.931485058	-0.04621689	0.152511628	-0.004047062	-0.35428895	0.55077412	0.039364513	-0.182907179	0.359500962	1.150212271	-0.517816128	-0.124626112	0.094104639	-0.902201167	-0.873286119	-0.095347542	0.352455918	1.057609164	0.248792938	-0.273312927	-0.04307553	-0.14500938	-0.469168698	-1.276569992	0.023236047	0.598785956	0.229332577	1.061846734	0.132813748	-0.278162708	1.370228967	0.873004393	-0.020093164	0.145457337	0.001068094	0.612137087	-0.537910261	0.040962431	-0.284237072	0.076986287	0.30373471	-0.170463172	-0.304902345	1.15337994	-0.542026738	-0.392050002	1.753331149	0.265014304	-0.350629673	-0.086913686	-0.128693275	0.294796381	0.776794042	-0.363151275	-0.116884124	1.224964887	-0.362061572	1.361951019	-0.178577904	-0.208359495	-0.0567151	1.494585169	-0.936735415	-0.590316164	0.673312241	0.595682105	-0.064752765	0.514638798	NO
G109	-0.448144	3.333209292	1.285839769	0.406983476	-0.105792168	-0.39803484	0.213458978	0.257025604	-0.444208739	-0.911197742	-0.088531239	0.332318897	0.26134035	-0.475536937	0.613181647	-0.221021278	0.481633491	-0.113465212	0.372272583	-0.440820912	-0.345721866	0.880954083	0.299646593	0.685515659	-0.383426217	-0.222194493	-0.231815412	0.192833634	0.049572179	-0.569371675	-0.256127166	-0.554633044	0.550921359	1.640093554	0.511927418	-0.521456802	0.591892746	0.288993007	0.342845995	0.126735643	-0.233655396	0.268312713	-0.183818871	-0.071662789	0.233456742	0.103041573	0.084498577	0.243614944	-0.594016368	0.892816328	-0.661366889	0.476196814	0.783399925	1.236994781	-0.243607428	0.185776423	0.100971729	0.276959316	0.897217223	0.019349807	0.051432904	1.018138522	0.210374761	2.340622063	-0.586343409	0.154186166	-0.480355189	-0.190940065	0.231592671	-0.107561411	-0.413484599	-1.288081454	1.795458518	1.558110959	NO
G110	-0.29634756	2.991894704	1.563536882	0.378248319	0.116422496	-0.348750436	1.070085426	-0.179789159	-0.47443393	0.056068931	-0.507895034	0.530484374	0.401869937	-0.350201798	0.124272532	-0.191104976	-0.329010237	-0.088138476	0.022399755	0.50375175	0.339790971	0.010887272	0.582524456	1.25006515	-1.166069967	-0.194739418	-0.147866331	0.137819685	0.563404948	-0.620189618	0.044408122	-0.156275414	-0.01705833	1.295616886	-0.63210776	-0.393477667	0.192494672	0.027081052	0.0	-0.096957594	-0.359170274	0.67564737	-0.452320968	0.434883421	-0.323557543	-0.044919131	-0.161947272	-0.513517072	0.636579059	-0.394925204	0.029717461	0.435226248	-0.287367229	1.49596363	-0.491952091	0.551231003	-0.000336306	0.327815685	0.153342014	-0.258005968	0.045802658	0.143549737	-0.718379931	0.366104379	0.580142738	-0.036179614	-0.025044955	-0.287367229	0.577677343	-0.238578938	0.502070174	-1.131228553	-0.017072373	1.278032218	NO
G111	-0.361586	2.233577869	1.020832834	-1.438550701	-0.537724467	0.198379488	-0.29339783	0.043836661	-0.144532694	-0.43823557	0.03093677	0.16033886	-0.033535346	-0.042963494	-0.322586657	-0.316625654	0.121281842	-0.155567019	-0.154552275	-0.198714906	-0.275176618	-0.805175452	-0.374962217	0.480452764	-0.545780906	-0.28675398	0.401335192	0.057957398	-0.819097545	-0.342525032	-0.142968607	-0.550109056	0.031448203	-0.118929177	0.943631816	-0.080082447	0.372378706	0.390500384	0.0	-0.288400455	-0.35800818	0.404389419	0.400735025	-0.417574655	0.270567712	0.137660817	0.027092689	-0.909658502	-0.646346225	1.341884142	-0.707423635	-0.561423326	0.372378706	0.05306145	0.167887916	0.068185904	-0.483530904	0.113239618	0.43121542	-0.716067978	-0.897104833	0.248366684	0.104055699	2.01055892	0.114217442	-0.029296295	-0.073461347	-1.000786933	-0.620981018	-0.341795122	0.146728485	0.210041295	1.071786381	-0.347212049	NO
G112	-0.15254596	2.26284966	4.405475251	-0.927597821	-0.643884628	0.829336668	0.580068347	-0.534633704	-0.656179713	0.133536998	-0.106643555	-0.378144164	-0.116010515	-0.026370651	-0.294666957	0.44753257	0.367086476	-0.360479201	0.215220942	0.372481718	0.111721694	-0.563090652	-0.158805499	-0.698434297	2.121543206	-0.082669213	0.505064927	0.326297955	-0.071425676	1.269366239	-0.050506981	-0.672917875	0.685921986	0.64992878	-0.92890821	-0.664991535	-1.046388354	-0.48896626	0.0	0.112658087	-0.551815378	-0.368550808	-0.157498279	-0.362140444	0.249354853	-0.68725152	0.500164725	0.326665226	-0.757478803	-0.604027063	0.123673901	1.988964715	1.044596324	0.894631288	1.581814868	1.522587342	0.201278122	0.141991479	-0.068588652	-0.57389329	0.167793139	-0.983679349	1.113762472	0.586172111	-0.108966087	0.379727883	-0.211206005	-0.410133392	-2.026192264	0.874806144	-0.33461051	-1.557848147	-1.213283894	-0.088927596	AE
G114	-0.58315794	2.50996192	-0.509171319	0.556975959	-0.428636353	0.001609566	0.108342653	0.065410175	-0.137046226	-0.15420697	0.228843408	0.90939604	0.678280979	-0.23794111	0.228689403	-1.530270818	0.147329324	0.152926181	0.097426014	-0.638901172	-0.711772358	-0.319377031	0.280789237	0.914054223	-0.059014905	-0.067487116	-0.259506528	-0.634282587	-0.748692659	0.095670822	-0.178260751	0.739577471	0.361620055	-0.010418338	0.21674132	-0.346867929	1.631310624	0.793372887	0.0	0.267746364	0.028074893	-0.815228014	-0.714030926	-0.336474738	0.229141263	0.345581583	-0.309892096	-0.586135218	0.108342653	1.227341876	-0.15082324	-0.804322409	0.952417219	0.711973717	-0.357298627	-0.529104505	0.556868972	0.598887739	-0.10496905	-0.411685878	-0.395760798	1.388421007	-0.453215992	2.715261905	-0.978844332	0.4153946	0.043288538	0.167740201	-0.073869765	-0.688917321	0.882257265	0.531006214	2.008243974	1.193263103	NO
