	PDCD1	RAPGEF3	ITGB2-AS1	OR2AE1	ZNF204P	SERP1	THBS3	DDX51	C3orf33	CYB5D1	KXD1	TPT1-AS1	RAD1	POMGNT1	ZNF37BP	CLCN5	SUCLG1	VCL	TTYH2	MTPAP	EML2	HKDC1	ILDR1	PPIP5K1	TBC1D19	LOC100129034	GSK3A	HPS6	CEBPE	NVL	MAT2B	FAM218A	PDZD3	RHOBTB2	ACBD5	MB21D2	ZNF622	ZNF646	VAV3	XYLB	PRPF8	FAM120B	ACAA2	TRAF3	DNAL4	CAPZB	ASPHD2	ARMC2	TCN2	AGBL5	MID1IP1	USF1	SOCS3	DDX42	PIGU	MRPS14	SPPL3	ALKBH5	AAMP	UPF1	CYBB	DUSP6	MBD5	KCNG1	PIGW	SDHA	TNFSF15	NLRC3	SEPT2	MTMR9LP	EPB41L4A	GINS1	REXO2	TSTD2	SYNGR1	TPTEP1	Class
G101	-0.319835995	1.128889108	0.503589376	0.864866843	-0.711883303	1.138106786	0.34452383	0.071502193	-1.19003271	1.108965647	0.592744106	-0.297970659	-0.718300128	-0.398456566	0.602907758	-0.003878171	0.197844617	-0.455032814	-0.858616028	0.644440569	-0.239300436	0.568736711	1.203644905	-0.319875151	0.218965122	-0.29431882	0.337736466	-0.987785588	-2.135275999	0.423921612	0.338553154	1.593657022	1.508539754	-0.131333645	0.463321739	-0.279051644	1.414670053	-0.819635709	0.747846572	0.230266679	-0.541442741	-0.194478411	0.09173234	0.738081935	-0.478790876	-0.228630618	0.018583493	0.145952778	0.534189021	-0.744932178	0.290990585	-0.045287686	2.202158037	1.18502608	-0.461024503	-0.275634766	-0.573728467	-0.542546453	0.077738427	0.582063359	1.003180791	0.242602013	-0.67290888	0.015525562	-0.235621239	0.574692669	1.416856453	-0.820378235	-0.104217185	-0.636177837	-0.056711099	0.833043814	0.397781864	0.565655112	-0.080506647	1.128889108	w
G102	-0.351717653	-0.296000947	0.174176043	0.518534563	-1.594905328	2.548256616	0.977861509	-0.02581713	0.558005117	0.694341797	0.006928022	-0.233116109	-0.548666789	-0.717544527	0.501094349	-0.503638917	0.208079897	-0.077356042	-0.581651044	0.537980841	-0.308952592	-0.027018295	-1.252524626	-0.269719498	0.452697733	-0.584188855	-0.320925888	-0.388196184	-0.634318377	0.274703004	0.151721484	0.335009092	1.014367972	-0.500047882	-0.123849063	0.33901243	0.760615005	-0.624141069	0.567646594	1.461891532	-0.127256275	-0.405263743	0.03236422	0.295777176	-0.342376523	0.211059257	-0.082401261	0.392971369	0.148402167	-0.262915247	0.512805657	-0.091276867	1.322556192	0.426202758	-0.795880626	0.001995704	-0.60189323	-0.324624497	-0.042105467	-0.593862395	0.54794453	0.352888572	-0.182981756	0.36646038	0.335009092	0.91548906	-0.775332053	-0.552338264	0.310884593	-0.318332871	1.026428658	0.893161515	0.801559967	0.477208067	-0.140900365	1.014367972	w
G103	-0.098021382	1.653651416	0.575958222	0.385721195	-0.529113989	0.113654929	0.236852575	-0.113855503	-0.351160217	0.628690063	0.160803049	-0.257304509	-0.765440109	-0.012855428	0.206241339	-1.063262076	-0.112836981	0.227125291	0.633538282	0.184704514	0.315600964	0.78590309	0.043595185	-0.052009841	0.989553684	0.46408341	1.784996001	0.211323698	-0.714750035	0.225814769	-0.394252808	0.664146421	0.562967147	0.319003455	-0.279810032	0.739581744	1.331812894	0.935768018	0.206797888	0.093067695	-0.062506669	0.489262909	-0.729003704	0.426671064	0.122239124	-0.549005106	0.01679168	0.316448558	1.735620513	0.078110204	0.60540538	0.340394053	2.105736422	-0.207131662	0.003952566	-0.076292948	0.246844351	0.610725342	0.101158485	0.89437323	-0.180660156	0.309150113	-0.18120263	1.036854461	0.644041085	0.141283668	0.661261086	-0.237060835	-0.473193058	-1.004482087	0.87369822	-0.08556865	-0.426692923	0.156737085	0.288201321	0.378324278	w
G104	0.262317273	0.074097559	-0.506431677	-1.106514269	0.039130384	-0.148387038	-1.040608652	-0.121089553	-1.950855352	-1.550122441	0.06448338	0.470238073	-0.29196485	0.556652464	0.510680894	0.048952922	-0.820520954	1.121022073	-0.410182913	-0.412918309	0.322789276	0.255107544	0.928587429	0.100868182	-0.17203711	0.111256836	0.091346916	-0.068558032	-0.829246272	-0.096369454	-0.494368156	0.925181397	0.714842177	0.273782504	0.236603535	-1.407764951	-0.333959346	0.34444667	-0.028664321	-0.96322895	0.222817631	0.291019025	-0.461539666	0.00943327	0.437027596	-0.658218346	-0.840808607	-0.535570404	-0.192455414	0.754057826	0.933841425	-0.513094231	-0.266022498	-0.050765509	-0.05755711	0.032957317	0.123395209	0.090166162	0.342568837	0.778773167	0.022359478	-0.647896907	0.796855492	0.265066496	-0.4964171	-0.417799992	0.36840948	-0.094263233	-0.36069273	-1.920526958	-0.430011236	-0.269553162	0.266422758	-0.155534075	-0.550180461	-0.550180461	P
G108	0.772419831	-0.064752765	-0.348286925	-0.575933489	0.050360223	0.064383547	-0.883588623	0.291957912	-0.206106479	-0.456210403	-0.007021769	-0.308124147	-0.216369309	0.443590377	0.276088842	0.243383218	-0.414878954	-0.443219151	-0.079831509	-0.332905877	0.767003302	-0.047196471	1.507880876	0.090860576	0.102368616	-0.022981538	0.675593403	0.032260695	0.723329036	0.012982124	-0.757713641	-1.397420912	0.097235747	0.908848045	-0.233934293	-0.759886171	-0.106171962	0.417299729	0.289991845	-0.871231299	0.091458121	-0.121702579	-0.058268254	-0.405379627	-0.094011801	-0.581515681	-0.747061745	-0.445916911	-0.326026477	1.342984661	-0.064752765	-0.158615226	-0.12273239	-0.358277608	0.432619635	0.63436109	0.057279201	0.357005776	0.410027317	0.192335833	-0.849986336	-0.587790344	0.183852464	0.629135372	-0.67733588	0.411111777	-1.354446829	0.092114199	-0.378229817	0.0	-0.302265001	0.070464588	-0.086900828	0.666047428	0.67356635	-0.569300222	P
G110	-0.126816926	-0.504621481	-0.690601298	-0.206840469	0.104627368	0.058552676	0.29757077	0.142969	-1.381471571	0.068615372	0.097692315	-0.167738646	-0.306981291	0.245564089	0.173331601	0.908503987	-0.455081861	0.401927456	-0.098597104	0.133141787	0.360625409	-0.527032676	0.621975952	-0.043957902	-0.715283049	0.305704341	0.469043603	-0.273511821	-0.089632361	0.062240108	0.370814291	-0.88108798	1.246859927	0.448607945	0.435866942	-0.156275414	0.248252825	-0.090290854	-0.158953362	-0.118473685	-0.183676296	0.11503464	-0.218959882	0.111091477	-0.388445031	-0.53494277	0.397576464	0.645438666	1.01086632	0.482213788	-1.387642286	0.296215853	0.899706784	0.175835244	0.418719477	0.363002251	-0.013165814	0.163855783	0.450273277	0.56006636	0.570183339	0.129542826	0.360864561	0.143549737	-1.11297539	-0.16005729	-0.414486967	-0.556548491	-0.442716227	-1.704140979	0.075113542	-0.206840469	-0.597817276	-0.03629995	-0.302197504	-1.00989958	P
G111	0.295877146	0.372378706	-0.752608365	-0.447536298	0.130993918	-0.383849514	-0.658135866	0.040702818	-0.735785551	-1.104376472	-0.558632619	0.35273314	0.015325421	0.347953741	-0.333662678	-0.559313124	-1.264139857	-0.629552722	0.179623044	-0.678466034	0.189775626	0.14229005	0.544642647	0.497974884	-0.642658864	0.013649323	0.711643939	0.369053201	1.0387301	-0.988518958	-0.745901676	0.210041295	-0.78737027	-0.374760246	-0.651251071	-1.082088514	-0.578200143	0.496684415	-0.429758955	-0.870375391	0.77174442	-0.035491609	-0.557599386	-0.58724624	0.658484156	-0.272967845	0.580487986	-1.089190256	0.410614982	-0.500867453	1.540812742	0.512018888	-1.301845379	-0.646342187	0.034800103	0.120662629	-0.100440206	0.313802275	0.23010677	-0.061210358	-0.255246637	-0.459014343	0.133681515	-1.270727161	1.071786381	0.283450602	0.634880942	0.006231599	-0.098874026	0.474313628	-0.484807008	-0.411435069	-0.590475603	-0.691353929	1.074244549	-0.61053794	P
G112	-0.105440688	2.168670821	1.054934503	0.740062818	-0.020424894	0.57200709	0.318632686	-0.554205961	2.794736254	0.81971678	0.137801694	-0.349891373	-0.514002753	-0.603175142	0.358319074	-0.945723429	0.570200381	-0.908163616	-0.432152784	-0.354246579	-0.423285086	-0.226593158	1.285190925	-0.753887275	-0.652681763	-0.12615002	0.256526985	-0.203923414	-1.666457944	0.282888826	-0.161510203	0.99265253	1.193765025	-0.092139823	1.527520056	0.560162229	1.031909157	0.130366826	-0.191284434	-0.194935014	-0.61592725	0.121937799	0.795106997	0.547262642	-0.357284448	0.272614619	0.505111489	1.11690205	-0.845628055	-0.428034056	1.575157535	0.250116818	0.882537334	-0.158463596	-0.65792684	0.311943309	-0.542851402	0.007810441	0.208735478	-0.911148552	0.745076737	0.138277228	-0.284640698	0.709583475	0.709583475	0.163239123	0.580068347	-0.447471722	0.701048974	0.99265253	1.278602714	1.831960257	0.702756689	0.589359959	-1.213283894	0.44753257	w
G119	0.716187971	0.038948764	0.046873698	0.642965865	0.436635891	0.325613287	-1.074250889	0.380039526	-0.166758427	-0.186250714	-0.035764961	-0.184848121	0.372625782	0.437187416	0.734021868	-1.470875435	-0.019489164	-0.706738901	0.368364326	-0.597514635	0.448732952	-0.551850233	-0.130384014	0.694383413	0.00300578	0.201132427	0.719037359	0.184389154	-0.477587015	0.081447891	-0.469106667	-1.338095451	-0.464604634	0.877504328	-0.562673791	-0.777367188	-0.651738277	0.360093943	-0.120602826	0.272812516	-1.110912222	-0.064027917	0.137342445	-0.477811806	0.088120444	-0.312856878	0.181101829	0.093223445	-0.204379049	-0.551744193	-0.452820596	-0.006408178	-0.332785779	-1.20505522	-0.043544404	0.148186335	-0.082602761	0.550215939	-0.001724889	-0.317287009	-0.623233047	-0.415857723	0.230988796	0.441389673	0.078496968	-0.138031039	0.132989284	0.378842495	-0.182165247	-1.338095451	0.492255067	0.476317417	-0.07587973	0.00702181	0.89177842	-0.634670775	P
G120	-1.529894157	1.478586962	-0.562822429	-0.03346392	-0.568855676	0.461402576	0.514976334	-0.416760318	-0.053103021	0.094649741	-0.383042811	-0.20681255	-0.071318014	-0.850178366	0.280004471	-0.038092415	0.132835087	0.022560731	-0.594375851	0.352187314	-0.425210611	0.687921748	0.160982944	0.368431895	-0.111912339	-0.053600274	-0.349937323	-0.483243774	-1.605641916	-0.622535773	-0.12384167	0.111440496	0.681953453	-0.614281159	-0.365208138	0.476075428	0.811346592	-0.626548361	0.351467195	0.96197305	0.197892948	-0.34004124	0.047038043	-0.15293056	-0.127856099	0.052751812	-0.235335001	0.327262423	0.17051322	-0.459616428	-0.213819256	-0.070948685	0.514194191	-0.0111517	-0.217618629	0.040686938	-0.313554057	-0.110389579	-0.343275855	0.047752924	0.693604052	-0.133335344	-0.495024378	0.514521022	-0.594434437	0.166102996	-0.185411994	-0.699490589	0.438883454	1.343045909	1.231723389	1.04969495	-0.43325089	0.378804548	-0.513979512	-0.142993143	w
