	ITGB2-AS1	DDX51	C3orf33	CYB5D1	KXD1	HKDC1	ILDR1	EML2	CAPZB	DUSP6	AGBL5	ACAA2	Class
G101	0.503589376	0.071502193	-1.19003271	1.108965647	0.592744106	0.568736711	1.203644905	-0.239300436	-0.228630618	0.242602013	-0.744932178	0.09173234	w
G102	0.174176043	-0.02581713	0.558005117	0.694341797	0.006928022	-0.027018295	-1.252524626	-0.308952592	0.211059257	0.352888572	-0.262915247	0.03236422	w
G103	0.575958222	-0.113855503	-0.351160217	0.628690063	0.160803049	0.78590309	0.043595185	0.315600964	-0.549005106	0.309150113	0.078110204	-0.729003704	w
G104	-0.506431677	-0.121089553	-1.950855352	-1.550122441	0.06448338	0.255107544	0.928587429	0.322789276	-0.658218346	-0.647896907	0.754057826	-0.461539666	P
G108	-0.348286925	0.291957912	-0.206106479	-0.456210403	-0.007021769	-0.047196471	1.507880876	0.767003302	-0.581515681	-0.587790344	1.342984661	-0.058268254	P
G110	-0.690601298	0.142969	-1.381471571	0.068615372	0.097692315	-0.527032676	0.621975952	0.360625409	-0.53494277	0.129542826	0.482213788	-0.218959882	P
G111	-0.752608365	0.040702818	-0.735785551	-1.104376472	-0.558632619	0.14229005	0.544642647	0.189775626	-0.272967845	-0.459014343	-0.500867453	-0.557599386	P
G112	1.054934503	-0.554205961	2.794736254	0.81971678	0.137801694	-0.226593158	1.285190925	-0.423285086	0.272614619	0.138277228	-0.428034056	0.795106997	w
G119	0.046873698	0.380039526	-0.166758427	-0.186250714	-0.035764961	-0.551850233	-0.130384014	0.448732952	-0.312856878	-0.415857723	-0.551744193	0.137342445	P
G120	-0.562822429	-0.416760318	-0.053103021	0.094649741	-0.383042811	0.687921748	0.160982944	-0.425210611	0.052751812	-0.133335344	-0.459616428	0.047038043	w
G126	-0.324023271	-0.250527275	-0.091506849	0.495444615	-0.251633464	0.158761765	1.1949413	0.498569705	-0.141862144	0.21909537	0.02155716	-0.468496831	P
G128	-0.611484424	0.295049337	-0.169002923	-0.387355108	-0.145118958	-0.193685522	0.0	-0.123373555	-0.464924753	-0.231764897	0.360352831	-0.129230499	P
G130	0.557752661	-0.218604466	-0.169760688	0.081225228	-0.701927879	0.888770476	-0.727915674	0.249082466	-0.143835249	-0.087985836	-0.844310677	-0.229819529	w
G302	0.253762751	-0.14037342	0.148600931	0.04186513	-0.023676561	0.662587156	-0.29082366	0.147844057	-0.39641399	-0.117527134	0.004987318	0.125671561	w
G304	-0.08235075	0.137362743	1.067461347	-0.785280316	0.474431366	0.614897336	-0.503167195	0.236013796	-0.153811268	-0.027978794	-0.188316062	-0.05705112	w
G305	0.613790815	-0.226323336	0.967527063	0.89654802	0.521231498	0.60841635	0.838380829	-0.623102734	0.380345458	0.389648346	0.220136057	0.208469287	w
G306	-0.629629697	-0.043589957	-0.228127626	-0.013425521	0.568138337	-0.011668427	-0.825656654	-0.400407978	-0.365517351	0.049393489	0.013579777	0.091073951	w
G311	-0.285228665	0.635388145	-0.871848051	0.286978911	0.109779495	-0.594971729	1.178066763	0.21301789	-0.451674721	-0.098848711	0.203764569	0.149772001	P
G313	0.070880182	0.314043029	-0.069748573	-0.103944023	-0.804012545	-0.509600054	-0.223841612	0.22436966	-0.028559114	0.199169116	0.427192992	-0.186624422	P
G314	0.291454699	-0.56887745	1.530295069	0.635328776	-0.089813501	-0.200555698	-1.200478123	0.33484393	0.088011401	0.061106529	-0.091937816	0.628164329	w
G315	-0.759942181	0.632100728	-1.102193952	-1.148348056	-0.575265404	-0.517512645	0.27432966	0.69295513	-0.665871819	-0.365873748	0.272298239	-0.749530454	P
G322	-0.489093587	0.427541834	-1.642882362	0.473954112	-0.405425188	-0.261381638	1.482565063	-0.219953837	-0.616925268	-0.146170063	0.286978396	-0.38159213	P
G324	-1.073677941	-0.43366295	-0.022726973	-0.671144039	-0.667308196	-0.746783408	0.367508604	-0.054617704	-0.305441886	0.042700801	0.894513085	-0.447167592	P
G332	-0.499947605	0.582322954	-1.3906202	-0.19242715	-0.045999151	-0.503980145	0.758761445	0.343176318	-0.455344021	-0.006234198	0.393005378	-0.751506231	P
G336	0.13212905	0.276685081	-0.434580297	0.243648521	-0.265190332	0.240268927	0.64103824	0.677166108	-0.459507794	0.061814251	0.255604988	-0.457588118	P
G337	0.144611974	0.012826344	0.374782181	1.341756428	0.399006445	-0.328294836	-0.813665253	-0.368193409	0.110861492	0.353124259	-0.480263886	0.242938731	w
G347	0.069301068	-0.361026684	-0.014591869	-0.658040878	-0.703166244	0.262758015	0.124177362	0.243828113	-0.278810286	0.123117759	-0.203664126	-0.669245201	P
G358	0.17313512	0.117360556	0.182580916	1.116401802	0.357358794	-0.118564587	-0.125681711	-0.219435304	-0.247254638	0.494327116	0.33468758	-0.313619435	w
