	ITGB2-AS1	HARBI1	DDX51	C3orf33	CYB5D1	KXD1	CLCN5	FAM212A	CAD	HKDC1	ILDR1	KIN	EML2	HPS6	GSK3A	LOC100129034	CEBPE	GAB2	FAM218A	ACBD5	ELMO2	CDC26	LAPTM4A	ACAA2	FAM120B	DNAL4	CAPZB	AGBL5	DDX42	FLI1-AS1	ASPHD2	ARMC2	ETAA1	BTF3	INPP4A	KCTD12	ATP6AP1	KCNG1	LINC00476	SEP15	GALNT10	COQ2	DUSP6	LINC00202	DUSP14	EPB41L4A	KIFC3	EXOSC9	BRF1	GINS1	GOLIM4	CACNA1I	ALKBH5	AAMP	KYNU	BRICD5	CYBB	GAS8	ALKBH4	LOC100129269	IRF2BPL	HAUS3	SEPT2	LIN54	F11R	FAM122A	BAZ2A	FAM122C	BBC3	AZU1	HSPB6	CCDC6	GNAO1	ITGB1BP2	IL3RA	CDKN2B	LGR4	LOC100130855	ABHD13	ANKH	ARL8A	KLHL36	EML3	CA11	COQ9	FCER1G	ACYP1	Class
G101	0.503589376	-0.223080922	0.071502193	-1.19003271	1.108965647	0.592744106	-0.003878171	0.290990585	0.369340736	0.568736711	1.203644905	0.439886104	-0.239300436	-0.987785588	0.337736466	-0.29431882	-2.135275999	0.458267016	1.593657022	0.463321739	0.088067099	0.413114027	-0.429322496	0.09173234	-0.194478411	-0.478790876	-0.228630618	-0.744932178	1.18502608	0.826000671	0.018583493	0.145952778	0.027887929	-0.165590867	0.56403367	-0.692861141	-0.864314438	0.015525562	0.052346106	0.91906154	-0.085000726	-0.4079781	0.242602013	0.447402185	0.016538752	-0.056711099	-0.304980828	0.32274021	0.671184688	0.833043814	0.387670996	0.685656133	-0.542546453	0.077738427	-0.441457486	-0.56446141	1.003180791	0.292976619	0.051995752	0.404499764	-0.234995908	0.447402185	-0.104217185	-0.362099746	-0.421825809	-0.085919949	-0.603415755	0.113945501	0.546685066	1.74095251	0.292287593	-0.009769089	-0.545462377	-1.216909106	0.517966771	0.55214096	-1.372783206	-1.68074388	1.624646027	0.562972981	0.837303495	-0.09223491	0.587013011	-1.265769076	0.386774542	0.005069725	-0.09266501	w
G102	0.174176043	-0.45689153	-0.02581713	0.558005117	0.694341797	0.006928022	-0.503638917	0.760892182	0.149416479	-0.027018295	-1.252524626	0.322659713	-0.308952592	-0.388196184	-0.320925888	-0.584188855	-0.634318377	0.771472777	0.335009092	-0.123849063	-0.163035793	-0.07797632	-0.107683712	0.03236422	-0.405263743	-0.342376523	0.211059257	-0.262915247	0.426202758	1.338953422	-0.082401261	0.392971369	-0.896692698	2.858100713	0.148691875	-0.365734749	-0.459078667	0.36646038	0.580050338	0.753103578	-0.220321126	-0.393161608	0.352888572	0.493223976	0.09331408	1.026428658	0.159680229	-0.026037876	0.124183731	0.893161515	-0.507113191	0.345041944	-0.324624497	-0.042105467	1.071337281	-0.82812401	0.54794453	0.856516162	-0.135326255	-0.110398726	-0.244874204	0.377311015	0.310884593	-0.450520105	-0.438178761	-0.815045268	-0.759961471	-0.102756345	-1.38173303	0.598170028	0.28491686	0.551595547	-0.593698682	-1.889447764	0.815966392	0.207199812	0.377311015	0.410096865	1.462477336	0.940290994	1.172915587	-0.498122023	-0.668602021	-0.196227945	0.061306955	-0.165766185	0.323040045	w
G103	0.575958222	-0.257712235	-0.113855503	-0.351160217	0.628690063	0.160803049	-1.063262076	1.353562025	0.328064614	0.78590309	0.043595185	-0.357660339	0.315600964	0.211323698	1.784996001	0.46408341	-0.714750035	1.088697124	0.664146421	-0.279810032	-0.15759617	-0.087688718	-1.06159623	-0.729003704	0.489262909	0.122239124	-0.549005106	0.078110204	-0.207131662	0.976756093	0.01679168	0.316448558	-0.155652039	-0.142872651	-0.021214472	1.037711306	0.558378095	1.036854461	0.604073547	0.035456095	0.870065401	0.320532656	0.309150113	0.545349435	-0.378799711	0.87369822	0.398760985	-0.452408599	1.358122929	-0.08556865	0.470533627	1.145426039	0.610725342	0.101158485	1.133230689	0.024490383	-0.180660156	0.118334906	0.202913432	0.961239207	0.69844911	0.57322378	-0.473193058	0.272097368	-0.076133383	-0.583029573	0.201881338	-0.656776936	0.526996688	0.199359304	2.128456258	-0.413654061	-0.509288886	-0.075698632	0.065621944	1.1702179	0.096259291	1.463749052	0.812647397	0.191996276	0.379968971	0.72532125	0.088687091	0.231881126	0.821031658	-0.027030632	-1.021803755	w
G104	-0.506431677	0.114498448	-0.121089553	-1.950855352	-1.550122441	0.06448338	0.048952922	1.325914308	0.771667712	0.255107544	0.928587429	0.04266282	0.322789276	-0.068558032	0.091346916	0.111256836	-0.829246272	-0.126508118	0.925181397	0.236603535	-0.189528952	-0.213553838	-0.585358709	-0.461539666	0.291019025	0.437027596	-0.658218346	0.754057826	-0.050765509	0.149019019	-0.840808607	-0.535570404	-0.632849697	-1.103917673	-0.014890001	0.380548238	-0.06206018	0.265066496	0.457604282	-0.440090173	0.360354184	-1.164006181	-0.647896907	-0.595949158	-0.66754111	-0.430011236	0.483269741	-0.675154513	0.466079961	-0.269553162	-0.294170515	-0.482282327	0.090166162	0.342568837	-0.221085824	0.454233824	0.022359478	-0.697675576	0.28434622	-0.915913327	0.159178076	-0.885870392	-0.36069273	0.419578542	0.001825715	0.144103991	-0.074240322	-0.467939867	1.365740188	0.356773508	-0.340113814	-0.567894215	-0.161350394	0.457604282	0.786462166	0.135084744	-0.049773267	1.507319921	0.570706544	0.198669397	-0.463635038	0.830815627	0.512603254	0.017985672	-0.407390336	-0.31272354	0.457604282	P
G108	-0.348286925	0.185482678	0.291957912	-0.206106479	-0.456210403	-0.007021769	0.243383218	0.507454344	0.821446165	-0.047196471	1.507880876	-0.567225913	0.767003302	0.032260695	0.675593403	-0.022981538	0.723329036	-0.998744224	-1.397420912	-0.233934293	-0.35150782	-0.446002782	-0.588667168	-0.058268254	-0.121702579	-0.094011801	-0.581515681	1.342984661	-0.358277608	-0.244036792	-0.747061745	-0.445916911	-1.806948404	-0.063747922	-0.007881182	0.59368823	0.479842337	0.629135372	-1.061046661	-0.076246441	0.287065591	-0.636831417	-0.587790344	-0.086445658	-0.724311134	-0.302265001	0.715312685	0.06467288	0.803459506	0.070464588	-2.019470607	-0.119935022	0.357005776	0.410027317	-0.18244432	0.271311056	-0.849986336	-1.179793697	0.698460252	-0.613299766	0.250853129	1.25639645	-0.378229817	0.567126867	-0.172576398	-0.159779422	-0.432401462	0.001130426	0.282210581	0.297413586	2.110999754	-0.401320567	0.548467275	-0.67733588	-0.821232443	0.255281562	-0.348711734	1.507880876	0.673591042	-0.081044985	0.037902703	0.247038347	0.460419083	0.586467455	0.502723088	-0.770382299	1.0875515	P
G110	-0.690601298	0.154312284	0.142969	-1.381471571	0.068615372	0.097692315	0.908503987	0.679738266	-0.23184784	-0.527032676	0.621975952	0.117422547	0.360625409	-0.273511821	0.469043603	0.305704341	-0.089632361	0.305086881	-0.88108798	0.435866942	0.621929693	0.454599658	-0.207294123	-0.218959882	0.11503464	-0.388445031	-0.53494277	0.482213788	0.175835244	-0.121721498	0.397576464	0.645438666	-0.710219332	-0.561387447	0.133550946	0.733269304	0.362158715	0.143549737	-0.041517473	0.467231589	0.330392308	-0.168982212	0.129542826	-1.689139137	-0.445937271	0.075113542	0.338586342	0.584353761	0.846540744	-0.206840469	0.343375414	-0.022445751	0.163855783	0.450273277	-0.050433118	-0.188696824	0.570183339	-0.461310228	-0.122758395	-0.729909639	-0.130704747	-1.704140979	-0.442716227	0.181493734	0.294174304	-0.088744612	0.310583676	0.640114254	0.99475323	0.607954593	0.93322604	-0.502259535	-0.00697522	0.435226248	-0.68044328	-1.379201934	0.644517484	1.253567123	0.550101361	0.374967489	-0.315820854	0.458485847	0.501414097	0.486276379	0.109310227	0.043384421	0.477606294	P
G111	-0.752608365	0.69173741	0.040702818	-0.735785551	-1.104376472	-0.558632619	-0.559313124	-0.561423326	0.0068751	0.14229005	0.544642647	-0.155000323	0.189775626	0.369053201	0.711643939	0.013649323	1.0387301	-0.936686482	0.210041295	-0.651251071	-0.604624397	-0.993356845	-0.511037531	-0.557599386	-0.035491609	0.658484156	-0.272967845	-0.500867453	-0.646342187	-1.060181443	0.580487986	-1.089190256	-1.072960361	0.560236794	0.162536697	-0.231983775	0.263577435	-1.270727161	-1.000786933	-0.280650545	-0.022896027	-0.737787959	-0.459014343	0.595023203	-0.48219764	-0.484807008	1.01779212	-0.184939347	-0.477304345	-0.411435069	0.312009136	0.900732548	0.313802275	0.23010677	0.402707865	0.381446663	-0.255246637	-0.852212421	0.498829019	0.422208361	-0.272054479	1.540812742	-0.098874026	-0.253320098	0.002054135	-0.449081296	0.273817468	-0.465040872	0.150900929	-0.040081106	0.544642647	0.046275827	0.733606747	0.036049427	-1.082264331	0.454005231	-1.308319597	1.071786381	-0.242422129	0.13295425	0.165290679	-0.229990233	-0.412377227	0.123744085	-0.180251592	-0.694311871	0.302517311	P
G112	1.054934503	-0.261676442	-0.554205961	2.794736254	0.81971678	0.137801694	-0.945723429	-0.089685974	-1.379118303	-0.226593158	1.285190925	0.718419359	-0.423285086	-0.203923414	0.256526985	-0.12615002	-1.666457944	0.656958271	0.99265253	1.527520056	-0.165392655	-0.001640485	0.625907474	0.795106997	0.121937799	-0.357284448	0.272614619	-0.428034056	-0.158463596	1.002850656	0.505111489	1.11690205	1.333431406	0.902400805	0.401967297	0.087035912	-0.342504801	0.709583475	0.394054441	1.210346071	-0.009998918	0.575846727	0.138277228	0.346997171	-0.117278843	1.278602714	-0.632365391	1.958163823	0.329967433	1.831960257	3.07447136	1.06886316	0.007810441	0.208735478	-0.486037089	0.705053066	0.745076737	-0.027403546	-0.485070702	1.491338495	0.31497764	1.193765025	0.701048974	-0.690214149	-0.496394111	-0.23514297	-0.42028289	0.346332047	-0.33730146	-1.080486157	2.107323881	-0.097715205	-0.236186113	-0.778256856	-0.63060489	0.117967913	-0.993455234	0.003494804	-0.182756253	0.6742018	0.890789558	-1.168631447	-1.154650392	-0.336163194	0.756596693	0.153099664	-0.911666189	w
G119	0.046873698	0.332193363	0.380039526	-0.166758427	-0.186250714	-0.035764961	-1.470875435	-0.752285571	-0.184848121	-0.551850233	-0.130384014	0.172689823	0.448732952	0.184389154	0.719037359	0.201132427	-0.477587015	-0.772649492	-1.338095451	-0.562673791	-0.580579627	-0.741921742	-0.635138612	0.137342445	-0.064027917	0.088120444	-0.312856878	-0.551744193	-1.20505522	-0.125026651	0.181101829	0.093223445	0.230616048	0.578684386	0.23627894	0.890192943	-0.171087492	0.441389673	0.548450287	-0.412277233	0.003997718	-0.51631792	-0.415857723	1.133836167	-0.950511044	0.492255067	0.983421658	0.400533026	-0.695481076	0.476317417	1.161552081	1.248660664	0.550215939	-0.001724889	-0.982747002	0.274237057	-0.623233047	-0.405204545	0.407795891	-0.711358184	0.037113259	1.361638851	-0.182165247	-0.611889168	-0.802305681	-0.237046182	-0.218796017	0.146972133	-0.097956344	1.367505727	-0.1538778	-0.758528247	-0.177785071	0.746345285	-1.004471812	-0.856973693	-0.376512239	0.870632424	-0.111307575	-0.345057269	-0.471824278	0.144456786	0.123744828	0.138519309	-1.410181892	-0.35350178	-0.576599009	P
G120	-0.562822429	-0.08547732	-0.416760318	-0.053103021	0.094649741	-0.383042811	-0.038092415	0.518959567	-0.324108142	0.687921748	0.160982944	0.028632455	-0.425210611	-0.483243774	-0.349937323	-0.053600274	-1.605641916	1.264200555	0.111440496	-0.365208138	-0.192727903	-0.273362294	-0.193800053	0.047038043	-0.34004124	-0.127856099	0.052751812	-0.459616428	-0.0111517	0.610610614	-0.235335001	0.327262423	0.326586978	1.579688822	0.205719932	-1.078749732	-0.781122805	0.514521022	1.314043445	-0.155075245	-0.719785266	-0.159553916	-0.133335344	1.033953591	-0.460825875	1.231723389	-0.235238686	-0.537196573	-0.273416194	1.04969495	0.25320892	1.246801165	-0.110389579	-0.343275855	0.611987321	-0.098276871	0.693604052	-0.308391912	-0.605603242	0.978575081	-0.715649859	0.60754441	0.438883454	-0.358507422	-0.130698071	-0.453989593	0.014729354	0.576051066	-1.566522463	-1.006911338	0.828081894	0.476609007	-0.306111273	0.077010635	0.454872449	1.16328409	-0.123783326	-0.341550106	0.988151704	0.477954884	0.266373343	0.324368635	-0.491825801	0.574211964	-0.919248402	-0.715652601	-0.303363647	w
