	EIF2AK3	TOR3A	GAS6	EMR4P	PLCL1	IFI6	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	UBE2Z	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	LEF1	LOH12CR1	MR1	FCER2	C11orf21	CSRP1	C9orf89	BAIAP2-AS1	ALAD	CD300E	BLOC1S4	P2RY2	LOC100506060	SPICE1	MERTK	EID2B	RIC3	C1QC	DNASE2	ZNF597	ANO10	EMP3	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	EIF6	PAQR4	DTNB	ANKS6	DNASE1L1	ZFYVE9	ACP2	DACT1	PCBD1	C2	ANXA4	TIMM10	SFT2D1	PTGIR	PACS1	NAP1L1	LY6E	TBPL1	Class
G101	-0.667174163	0.031105994	0.776593176	0.05993484	-0.818381163	5.989703964	0.770073916	0.552937946	-0.466071169	-0.291289789	0.429813542	-0.045925556	0.092643386	-0.166424943	0.777805542	0.755948258	-0.10240642	0.479214534	-0.344437167	-0.987806426	-0.229469543	0.183916928	-0.744661208	3.064283991	-1.49488608	-0.184447668	3.095467497	-0.076373737	1.96293982	1.709839099	0.298216514	-0.777314026	-0.20381443	-1.197999793	0.709682313	-0.71285394	-0.353380082	-0.531785896	-0.206783382	-0.58645902	-0.242006302	2.311346871	-0.382789321	-0.13426708	-0.365938307	-0.660922431	-0.063171314	0.385936301	-0.255962951	1.859718258	-0.352830067	0.997881084	-0.489137672	0.62531345	-0.466222425	0.048187516	0.076090575	0.781055454	0.309584098	0.094372419	0.140461786	-0.443808443	-0.825257161	0.0071194	-0.70826767	0.586932429	0.560451705	0.184746787	1.841991125	0.534837612	1.807217161	0.270894016	-0.261295853	-0.751403271	0.275881203	3.482647543	0.823729303	Waned
G102	-0.381168155	-0.174803767	1.69430054	-0.71210691	-0.063897534	5.423525739	1.137709944	1.622212915	-0.231088074	0.351965355	0.098305539	0.295226105	-0.227956055	0.250634514	-0.212555271	1.824097924	1.003567396	0.363153261	-0.470321693	-0.908459672	-2.417578148	1.165656672	-1.029697438	3.680268814	-1.372844063	-0.50181476	3.389786199	0.127239362	2.488809356	3.536476544	-0.025549644	-1.162843047	-0.774296307	-0.721356788	1.599757768	-1.009957952	-0.10105449	0.249876719	-0.272881255	0.015652446	-0.654446662	2.389497945	-0.887264023	-0.194134658	-0.501160321	-1.098537263	0.250470041	-0.543415966	-0.747890449	3.622678164	-0.459664065	0.314990126	-0.123432006	0.214643957	-0.427895354	-0.278048645	1.032771947	0.35939191	-0.398438798	-0.247204656	-0.084537988	-1.249323871	-0.723979661	0.138857589	-2.740196417	1.382828958	-0.78835311	-0.067530044	3.415389104	0.759184128	1.58151029	0.189582649	0.700395325	-0.438029767	0.564913162	4.547285842	-0.273653124	Waned
G103	-0.245177959	0.658445854	1.373656345	-0.172617183	-0.51151844	5.84182136	1.02739369	1.008411486	0.145405779	-0.432492727	0.46835049	0.032094669	0.350145786	-1.686590066	-0.206017603	0.970933268	0.52636353	0.372574866	-1.092416656	-0.123328457	-1.182570363	-0.735961442	-0.591422736	3.704657289	-1.484540486	-0.031594786	3.630742793	0.366218508	3.239324017	3.089173075	0.388598625	-0.244899629	-1.156187778	-0.74207973	1.978904619	-0.719075414	0.013800505	-0.16810927	0.055982895	-1.51845877	-0.729725123	1.311605029	-0.397020592	0.135438541	-0.480352892	-0.732307487	0.294266309	-0.273951975	-0.451279762	0.085860337	0.215584319	-1.112844757	0.418112742	0.565785952	-0.547136211	0.388148172	-0.254057302	0.924655805	-0.502244815	0.336144075	-0.497386766	-0.854199047	-0.69246061	-0.188426337	-1.233864232	0.406545958	-0.46474241	0.966935188	2.678272584	0.898775267	0.579284559	1.021813405	-0.396687784	-0.816311646	-0.512158626	3.471024536	-0.147063079	Waned
G104	0.140105801	1.261117791	3.648389771	-1.423538869	-1.186237133	6.845025179	2.139735769	1.869483601	-1.306442552	-1.103503528	0.598098866	-0.318761452	0.489759557	-2.444271561	-0.937728645	2.304606125	1.586953371	-0.055240376	-0.937564243	-0.687649102	-2.105256172	0.7133461	-1.074601347	4.092717172	-2.410820179	0.453608991	4.164669907	-0.24756786	3.630132532	3.37500716	0.491756591	0.510509367	-1.729763121	-1.671394736	1.912997145	-1.561284051	0.806266684	1.0597477	0.782711898	0.505990801	0.050064499	2.224158571	-0.822466678	1.121587015	-1.62158103	-1.532244076	2.467192775	-1.329519201	-1.712988026	2.312422618	0.363103433	1.179815402	-0.831982533	1.291832761	-0.836500334	1.227998437	0.020731137	2.37338792	-1.23818388	0.832160339	0.813216632	-1.221383186	-1.502560901	0.382410673	-2.517506245	1.230083472	-0.59888861	1.148538151	3.43559722	1.597896691	2.438087975	1.570157971	-0.115043137	-0.9494718	-1.47746848	4.680664756	0.976763284	Persistent
G105	-0.297245593	0.345036081	0.168012613	-0.373473277	0.355085394	4.747763899	0.999825821	0.393283082	-0.647979652	-0.553041419	0.083965689	-0.711502376	-0.166964904	-0.955547805	0.309447669	0.949832206	-1.184506576	0.121590805	0.033962334	-2.114707699	-0.971817974	-0.694088101	-0.157465597	2.500206275	0.556765664	-0.409956848	2.555114692	-0.423172218	1.960079024	0.658256678	-0.598776729	-0.993696146	0.321208923	0.194939149	0.173291039	0.442216089	-0.106798547	-0.781388899	-0.066667096	-2.715312389	-0.629450702	0.763854136	-0.756298135	0.451824811	-0.389553096	-1.142757209	0.544924427	-0.453317982	-0.488828384	-3.50326898	-0.331968806	-0.825822722	-0.836954651	0.210039959	-0.202316598	0.678980724	-0.433245267	0.584953118	-0.933730416	-0.001572589	-0.079924297	0.261181813	-0.839227303	0.252048161	-0.525071588	0.285961485	-0.711863754	-0.637015423	1.794851914	-0.331508654	2.019588977	-0.35495432	-0.894746286	-0.249861457	0.292227972	4.003077953	-0.006291413	Waned
G108	-0.775505639	0.930084058	0.794686244	-0.487639039	-1.091731479	5.494128088	0.478910521	0.830144686	-0.235411629	-1.232843071	0.421490465	-0.494783738	0.438197531	-1.253342798	-0.836325978	1.202551398	0.724496862	0.088670954	-1.128793819	-0.790711665	-0.892469391	0.833039092	-0.929392655	3.111048845	-1.170118774	0.103058262	3.174446177	-0.556728966	2.23870696	2.613683307	1.156458354	-0.046237416	-1.009829245	-0.837288284	1.17536768	-0.564130029	0.407660734	0.572096145	0.438371709	0.600126691	0.059596503	1.817611794	0.745072364	1.569135158	-1.257723208	-0.479693416	1.213133962	-0.608905621	-0.600123292	0.610803593	0.117824848	0.798355901	-0.963743563	0.698306196	-0.546388416	0.736215621	0.39233188	0.591287221	-0.731720601	0.622736974	0.39951482	-0.957133059	-1.05012293	0.099142315	-0.953723849	0.42810662	-0.558356004	-0.225049218	2.114370941	0.780942088	1.332577497	0.975664834	0.786782679	-0.817177001	-0.707315388	3.910341396	1.178883671	Persistent
G110	-1.101031735	1.144871956	2.173318497	-1.449704384	-1.827527706	6.3536683	2.368406995	1.115064484	-0.916631075	-0.365151275	0.701814088	-0.364796583	1.021290749	-2.066919973	-1.162901991	1.644753964	2.196734559	0.003098537	-0.711186548	-1.480699751	-2.450152975	0.956759056	-1.57819482	4.965171697	-3.016981524	0.427222392	4.978779747	-0.47608907	4.011348945	3.981560073	1.1452285	0.034206585	-1.04752874	-1.623942055	2.233214276	-1.365293523	0.611657139	0.143329934	0.465163022	0.392243156	-0.097007271	2.090739437	0.147106843	1.30433273	-1.06428358	-0.690329937	0.649824418	-0.756001593	-1.273822031	2.225353671	0.768125473	-0.293221924	-0.337265354	1.238572079	-1.093988428	1.005480861	0.656579344	2.408354546	-2.141013077	0.366619574	0.871640149	-1.379765572	-2.407818882	0.918153347	-2.622954092	1.630300689	-2.171786821	0.706072618	3.963115039	1.036532793	2.719720492	1.421254456	1.10662794	-0.730878695	-1.509288241	4.451238304	0.662052575	Persistent
G111	-1.039689955	1.135635067	1.821689303	-1.359755863	-1.225758479	7.245332911	1.510433062	1.403972168	-0.652018134	-0.785795748	0.648604995	-0.423864518	0.486870033	-2.019909589	-1.735524495	1.752433123	0.964522415	-0.076625087	-0.974760312	-2.056920053	-2.171724854	0.409516605	-1.271270792	3.308854894	-1.577930258	0.766832586	3.401786999	-0.04695062	3.291843872	3.867999815	0.852766786	-0.158859143	-1.397395363	-1.295608223	1.206175477	-1.592930827	0.161589821	0.583427159	0.002637745	0.441535663	-0.085460754	2.526635883	0.316880179	0.900063325	-0.856325174	-1.158769533	2.089688684	0.831236787	-1.009977642	1.204507975	0.460060249	0.535671867	-0.509998243	1.052171488	-0.961127513	1.310842934	0.368429768	1.593754959	-0.668309951	0.745005338	1.411934095	-0.900199113	-1.166838596	0.387410215	-1.185604453	1.411337395	-2.521416572	0.675353872	4.423203249	1.41886005	2.145901503	1.405768403	0.547782291	-1.160358564	-0.881215117	4.466839513	1.236445311	Persistent
G112	0.06280682	0.293330614	0.656728815	0.150643885	1.109894528	2.17693903	0.271107056	0.326912642	-0.181413336	0.279032897	-0.491169638	-0.162410236	-0.162563522	-0.733519939	0.369164171	0.347234824	-0.622914249	0.487585656	-0.188294055	1.242280321	0.598368454	-0.020284153	0.335938284	0.82280636	0.126991062	-0.231318344	0.85933682	-0.222155153	1.447661097	0.954200618	-0.650158894	-0.548777093	0.085172102	0.113092758	1.490076242	0.202269164	0.029773807	-0.79387893	-0.548793654	-1.297749663	-1.100635977	0.53573012	-1.25000391	-0.079550191	-0.076917921	-0.398616664	0.026288697	0.334434038	-0.349500299	-1.003226158	-0.272925058	-1.02857775	0.301397206	0.834639199	-0.798010571	0.460959575	-0.855378362	1.360052574	0.229041923	-0.443852128	-0.881438015	0.184518198	0.09223604	-0.155431216	0.37382538	0.022517569	0.025944003	-0.948241658	1.212987256	0.184009603	1.547850436	0.72907705	0.042228074	-0.145201414	-0.006122387	1.896164079	0.147275156	Waned
G117	-0.593656736	0.360720326	-0.938351515	-0.442414959	-0.786435488	5.706538917	0.62290673	0.848007741	-0.304568661	-0.273360674	-0.425862287	-0.054148714	0.020053287	-0.480235218	-1.366998085	1.327361608	0.483615052	0.461449873	-0.279702707	-0.640144952	-1.012549015	-0.256918093	-0.576842177	3.917849015	-1.066634708	-0.393890771	3.896648652	0.282652275	2.570656463	2.388732401	-0.012962868	-0.591364832	-0.999150085	-1.458842636	1.382798405	-1.107252475	-0.156679941	-0.268682088	-0.220817371	-0.003735015	-0.698110495	2.505123688	-1.308542637	0.559988098	1.045456058	-0.778098432	1.295833121	-0.609549611	-0.642798758	-0.629537876	-0.231931651	-0.304604505	-0.463540614	0.295053087	-0.732823651	0.168325542	-0.655958158	0.988155756	-0.060826922	0.070348251	0.022721476	-0.997936788	-1.643953301	-0.374524608	-1.319161783	1.047117512	-1.025452001	-0.132435926	3.894325369	0.583134159	1.442842757	0.438771559	-0.403565826	-0.542911718	-0.184352581	4.371612474	0.945361654	Waned
