	TOR3A	GAS6	EMR4P	PLCL1	CDKN1A	NSD1	NAPRT1	STAB1	P2RY2	Class
G101	0.031105994	0.776593176	0.05993484	-0.818381163	0.770073916	-0.291289789	0.429813542	0.755948258	-0.13426708	w
G102	-0.174803767	1.69430054	-0.71210691	-0.063897534	1.137709944	0.351965355	0.098305539	1.824097924	-0.194134658	w
G103	0.658445854	1.373656345	-0.172617183	-0.51151844	1.02739369	-0.432492727	0.46835049	0.970933268	0.135438541	w
G104	1.261117791	3.648389771	-1.423538869	-1.186237133	2.139735769	-1.103503528	0.598098866	2.304606125	1.121587015	P
G105	0.345036081	0.168012613	-0.373473277	0.355085394	0.999825821	-0.553041419	0.083965689	0.949832206	0.451824811	w
G108	0.930084058	0.794686244	-0.487639039	-1.091731479	0.478910521	-1.232843071	0.421490465	1.202551398	1.569135158	P
G110	1.144871956	2.173318497	-1.449704384	-1.827527706	2.368406995	-0.365151275	0.701814088	1.644753964	1.30433273	P
G111	1.135635067	1.821689303	-1.359755863	-1.225758479	1.510433062	-0.785795748	0.648604995	1.752433123	0.900063325	P
G112	0.293330614	0.656728815	0.150643885	1.109894528	0.271107056	0.279032897	-0.491169638	0.347234824	-0.079550191	w
G117	0.360720326	-0.938351515	-0.442414959	-0.786435488	0.62290673	-0.273360674	-0.425862287	1.327361608	0.559988098	w
G119	0.970082567	2.478660799	-0.161495071	-1.497228351	1.918334487	-0.122616289	0.278490185	1.370265071	1.07035177	P
G120	0.320008547	0.135606528	0.011597462	0.629799338	0.070487821	0.773866059	-0.272020555	0.094800047	-0.106303002	w
G126	0.886110243	2.553760709	-2.344642979	-0.526850369	2.529902922	-0.246195036	0.734292981	2.310030813	1.709245619	P
G128	1.237374969	1.694687162	-2.467356343	-1.872876209	1.885905823	-1.236800605	0.546283078	0.798069764	1.662107136	P
G130	0.698473242	1.001143878	-0.229650385	0.393346091	1.221870931	0.199881745	0.030042028	0.672047755	0.349227792	w
G302	0.690732987	1.131102759	-0.705122266	-0.758457664	1.39931567	-0.535313853	-0.075781449	0.985820207	1.320597494	w
G304	0.96036364	0.781890511	-0.211777759	-0.665040971	1.371828067	-0.2143087	-0.1399704	0.419709345	0.974785052	w
G305	0.664107466	0.104280115	0.300139174	-0.897420711	0.753299371	-0.216045898	0.330192431	0.259103532	-0.319129362	w
G306	0.175041492	-0.714740203	-0.521406136	0.21897299	0.321639513	-0.127095794	-0.078879364	0.454183856	-0.672768232	w
G311	0.774744476	1.468063751	-0.90934851	-1.308297888	1.632407282	-0.638214731	0.586125153	1.088769376	0.559677351	P
G313	1.473413307	2.355943253	-1.596327022	-1.416364334	2.317917532	-1.692126133	0.727419177	2.57647572	2.129141787	P
G314	0.441953111	-0.2771742	-0.629811073	0.427811007	0.271305603	-0.416119178	-0.02639002	0.075473588	-0.409331345	w
G315	0.91539652	2.015633929	0.643219767	-0.029404085	1.376072425	-0.550528187	0.304053471	0.998521296	1.266044498	P
G322	0.922920489	2.326012299	-1.066131397	-1.994000092	1.710693201	-0.61235497	0.929087837	1.756015141	1.162851735	P
G324	0.95435338	2.482958322	-1.27702614	-2.660914194	1.104536698	-0.199591855	0.600064588	2.683339977	1.679796817	P
G332	1.624637543	2.507658192	-2.125253982	-0.72215813	2.098138892	-0.57678475	0.967855216	1.689447657	2.502709316	P
G336	1.53866222	1.908477902	-2.553609711	-1.530285725	1.743468264	-1.22248017	1.147847551	2.439647587	0.346483239	P
G337	0.977553311	2.728694094	-0.88779672	-0.935151783	1.59780914	-0.193164761	0.579949539	1.185854928	0.97470379	w
G347	0.480590037	2.109354752	-0.140621742	-0.839226123	0.625536786	-0.735451865	0.42496315	1.547174537	0.158490288	P
G358	0.543878112	0.888613912	-0.475081914	-0.596194594	1.085288852	-0.369529838	1.177890616	0.901926919	0.689455797	w
