	TOR3A	GAS6	EMR4P	PLCL1	CDKN1A	CD300C	ZNF714	NSD1	NAPRT1	PDS5B	DYNC2H1	ARMC2	STAB1	KLHDC8B	RBPJ	RPL23AP64	XKRX	KCNQ5	PPARGC1B	CEP85L	IFITM3	GOLGA2P5	ZNF585A	IFITM1	GTF3C3	SCO2	TCN2	PSMB5	RNF19A	DNASE2	ZNF597	P2RY2	BCRP3	LAMTOR2	METRNL	MAP3K6	BTLA	PAQR4	ANKS6	DNASE1L1	ACP2	RIC3	C9orf89	PCBD1	Class
G101	0.031105994	0.776593176	0.05993484	-0.818381163	0.770073916	0.552937946	-0.466071169	-0.291289789	0.429813542	-0.045925556	-0.166424943	0.777805542	0.755948258	-0.10240642	0.479214534	-0.344437167	-0.987806426	-0.229469543	0.183916928	-0.744661208	3.064283991	-1.49488608	-0.184447668	3.095467497	-0.076373737	1.96293982	1.709839099	0.298216514	-0.777314026	-0.352830067	0.997881084	-0.13426708	-0.466222425	0.048187516	0.076090575	0.781055454	0.309584098	0.140461786	-0.825257161	0.0071194	0.586932429	-0.255962951	-0.206783382	0.184746787	w
G102	-0.174803767	1.69430054	-0.71210691	-0.063897534	1.137709944	1.622212915	-0.231088074	0.351965355	0.098305539	0.295226105	0.250634514	-0.212555271	1.824097924	1.003567396	0.363153261	-0.470321693	-0.908459672	-2.417578148	1.165656672	-1.029697438	3.680268814	-1.372844063	-0.50181476	3.389786199	0.127239362	2.488809356	3.536476544	-0.025549644	-1.162843047	-0.459664065	0.314990126	-0.194134658	-0.427895354	-0.278048645	1.032771947	0.35939191	-0.398438798	-0.084537988	-0.723979661	0.138857589	1.382828958	-0.747890449	-0.272881255	-0.067530044	w
G103	0.658445854	1.373656345	-0.172617183	-0.51151844	1.02739369	1.008411486	0.145405779	-0.432492727	0.46835049	0.032094669	-1.686590066	-0.206017603	0.970933268	0.52636353	0.372574866	-1.092416656	-0.123328457	-1.182570363	-0.735961442	-0.591422736	3.704657289	-1.484540486	-0.031594786	3.630742793	0.366218508	3.239324017	3.089173075	0.388598625	-0.244899629	0.215584319	-1.112844757	0.135438541	-0.547136211	0.388148172	-0.254057302	0.924655805	-0.502244815	-0.497386766	-0.69246061	-0.188426337	0.406545958	-0.451279762	0.055982895	0.966935188	w
G104	1.261117791	3.648389771	-1.423538869	-1.186237133	2.139735769	1.869483601	-1.306442552	-1.103503528	0.598098866	-0.318761452	-2.444271561	-0.937728645	2.304606125	1.586953371	-0.055240376	-0.937564243	-0.687649102	-2.105256172	0.7133461	-1.074601347	4.092717172	-2.410820179	0.453608991	4.164669907	-0.24756786	3.630132532	3.37500716	0.491756591	0.510509367	0.363103433	1.179815402	1.121587015	-0.836500334	1.227998437	0.020731137	2.37338792	-1.23818388	0.813216632	-1.502560901	0.382410673	1.230083472	-1.712988026	0.782711898	1.148538151	P
G105	0.345036081	0.168012613	-0.373473277	0.355085394	0.999825821	0.393283082	-0.647979652	-0.553041419	0.083965689	-0.711502376	-0.955547805	0.309447669	0.949832206	-1.184506576	0.121590805	0.033962334	-2.114707699	-0.971817974	-0.694088101	-0.157465597	2.500206275	0.556765664	-0.409956848	2.555114692	-0.423172218	1.960079024	0.658256678	-0.598776729	-0.993696146	-0.331968806	-0.825822722	0.451824811	-0.202316598	0.678980724	-0.433245267	0.584953118	-0.933730416	-0.079924297	-0.839227303	0.252048161	0.285961485	-0.488828384	-0.066667096	-0.637015423	w
G108	0.930084058	0.794686244	-0.487639039	-1.091731479	0.478910521	0.830144686	-0.235411629	-1.232843071	0.421490465	-0.494783738	-1.253342798	-0.836325978	1.202551398	0.724496862	0.088670954	-1.128793819	-0.790711665	-0.892469391	0.833039092	-0.929392655	3.111048845	-1.170118774	0.103058262	3.174446177	-0.556728966	2.23870696	2.613683307	1.156458354	-0.046237416	0.117824848	0.798355901	1.569135158	-0.546388416	0.736215621	0.39233188	0.591287221	-0.731720601	0.39951482	-1.05012293	0.099142315	0.42810662	-0.600123292	0.438371709	-0.225049218	P
G110	1.144871956	2.173318497	-1.449704384	-1.827527706	2.368406995	1.115064484	-0.916631075	-0.365151275	0.701814088	-0.364796583	-2.066919973	-1.162901991	1.644753964	2.196734559	0.003098537	-0.711186548	-1.480699751	-2.450152975	0.956759056	-1.57819482	4.965171697	-3.016981524	0.427222392	4.978779747	-0.47608907	4.011348945	3.981560073	1.1452285	0.034206585	0.768125473	-0.293221924	1.30433273	-1.093988428	1.005480861	0.656579344	2.408354546	-2.141013077	0.871640149	-2.407818882	0.918153347	1.630300689	-1.273822031	0.465163022	0.706072618	P
G111	1.135635067	1.821689303	-1.359755863	-1.225758479	1.510433062	1.403972168	-0.652018134	-0.785795748	0.648604995	-0.423864518	-2.019909589	-1.735524495	1.752433123	0.964522415	-0.076625087	-0.974760312	-2.056920053	-2.171724854	0.409516605	-1.271270792	3.308854894	-1.577930258	0.766832586	3.401786999	-0.04695062	3.291843872	3.867999815	0.852766786	-0.158859143	0.460060249	0.535671867	0.900063325	-0.961127513	1.310842934	0.368429768	1.593754959	-0.668309951	1.411934095	-1.166838596	0.387410215	1.411337395	-1.009977642	0.002637745	0.675353872	P
G112	0.293330614	0.656728815	0.150643885	1.109894528	0.271107056	0.326912642	-0.181413336	0.279032897	-0.491169638	-0.162410236	-0.733519939	0.369164171	0.347234824	-0.622914249	0.487585656	-0.188294055	1.242280321	0.598368454	-0.020284153	0.335938284	0.82280636	0.126991062	-0.231318344	0.85933682	-0.222155153	1.447661097	0.954200618	-0.650158894	-0.548777093	-0.272925058	-1.02857775	-0.079550191	-0.798010571	0.460959575	-0.855378362	1.360052574	0.229041923	-0.881438015	0.09223604	-0.155431216	0.022517569	-0.349500299	-0.548793654	-0.948241658	w
G117	0.360720326	-0.938351515	-0.442414959	-0.786435488	0.62290673	0.848007741	-0.304568661	-0.273360674	-0.425862287	-0.054148714	-0.480235218	-1.366998085	1.327361608	0.483615052	0.461449873	-0.279702707	-0.640144952	-1.012549015	-0.256918093	-0.576842177	3.917849015	-1.066634708	-0.393890771	3.896648652	0.282652275	2.570656463	2.388732401	-0.012962868	-0.591364832	-0.231931651	-0.304604505	0.559988098	-0.732823651	0.168325542	-0.655958158	0.988155756	-0.060826922	0.022721476	-1.643953301	-0.374524608	1.047117512	-0.642798758	-0.220817371	-0.132435926	w
