	SH3BGRL3	ZNF385D	LYZ	HP1BP3	PVR	NUS1	TMEM169	MYO5A	HSD17B1	ALG6	ABHD14A	FLAD1	ZNF606	AIFM3	TCERG1L	NCR1	MRPL49	FBXW7	PIGF	NFE2L2	ATP11B	ZFAND4	SLC35B2	SEPT10	FAM70A	IFNA21	OR52M1	PLEKHD1	LASP1	HEATR3	CFP	KDELR2	TYROBP	BRWD1	C11orf30	UQCRC2	NDFIP2	AGFG1	UBL4A	MIB1	SPRY3	BCKDHA	METTL17	TMEM150B	SNORA27	REST	DUSP5	SNRNP25	SENP5	FAM120A	C3	SDF2L1	TPD52	ARL2	PDE12	C19orf10	C1orf177	BAZ2A	NDUFV3	PUM2	PPP1R8	TMEM198B	NEK9	FN3KRP	Class
G101	-0.7510962	-0.456036148	-0.12398112	-0.45563382	-0.631458958	0.431492664	0.207368907	-0.359319578	0.519238996	-0.527669706	-0.14759793	0.805457611	0.375408546	-0.779426227	1.26040101	0.37261726	0.386086467	0.042261724	-0.308888182	-0.036068626	-0.663755742	-0.440774104	0.535236567	-0.659391806	0.281280105	-0.327494194	-0.439248917	1.55746325	-0.252011101	-0.139963941	-0.356876991	-0.110180048	-0.50996602	-0.521743052	-0.358502128	0.302417406	1.264206478	0.150830657	0.151817873	-0.678627195	-0.334332713	0.518732132	0.440091007	-0.985731884	0.836734628	-0.325374854	0.588486159	-0.213456008	-0.394529957	-0.830878461	-0.744949704	0.837897691	0.027120215	0.308622486	-0.323355818	0.784358025	0.150830657	-0.170631911	-1.11671944	-0.386037095	0.749091077	1.118214333	0.206556735	0.186494931	NO
G102	-0.34071882	0.221749852	-0.61090629	-0.33161384	-0.40324289	-0.049984136	-0.191003526	0.017424272	0.495663924	-0.514659992	0.807363957	1.098291133	2.076303605	-0.453641527	0.914712979	0.766049672	0.285079132	-0.800064167	-0.725768241	-0.348320525	-0.2589342	-0.527717948	0.673686576	-0.324526697	0.694755969	-0.519132426	0.0	0.812206383	-0.442916232	-0.78033716	-0.05351736	0.095206247	-0.57113285	-0.565913377	-0.394416265	-0.094395038	0.079126897	-0.519132426	-0.137803785	-0.444006616	-0.222157304	0.232427729	0.390454102	-0.499598752	0.455337181	-0.219968093	0.155045771	1.162973936	-0.509641706	-0.292498407	1.701239339	0.335169917	-0.239576452	0.073137558	-0.513572103	0.025967249	-0.178263216	-0.102440827	-0.589641765	-0.300113891	0.276829731	1.269321792	0.179804272	0.34212866	NO
G104	0.03108938	0.477455062	0.56986582	0.047072429	0.338539623	-0.467764137	-1.533922634	-0.314072533	-0.049131079	0.076659422	-0.205042649	0.064956453	-2.54068138	0.90457463	-1.140886054	-0.634545216	0.110668134	0.73795774	0.686449205	1.081778723	0.367696052	0.369644427	-0.093702112	0.259689709	-0.00097064	3.60013739	0.0	0.0	0.893316887	0.462693328	0.690556533	-0.075225764	0.23920712	0.457800617	0.961278523	-0.920703974	-1.366578693	-0.001709632	-0.596533632	0.180949505	0.964698214	-0.669073521	-0.892564969	0.356530608	-0.438117887	0.264668083	-0.243720382	-1.549845995	0.357290653	0.461582932	-0.574194182	-0.528523273	-0.841898183	-0.899429828	0.581236541	-1.010390279	-2.496382695	0.663751591	-0.658046678	0.049189729	-0.694605193	-0.001310527	-0.679627761	-0.586292551	AE
G105	-0.29791564	-3.159820164	-0.21919476	-0.619949166	-0.011289487	0.253794949	1.285103992	-0.730694098	0.961173314	-0.653025805	1.154196187	-0.13935377	0.154260085	-0.971209627	0.133358627	0.609393579	0.822626249	-0.447757514	0.130096856	-0.204658066	-0.619301342	0.0971882	0.787524676	-0.711682071	-1.395478796	-2.880233184	-1.759585885	0.504490802	-0.327384724	-0.071073558	-0.500474755	-0.042787264	-0.65167699	-0.314783147	-0.277162449	0.157775692	0.862566106	-0.337855686	0.435431435	-0.368139343	-0.684500686	0.411733301	-0.62465591	0.022580977	1.423790592	-0.599160344	-0.421125001	0.541224444	-0.418268165	-0.465254662	-0.224338845	0.587060657	-0.012517923	0.449501596	0.107620955	0.721073887	-0.123963992	-0.315804243	0.1290434	-0.427849134	0.184017771	0.632624084	0.560900794	0.190128866	NO
G108	-0.37677934	-0.012491486	-0.50179185	-0.629266241	-0.467015962	-0.135942856	-0.366915396	0.019587451	-0.125807433	-0.5922173	0.539419796	0.566808306	0.809972219	0.380218013	0.339566477	-0.052947247	0.262696549	0.073591473	-0.332526299	0.029068652	0.101322168	0.260991105	0.239374908	-0.52375109	0.666863714	-0.603118878	0.640518028	0.055401511	0.067513618	-0.602276409	0.290237326	-0.040579272	-0.21196743	-0.321815135	0.191921386	-0.254787279	0.03656278	-0.763434347	0.255265343	-0.533499799	-0.247454882	0.496619397	-0.453130056	-0.071595805	0.804352265	-0.270875256	-0.068838565	0.072963712	-0.38289291	-0.45619162	-1.003381861	0.269863387	-0.562011965	0.057770966	-0.41324946	-0.024003437	-0.116646647	0.18817883	-0.688077992	-0.134842316	0.104440891	-0.386631564	0.044662928	-0.550553185	NO
G109	0.02116405	-0.070494731	-0.23807017	-0.074052921	-0.552414242	0.03443298	0.056755255	-0.122418046	-0.500045183	0.056545744	-0.020485279	-0.296882773	-1.528736098	-0.422849353	0.005049938	0.065795353	-0.104280831	0.071444285	-0.203600833	-0.102431516	0.145904842	0.302024321	-0.178910799	-0.577007658	0.740829861	0.586287179	0.586287179	-0.57827903	0.202105892	0.184168639	-0.046131254	0.102889511	-0.13547229	0.169032738	0.542216915	-0.205912487	0.177843507	0.589832293	-0.159161634	0.077567041	0.095368387	-0.254770813	-0.083480387	-0.328235334	-0.904202797	0.457305348	-0.474696772	-0.206332028	0.038700558	0.153464993	0.853752325	-0.909823289	-0.271811953	-0.876350949	0.06063331	-0.117205211	0.740829861	0.33467268	0.742841077	0.171905537	0.030186244	0.005611103	-0.088943091	-0.383404933	NO
G110	-0.6591645	-0.765545092	-0.71680094	-0.114604567	0.137438771	-0.252585962	-0.183589152	-0.280221818	0.535847484	-1.063152596	0.493252665	1.156265015	-0.027477341	-0.16324323	0.220413183	0.700246528	0.615405524	-0.684205075	-0.369970363	-1.097224682	-0.301436175	-0.623714366	0.601782114	-0.646006213	-0.273242388	0.0	-0.947764231	0.750468277	-0.835618492	-1.122121809	-0.631931068	-0.13159358	-0.72094473	-0.566290121	-0.774055296	0.404631376	0.572126287	1.348576581	0.626099012	-0.239087277	-1.241689272	0.558206668	0.330460375	-0.774070227	1.300054739	-0.590509332	0.545793121	0.582631216	-0.384003367	-0.297303118	0.833922363	0.170727465	0.116355194	0.623143545	-0.548252762	0.699727089	0.384040326	-0.235950314	-0.176067174	-0.133197735	0.620282419	1.193568502	0.982492798	-0.538870804	NO
G111	0.43403235	-0.729865955	-0.14692516	-0.050964848	-0.063367062	-0.374778556	0.150382123	0.12984654	-0.378223789	-0.073581109	0.984028031	-0.245959619	1.501772414	0.554905951	-0.063462877	0.060573063	0.032044211	-0.576988393	-0.055138008	-0.253487437	-0.416571611	-0.243461607	-0.412396889	-0.316524308	0.666989113	-2.382564146	-2.22891068	0.084953623	0.134966299	-0.341715803	0.212902256	0.222130679	0.21500644	-0.364359421	-0.426757089	0.122856519	1.015442539	-0.541758483	0.37332542	-0.256661076	-0.533228837	0.040252944	0.176568337	0.31468796	0.518880355	-0.288683075	0.786728873	0.530272723	-0.033733357	0.315803613	1.199557253	-0.516478382	-0.307877199	0.524625757	-0.496631167	-0.031333433	0.147519191	-0.132684379	-0.010007751	0.061528635	-0.128427107	1.627214435	0.25967998	0.127585255	NO
G112	0.04764586	2.367433023	0.13012693	0.006157457	-0.564351409	0.261755025	-1.494042082	-0.476983247	0.671975206	1.047568322	-0.436641137	-0.382112698	-1.401640044	2.521712362	-1.027657903	-1.519693803	-0.718364741	-0.024012587	0.755305196	0.653388033	0.714594668	0.049002369	-0.752214717	0.65470299	-1.658274156	3.12135841	3.60916503	0.0	0.323853553	0.732040019	0.488999729	-0.464449187	-0.35988206	0.029302955	0.922679021	-0.280027128	-1.377795677	-1.027657903	-0.541926891	0.473234728	1.311542321	-0.821960018	0.458510236	-0.140695121	-1.354878762	0.398764598	-1.543566085	-1.157850273	-0.028220369	0.404123175	-0.567860884	-1.206240106	-0.315960154	-1.328264442	0.167865041	0.226468262	-1.090153902	-0.254295912	1.007243582	-0.322445548	-1.280709598	-2.562382373	-0.509639191	-0.472170849	AE
G114	0.04911693	0.247399822	-0.30093319	-0.12742753	-0.142938169	-0.097351631	-0.152736149	0.235719482	-0.479924563	-0.493275127	0.728063148	-0.146962669	-0.303298698	-0.623150769	0.908949557	0.262379197	-0.401197342	0.056058936	-0.135914262	0.055184778	0.140506308	0.267440691	0.069141318	-0.008316434	0.044490117	1.176820741	-1.378302777	0.129690185	0.175815438	-0.194788255	-0.120095376	-0.092141709	-0.49195898	0.307429283	0.543016451	-0.103915981	-0.109159824	0.263560215	0.200088085	-0.106291392	-0.601454696	-0.081254322	-0.414339427	-0.208165887	-0.724042088	0.129451669	0.717848999	-0.994960064	0.190391233	0.029075693	1.221200029	-0.994960064	-0.271622636	-0.234029385	0.128010175	-0.252124461	-0.451429403	0.136051049	0.446478823	0.263688512	-0.543249522	-0.224674297	0.2439777	-0.177927685	NO
