	SLC25A39	HPS1	RMI2	A4GALT	CA11	CCDC163P	NFIA	KLC3	IL16	BTF3	RNASE6	DNAJC4	KLHDC8B	SRP68	LARS	EIF2C2	FAM206A	TNFSF15	KEL	PES1	JAK2	UFSP2	ST6GALNAC4	C3orf33	LYL1	MEF2A	DFNA5	UBXN6	NEK1	UPK3BL	INSM2	EVPL	ZNF704	LOC100506746	POLL	MTRNR2L2	SCGB1C1	LOC643723	SLC1A5	DDX39A	GPR146	DIAPH3	SLC31A1	CDK10	HERC6	MGAT3	INPP4A	UTP18	SNTB1	ANK1	EFHA1	BLVRB	LMBRD2	ACHE	PRSS57	CIAPIN1	STBD1	BEX1	SPPL3	LZTFL1	PPP1R32	SGTA	HOXA4	ADPRHL1	TACC3	RFC4	AGBL5	ENTPD5	RBM5	QRSL1	DOK6	SMPD1	TTC30B	TAL1	CCDC170	GPR113	SERP1	SLC41A2	PRICKLE2	Class
G101	0.078218972	-0.050960887	0.663099685	-0.449790799	-0.15230048	-0.739693158	0.153481696	1.093757093	-1.048023216	0.498961396	-0.032381546	-0.080067466	0.131892363	0.494402968	0.45329829	-0.358208833	0.100917355	-0.439248917	0.165816556	-0.204201777	0.045601216	-0.191548142	0.266583266	-0.109150668	-0.313193402	-0.23747424	1.240842314	0.45657831	0.103955839	0.471137303	0.423342672	-0.775511201	-0.09935983	0.66469452	0.13304718	0.13012017	-0.386340327	-0.386340327	0.043606835	0.246432527	-0.037947227	0.80655296	0.510878106	0.383397678	0.447125641	0.012252029	0.780857813	0.205851766	-0.283651541	0.051442697	0.066209342	-0.047991651	-0.356153923	-0.054982179	-0.275966964	0.501609435	1.472408302	-0.449790799	-0.447170411	-0.155541186	0.343675182	0.691607467	-1.27714744	-1.576627386	-0.170328191	0.085768038	-0.488806597	-0.055319424	-0.562039897	-0.062569285	-0.739693158	-0.134298465	-0.004407343	-0.174286004	-0.109150668	1.852629945	0.387055607	-0.116825871	0.735125409	Waned
G102	0.13691294	0.06998991	1.143663353	-1.648351238	0.057394489	0.562084229	-0.231435662	0.45385396	0.44362946	1.9435683	-0.185873712	-0.0576462	0.169969557	-0.192255088	-0.04373988	0.080945281	0.214727888	0.44362946	0.779801118	-0.082471732	0.360084423	0.54876516	0.670444599	0.260239001	-0.032985943	0.392328855	-0.713752862	-0.141326631	0.22184183	0.898177299	0.171160769	-0.308990079	0.379487024	0.636113479	-0.036718846	0.124556427	-0.333363798	-0.073383626	0.479990652	-0.085705625	-0.108711887	0.668771298	-0.192344201	0.187265479	-0.064474851	1.372721931	-0.056292622	0.000321026	-0.00123652	0.231262456	-0.309816352	-0.041685903	0.2349305	-0.8080147	-1.768144898	-0.059203307	-0.292038101	-0.133087765	-0.416456997	-0.411816926	0.553843734	0.33272324	0.44362946	0.567315581	-0.029378892	-0.108399314	-0.030873782	-0.417386873	-0.120430985	-0.611154917	-0.119537597	0.245627615	0.297102255	0.605706806	1.094769037	0.560437976	1.496635089	-0.484086313	-1.648351238	Waned
G104	0.56837588	0.614756302	0.511047459	1.547216249	0.706958252	0.189495518	0.368243008	1.174655116	0.565721232	-0.204205523	0.202529447	0.156425168	0.381972817	-0.275529683	0.238865485	0.262114484	-0.294235277	-0.550180461	1.440363914	0.275062358	-0.471007909	-0.742337689	0.661320852	-1.507173961	0.722993371	-0.524444857	0.103999203	0.97242085	-0.187892159	0.346392555	-1.639371911	1.273279486	-0.550180461	1.123704344	0.215362935	-1.449416532	0.565721232	0.341941089	0.852184334	-1.323205532	0.775201496	-0.375044538	-0.057199734	0.308060485	-0.861577688	-3.075241925	0.063566515	-0.672857497	-0.372014338	0.541533027	-0.564716594	0.600692853	-0.545309395	0.990781753	-1.258703755	0.30010838	0.592868696	-1.140886054	0.278757162	-0.115827761	0.475351137	0.17657547	0.9465367	1.236019834	-0.120164897	-0.533534875	0.672849031	0.279839869	0.127751469	0.010076764	1.513228572	-0.258075516	-0.001918269	0.856500399	-0.279046181	-1.514539099	-0.255944615	0.294643761	-0.480753373	Persistent
G105	-0.14561035	-0.358269932	2.281163322	-0.783719286	-0.323965285	-0.839880486	-0.632026591	0.099164512	-0.437366584	0.069873018	-0.41151901	0.063125125	0.210065144	-0.105228618	-0.118975446	-0.057646567	-0.408242269	0.103551463	-0.099973994	0.329910541	-0.602777198	0.357141584	-0.590686338	0.308622747	-0.174388932	-0.465320368	0.431634318	-0.00914876	-0.698332263	0.452084276	-1.373326809	-0.428801257	0.632624084	-0.186149671	-0.467763719	-0.106842348	-1.403354912	-0.844254188	0.155366605	0.163689567	-0.718710904	1.033563423	-0.211598016	0.487821734	0.020054101	0.38457554	0.098590938	0.444587897	-0.22552744	0.155705895	-0.032904662	-0.246447955	0.043664686	0.148953733	-0.844254188	0.074850493	0.688676632	-0.839880486	0.092238826	-0.199328279	0.004291846	0.206881753	0.919705399	-1.60937049	0.320051297	-0.092955409	0.683153995	-0.203598189	-0.623382171	-0.01524869	0.632624084	-0.6399349	-0.379143129	-0.410234602	1.217094987	0.919705399	0.246769156	0.2633189	-2.063967282	Waned
G108	0.7933415	0.137199495	0.056113102	1.094970739	0.679428735	0.679499856	0.948755986	0.982753718	0.971108235	0.256468184	0.007545092	0.095855515	0.662037638	-0.531231677	-0.482304554	0.725368818	-1.091965964	-0.713928801	1.233421075	0.227722836	-0.22025011	-0.883878236	1.373845155	-0.595347981	0.606778905	0.040356056	0.03739915	1.241092378	0.285909082	0.446113087	-0.980531566	1.090894428	-0.200612237	-1.083158587	0.753937825	-0.531972091	1.420437357	1.094970739	1.086167014	-0.456731075	1.033168742	0.276134881	0.260999071	0.446357602	-0.465471051	-1.244088325	-0.302231313	-0.479925851	-0.768913871	0.82913765	-0.112086699	0.548796018	-0.083731736	1.918957219	0.640518028	-0.33616559	0.095724881	0.817318479	0.415539682	0.166618939	0.822054419	0.174544769	1.420437357	0.605848236	0.310159024	-0.09736307	0.976246728	0.175091064	-0.167470582	0.566615595	1.090894428	-0.176708032	-0.506666443	0.612234421	-2.105572265	0.339566477	0.003873675	-0.13355394	0.817318479	Persistent
G110	0.84138351	0.224622083	-0.744877804	0.20011864	0.426850389	0.562593892	0.36117271	0.960065371	0.20011864	-0.291807789	-0.356023805	0.215353688	0.216078779	-0.426699012	-0.154200703	0.335414336	-0.902381581	-0.947764231	1.212315431	0.385044774	-0.090994199	-0.807076708	0.87104721	-0.107918614	0.555556079	-0.420608233	0.092511378	0.530504707	0.664834944	0.853963942	1.193568502	-1.095039443	-1.255178158	-0.124742874	0.885010885	-1.380402251	-0.550349637	1.241643504	1.215337064	0.627930694	0.47773858	0.293879273	-0.285123846	0.234794681	0.710264798	0.111390012	-0.377389137	-0.070239946	-0.000815885	1.62761513	-0.207011969	1.11940278	-0.011729295	2.140670293	-0.197295954	-0.919297063	-0.603631164	-0.197295954	-0.009125994	-0.034795461	0.831435139	-0.43678535	1.348576581	-0.188904522	0.387617617	-0.107945261	0.348502387	0.395191855	-0.131256092	0.126706322	0.750468277	-0.047680582	0.334636848	0.868183218	-0.889424392	-0.49049664	0.131807221	1.348576581	1.348576581	Persistent
G111	1.00472756	0.887108931	0.334410315	0.795779154	-0.532933869	0.830827579	0.696856384	1.050261685	0.75995682	-1.130107283	0.256153352	0.46687673	0.902880724	-0.729340724	-1.054491642	0.816238519	-0.730630436	0.0	0.730733344	0.293088554	-0.274530305	-0.732774109	0.798881035	-1.952579014	1.403785243	-0.464572598	0.124577086	1.197972059	-0.005003246	0.697766575	-0.894147845	0.855359642	-1.367642379	-1.132909007	0.509267796	-0.313881654	0.476966448	-0.672150816	1.3807118	-0.168333532	0.775798989	-1.132909007	-0.854263497	0.105369016	-0.936683618	-0.05880043	-0.470432461	-0.443815138	-0.030154131	0.952227784	-0.789780325	1.195400877	-0.778515849	1.569773031	0.780105083	-0.67020341	-0.287919095	0.75995682	0.190665838	0.330305436	1.15227195	0.000956776	0.0	0.052803395	0.834619699	0.170306001	0.555239731	0.685785402	0.001384251	0.35501702	0.552234268	0.646561162	0.114850658	0.983359134	-3.528142231	-0.342703559	-0.32588016	-0.100168323	-1.945546905	Persistent
G112	-0.28406014	0.000852266	1.595159989	-0.530091752	0.299134759	0.062352168	-0.640161705	0.591015084	-0.86557406	0.885509158	-0.309099334	-0.240647412	-0.40232783	0.246398933	1.432683989	-0.360305	-0.080679882	1.63253076	-0.347007169	-0.297771936	0.53515227	1.144037966	-0.027827821	1.63253076	0.144012801	1.566402249	1.63253076	-0.016865044	-0.300647714	-0.351628342	1.926284992	-1.402792604	-0.720883631	1.63253076	-0.725132124	0.768122026	-0.637098266	-0.637098266	0.358598438	1.629839164	0.751749139	2.868230931	0.724482015	-0.066899412	0.247776396	0.072521842	-0.071147539	1.211700659	0.564110148	0.26747182	1.55479105	0.339694631	0.017884815	1.304652378	-1.793352241	0.546720925	0.768158128	-0.936082009	-0.073111681	-0.762702111	0.262368883	0.238979552	1.060710932	-0.995249653	-0.440391011	-0.747728831	-0.047052972	0.457335326	-0.064682304	-0.021641324	-0.160821481	-0.248446599	-0.542046506	0.148102074	1.513250592	-0.139532115	-0.215400293	0.299618162	0.0	Waned
G117	0.14730673	0.050507719	-0.027405641	-0.781013703	0.051981998	-0.632331898	0.024753067	0.82127886	-0.275897381	0.607723734	-0.21397686	0.047427157	0.171335663	-0.479280257	-0.094233826	-0.053918024	0.180007915	-0.18493701	0.206918056	-0.398929471	0.487412288	-0.382961087	0.280022344	0.470413217	0.180225681	0.271562972	1.368239196	0.3832412	-0.024408448	0.045431935	0.092838516	-1.901242187	0.109760351	-0.165292946	-0.247379685	-0.154211344	-0.49600415	-0.321608202	0.099999934	0.341038048	0.406479674	1.344160495	-0.37334977	0.179389398	0.004924526	-0.233667929	-0.078946096	-0.314367596	0.144964968	0.632146986	0.740743862	0.096049708	0.035480375	-0.230265534	0.663191374	0.181562002	1.199230126	-0.492241449	0.315063846	-0.64824004	0.302747266	0.484731823	-0.314838304	-0.376319912	0.282960952	0.453783975	-0.002913481	-0.314514734	-0.16797232	-0.971210506	-0.314838304	-0.017021057	-0.683641654	0.300397857	-0.464609635	0.646541127	0.055547823	-1.274340687	-0.850348433	Waned
G119	0.41396778	0.404360777	0.56984711	0.34244742	0.771191528	0.009728014	0.746124685	0.955005538	-0.073609322	-0.353453368	0.027593089	0.436778324	0.776623126	-0.774986954	-0.286536304	0.38231489	-0.93580474	-0.452305834	0.841096099	0.547371623	-0.326437854	-0.91004725	1.292979835	0.24941814	0.549270844	-0.387239704	-0.336053174	0.71584258	-0.035245346	0.819788805	-1.73249248	1.803822869	-0.660612471	0.892549814	0.101133529	-0.349794735	-0.160366612	0.361953562	0.627337748	-0.56505741	0.479883183	-0.639268062	-1.03373227	0.885568548	-0.608536043	0.209814784	-0.41564584	-0.327015399	-0.066012963	0.210345155	0.102444473	0.642076154	0.149957552	1.666208339	0.120110221	-0.465463523	-0.802608697	-0.129766539	0.362990454	0.310309482	1.165950556	0.144639274	1.003059891	-0.165958548	0.381216988	0.032581784	0.500214077	0.46646639	-0.239392882	-0.001725253	-1.312887601	0.56798453	-0.118535142	0.098811875	-1.015041394	-0.868362576	-0.733291366	0.180953892	0.508114146	Persistent
