	A4GALT	ARL2BP	ANKZF1	ADIPOR1	AARS2	ANK1	APOBEC3G	AQP1	AMACR	AP1M2	ACHE	AP2A1	AGBL5	ADPRHL1	ABCG2	Class
G101	-0.449790799	-0.200905919	-0.453622006	-0.04808433	-0.320882671	0.051442697	0.074888993	-0.556302635	0.056067332	-0.497066294	-0.054982179	-0.138083287	-0.488806597	-1.576627386	0.001364694	w
G102	-1.648351238	-0.590527626	0.070961879	0.492933591	-0.21665367	0.231262456	0.146866917	-0.113250399	0.038659458	0.06664927	-0.8080147	0.254995403	-0.030873782	0.567315581	-0.302701175	w
G104	1.547216249	-0.520657691	-0.048076362	0.544703419	0.231869483	0.541533027	0.288795173	2.162556817	0.627002444	0.218070263	0.990781753	1.062876317	0.672849031	1.236019834	0.64453965	P
G105	-0.783719286	-0.533744396	-0.443185235	-0.70951239	0.406014816	0.155705895	0.159104916	0.304322697	-0.446204472	-1.403354912	0.148953733	-0.322495182	0.683153995	-1.60937049	-1.316173772	w
G108	1.094970739	-0.474180536	0.208437683	0.61621793	-0.178457021	0.82913765	-0.37234438	0.769602651	1.01676371	1.241053259	1.918957219	0.614907294	0.976246728	0.605848236	0.608060433	P
G110	0.20011864	-1.297616628	0.293699279	0.57086141	0.071434931	1.62761513	-0.263435749	0.564942086	0.156533146	0.798023418	2.140670293	-0.640593214	0.348502387	-0.188904522	0.517991391	P
G111	0.795779154	-0.416751738	0.778172671	1.041374957	0.510644059	0.952227784	-0.003943384	1.068063399	0.327887499	0.212899073	1.569773031	0.394838355	0.555239731	0.052803395	-0.080433718	P
G112	-0.530091752	1.339705814	-1.064611192	0.08655177	-0.703035083	0.26747182	0.344092977	0.02126034	0.539982064	-1.278582739	1.304652378	0.943070257	-0.047052972	-0.995249653	0.768212598	w
G117	-0.781013703	0.05259917	-0.359284088	0.510523143	0.385013186	0.632146986	0.056368058	0.055581641	-0.430356685	0.50948918	-0.230265534	-0.044539468	-0.002913481	-0.376319912	0.074315404	w
G119	0.34244742	-0.286518748	0.519005143	0.268037143	0.913322048	0.210345155	-0.074383044	0.952283255	0.431865894	0.13367519	1.666208339	0.841489096	0.500214077	-0.165958548	-1.143352249	P
G120	-0.230112423	-0.656620425	-0.104807973	-0.0608071	-0.561748863	-0.305356187	-0.543973511	-0.381595907	-0.230962079	1.081916756	1.537850086	-0.492241754	-1.179280296	-0.14069636	-0.890300872	w
G126	0.481906026	-0.377249045	-0.0804314	0.7003514	0.424006144	0.777160928	-0.253717302	0.767127189	0.274846139	0.481906026	1.836949896	1.624229679	0.178467679	0.823292807	0.51894771	P
G128	0.710287598	-0.136484672	0.032387371	0.40053445	0.310195608	0.225046076	0.070907716	1.10890841	0.112600436	-0.3007527	0.260216611	0.567793233	1.344483517	-0.392030711	-0.768492837	P
G130	0.0	0.401997556	0.200482575	1.58653663	-1.212791681	1.468727874	0.032510287	1.552432759	0.388581844	-0.780270204	1.951359679	1.266864922	-0.249380234	-0.680501834	-0.000226454	w
G302	1.717763608	-0.706718902	0.3345795	0.58347574	0.954785874	0.612532081	0.15612912	0.925866698	-0.196419928	-0.323028197	0.669540613	-0.453905212	-0.431221574	-0.412135232	-0.090477168	w
G304	0.0	-0.474151151	0.757150302	-0.06755755	0.565901294	0.407786708	0.234666214	0.85323441	0.748590163	0.875892881	0.109654322	0.527422827	0.171632927	0.423380377	-1.965730375	w
G305	0.732416267	0.23256416	-0.355862044	-0.375184284	-0.866691059	0.083778244	0.145587212	0.057057454	0.399351378	0.539362377	-0.577780432	0.354129432	-0.551730772	-1.377490676	-0.715668991	w
G306	0.206363384	-0.133820345	-0.317955897	1.732962279	0.748366208	1.367038104	-0.027766063	0.853849524	-0.095665825	-0.285039326	0.944490109	0.652098278	0.159426097	-0.666237022	-1.049786125	w
G311	0.085842889	-0.61999285	0.387053832	0.203943992	0.77791733	0.763592337	-0.662450558	-0.223741166	-0.115000038	1.106846371	0.101238102	-0.248752573	0.476336188	0.46970248	-0.225103519	P
G313	1.518004114	-0.260487767	0.121100474	0.33568143	0.655910162	0.649047111	-0.092956071	0.679557161	0.797851941	1.163327765	0.381573174	0.75860188	1.175150025	-0.429444706	0.713155657	P
