	A4GALT	ARL2BP	ANKZF1	ADIPOR1	ARID5B	AARS2	ANK1	APOBEC3G	AQP1	AMACR	AKAP10	ALKBH8	ADRBK2	AP1M2	ARSA	ABCB6	ADPRHL1	ADORA3	ADNP2	ADRB1	AFF2	AFAP1L2	AEN	ADAMTS5	ADAM10	ADAM1A	ADD1	ACHE	AP2A1	AGBL5	ARL14EP	ABCG2	AJUBA	ASAH1	ACVR2B	AIFM2	ALKBH4	MARCH8	ARHGAP10	ARHGAP21	ACER3	ACTR1A	AP3S1	APOL3	ANGPT1	ABCC3	ABCB10	AHR	AQP10	ACER1	ANKHD1	ACO1	AASS	ADAL	ARSB	ACTL6A	AMBRA1	AGAP6	ARL8A	ALAD	APBB2	AKT2	ARMC2	ACTR3	AHCYL2	AP4E1	ACTL7A	SEP15	AP3S2	ARRDC2	ACAA2	AGRP	ABCC13	ARHGAP8	ARIH2	AIMP2	ARNTL2	Class
G101	-0.449790799	-0.200905919	-0.453622006	-0.04808433	-0.004615746	-0.320882671	0.051442697	0.074888993	-0.556302635	0.056067332	-0.242512226	0.466592906	0.524573053	-0.497066294	-0.126206398	-0.37856616	-1.576627386	0.773495308	0.361734164	0.720529022	0.114830321	-0.535156283	0.454291258	-0.934819957	0.197561487	-0.105235013	-0.387617993	-0.054982179	-0.138083287	-0.488806597	0.005882222	0.001364694	-0.556618418	-0.881671907	-0.106429836	-0.227004624	-0.502528604	0.185171966	0.105636161	-0.584064403	-0.385970842	-0.299360181	-0.05352257	0.309747499	-0.08031691	-1.382953436	-0.23450644	-0.245230686	-0.192493894	-0.659248318	-0.443363535	0.458167131	0.550031427	-0.087583346	-0.505849858	-0.077882586	-0.369931204	-0.395205066	0.907932964	0.113380024	0.0	-0.093684545	0.485422045	-0.013690923	-0.498172698	0.363389076	0.759604956	0.587150719	0.645615188	-0.293727259	-0.320496562	-0.349224771	0.152894047	0.241310495	0.166253653	0.532532003	0.66469452	w
G102	-1.648351238	-0.590527626	0.070961879	0.492933591	-0.151860699	-0.21665367	0.231262456	0.146866917	-0.113250399	0.038659458	-0.329133311	-0.282102503	0.939101547	0.06664927	1.774526724	0.922146189	0.567315581	1.026869935	-0.078348241	-0.504461295	-0.559535737	0.079126897	0.438715655	-0.621827833	0.205084623	-0.100639285	-0.080121029	-0.8080147	0.254995403	-0.030873782	0.028133538	-0.302701175	-0.255583486	-0.553305605	-0.46070936	-0.259570493	0.217015206	0.36403027	-0.289454604	-0.385745266	-0.235287182	-0.218557022	0.288327575	-0.295270438	-0.2683346	-0.521086935	-0.273835483	0.119230835	-0.423023189	-0.764418567	0.09432853	0.737306072	0.783399157	0.038721125	0.166534703	0.743109682	-0.136505584	-0.177268499	-0.033132426	-0.030154348	-0.004456977	-0.171811514	0.723493794	-0.063053666	-0.278740781	0.123389404	0.395556091	0.427378434	0.002029447	-0.087450367	-0.269673645	-0.263285318	1.841272235	0.098305471	-0.302790658	0.11846211	0.36109287	w
G104	1.547216249	-0.520657691	-0.048076362	0.544703419	-0.075120782	0.231869483	0.541533027	0.288795173	2.162556817	0.627002444	-0.358580173	0.36030099	-1.085502134	0.218070263	0.137637954	0.071801076	1.236019834	-0.987801915	0.154788043	-1.514539099	-0.732169003	-0.12651584	0.295540945	0.314882259	-0.372353956	-0.507574233	0.147780464	0.990781753	1.062876317	0.672849031	-0.867966549	0.64453965	-0.550180461	-0.211668315	-0.477683206	0.660339494	0.544182934	1.07777276	-0.153725253	-0.396344436	-0.497091767	0.350365936	0.258338773	-0.133679149	-0.239688383	-0.696890394	-0.160244091	-0.419413404	0.990781753	2.38353467	-0.204490596	0.31944694	-0.001588679	0.711194753	-0.530427769	-0.343495784	0.05646291	-0.039733466	-0.622009353	0.243400346	0.0	0.446946523	-0.557920442	0.433237251	-1.511299448	0.418974313	-0.94750734	-0.915193884	0.096041826	-0.111602503	-0.458144876	0.257725693	0.908529309	1.256775618	0.183334169	-0.186206736	-0.001483709	P
G105	-0.783719286	-0.533744396	-0.443185235	-0.70951239	0.03462895	0.406014816	0.155705895	0.159104916	0.304322697	-0.446204472	-0.460427229	-0.243272371	0.194532589	-1.403354912	-0.513572643	0.994970158	-1.60937049	0.467988711	-0.107014856	0.103551463	0.162791178	1.037886218	1.08860349	-3.226140301	-0.33463332	-0.490584175	-0.389125287	0.148953733	-0.322495182	0.683153995	0.442968393	-1.316173772	-1.79560699	-0.401623522	0.15658444	0.103551463	-0.069292059	-0.327302024	0.662324676	-0.71369211	0.061442591	-0.565302221	0.13144894	1.232568957	-1.114432734	-0.949812573	0.179882748	-0.433253556	0.07986686	-0.45362141	-0.510152707	0.333795604	0.01158672	0.788233606	-0.063239538	0.222037223	-0.060280361	-0.219239031	-0.259902391	0.09337812	1.414430665	0.084416347	-0.468828544	-0.641633897	-1.027001378	0.026778599	-0.844254188	0.527249265	0.369739492	0.120268692	-0.524253902	-0.58708901	-0.322947283	0.512204246	-0.176117109	0.60542154	1.822587318	w
G108	1.094970739	-0.474180536	0.208437683	0.61621793	-0.115975659	-0.178457021	0.82913765	-0.37234438	0.769602651	1.01676371	-0.423743282	-0.223241525	0.247388094	1.241053259	0.818195288	1.617744121	0.605848236	-0.774482736	-0.05125546	0.393287765	0.913378589	0.587780351	0.482876868	1.26922607	-0.057178548	-0.470171943	-0.039424678	1.918957219	0.614907294	0.976246728	0.089256638	0.608060433	-0.538498491	0.362097105	-0.312155357	0.666863714	0.351621299	0.501818951	-0.668441846	-0.171908501	-0.073100526	0.484539838	-0.727592741	0.105415071	-0.034360393	1.249537824	-0.050031372	-0.510711769	1.987463596	1.351934727	-0.232725206	0.364386381	0.257435366	0.484593389	-0.3221218	0.00711744	0.03501351	-0.370509304	0.282521853	0.431125339	-0.791502459	-0.046742987	-0.333693923	0.201285297	-1.130106573	-0.022472449	-0.538498491	-0.389004969	-0.056303993	0.042921758	-0.108565424	1.519001453	0.767393536	1.286454593	-0.562992277	0.31362137	-1.293954763	P
G110	0.20011864	-1.297616628	0.293699279	0.57086141	0.221003506	0.071434931	1.62761513	-0.263435749	0.564942086	0.156533146	-0.052093302	-0.504531263	0.636424773	0.798023418	0.557338049	0.95316572	-0.188904522	-0.766201428	-0.618319353	-0.550349637	0.074932743	-0.166673621	0.431217327	0.487999592	0.567692344	0.167053111	-0.128853802	2.140670293	-0.640593214	0.348502387	0.245323927	0.517991391	-0.021993332	-0.105936271	0.583766561	0.609244012	0.468194158	0.555102789	0.352859781	-1.08807812	-0.893297125	0.416728266	-1.624204038	0.282505967	-0.489595159	0.879962784	0.602504024	-0.334663491	-0.218850441	-0.51991049	0.104950079	0.489837355	0.730375281	-0.998915237	-0.433855239	0.559487658	0.028712957	-0.11745893	-1.107999967	0.585298491	0.0	0.033334454	0.315981519	-1.040791348	-0.370136437	-1.053590971	1.241643504	0.07344333	-0.333255484	0.36620827	-0.30603561	2.216525302	1.258224331	1.238712098	-0.303512663	0.203758228	0.639911899	P
G111	0.795779154	-0.416751738	0.778172671	1.041374957	0.214420336	0.510644059	0.952227784	-0.003943384	1.068063399	0.327887499	-0.452627761	-0.411102172	-0.89491487	0.212899073	0.576091996	1.103724656	0.052803395	1.817203772	-0.811531336	-1.861614819	0.518004432	-0.623097453	0.593233274	-0.219325564	-0.277705117	0.635326925	0.214661186	1.569773031	0.394838355	0.555239731	-0.093806739	-0.080433718	0.173016673	-0.046371586	0.11414465	0.084953623	0.855148149	0.818214484	-0.446828338	-1.015088753	-1.370278877	0.160368538	-1.847215629	0.535417701	-0.252769098	0.804428491	0.650681905	-0.590971721	0.68766423	-0.729865955	-0.000733295	-0.113304086	0.365722893	0.347486941	-0.24974916	0.415432426	-0.000521377	-0.308782832	-0.65325716	0.685339014	-0.61053794	0.457357336	0.459766777	-0.942650432	-0.780260785	-1.277303684	-1.066138472	0.339923542	-0.428336696	0.659744695	0.00052125	0.325450027	0.910108544	0.681868839	-0.283946894	0.135611167	-0.584412204	P
G112	-0.530091752	1.339705814	-1.064611192	0.08655177	-1.182390396	-0.703035083	0.26747182	0.344092977	0.02126034	0.539982064	2.554411516	-0.022208684	1.956075427	-1.278582739	0.337126373	-0.354892562	-0.995249653	-1.761467247	2.547696715	3.233007083	-0.167870591	-0.783135045	-0.357432039	-0.720883631	0.227094333	-0.924199941	0.043105201	1.304652378	0.943070257	-0.047052972	-0.472170849	0.768212598	1.695462765	-0.462685816	-0.577481019	-0.467860997	-0.586475185	0.854603282	0.399152256	1.223581004	1.069726219	-1.16660661	2.386716926	0.24461519	-1.59709747	-1.133040606	-0.247804703	0.632183955	-0.105419049	0.132932751	-1.058531854	-0.19076632	-0.194801849	-0.212793833	0.827888575	-1.181083231	-0.500114197	-0.134621829	0.600821821	-0.707430544	0.0	-0.340151466	0.809600831	1.16690788	0.259023324	2.484874445	-0.099879722	0.995239998	0.530430585	-0.311043725	0.598956049	0.585472411	-0.644544317	-0.620127483	0.199349431	0.619885213	1.060710932	w
G117	-0.781013703	0.05259917	-0.359284088	0.510523143	-0.167036571	0.385013186	0.632146986	0.056368058	0.055581641	-0.430356685	-0.036135469	-0.103656912	0.774606059	0.50948918	0.184744944	-0.05915914	-0.376319912	0.115507015	-0.281900318	1.883818134	0.014329738	-0.584083845	0.566949073	-0.396938886	-0.027939155	-0.237660562	-0.096826918	-0.230265534	-0.044539468	-0.002913481	-0.685380942	0.074315404	-0.053882342	-0.448622647	-0.045069108	0.001565764	0.115962698	0.27820122	-0.202524459	0.394560824	0.323330656	0.150681078	-0.143634597	-0.029777515	-0.326277354	0.438777471	-0.775457123	0.446580668	-0.285158297	-0.174437955	-0.276414353	0.094676797	0.209690511	-0.367376264	-0.126983537	0.486094566	0.014808809	-0.479662731	0.574521095	0.347375139	-0.629537876	0.004007522	-0.245621892	0.640925439	0.184378642	0.18713764	0.407443296	-0.302463901	-0.354609525	0.660771851	-0.570255269	0.07662167	0.544263061	0.484009907	-0.268990411	0.142546662	0.002017744	w
G119	0.34244742	-0.286518748	0.519005143	0.268037143	1.033429577	0.913322048	0.210345155	-0.074383044	0.952283255	0.431865894	-0.536123281	0.146096774	0.79978551	0.13367519	0.519155872	0.485620886	-0.165958548	-0.573492122	-0.318164103	-1.438065607	-0.673394894	0.630716996	1.176695534	0.208377788	-0.577287692	0.410537018	-0.01274789	1.666208339	0.841489096	0.500214077	0.063025985	-1.143352249	0.871455085	-0.945768885	0.530398221	0.079231731	0.969970072	0.095440016	0.478061897	0.396381814	0.476145563	0.17322061	0.266268335	0.027151544	-0.786310453	-0.127931754	0.236619952	-0.19967201	1.11847526	0.009728014	-0.026636306	0.517137358	1.179697809	0.607484646	-0.329103676	0.214930812	0.388812257	0.265377237	-1.071961622	0.303705803	0.587003149	0.190061016	0.137268525	0.002024437	-0.092935666	-0.320092366	-0.452305834	-0.96899693	-0.178253416	0.768760718	-0.737626649	0.425104702	-0.127931754	0.331983588	-0.351599373	0.248318446	-2.051483638	P
