	SNX15	AASS	CIC	CYYR1	TMEM156	ZNF516	CLDN7	EGR3	PLA2G4C	PPIH	TMEM184A	ORAOV1	BCS1L	CD209	GATAD2B	IRF4	PI4KAP1	FRYL	MREG	PTPN4	ZNHIT3	MICAL3	ARHGAP33	NELL2	STK17A	SIPA1	TUBGCP6	GOLIM4	THTPA	FBXL19	PKMYT1	UPF1	SNORA30	STBD1	UPP1	SLC12A6	LY6G5B	MIR1307	PPFIA3	SOCS3	MED12	NR2C2AP	TBC1D19	SNORA70B	ITGB2-AS1	CIT	RBM48	GPSM2	TMX1	ZXDA	TPPP3	ZNF597	MRPS11	IL16	CDC42EP1	DDX24	HOXA4	ICOSLG	FAM122A	LOC727896	PVRL3	SPPL3	C19orf71	POLR2M	MRPL55	SH2D3A	LOC100507053	GPATCH3	TAF6L	ZC3HC1	AATF	Class
G101	0.383056133	-0.322870767	-0.59206886	-0.424292321	0.033055849	-0.427910358	0.300691818	0.450957248	1.656291413	-0.483780621	0.848686923	-0.116321714	-0.479959441	0.091673331	-0.418020106	-0.386486975	0.005788387	-0.162836933	0.288029791	0.457925071	0.593852903	-0.522650963	-0.635900376	-1.803759264	-0.159225998	-0.55953074	-0.214875034	0.638970598	0.244896948	-0.552223078	-1.095116654	-0.350632648	-0.326814216	0.985470595	-1.317888817	-0.784138584	-0.390160782	0.055547766	-0.470872984	0.612127088	0.07745942	-0.112193722	1.090660695	-0.480108517	-0.07136138	-1.050361551	0.157392131	-1.041825129	0.793407715	0.015145694	0.900356354	0.522204072	0.426718275	-1.048023216	-0.390987062	-0.0335389	0.102319503	-0.377478341	-0.14639399	-0.415248384	-0.422081366	-0.179043416	-1.222314037	0.797436551	-0.728908313	-0.255622836	-1.156951316	0.645456303	-0.598004714	0.692051452	0.009563495	Waned
G102	-0.103558898	-0.067103308	-0.375914037	0.791333567	0.17949382	-0.844351231	-0.024610958	0.572789633	1.891699685	-1.227275698	-0.324965708	-0.522295167	-0.097521501	0.870415277	-0.096123736	-0.23792537	0.068482148	-0.262295927	-0.852019518	-0.172835815	0.787305966	-1.218953688	-0.812733874	-0.376819096	-0.486046519	-0.760355651	-0.900808464	0.848664013	0.309032883	-0.299054988	-0.351994344	-0.779390816	-0.347975428	0.612458818	0.396688971	-0.304406327	-0.424804858	0.051665463	-0.186379837	-0.37442997	-0.290330301	0.148565608	0.128674788	-0.454865735	0.02978874	-0.628687853	0.545598247	0.096098849	0.09786795	-0.538171324	0.319293976	-0.556105345	0.439762815	-0.297718349	-0.753342812	-0.031880067	0.58629841	-0.824079016	-0.368760742	-0.175730619	-1.092532838	-0.646415067	-0.691870159	0.068368791	-0.284442381	-1.071981233	0.109011066	0.108133597	-0.295738978	0.045385387	0.262148072	Waned
G103	0.62002207	-0.708571454	-0.673006369	0.241853511	-0.457490729	-1.115883286	-0.792275393	-1.130876109	0.000528637	-1.017679119	0.262145442	-0.452598957	-0.146201246	0.74133528	-0.541469672	0.219831513	-0.323112984	-0.484666241	-0.003459745	0.605345406	0.16976653	-0.464607155	-0.294868829	-1.423126811	-0.248349822	-0.182575274	-0.388489916	0.529196269	0.211028722	-0.102194399	0.917075653	-0.151166785	-1.151672274	-0.195256537	0.0	-0.952449041	-0.621702126	-0.877036103	-0.454443626	0.509227994	-0.499151007	0.249210631	0.665834441	-0.121730369	0.510573395	-0.465531243	-0.121487435	0.450532794	0.477966243	-0.696628692	1.813756967	-0.292607043	0.444744584	-0.124717677	-0.26639793	0.082457514	-0.654930211	-1.200388171	-0.415843997	-0.225803915	0.134503877	-0.033233514	0.470522957	0.439595169	0.243758156	-0.340941693	-0.040495018	0.720423261	0.147113327	0.679892643	-0.119358287	Waned
G104	0.641306799	0.431924796	0.132670221	-0.758338215	-0.083705553	-0.407784602	-0.483677791	1.055509442	0.625143917	0.592274893	-1.258703755	0.584839845	0.27311527	-0.097339467	-0.046939898	0.193437291	0.407110191	0.039879252	0.352996885	-0.040474794	-0.522701225	-0.626638087	0.717379327	-0.449488956	-0.065837919	0.057252564	0.059596551	-0.459055714	0.150462848	0.014514329	0.855316182	-0.101407194	1.276151895	0.20513809	0.226484052	-0.384601787	0.144476831	-0.305324478	0.030152697	-1.313549495	0.258041033	0.499530314	-0.975374153	-0.066114887	-0.084921629	0.037724345	-0.281676811	-1.366700449	0.375058047	0.070989501	-0.500290303	0.420741982	0.547382661	-0.449488956	-0.685314544	0.649874975	1.405496643	0.547114137	0.305606162	0.155400134	0.296410823	0.627211599	-0.442189261	0.058994196	0.123310462	0.21427973	-0.124081037	0.562504162	0.252070149	0.501719513	0.810391337	Persistent
G105	0.447609563	-0.186340925	-0.167006025	0.794229834	0.092408404	-1.018184298	-0.152409811	-0.003893052	1.807305625	-0.802685524	0.794229834	-0.306883972	0.153531684	-0.003893052	-0.570621694	0.053188639	-0.194279888	-0.125323179	-0.228172923	0.161663004	0.243901414	-0.150077802	-0.107527684	-0.333000676	-0.137352856	-0.031847472	-0.287627898	0.651700336	0.326121641	0.109241912	0.196071945	-0.242414893	-0.878569645	0.681093579	-0.844254188	-1.121769318	-0.404374809	0.140167008	-1.1023556	-0.186623219	-0.40105006	0.440410153	0.214668951	-0.336603205	0.276805446	1.151518299	0.597289591	0.10065857	0.474244291	-0.192363703	1.387894203	-0.921642035	-0.140929304	-0.255109965	-0.511321911	0.234934473	0.0	-0.299795329	-0.547750573	0.292731482	-1.015608692	-0.011808388	-0.716566587	0.029956816	-0.327552986	-0.197919788	1.151518299	0.446234536	0.072147732	0.558394919	-0.246572304	Waned
G108	-0.698926216	0.397802312	0.124791903	-1.545225128	0.361209134	-0.986259845	0.507952404	0.650633864	-0.07591634	0.698527629	-1.027149592	0.234127983	0.175659308	-0.101903785	-0.141515978	0.662655655	0.238955665	0.163996131	0.866243925	0.30201872	1.149657069	-0.869990303	-0.041332426	0.999491025	-0.561940728	0.02222506	-0.684243998	-0.185642152	0.086605525	0.451744207	0.131209999	-0.994699655	0.077824555	1.325853516	0.093804638	-0.853782775	0.07496316	-0.257925314	-0.20119769	-1.321225013	-0.436474079	0.351333274	0.629513135	-0.238143022	-0.751226573	0.141998038	-0.187645303	-0.65150821	0.279673597	0.321194891	1.310848534	0.632318986	0.428433631	-0.500095364	-0.855478387	0.275921449	1.744081665	0.580277679	0.140175622	0.278943235	0.022459204	0.23109787	0.331227612	0.378266914	0.424876602	-0.037805491	1.297944443	0.424554222	-0.013356501	-0.042724143	0.169371002	Persistent
G110	0.131634094	1.368613902	-0.312406045	2.068084904	0.497361192	-0.388936932	0.256788924	1.503943529	-0.654471912	-0.706801588	-1.514885892	0.20920819	0.002041658	-0.996291719	-0.259169527	-0.237454288	0.317098169	0.081072792	1.459893474	-0.011893534	0.562058217	-0.47863824	0.081257768	1.032596694	0.117054248	-0.305013204	-0.355538177	0.076883588	0.134676853	0.313495534	1.032596694	-0.340387025	-0.269389415	-0.327465439	0.846653106	-0.348004234	-0.493296734	-0.074385628	0.248513998	-0.842975514	-0.229363064	0.107706676	-0.927483588	-0.088360118	-0.112147566	0.33594476	0.42947039	-0.801359567	0.361425848	-0.161602375	0.743334164	0.788250674	-0.170761581	-0.065786538	-0.666187812	0.099329813	0.585504503	-0.887124353	-0.008075166	0.321166146	0.728721092	-0.193843601	0.003614099	0.051780687	0.093534071	0.182852304	-0.585394769	-0.039792723	-0.360685552	0.290288286	0.021460386	Persistent
G111	-0.019098332	-0.761527551	-0.192748657	-1.367642379	0.650490908	-0.658649744	0.818304598	0.480861346	-0.256589708	0.525416323	0.469629394	0.40541527	0.632871983	0.043201531	-0.177239325	-0.20248863	0.607815141	0.330800938	1.008710147	0.259508363	0.219175404	-0.608267742	0.343454742	0.76436613	0.030523473	-0.34052564	0.070447706	-0.133430591	-0.151834079	0.227382568	1.865078239	-0.12220985	0.558497129	0.389619905	0.926433219	-0.52526159	0.281520137	0.015867659	0.306900387	-1.662510161	-0.294484128	0.005598386	-0.4304611	-0.172808114	0.137650928	0.328960466	-0.273906275	-0.197568728	0.541173798	0.233962751	-0.304817657	0.301416069	0.080024657	0.128002847	-0.800720173	0.381999913	0.0	-0.048924379	-0.024342512	0.209085214	0.125178262	-0.081791275	1.035373196	0.425352754	0.734360377	-0.300603181	1.865078239	0.159295935	0.567627162	0.07367374	0.166370034	Persistent
G112	-0.297140953	-0.358923785	-0.67901131	-0.211522059	0.269185871	-1.169895349	-0.061980433	-0.609069519	1.366428445	-1.314810357	1.580701829	-0.678816113	0.161213399	0.149445482	-0.399237143	-0.36854014	0.027760978	-0.464058473	-0.48370157	0.768131616	0.566455666	-0.331221981	-0.166785302	-0.157594034	-0.09678601	-0.613425989	-0.47372282	3.786624684	0.058945972	-0.559453397	-0.054615023	-1.199584158	-0.430987723	0.83077656	-0.772712562	-1.266504275	-0.315281377	0.239611487	-0.762487123	0.039199806	-0.695499976	0.445328104	0.605579677	-0.862191479	0.905554016	2.045776734	0.466550028	-0.36459857	0.571104728	0.267569287	0.073385973	-1.186820726	0.47597393	-0.504422807	-0.739904422	-0.141426666	-0.215819806	-1.298731379	-0.511826658	0.307090029	0.22527837	-0.71620996	-0.094163861	1.154180013	-0.308555024	-0.366705988	0.410775097	0.945403499	-0.404895997	0.27391567	-0.277318196	Waned
G117	0.381374501	-0.64742381	-0.354853202	0.222784177	-0.136185668	-0.825397405	0.284984389	1.245325195	1.238693587	-0.005959051	0.444871333	-0.563135135	-0.208790796	1.414563856	-0.136700611	-0.018416564	-0.082983022	0.412981424	-0.516688288	0.356468852	0.531934929	-0.714854003	-0.249672964	0.390570331	-0.439877321	-0.804002201	-0.498897233	0.469425684	0.213931261	-0.387241804	-1.066357008	-0.671589503	-0.339881289	1.367361702	-0.411723236	-0.571194698	-0.433220758	0.529220749	-0.403175646	1.321779297	-0.02876298	0.11263014	0.48179387	-0.138281178	-0.308364233	0.13675564	-0.024952346	0.443189735	0.028359049	-0.287149991	1.120334942	0.397919092	0.344449001	-0.968917506	0.517722294	-0.161336464	-1.474033828	-0.769732947	-0.877422096	-0.262106949	-0.251752122	-0.403458204	-0.466323944	0.214526222	-0.271083578	-0.996945035	-0.553893835	0.2455331	-0.247909373	0.273636336	-0.023910705	Waned
