	AASS	CIC	ZNF516	CLDN7	EGR3	PLA2G4C	PPIH	TMEM184A	PKMYT1	NELL2	GPSM2	IRF4	NR2C2AP	GATAD2B	Class
G101	-0.322870767	-0.59206886	-0.427910358	0.300691818	0.450957248	1.656291413	-0.483780621	0.848686923	-1.095116654	-1.803759264	-1.041825129	-0.386486975	-0.112193722	-0.418020106	w
G102	-0.067103308	-0.375914037	-0.844351231	-0.024610958	0.572789633	1.891699685	-1.227275698	-0.324965708	-0.351994344	-0.376819096	0.096098849	-0.23792537	0.148565608	-0.096123736	w
G103	-0.708571454	-0.673006369	-1.115883286	-0.792275393	-1.130876109	0.000528637	-1.017679119	0.262145442	0.917075653	-1.423126811	0.450532794	0.219831513	0.249210631	-0.541469672	w
G104	0.431924796	0.132670221	-0.407784602	-0.483677791	1.055509442	0.625143917	0.592274893	-1.258703755	0.855316182	-0.449488956	-1.366700449	0.193437291	0.499530314	-0.046939898	P
G105	-0.186340925	-0.167006025	-1.018184298	-0.152409811	-0.003893052	1.807305625	-0.802685524	0.794229834	0.196071945	-0.333000676	0.10065857	0.053188639	0.440410153	-0.570621694	w
G108	0.397802312	0.124791903	-0.986259845	0.507952404	0.650633864	-0.07591634	0.698527629	-1.027149592	0.131209999	0.999491025	-0.65150821	0.662655655	0.351333274	-0.141515978	P
G110	1.368613902	-0.312406045	-0.388936932	0.256788924	1.503943529	-0.654471912	-0.706801588	-1.514885892	1.032596694	1.032596694	-0.801359567	-0.237454288	0.107706676	-0.259169527	P
G111	-0.761527551	-0.192748657	-0.658649744	0.818304598	0.480861346	-0.256589708	0.525416323	0.469629394	1.865078239	0.76436613	-0.197568728	-0.20248863	0.005598386	-0.177239325	P
G112	-0.358923785	-0.67901131	-1.169895349	-0.061980433	-0.609069519	1.366428445	-1.314810357	1.580701829	-0.054615023	-0.157594034	-0.36459857	-0.36854014	0.445328104	-0.399237143	w
G117	-0.64742381	-0.354853202	-0.825397405	0.284984389	1.245325195	1.238693587	-0.005959051	0.444871333	-1.066357008	0.390570331	0.443189735	-0.018416564	0.11263014	-0.136700611	w
G119	1.04161359	-0.193071026	-0.807037584	-0.11359313	0.73547201	0.899943094	0.558578831	1.043983313	-0.660612471	0.713936949	-0.976111096	0.217399052	-0.278265537	-0.329220703	P
G120	-1.063632939	-0.054436372	-0.95991925	0.012029029	0.497071682	2.693799899	-0.613878524	-0.547762357	0.171400234	0.115036262	0.199659583	-0.043629203	0.301522423	-0.347853758	w
G126	1.385987216	0.046683831	0.082695734	-0.533917579	0.73131617	0.0	-0.714301858	1.152459714	0.358377179	-0.399178737	-0.557984457	0.848674873	-0.028650575	0.441405961	P
G128	0.349878805	-0.170801857	-0.359708139	0.763444811	0.670782163	-0.15395215	-0.930145418	-0.9464239	1.013729382	-1.029926604	-0.230228378	0.72180082	-0.006034936	-0.108567656	P
G130	-0.235245979	-0.46231448	-1.685631644	-0.207118629	1.008693427	0.163182022	-1.351947701	0.934060114	1.833400196	-0.214633805	0.112473443	0.020636296	-0.124065526	-0.461243386	w
G302	0.175880852	-0.668544289	-0.996461954	-0.898677073	1.191559359	-0.261864695	0.443259306	-0.3247478	-0.19702744	-1.282716017	-0.308847172	-0.527763431	0.16371165	-0.336736004	w
G304	-0.988213511	-0.535398385	-0.714194887	-0.319583025	-0.85648849	1.263052479	-0.34712189	-0.409163516	-0.090244943	-0.409163516	-0.258379918	0.100263786	0.326072319	-0.219885374	w
G305	-0.702724404	-0.412482621	-1.188806573	-0.381146783	0.185296873	1.585391821	-1.306401049	0.643780828	-0.649606245	-0.791506209	0.475721819	-0.30772244	0.430620906	-0.51623576	w
G306	0.185147746	-0.128318389	-1.309422817	-0.269340978	0.788619592	1.109076338	0.014912553	0.0	-0.951553765	-1.718415237	-0.71363228	-0.565269907	0.137988049	-0.233156389	w
G311	0.196005932	0.186021472	0.031879429	-0.512702788	0.488235745	-0.095119981	0.833558998	-0.617107204	1.307594712	1.330497982	-1.535631395	0.652496399	-0.237139823	0.321991558	P
G313	-0.417776554	-0.015858808	-0.616684792	0.570609216	0.803085978	0.868960568	0.966688924	-0.845037543	1.673382528	0.429231532	-1.272285854	0.3592184	-0.084680007	0.062628171	P
G314	-0.984429441	-0.639873931	-1.385031204	-0.931482782	0.18753093	1.31491913	-0.504888476	0.601063766	-0.033119317	-0.595712484	-0.154143961	-0.171985783	0.246596595	-0.189755138	w
G315	0.31740445	0.125380047	-0.666254494	0.729069083	0.831673315	0.264470913	0.980955861	-1.281367039	1.60364341	-0.609160744	-1.238177003	-0.06261317	-0.260942425	0.233780122	P
G322	-0.974761289	-0.173088338	-0.344359868	0.931674785	2.480288635	0.095673752	0.529984944	-0.418989942	0.952540894	-0.888006473	-1.197257823	0.090637599	-0.132782519	0.210534882	P
G324	2.758075373	-0.164678035	-0.601117581	0.053528817	2.322085299	-0.053420788	0.119969716	1.782061025	1.098865378	0.142758545	-0.355519401	0.054106388	-0.245509056	-0.067650604	P
G332	1.129854141	-0.149695579	-0.245710312	0.370831669	1.495910922	0.034550385	-0.720149879	-1.573092103	1.379232145	0.390284187	-0.14403073	0.178242045	0.311815812	-0.005487355	P
G336	-0.046734191	0.399751012	-0.394025702	0.709866058	0.672727701	0.36406211	0.576414481	-0.870726104	1.328987174	0.582545762	-0.847451454	0.281757948	-0.218163113	0.604747145	P
G337	-0.233058676	-0.225692859	-0.75882191	-1.091491779	0.127051628	-0.132847001	-0.545728751	1.103217842	0.805652157	-1.074585983	-0.685283621	-0.214163729	0.785164323	-0.231800311	w
G347	0.90676579	-0.083889731	-0.348441561	1.291381714	1.523328042	1.187058998	-0.704839157	1.222784775	0.315140648	1.273238749	-0.521755361	0.424657204	0.146150436	0.075116087	P
G358	-1.102292702	0.458051665	0.244677545	-0.204471088	-0.109330286	0.122129432	-0.087741053	0.061462289	0.447258967	-1.438940436	-0.197618062	-0.314075549	0.683339524	0.338061393	w
