	NAT8B	LOC100128398	KRT18	CYBASC3	SENP5	HEATR3	BTAF1	LEMD2	BCKDHA	PIGM	Class
G101	0.604827685	0.021638307	0.164843692	0.63796917	-0.542281913	-0.030198985	-0.361476498	0.564627689	1.06947327	1.353935555	NO
G102	1.141429489	-0.811793337	-0.659336382	-0.520826409	-0.113723748	-0.142376664	-0.102386565	-0.227807117	0.175257293	0.015188534	NO
G103	0.569362599	-0.350782018	-0.236310536	0.123410732	0.078206968	-0.545661451	-0.147846931	0.407216316	0.510172416	0.298392432	NO
G104	-0.743972748	0.834635499	0.566764461	-0.617225692	0.427114894	0.416345053	0.315895404	-0.165835493	-0.200892828	-0.193411595	AE
G105	0.494841115	-0.996172499	-0.174069848	0.811961814	0.07482218	-0.388590505	-0.367425633	0.27734812	0.282002128	0.818316265	NO
G108	1.656430388	0.542557003	-0.184421883	0.039736635	-0.053004845	-0.45317426	-0.482252999	0.188042991	-0.111243504	0.003782742	NO
G109	0.853537645	-0.075286445	-0.397611825	-0.767655656	0.314582529	0.449077447	0.118985461	-0.304326844	-0.230050109	-0.313644816	NO
G110	0.949674366	0.048235601	0.571722857	0.041239428	-0.04524678	-0.255759874	-0.03353964	0.132058738	-0.243217206	-0.159025002	NO
G111	-0.634475528	-0.860990289	-1.25831339	0.326740076	0.011467384	0.177800386	0.153837483	0.163749619	-0.252007884	0.261533127	NO
G112	-0.37297772	1.265653354	-0.764354833	-1.026434252	0.304067041	0.779286025	0.644266973	-0.393369572	-0.822168489	-0.88831959	AE
G114	0.993259779	-1.112142305	-1.083037991	-0.344635477	0.202444829	-0.066871531	0.407403997	0.106819848	-0.028873254	0.026207462	NO
G117	1.436027661	0.187423269	-0.157019163	-0.344036191	-0.135424557	0.154168053	0.091187081	-0.032296917	0.141852466	0.04914557	NO
G119	-0.727074564	-0.488699103	-0.970034932	-0.776702162	0.870306261	0.321509505	0.640687093	0.153814585	-0.214336513	-0.201812552	NO
G120	-0.072977763	-0.672543674	0.133254443	-0.280471637	0.158999549	0.139032309	-0.411468983	-0.363608884	-0.802140351	-1.029621645	NO
G126	0.619639349	-0.729477603	-1.504732823	0.081573933	0.161761946	-0.405178719	-0.466053773	0.134817982	0.005072049	0.192418351	NO
G128	0.657233592	-0.081033857	1.043157508	-0.507160186	0.134184216	-0.198451502	-0.379013569	-0.076012637	-0.523797001	-0.289724274	NO
G130	0.294418196	0.555790346	-0.017567849	-0.659363869	0.200798768	0.563244486	0.35147438	-0.469262968	-0.59950394	-0.546228771	AE
G302	0.891809007	-0.766778638	-0.016017519	-0.001166429	0.068857899	-0.558157489	0.046589369	0.059211779	0.00501443	0.470335716	NO
G303	-0.364744469	1.989715631	0.63795537	-0.842145606	0.695999392	0.631388482	0.385480888	-0.660373512	-1.214888587	-0.829779115	AE
G304	0.379955069	1.93189356	-0.771697136	-0.015739184	0.036075593	-0.232146136	-0.402946001	0.296542855	0.365165309	0.795125958	NO
G305	0.585909379	-0.937037466	-0.419389655	0.227534775	-0.584976477	-0.388997959	0.007601375	0.005599781	0.063661465	0.01445387	NO
G306	-0.226030326	1.04681519	0.913563269	-0.569857515	0.26436341	0.294040581	0.042122226	-0.244410412	-0.228473179	-0.769781779	AE
G311	1.77447187	0.156781881	-0.210929881	-0.084293367	-0.217850697	-0.489957738	-0.415468108	0.31934799	-0.123470531	-0.244085525	NO
G313	-0.148066074	-0.160732033	0.092658221	-0.881731223	0.446221139	0.368000856	0.17254713	-0.338981559	-1.197072655	-0.51279979	NO
G314	3.523066333	-0.146095208	-0.673303636	-0.360409145	-0.377432196	0.61083554	-0.19827059	0.26529396	-0.456414165	-0.333289777	NO
G315	-0.67768331	-0.719951666	0.896679087	-0.338105558	0.656117577	1.290619784	0.097254339	0.101568312	-0.126510951	0.021915176	AE
G317	3.540586438	-0.041051186	-0.02371064	0.586268337	-0.486517176	0.579490834	-0.226670095	0.044543392	0.347239115	-0.202760425	NO
G322	1.901201776	0.615371656	0.32365462	0.534902516	-0.277316236	-0.378191227	-0.029417435	0.158874322	0.571857455	0.749118514	NO
G324	-0.421138044	0.620513575	0.620513575	-0.740677125	0.084857815	0.136344204	-0.284471854	-0.140473145	-1.290929348	-0.602107947	AE
G332	0.007562522	0.695907176	1.110815407	-0.999579439	0.491232184	0.782567516	0.619935052	-0.621151626	-1.501593395	-1.095778533	AE
G336	-0.559092988	-0.200222035	0.850702096	-0.509415828	0.091449904	0.284588567	0.265791222	0.035563807	-0.17747572	0.042248523	AE
G347	-0.563501482	0.462399298	-0.865837494	-0.172212482	0.315901057	0.515889851	-0.102200363	-0.087236212	-0.039673712	0.116134094	NO
G358	0.314608153	1.055348684	0.72961583	-0.846843347	0.542712075	-0.354393479	0.345253377	0.152911538	-0.89498996	-0.423296979	AE
