,RNF44,CENPW,ABT1,EIF1B,RAF1,TTC31,REPS1,FLVCR1,SOCS5,CARD16,PRKD3,ARGLU1,RFT1,LOC619207,CUL5,ZNF71,MEN1,PPIB,JAK1,COL19A1,BTBD19,FOXN3,SF3B3,DEPDC1,FAM102A,ALG12,QSOX1,THEM4,MARCH1,LOC339874,ITGAM,OR5M3,GFER,OR4F3,RNF44,YIPF2,GATSL2,PIK3R3,CENPW,ABT1,LOC100126784,GPR35,RAF1,TTC31,REPS1,ZNF750,SLC35D1,FLVCR1,SOCS5,MKRN7P,LOC728752,RFK,PAPD5,CARD16,OR8I2,ARGLU1,FANK1,RFT1,BLVRA,OR6A2,CUL5,LARS,MEN1,CIB1,YY2,KCNH3,FOXN3,EPHA1-AS1,DEPDC1,SF3B5,LOC100507250,ALG12,GNG12-AS1,C11orf63,OR4K13,LOC399753,NEXN,NUP93,Class
G101,2.0408310000000003,-0.282737,-0.42350200000000005,-0.7285149999999999,0.294187,-0.062136000000000004,-0.538226,-0.140308,0.533077,0.046143,-0.041891000000000005,-0.045558999999999995,-0.323115,0.451917,0.36847399999999997,0.41317200000000004,-0.11159100000000001,0.001741,-0.637012,0.472443,0.154162,-0.384848,-0.10610399999999999,1.0052590000000001,0.824275,-0.42866499999999996,-0.6649390000000001,0.22207600000000002,0.625747,-0.311546,-0.589213,0.0,0.7341340000000001,-0.264494,2.0408310000000003,0.7383529999999999,-0.608887,0.037567,-0.282737,-0.42350200000000005,0.59341,-0.234652,0.294187,-0.062136000000000004,-0.538226,0.6503399999999999,-0.186774,-0.140308,0.533077,-1.048023,-0.271565,-0.258787,0.282995,0.046143,0.0,-0.045558999999999995,-0.264494,-0.323115,0.677791,1.601809,0.36847399999999997,0.23825300000000002,-0.11159100000000001,0.138704,-0.080773,-1.049798,-0.384848,-1.291017,1.0052590000000001,-0.037518,0.716577,-0.42866499999999996,-1.055234,0.744506,0.0,-0.004737,0.507338,-0.134403,Waned
G102,0.240573,1.826091,0.05676799999999999,0.005463,0.767093,0.47263,0.285438,0.12912300000000002,-1.880856,0.696757,-0.179376,0.13783800000000002,-0.12150699999999999,0.24321399999999999,0.977261,0.225881,0.522101,-0.090573,0.498957,-0.44652,0.7208140000000001,-0.42695600000000006,-0.240265,-0.070112,0.45314899999999997,-0.313013,-0.046791,0.34376599999999996,0.661208,0.7007479999999999,-0.049476,0.0,0.278371,0.730503,0.240573,-0.359458,-0.304708,0.8510780000000001,1.826091,0.05676799999999999,0.0,-1.880856,0.767093,0.47263,0.285438,-0.508467,0.32909099999999997,0.12912300000000002,-1.880856,-0.43913599999999997,-1.376118,-0.23654099999999997,-0.696695,0.696757,0.0,0.13783800000000002,0.013687000000000001,-0.12150699999999999,1.587866,-0.597186,0.977261,0.733931,0.522101,-0.451391,-0.175735,-0.545266,-0.42695600000000006,-0.25640100000000005,-0.070112,-0.08744600000000001,-0.762512,-0.313013,0.364552,0.568691,0.0,0.2537,1.140717,0.045919,Waned
G103,-0.141726,0.889028,0.606189,-0.18975799999999998,-0.334992,0.05599,-0.46642100000000003,-0.078753,1.506916,0.164805,-0.404866,0.21753499999999998,0.430062,-0.241833,-1.137124,-0.41787399999999997,0.49426400000000004,0.389761,-0.531428,0.580021,-0.543983,-0.15345699999999998,-0.20615999999999998,0.368139,-0.647763,0.32592600000000005,0.340177,0.12100999999999999,-0.396994,-0.095194,0.12564,0.0,1.0029190000000001,0.172479,-0.141726,-0.393559,-0.143982,-1.664289,0.889028,0.606189,0.0,-0.46360200000000007,-0.334992,0.05599,-0.46642100000000003,0.031086000000000003,-0.612893,-0.078753,1.506916,0.961993,0.45258100000000007,-0.11648,-0.25667,0.164805,0.0,0.21753499999999998,0.031086000000000003,0.430062,-0.155897,0.30706300000000003,-1.137124,-0.506948,0.49426400000000004,-0.347613,0.557523,0.413962,-0.15345699999999998,0.7151689999999999,0.368139,0.31422,0.078713,0.32592600000000005,0.961993,-0.6324850000000001,0.0,-0.067596,0.709505,-0.124903,Waned
G104,-0.9829450000000001,-0.045467,-0.028143,-0.45873500000000006,0.063159,0.115096,0.159229,-0.523295,1.298007,0.736164,-0.09398200000000001,0.24426599999999998,0.647598,-0.023337,-0.629554,0.117075,-0.127477,0.200432,-0.25871,0.49285100000000004,-2.372512,0.269428,-0.056296000000000006,-0.211439,-0.08387,-0.06830800000000001,-0.100408,0.39113600000000004,0.343317,2.349175,-0.327491,1.017089,0.305845,0.466909,-0.9829450000000001,-0.35948800000000003,-0.9619840000000001,0.17638099999999998,-0.045467,-0.028143,-0.947507,-1.271359,0.063159,0.115096,0.159229,-1.320894,-0.048014,-0.523295,1.298007,0.466909,0.328596,-0.33714299999999997,0.156395,0.736164,0.0,0.24426599999999998,1.831707,0.647598,0.830259,1.017089,-0.629554,0.313677,-0.127477,0.5206810000000001,0.358682,-0.8689450000000001,0.269428,0.159686,-0.211439,0.152806,0.258732,-0.06830800000000001,0.466909,-0.831573,1.017089,0.172278,0.27165900000000004,0.04968,Persistent
G105,1.246097,0.8327209999999999,1.032993,-0.122592,-0.69394,-0.228791,-0.09070299999999999,0.12831700000000001,0.7189439999999999,-0.512081,0.184083,-0.544751,0.206279,0.03655,-1.739803,0.476279,1.080302,0.52755,-0.7340260000000001,0.691092,-0.817871,-0.147026,-0.044289999999999996,-1.214858,0.112782,0.645012,0.170316,0.5536939999999999,-0.358617,-1.215335,-0.15859600000000001,-1.759586,0.023316,0.116922,1.246097,0.33679699999999996,-0.110374,-1.283598,0.8327209999999999,1.032993,-0.83,-0.571345,-0.69394,-0.228791,-0.09070299999999999,0.311252,-0.059557000000000006,0.12831700000000001,0.7189439999999999,-0.25913200000000003,0.305012,-0.125971,0.36596,-0.512081,0.0,-0.544751,1.61258,0.206279,-0.190799,0.297091,-1.739803,-0.513452,1.080302,-0.9862860000000001,0.301084,-0.553635,-0.147026,0.21865900000000002,-1.214858,0.082462,0.527583,0.645012,0.697511,-0.057279,1.813652,-0.137906,0.5630649999999999,0.026246,Waned
G108,0.460215,0.45133,1.022599,0.5561520000000001,-0.622858,-0.58034,-0.239448,-0.366687,0.284352,1.491511,-0.35934499999999997,0.177239,-0.039999,0.047755,-0.399292,-0.376096,0.043646,0.418382,-1.112468,-2.0724970000000003,-0.291113,-0.37363,0.264322,0.8322940000000001,-1.517903,-0.17672000000000002,0.22651300000000002,-0.7681560000000001,-0.051852999999999996,1.24013,1.116753,1.8188509999999998,0.593843,2.33222,0.460215,-0.302146,-0.500954,0.132963,0.45133,1.022599,1.063334,-0.586309,-0.622858,-0.58034,-0.239448,0.047755,-1.063402,-0.366687,0.284352,1.24013,-0.328988,0.457323,-0.317449,1.491511,0.0,0.177239,0.6274930000000001,-0.039999,-0.221598,2.093988,-0.399292,-0.578904,0.043646,0.923365,-0.150977,0.573908,-0.37363,-0.330057,0.8322940000000001,1.1759870000000001,-1.838424,-0.17672000000000002,-0.782651,-0.4779,1.8970040000000001,-1.288889,0.004971,-0.116503,Persistent
G110,-0.4945,0.543309,-0.025427,-0.536111,0.249673,0.080299,-0.519224,-0.066955,-0.58307,0.585259,0.16048900000000002,0.068125,-0.494939,-0.149816,0.8016,0.371668,-0.025389,-0.157251,-0.250859,0.341858,-0.55035,0.16592,-0.232356,0.34530700000000003,0.046907,-0.293077,-0.16278,-0.450008,0.16098800000000002,-1.2590139999999999,0.346683,0.598585,0.428911,-1.217032,-0.4945,-0.182669,-0.31827,-0.029827999999999997,0.543309,-0.025427,0.470037,0.083626,0.249673,0.080299,-0.519224,0.097195,-0.077198,-0.066955,-0.58307,0.048236,0.50232,0.352531,0.134692,0.585259,0.0,0.068125,0.598585,-0.494939,0.621027,-0.55035,0.8016,-0.022819,-0.025389,0.10795,0.329152,-0.184158,0.16592,-0.227535,0.34530700000000003,-0.307185,-0.864964,-0.293077,-0.711754,0.435979,0.0,0.077502,-0.10564200000000001,0.068616,Persistent
G111,-0.59724,0.933422,0.7019880000000001,-0.689361,-1.0390709999999999,0.022073,-0.392859,0.15608699999999998,-0.28158099999999997,0.45075600000000005,-0.351112,0.24765500000000001,0.049145,-0.7431989999999999,-0.8533129999999999,-0.720589,0.022417,0.467199,-0.8189810000000001,0.36844699999999997,0.42788999999999994,-0.017942,0.11511199999999999,0.000396,-0.23860900000000002,0.30141799999999996,-0.41179799999999994,-0.280698,0.041014999999999996,-0.329214,-0.702713,-2.382564,0.866701,0.11681400000000002,-0.59724,-0.397882,-0.363719,-0.28158099999999997,0.933422,0.7019880000000001,-0.610538,0.172348,-1.0390709999999999,0.022073,-0.392859,-2.382564,-0.11576099999999999,0.15608699999999998,-0.28158099999999997,-1.833798,-1.12628,0.36337600000000003,-0.394369,0.45075600000000005,0.0,0.24765500000000001,0.172348,0.049145,0.657061,-1.038195,-0.8533129999999999,-0.442521,0.022417,0.042145,0.176602,-0.7828579999999999,-0.017942,-0.285802,0.000396,0.142322,-0.87779,0.30141799999999996,-1.77187,0.501491,-0.610538,-0.8258709999999999,-0.30186799999999997,0.21038800000000002,Persistent
G112,-2.353414,-0.45004799999999995,0.600626,0.817656,-0.838074,-0.300212,1.466518,1.7849509999999997,0.5124380000000001,0.42268599999999995,-0.11506300000000001,1.1477030000000001,0.306583,-0.025778,3.154862,0.27853,0.138799,1.4108180000000001,-0.175306,0.24471700000000002,0.337875,-0.810056,0.898537,1.3272680000000001,-0.551614,0.49597399999999997,0.421712,0.9042709999999999,-0.453934,1.7021849999999998,0.405769,-0.865574,0.25116900000000003,-1.4556280000000001,-2.353414,-1.046693,-1.923462,0.075084,-0.45004799999999995,0.600626,0.0,-0.902798,-0.838074,-0.300212,1.466518,0.025055,0.492275,1.7849509999999997,0.5124380000000001,-0.31399499999999997,-0.507411,0.046605,0.258484,0.42268599999999995,0.0,1.1477030000000001,-1.70865,0.306583,-0.21706,0.0,3.154862,1.6894930000000001,0.138799,0.618081,0.16717,-0.276776,-0.810056,0.691665,1.3272680000000001,0.527514,0.856,0.49597399999999997,0.025055,1.554324,-0.865574,-0.457838,0.7040850000000001,-0.316702,Waned
G117,-0.6114970000000001,0.21260500000000002,-0.636888,-0.699685,-0.124024,0.22379699999999997,-0.161424,-0.32361100000000004,-0.112043,0.786289,0.24013400000000001,0.500753,0.277486,-0.672358,0.703044,0.015577,-0.215693,-0.14185899999999999,-0.25288299999999997,-0.7998069999999999,-0.482088,-0.75902,0.056593,1.074686,0.447744,-0.5715819999999999,-0.9071899999999999,0.471254,0.942249,0.277266,-0.865167,-0.184937,0.419572,-0.277619,-0.6114970000000001,0.46508599999999994,-1.082864,0.246238,0.21260500000000002,-0.636888,-0.184937,-1.60432,-0.124024,0.22379699999999997,-0.161424,0.627238,0.19908399999999998,-0.32361100000000004,-0.112043,0.277266,0.573476,0.125629,0.27302600000000005,0.786289,0.0,0.500753,1.2593020000000001,0.277486,1.7701189999999998,0.0,0.703044,0.804104,-0.215693,0.220466,0.006573000000000001,-0.8807870000000001,-0.75902,0.041937,1.074686,0.189679,-0.008914,-0.5715819999999999,-0.9689180000000001,0.88899,-0.34883800000000004,-0.20581100000000002,0.530825,0.336777,Waned
