	RNF41	CENPV	ABR	EIF1AX	RAE1	TTC30A	REP15	FLT3LG	SOCS3	CAPZB	PRKCZ	ARG2	RFPL3	LOC595101	CUL4A	ZNF708	MELK	PPIAL4F	JAG2	COL15A1	BTBD10	FOXM1	SF3B14	DENND6B	FAM100A	ALG10B	QRSL1	THBS3	MAPK11	ZNF440	FCER2	LOC399815	CDK15	LOC646471	PET100	CDK1	PYURF	LOC100289361	FBXW11	SCARNA18	CRELD2	PLD6	FAM159A	ARMC5	SDHA	PPIAL4E	KLHL15	JPX	HBM	GAPDHS	FRYL	ZNF37BP	SUMF2	LSM7	PYROXD2	C17orf66	RPP21	SLC9A3R2	DHFRL1	WDR19	BFAR	RABL3	COG3	LOC389791	Class
G101	-0.661298237	-0.663807185	1.535002166	-0.124172256	0.465432805	-0.609549878	-0.363314296	0.862405333	1.108688389	-0.031039272	0.1141081	0.875275486	0.0	-0.13675831	0.231181369	0.372919371	-0.401326141	0.682070988	-1.540565164	-0.917551147	-0.490368146	0.857304942	0.139165042	-0.852999967	-0.246640753	0.985103051	0.170395437	0.531822773	0.831435284	-0.003485827	0.062510462	1.025219917	-1.481210541	0.338431067	0.029543129	0.385801311	0.060284978	-0.606704536	0.07570839	-0.358957837	-0.391794826	0.980765315	0.187170781	2.174021645	0.567751919	1.704568755	-0.273883671	0.573404591	0.598679512	0.573404591	-0.209251338	0.976908905	0.502745678	-0.41568659	0.402151167	1.084339882	-0.29298361	1.055092861	1.621848153	0.759787007	0.115891797	0.747181077	0.483190278	-0.785587468	Waned
G102	-0.420043624	0.130706563	0.058729855	0.022540239	0.756935445	-0.628790573	0.294069518	0.462700071	0.49447453	0.364850235	0.09155709	1.434206323	0.0	2.539663002	0.244651669	2.656665045	0.039692381	1.311184235	-1.329076922	-1.048491595	-0.469825201	1.074283282	0.020858458	0.329607625	0.594260631	5.013214615	-0.318076809	0.092083179	-1.812220071	1.939680649	-0.391650354	0.73826771	-0.315219935	-0.376688319	-0.181498293	0.68372546	0.391841433	0.189823503	0.219733974	-0.038853095	-0.344104543	0.420348366	0.265394909	0.419249702	0.661561393	1.488231885	0.810929251	-0.174870199	0.913540618	0.993282464	-0.205724083	0.605205922	0.4200092	-0.464680201	0.085727392	0.018713518	0.020875988	0.5913015	0.601044369	0.247532119	-0.120439855	0.629770506	0.202307599	-0.530052228	Waned
G103	0.721767386	0.141114604	0.212674958	0.374784635	-0.438204834	-0.081401813	-0.483532237	-0.17894373	0.588663563	-0.278024492	0.293180485	0.535222414	0.559735979	0.107716724	-0.034005808	0.821015386	0.656557615	-1.167941484	-0.419278852	0.307062641	0.578149839	0.76829942	0.754936229	-0.395668074	0.32028755	0.343441261	-0.02007747	0.497081993	-0.067571826	-0.223285583	0.017817708	0.307359676	-0.677141475	-0.175688494	0.622893418	0.371189781	-0.382583149	0.687451217	-0.469097438	-0.666714256	0.35221696	1.004000529	-0.143569833	-0.060359616	-0.252885096	-0.236310536	-0.524853523	-0.095194232	0.10053639	-0.141726047	-0.639681302	-0.017447246	-0.028155967	0.754417352	-0.122697226	-1.733775243	0.275976753	0.653759227	-0.606023685	-0.179617071	-0.199784008	-0.491326803	-0.53360213	1.035521776	Waned
G104	0.087773508	0.717032048	-1.29914166	0.633459458	-0.073229269	-0.864619881	1.01708927	0.06634501	-1.539338065	0.142861378	0.197086932	-0.540805221	1.831706648	-0.419553745	-0.064974492	0.343897679	0.945129432	-0.572213233	-0.124063747	0.59637781	0.07319303	2.157874399	0.858681681	-1.30694659	-0.178874905	0.077511606	0.076564192	-1.461659491	1.937110958	-0.324197489	0.094474079	-1.206948423	0.10899881	0.647876524	0.376325434	2.183567763	0.266760041	1.646241103	0.128881392	-0.315841191	0.241821158	-0.689821105	0.05316109	0.1944682	-0.49389254	-0.662325945	0.26268539	-0.35112953	-0.715136831	-0.124063747	0.038919385	0.051870339	-0.091932582	-0.100642989	0.235892378	-0.380165955	0.073640606	0.516248953	-0.201318743	-0.160785311	0.42188717	0.0858753	-0.312578673	-0.178400662	Persistent
G105	0.546964275	-0.028324699	2.389718828	0.098852111	0.215117421	-0.627684669	-1.561584829	0.268503836	-0.076651985	-0.325175897	0.279467124	2.355006041	-0.964117824	1.422706249	0.174689702	0.303553118	0.749548381	0.432550422	-0.236782375	-1.069087535	-0.961164714	-0.896622434	-0.689985785	0.180492668	0.305955049	0.766613904	-0.161531638	0.343289496	1.099849458	0.141171201	0.393432498	-0.626549446	-0.04296958	0.140652549	-0.792346442	0.855263743	-0.461631168	0.006870289	0.207770887	-0.886211859	-0.023065578	1.4823446	1.512907121	1.403474553	-0.219028013	0.343289496	-1.075893639	-0.829999897	0.738340976	0.25559527	-0.140823141	-0.140136349	0.088340702	0.421913098	0.442373336	0.59472541	-0.389874994	0.391819939	0.14222756	-0.222418957	0.028483046	0.415927916	0.532654416	1.133345803	Waned
G108	0.344241287	0.219193313	-0.164563079	-0.111722556	-0.54582171	0.672241567	2.806046872	0.007942077	2.471823006	-0.253001788	-0.424376997	-0.108768668	2.689025883	-1.621049594	-0.526788364	-1.972833109	1.016474448	-0.849086461	0.314358224	1.293884954	0.917925648	0.059956579	1.140445069	1.139835324	-0.824238595	-4.575061859	0.643240625	-0.448383163	1.425257074	-1.151457183	-0.758873794	-1.549038229	1.147429991	0.372144604	0.207943559	0.768093309	0.253334715	0.053453228	0.432021856	1.217630345	1.035725801	0.284351928	-0.389917445	-1.710779855	-0.080126446	-1.354446829	-0.064409179	1.534518818	0.165482348	-1.84598545	-0.06869921	-0.155257753	-0.295826948	0.609315187	0.642682435	-0.292094244	0.930972975	0.410688052	-0.531660193	-1.180703833	0.159272043	-0.006823555	-0.506931937	1.596661724	Persistent
G110	-0.15859083	0.441942216	0.202500509	0.238692942	-0.193048576	-0.350465857	0.072621939	0.176976072	0.379202619	-0.248956036	0.049382276	-0.721303027	0.79600752	0.266578371	0.009351308	0.551581118	0.804483644	0.408009152	0.577376283	0.888626371	-0.222958911	0.604710023	0.232767744	0.024534518	-0.086001098	-0.207650721	0.111190028	-1.352556192	-0.322467203	-0.218505284	-0.474603444	-0.660431593	1.095394792	-0.060386919	-0.10936431	1.075800392	0.384495421	1.480122599	-0.133862497	-0.241508174	0.062917859	-0.020527464	-0.125636591	1.607226671	-0.054258396	-0.741473583	-0.133352914	1.836390602	0.31203647	1.082708005	0.335465595	-0.339005562	0.097132601	0.067353538	0.009065156	-0.362205805	-0.033826973	-0.086669377	0.830545998	-0.715166675	-0.079698145	-0.458984291	-0.003795088	0.264209286	Persistent
G111	-0.075304247	0.442389111	0.000381488	0.575434831	-0.793695952	-0.356351202	-2.648070577	-0.125482324	-1.556750738	-0.799666529	-0.180291355	-0.364525683	0.610694569	-2.056920053	-0.151615708	-2.456919782	2.201321613	-0.544400747	1.011003228	1.861943826	-0.029735577	1.097681429	1.391141765	0.854985343	-1.362150094	-4.930850438	0.660570357	-1.869223339	0.643707367	-1.27985829	-0.057278511	-1.008927291	1.232210463	0.382832949	0.596134953	2.225338167	0.786563691	-0.267747484	-0.818556854	0.113591815	0.622298194	0.723727116	-0.407527268	-2.489714217	-0.463514894	-2.056920053	-0.415840544	1.038428014	-1.071080438	-1.024973306	0.498337009	0.256084184	-0.235709587	1.608062868	-0.241267372	-0.366966854	-0.488009424	0.049504155	-0.588691665	-0.151982459	0.666376806	-0.474061398	-0.523678452	0.059558896	Persistent
G112	0.823167531	0.158355821	0.158355821	0.47799962	0.559558503	0.25775703	0.0	-0.178719453	-1.439268249	-0.138169713	0.069578819	0.629668612	0.0	0.0	-0.070728051	-3.880929476	-0.567644976	1.163039165	0.70408513	-0.365504639	0.981508811	-1.056833739	0.10946541	0.481626411	-0.233811741	-4.586032525	-0.272382551	-1.667041161	-1.395479923	-0.814123368	-0.113225142	-0.450047941	0.091821042	-0.862913376	-0.316494608	0.254050737	0.0840102	-1.900229109	-0.567864039	0.898417087	0.520114072	0.674530418	0.24471725	-1.257739497	0.214810229	0.0	0.3183044	0.83661075	-0.552063617	0.0	-0.394238188	-0.151211554	0.101864251	0.174234287	-0.208326805	1.327267765	0.244235481	-0.432394434	0.602977015	0.720664166	-0.311786212	0.220791095	0.16052325	0.198293325	Waned
G117	-0.662515526	-0.413050473	1.273931742	0.041124317	0.300156706	-0.573250249	-0.49600415	-0.402487326	0.407656084	-0.018784681	-0.083056562	-0.102683813	-0.348838245	0.61491816	0.310917286	-0.372206137	0.821647722	0.807447388	-0.557962866	0.626104116	-0.640883136	-0.827068196	-0.328178588	-0.767370981	0.331012732	0.064889389	-0.246071851	0.188341594	0.766868552	0.520933768	-0.130427015	1.313615572	0.327972159	0.330044115	-0.126230167	1.077091566	0.542530615	-0.723403363	0.409470208	-0.148318723	0.064987013	0.102705342	0.137024354	0.209245648	0.450625484	1.029705115	0.261447019	-0.096780444	-0.254623765	0.565276511	-0.317579362	1.096948629	0.514766558	0.406973808	0.245178837	0.862960373	0.397192005	0.676772156	0.118066576	0.340649425	0.077956786	0.579856544	0.416075222	-1.035671083	Waned
