	CENPV	EIF1AX	REP15	FAM100A	ARG2	MELK	SF3B14	LOC399815	LOC646471	LOC595101	FOXM1	Class
G101	-0.663807185	-0.124172256	-0.363314296	-0.246640753	0.875275486	-0.401326141	0.139165042	1.025219917	0.338431067	-0.13675831	0.857304942	w
G102	0.130706563	0.022540239	0.294069518	0.594260631	1.434206323	0.039692381	0.020858458	0.73826771	-0.376688319	2.539663002	1.074283282	w
G103	0.141114604	0.374784635	-0.483532237	0.32028755	0.535222414	0.656557615	0.754936229	0.307359676	-0.175688494	0.107716724	0.76829942	w
G104	0.717032048	0.633459458	1.01708927	-0.178874905	-0.540805221	0.945129432	0.858681681	-1.206948423	0.647876524	-0.419553745	2.157874399	P
G105	-0.028324699	0.098852111	-1.561584829	0.305955049	2.355006041	0.749548381	-0.689985785	-0.626549446	0.140652549	1.422706249	-0.896622434	w
G108	0.219193313	-0.111722556	2.806046872	-0.824238595	-0.108768668	1.016474448	1.140445069	-1.549038229	0.372144604	-1.621049594	0.059956579	P
G110	0.441942216	0.238692942	0.072621939	-0.086001098	-0.721303027	0.804483644	0.232767744	-0.660431593	-0.060386919	0.266578371	0.604710023	P
G111	0.442389111	0.575434831	-2.648070577	-1.362150094	-0.364525683	2.201321613	1.391141765	-1.008927291	0.382832949	-2.056920053	1.097681429	P
G112	0.158355821	0.47799962	0.0	-0.233811741	0.629668612	-0.567644976	0.10946541	-0.450047941	-0.862913376	0.0	-1.056833739	w
G117	-0.413050473	0.041124317	-0.49600415	0.331012732	-0.102683813	0.821647722	-0.328178588	1.313615572	0.330044115	0.61491816	-0.827068196	w
G119	1.232485796	1.11196793	0.316128508	-1.226214117	1.029837285	1.351847175	1.157369162	-0.448615424	-0.213922657	0.0	1.134245651	P
G120	-0.107090198	0.034224314	-0.009827785	0.699730296	-0.017384715	-0.46473338	-0.489588868	0.220572157	-0.364391108	1.712126712	0.214054972	w
G126	-0.864285246	-0.236107859	0.0	0.858029306	0.19426948	1.185561711	-0.610330346	-0.208548257	0.247206247	2.144206266	1.342855657	P
G128	0.764474078	0.805787121	-0.00568633	0.236105171	0.633167502	2.519657049	1.056713504	0.496788776	-0.563099657	-0.792940221	2.816077238	P
G130	-0.0722792	0.251482656	-1.485124545	-0.135717218	1.295058259	0.810937145	-0.343424825	1.862761933	-0.58932516	0.204139347	0.043253483	w
G302	-0.162036271	0.182545071	-0.457408902	0.863821613	1.721609205	-0.362447887	-0.339213926	0.23499377	-0.442359537	0.551114918	1.896276488	w
G304	-0.494733838	0.09249237	-1.02669851	-0.081339804	0.007849195	1.513303685	-0.109008793	-0.838767952	-0.109008793	-0.607507937	-0.542576981	w
G305	-0.820146567	-0.138808507	-1.972149439	0.463902304	0.499651182	-0.357445017	-0.943629303	0.066494747	-0.464949231	1.407910132	0.941705367	w
G306	-0.215596172	-0.382181996	-0.43182274	1.09590587	0.880953235	-0.747684787	-0.068402139	0.818417969	-0.116152334	2.660332499	-0.160829455	w
G311	-0.971221341	0.642830104	2.042249729	0.013063737	1.211517731	0.409758436	0.045979668	-1.698553652	0.250801622	0.0	1.707952393	P
G313	0.534349818	0.382717126	2.660521224	-0.375226544	0.167236273	1.261337954	0.199390832	-1.541774263	0.400745304	0.0	1.127815757	P
G314	-0.271357494	-0.51332104	-1.409350729	-0.689918119	1.519417767	1.619768693	0.145039037	-1.262836889	-0.390300871	-0.634183083	1.881580069	w
G315	1.03381262	0.616097871	-1.596949174	-0.810893749	0.151559321	1.385955547	0.561208708	-0.889235818	0.291666623	0.0	0.35698083	P
G322	-0.75955714	-0.360976818	3.633660449	-0.652612328	-0.104659709	0.172908967	0.163382503	-0.361883832	0.359567286	-1.683776846	1.180496361	P
G324	-0.380975081	1.11552296	0.792016558	-0.265448516	-0.467387077	0.816618798	0.769190282	-0.303113278	0.31563277	-0.659702916	1.569927663	P
G332	1.348010113	0.731683193	0.482775324	-1.119113942	0.747187567	2.635789408	-0.054332031	-0.748944801	-0.06418428	-1.781913171	1.997982459	P
G336	-0.238062469	0.289812681	-0.044700713	-0.405361817	-0.400037411	0.304741074	-0.089064584	-0.415435484	0.162516731	-0.891301121	0.546932149	P
G347	0.219283997	0.679023676	1.436866903	-0.559191284	-0.589987233	1.433686794	-0.144703897	0.160472892	-0.158892466	-1.228514469	1.477545471	P
G358	0.113012011	0.319951378	-0.698000223	0.149984666	0.999083138	0.274998543	-0.24471013	-0.1358369	-0.219336519	-0.535606528	-0.755826166	w
