	CENPV	ABR	EIF1AX	RAE1	REP15	CAPZB	PRKCZ	ARG2	RFPL3	LOC595101	CUL4A	ZNF708	FAM100A	MELK	MAPK11	ZNF440	THBS3	SF3B14	FCER2	LOC399815	CDK15	LOC646471	FOXM1	PYURF	LOC100289361	FBXW11	COL15A1	FAM159A	SDHA	PPIAL4E	KLHL15	HBM	Class
G101	-0.663807185	1.535002166	-0.124172256	0.465432805	-0.363314296	-0.031039272	0.1141081	0.875275486	0.0	-0.13675831	0.231181369	0.372919371	-0.246640753	-0.401326141	0.831435284	-0.003485827	0.531822773	0.139165042	0.062510462	1.025219917	-1.481210541	0.338431067	0.857304942	0.060284978	-0.606704536	0.07570839	-0.917551147	0.187170781	0.567751919	1.704568755	-0.273883671	0.598679512	w
G102	0.130706563	0.058729855	0.022540239	0.756935445	0.294069518	0.364850235	0.09155709	1.434206323	0.0	2.539663002	0.244651669	2.656665045	0.594260631	0.039692381	-1.812220071	1.939680649	0.092083179	0.020858458	-0.391650354	0.73826771	-0.315219935	-0.376688319	1.074283282	0.391841433	0.189823503	0.219733974	-1.048491595	0.265394909	0.661561393	1.488231885	0.810929251	0.913540618	w
G103	0.141114604	0.212674958	0.374784635	-0.438204834	-0.483532237	-0.278024492	0.293180485	0.535222414	0.559735979	0.107716724	-0.034005808	0.821015386	0.32028755	0.656557615	-0.067571826	-0.223285583	0.497081993	0.754936229	0.017817708	0.307359676	-0.677141475	-0.175688494	0.76829942	-0.382583149	0.687451217	-0.469097438	0.307062641	-0.143569833	-0.252885096	-0.236310536	-0.524853523	0.10053639	w
G104	0.717032048	-1.29914166	0.633459458	-0.073229269	1.01708927	0.142861378	0.197086932	-0.540805221	1.831706648	-0.419553745	-0.064974492	0.343897679	-0.178874905	0.945129432	1.937110958	-0.324197489	-1.461659491	0.858681681	0.094474079	-1.206948423	0.10899881	0.647876524	2.157874399	0.266760041	1.646241103	0.128881392	0.59637781	0.05316109	-0.49389254	-0.662325945	0.26268539	-0.715136831	P
G105	-0.028324699	2.389718828	0.098852111	0.215117421	-1.561584829	-0.325175897	0.279467124	2.355006041	-0.964117824	1.422706249	0.174689702	0.303553118	0.305955049	0.749548381	1.099849458	0.141171201	0.343289496	-0.689985785	0.393432498	-0.626549446	-0.04296958	0.140652549	-0.896622434	-0.461631168	0.006870289	0.207770887	-1.069087535	1.512907121	-0.219028013	0.343289496	-1.075893639	0.738340976	w
G108	0.219193313	-0.164563079	-0.111722556	-0.54582171	2.806046872	-0.253001788	-0.424376997	-0.108768668	2.689025883	-1.621049594	-0.526788364	-1.972833109	-0.824238595	1.016474448	1.425257074	-1.151457183	-0.448383163	1.140445069	-0.758873794	-1.549038229	1.147429991	0.372144604	0.059956579	0.253334715	0.053453228	0.432021856	1.293884954	-0.389917445	-0.080126446	-1.354446829	-0.064409179	0.165482348	P
G110	0.441942216	0.202500509	0.238692942	-0.193048576	0.072621939	-0.248956036	0.049382276	-0.721303027	0.79600752	0.266578371	0.009351308	0.551581118	-0.086001098	0.804483644	-0.322467203	-0.218505284	-1.352556192	0.232767744	-0.474603444	-0.660431593	1.095394792	-0.060386919	0.604710023	0.384495421	1.480122599	-0.133862497	0.888626371	-0.125636591	-0.054258396	-0.741473583	-0.133352914	0.31203647	P
G111	0.442389111	0.000381488	0.575434831	-0.793695952	-2.648070577	-0.799666529	-0.180291355	-0.364525683	0.610694569	-2.056920053	-0.151615708	-2.456919782	-1.362150094	2.201321613	0.643707367	-1.27985829	-1.869223339	1.391141765	-0.057278511	-1.008927291	1.232210463	0.382832949	1.097681429	0.786563691	-0.267747484	-0.818556854	1.861943826	-0.407527268	-0.463514894	-2.056920053	-0.415840544	-1.071080438	P
G112	0.158355821	0.158355821	0.47799962	0.559558503	0.0	-0.138169713	0.069578819	0.629668612	0.0	0.0	-0.070728051	-3.880929476	-0.233811741	-0.567644976	-1.395479923	-0.814123368	-1.667041161	0.10946541	-0.113225142	-0.450047941	0.091821042	-0.862913376	-1.056833739	0.0840102	-1.900229109	-0.567864039	-0.365504639	0.24471725	0.214810229	0.0	0.3183044	-0.552063617	w
G117	-0.413050473	1.273931742	0.041124317	0.300156706	-0.49600415	-0.018784681	-0.083056562	-0.102683813	-0.348838245	0.61491816	0.310917286	-0.372206137	0.331012732	0.821647722	0.766868552	0.520933768	0.188341594	-0.328178588	-0.130427015	1.313615572	0.327972159	0.330044115	-0.827068196	0.542530615	-0.723403363	0.409470208	0.626104116	0.137024354	0.450625484	1.029705115	0.261447019	-0.254623765	w
G119	1.232485796	-1.13239825	1.11196793	-1.293862589	0.316128508	-0.344455244	-1.165830115	1.029837285	-1.935899573	0.0	-0.313506593	0.078848109	-1.226214117	1.351847175	0.698039064	-0.048875411	-1.073899748	1.157369162	-0.329437704	-0.448615424	0.519839604	-0.213922657	1.134245651	0.889483988	0.421576619	-0.784285006	1.015642444	0.052642864	-0.163369752	0.0	-0.607518117	-1.361713334	P
G120	-0.107090198	0.708923358	0.034224314	-0.115247219	-0.009827785	0.114636777	0.062841919	-0.017384715	0.0	1.712126712	-0.020367898	3.716134131	0.699730296	-0.46473338	-0.891940578	1.586456906	0.118831453	-0.489588868	0.150650218	0.220572157	0.860490716	-0.364391108	0.214054972	-0.426870429	-1.18512795	0.250074356	0.705260733	0.160218644	-0.164937613	0.541303608	-0.05114654	-1.17543824	w
G126	-0.864285246	-0.227343098	-0.236107859	0.539409079	0.0	0.005870452	0.74622885	0.19426948	-0.037124386	2.144206266	0.115561674	1.061886932	0.858029306	1.185561711	-0.408721006	1.604479463	-0.794680302	-0.610330346	-0.109253226	-0.208548257	0.112369071	0.247206247	1.342855657	-0.274933744	-1.011490948	-0.022400148	1.105144755	-6.05e-05	-0.227396203	0.573996278	-0.756512159	-0.431331502	P
G128	0.764474078	-0.976707583	0.805787121	-0.616118854	-0.00568633	-0.300939071	-0.828545962	0.633167502	0.819902797	-0.792940221	-0.059708719	0.61101165	0.236105171	2.519657049	1.381002154	-0.432200106	-0.727968075	1.056713504	-0.47395151	0.496788776	1.104279809	-0.563099657	2.816077238	0.681142582	0.220998795	-1.071716905	-0.00568633	-0.05659738	0.016001465	0.681178609	-1.098800937	0.750728181	P
G130	-0.0722792	0.752301408	0.251482656	-0.447053582	-1.485124545	0.090876475	0.258293069	1.295058259	-0.596548227	0.204139347	0.056342838	1.444679494	-0.135717218	0.810937145	-0.553605776	0.808931527	-0.726193373	-0.343424825	0.534370773	1.862761933	0.574354158	-0.58932516	0.043253483	-0.174586292	-0.116786703	-0.488575421	1.178640404	0.235141927	-0.25634055	-0.115017383	0.055010804	0.498635074	w
G302	-0.162036271	1.363566499	0.182545071	-0.510325611	-0.457408902	-0.290372466	0.223041523	1.721609205	0.0	0.551114918	0.378452854	0.668394158	0.863821613	-0.362447887	-1.109369245	0.032122932	-0.347971869	-0.339213926	0.095113463	0.23499377	-0.803527729	-0.442359537	1.896276488	-0.3982059	0.593653974	-0.22246956	0.705795687	0.909725357	0.030395395	-0.457408902	-0.411337517	1.767216431	w
G304	-0.494733838	2.155889224	0.09249237	-0.297200661	-1.02669851	-0.253903155	0.145881232	0.007849195	0.0	-0.607507937	-0.149652875	1.624193866	-0.081339804	1.513303685	-1.01086377	0.426487412	-0.49854458	-0.109008793	-0.00486304	-0.838767952	-0.611932888	-0.109008793	-0.542576981	0.110989163	-0.323455383	0.30470652	-0.777637299	-0.074817093	0.038511881	0.617608168	-0.168437892	0.351396889	w
G305	-0.820146567	0.066494747	-0.138808507	0.363520394	-1.972149439	-0.048182815	0.20345544	0.499651182	0.419922835	1.407910132	0.318669497	3.618270371	0.463902304	-0.357445017	0.97676164	1.469450917	-1.051289957	-0.943629303	0.250794267	0.066494747	-0.057966643	-0.464949231	0.941705367	-0.148148437	-0.50592708	0.72176738	0.372085096	0.292248718	0.2078002	1.407910132	-0.111720298	0.876582456	w
G306	-0.215596172	0.194631946	-0.382181996	-0.36921754	-0.43182274	0.135552389	-0.134018988	0.880953235	0.0	2.660332499	-0.371238491	3.294950622	1.09590587	-0.747684787	-1.099889005	1.295674014	-0.111698109	-0.068402139	0.13057854	0.818417969	-1.188323888	-0.116152334	-0.160829455	0.475535287	-0.984523814	0.369093905	-1.555244947	1.113904936	0.498801149	1.714032694	0.600948889	0.510580324	w
G311	-0.971221341	0.784196715	0.642830104	-0.716318987	2.042249729	-0.542445129	-0.662896541	1.211517731	2.108409699	0.0	-0.093813952	0.551245556	0.013063737	0.409758436	-1.14230388	-0.494839962	-0.480198513	0.045979668	-0.534422452	-1.698553652	2.119875115	0.250801622	1.707952393	0.782536863	1.346234262	-0.304237972	-0.029094132	-0.71616058	0.04145356	0.0	-0.479855209	0.741979657	P
G313	0.534349818	0.752942371	0.382717126	-0.564039735	2.660521224	-0.076479886	-0.864512675	0.167236273	3.266636572	0.0	-0.594271482	-0.137722965	-0.375226544	1.261337954	1.045003167	-1.050210241	-0.625957102	0.199390832	-0.266507846	-1.541774263	-0.499715287	0.400745304	1.127815757	0.318223376	1.141330743	-0.645829559	0.324059202	-0.215497507	-0.423804948	0.0	-1.154094178	-0.398701662	P
G314	-0.271357494	0.219207641	-0.51332104	-0.061854769	-1.409350729	-0.084260697	-0.379894507	1.519417767	0.792677335	-0.634183083	0.677926495	-2.833028102	-0.689918119	1.619768693	-0.216579764	-1.913592539	-1.629343904	0.145039037	-0.517117003	-1.262836889	0.332681217	-0.390300871	1.881580069	0.359311	1.205595499	0.152555181	-0.609507784	-0.286849982	0.064996448	-1.073215144	0.257863448	0.711766348	w
G315	1.03381262	1.136284684	0.616097871	-0.451205662	-1.596949174	-0.647507741	-0.188433697	0.151559321	-2.778913541	0.0	-0.942190757	0.011918264	-0.810893749	1.385955547	0.114762633	0.097073636	-0.921170221	0.561208708	-0.473979681	-0.889235818	1.590792438	0.291666623	0.35698083	0.893418539	-0.700301655	-0.721823891	0.233582644	0.563022698	-0.056279391	0.0	-0.461721184	-0.370342911	P
G322	-0.75955714	-0.951504703	-0.360976818	0.050550726	3.633660449	-0.414359401	-0.094437594	-0.104659709	3.740168757	-1.683776846	-0.060189859	-2.664335201	-0.652612328	0.172908967	0.619435661	-2.147388875	0.20413679	0.163382503	-0.536971752	-0.361883832	0.035322839	0.359567286	1.180496361	-0.594125744	1.248178917	-0.296670029	-0.164723933	0.093054597	0.178491404	-0.452890412	-0.36637327	0.339520151	P
G324	-0.380975081	1.607278783	1.11552296	-1.33156239	0.792016558	-0.42807746	-0.617562525	-0.467387077	2.146942358	-0.659702916	-0.238332649	0.295522126	-0.265448516	0.816618798	-0.015948181	0.143770338	-0.415799327	0.769190282	-0.851060822	-0.303113278	0.985267536	0.31563277	1.569927663	0.370735818	0.94144733	-0.404482843	0.792016558	-0.475989876	-0.521498895	-1.273979116	-0.849390281	-0.90231293	P
G332	1.348010113	0.588269046	0.731683193	-1.23168955	0.482775324	0.068773232	-0.449939329	0.747187567	-1.032247667	-1.781913171	-0.025679287	-2.017643117	-1.119113942	2.635789408	1.427547823	-1.983983836	-1.726870351	-0.054332031	0.586968668	-0.748944801	0.810989975	-0.06418428	1.997982459	0.347949301	0.318836678	-0.883986042	1.245596459	0.221125649	-0.72561664	-1.455235701	-0.859078965	-1.185712633	P
