	hsa-miR-215-3p	hsa-miR-640	hsa-miR-6732-5p	hsa-miR-1199-3p	hsa-miR-5591-3p	hsa-miR-3151-3p	hsa-miR-187-5p	hsa-miR-1470	hsa-miR-648	hsa-miR-4733-3p	hsa-miR-1283	hsa-miR-330-5p	hsa-miR-524-5p	hsa_piR_016735_DQ593039	hsa-miR-1273e	hsa-miR-4449	hsa-miR-4517	hsa-miR-4684-3p	hsa-miR-1471	hsa-miR-149-3p	hsa-miR-676-5p	hsa-miR-6511a-3p	hsa-miR-6727-5p	hsa-miR-6723-5p	hsa-miR-200c-5p	hsa-miR-6733-3p	hsa-miR-4515	hsa-miR-6806-5p	hsa-miR-6810-5p	hsa-miR-1233-3p	hsa-miR-1180-5p	hsa-miR-4524b-5p	hsa-miR-10b-3p	hsa-miR-133a-5p	hsa-let-7f-2-3p	hsa-miR-6865-3p	hsa-miR-1268a	hsa-miR-6836-5p	hsa-miR-6845-3p	hsa-miR-6850-5p	hsa-miR-2276-5p	hsa-miR-5189-5p	hsa-miR-378d	hsa-miR-376c-3p	hsa-miR-520g-5p	hsa-miR-503-3p	hsa-miR-4466	hsa-miR-3939	hsa-miR-4323	hsa-miR-3960	hsa-miR-4260	hsa-miR-3665	hsa-miR-629-3p	hsa-miR-642a-5p	hsa_piR_020365_DQ597975	hsa-miR-6125	hsa-miR-4666b	hsa-miR-4725-5p	hsa-miR-6751-5p	hsa-miR-3122	hsa-miR-29a-5p	hsa-miR-6784-5p	hsa-miR-3141	hsa-miR-1227-5p	hsa-miR-7157-5p	hsa-miR-7162-3p	hsa-miR-3119	hsa-miR-365a-5p	hsa-miR-1304-3p	hsa-miR-4755-3p	hsa-miR-3124-3p	hsa-miR-6875-3p	Class
G103	0.853955616	-0.377722083	-2.27888522	-0.364615095	-0.097134783	-0.374115472	0.004707357	0.305302679	-1.171135365	-0.304991111	0.021509713	-0.448978456	-0.191652382	-0.298047478	-0.821609434	0.361155914	-1.6414553	0.607126646	-0.244888404	-0.498497345	-0.8640536	0.313998261	0.008358345	-0.5780864	-0.698536395	-2.107118872	-1.301705928	-1.834100378	-0.249137876	-0.264734732	-0.614983088	-1.026745456	-0.261061044	-0.868047709	-0.476371561	-0.413394129	0.132216497	-0.892203332	0.574364468	-0.760571342	-0.660768775	-1.004025379	-0.608835015	-0.766986181	-0.484157906	-1.163805823	-0.623533392	-0.210143745	-1.166176428	-1.541209988	-0.377242702	0.78155892	0.494848145	-1.103860647	0.741928999	-0.509665427	-1.046076183	-0.746152678	-0.508487236	-0.691435148	-1.341895017	-0.448810222	0.190477646	-0.031546442	-1.036917261	-2.156028472	0.096190651	-0.18343463	-1.044916447	-1.448209224	-0.201267027	-1.126281129	NO
G104	-3.86476895	0.445724248	-3.334254234	1.140525349	1.04866449	0.697150903	0.236208696	0.420633268	4.643025689	1.665745766	1.420633268	-0.455560531	4.157598862	-0.975884144	0.987673861	3.894564456	3.964953785	1.268630175	3.742561362	-1.437347728	2.241663127	2.779087239	2.237769211	0.835670767	2.106972789	1.28045561	2.536110485	1.608260271	1.795028783	2.643025689	2.398090699	1.005595768	3.041139886	1.338171108	-2.090328652	2.157598862	-0.109881449	0.314838604	1.624166662	2.268630174	1.366185484	-0.236479019	2.835670768	1.193718288	1.028315845	1.768556571	3.621545962	-2.183188261	3.536110485	3.389657618	1.321097595	1.947179082	-1.031062702	-0.671289222	-0.41879436	1.282353893	1.580629152	1.626442805	0.073830504	3.295102386	-0.542840856	0.88629684	2.457722587	-0.78581761	4.327523864	1.420633267	2.643025689	3.781489729	4.445724248	1.783203348	2.755328659	-5.022310227	AE
G108	0.464870933	-0.10706162	0.112445411	-0.309018357	0.048422485	0.195968766	0.052083543	-0.591772647	0.847850491	-0.383721358	-0.2617221	0.62236358	-1.119609384	0.551730456	-0.046381882	0.125384466	0.087416616	0.104625906	0.777461163	0.298293326	0.352794962	-0.135482103	-0.584557954	0.37506049	-0.490734948	-1.055902751	0.412005692	0.324455813	0.104625906	-0.408209643	0.094687669	0.22492014	0.008894121	-0.075679445	0.973958566	-0.176234646	-0.115623632	-0.41893605	1.22492014	-0.097007955	0.413953965	-0.249011048	0.02786796	0.2584727	-0.097007955	-0.472874856	0.812794236	0.187259088	-0.41595835	0.053771997	-1.070040908	0.769725514	0.721153722	-0.568313674	0.538758916	0.027439415	0.415640341	0.1582491	-0.630802271	0.318029544	-0.77507986	1.095637123	0.093214461	-0.336195619	-0.983797345	-1.884014232	-1.266932956	0.100931423	0.010253011	0.635296262	-0.54101963	-0.104702347	NO
G110	-0.714783291	0.152514172	0.572704159	-0.143736038	-0.158883256	-0.278266063	-0.085233893	-0.880814376	-0.318791547	-0.269770732	-0.564959496	-0.045363255	0.048177512	0.347531915	-0.007798694	-0.113879246	-0.399281465	0.371036078	-0.223281949	-0.464984712	-0.086048071	0.200631377	0.557048063	-0.311818624	-0.383210772	0.031103999	0.453971168	-0.52406309	-0.221976933	0.083500641	-0.814318965	-0.765409363	-0.612586014	0.295384955	0.341057729	0.015127546	-0.86197194	-0.37991614	0.071121272	0.168757733	-0.132289046	-0.085620986	-0.419585561	-0.239340552	0.558339933	-0.565639852	-0.216756427	0.655166319	-0.527037013	0.070203819	0.196407443	0.045503378	0.012616327	-0.128905083	0.579502049	-0.35863948	-0.386225312	-0.234536703	-0.337029186	-0.277512502	-0.031417086	-0.71985428	-0.267020536	0.064665635	0.493109561	0.281896351	-0.239410127	-0.684731292	-0.008021349	-0.265882339	-0.022474903	-0.037862318	NO
G111	-0.464122964	-1.40563745	-0.649340378	-0.278303876	-0.479547316	-0.470352073	-0.522232551	-0.429622091	-1.855041609	-0.434297413	-1.447259527	0.152323432	-1.298822765	0.884112804	-1.084826714	-0.459369434	-0.967516338	0.333653196	-1.493100292	-2.176435471	-0.425473562	-0.50438455	-0.974711839	0.006252121	-0.763294908	-0.467589941	0.467985265	0.062231005	0.519074422	-1.009951604	-1.074581316	-0.552478837	-0.8763596	-1.399182428	0.656974527	-1.030299171	-0.67723387	-1.658520476	-1.839001598	-1.86245908	-1.468647248	-1.241652334	-0.258942345	0.423273615	-0.247624257	0.046355838	-1.371906593	-0.006417688	-0.976394489	-1.980085012	-0.646806222	-0.300940072	-0.537979269	-0.287979024	1.511651499	-0.699820555	-1.322691757	-0.455454384	-0.790057664	-1.292719565	-0.117541782	0.057574643	-1.258512573	-0.500484201	-0.476529985	-1.127173004	-0.281176817	-1.023784557	-0.846470057	-0.269172038	-0.705056596	-0.145708956	NO
G114	-0.729498829	-1.515882545	-0.310429576	-0.734735477	-0.857018264	-1.17274121	-1.450006001	-1.882908744	-0.174647645	-1.98471373	-0.558130411	-0.226686521	-0.190173223	0.277400222	-2.572142501	-1.055895296	-1.62480145	-0.442336153	0.317220146	-0.800861526	-0.248372139	-1.907644337	-1.079717806	-0.749460561	-0.683205177	-0.237645733	-0.806582809	-0.555127923	-0.450104778	-0.765242014	-1.1041153	-5.799888157	-1.340530807	1.12618054	1.315974344	-0.913876291	-0.353869715	0.203863978	0.287166625	-1.087529749	-1.113123375	-0.485390267	-0.193088929	-0.216887172	0.016804629	-0.409339827	-1.646626277	-0.415675784	-1.62512237	-1.774440951	-1.67060514	-3.108010453	1.418829943	-0.0772304	0.939448341	-1.094920454	-1.38820541	0.277555928	-0.185858669	-0.456858697	-1.328816624	-1.556948358	-0.986534494	-0.814995049	-1.845102872	1.048213107	-0.944170214	-0.570715908	-0.958231534	-1.185178313	-0.284422503	-0.376157782	NO
G119	-0.633486549	-0.271422767	-1.056104188	-0.5191416	-0.32449751	-0.667061898	-0.197866593	-0.953246807	-1.207236074	-1.768822236	0.756882602	0.082926805	-1.22450172	0.053070187	-1.479315619	-0.558303916	0.708311384	-1.033059389	-0.214531431	-2.098711617	-0.287498012	-1.192532611	-0.856385268	-0.50021296	-0.996968184	-0.786100227	-1.266830155	-0.699705687	-0.389678407	-1.395750902	-1.206660295	-0.05047232	-0.027735421	0.678225657	0.065900703	-0.991407802	-0.918737277	-1.551148364	-0.250496929	-0.979361143	-0.441247578	-0.40892629	-2.689882606	0.019917008	0.030879114	-0.555147032	-0.311153227	-0.249618397	-0.631318712	-1.180932952	0.876559808	-1.118317959	-0.42042193	-0.905580374	1.22927823	-0.87949516	-0.501651948	-0.182155429	-0.64140753	-0.030275606	-0.393200461	-1.27947504	-0.819994888	-0.004287145	1.518029928	-3.113521638	-0.557827647	-1.615763898	-0.350909887	1.121356965	0.065876353	-1.235390036	NO
G120	0.409173398	-0.071930969	0.524650615	-0.275931078	0.024276576	-0.099638205	-0.041366176	0.400661898	0.736395792	2.586934893	-0.187340475	0.593346496	-0.297840016	0.617201594	0.348879356	0.589371193	-0.496370083	-0.226763023	0.3376521	0.810139872	0.780595596	0.096985507	-0.458475566	0.376454371	-1.127426081	0.487113	0.119011814	0.973240674	-0.25188313	-0.221775308	0.445240046	0.384720354	-0.079471727	0.767026485	0.326484309	-0.077385398	-0.364505423	-0.212664258	0.412487333	0.481871388	0.412940228	0.116218599	-0.447176706	-0.61693744	-0.154006681	0.362379186	0.722589992	0.392388163	0.084966383	0.022150275	0.566470791	0.201473974	0.571353013	0.634725007	1.367399444	0.339962261	1.113298162	0.501700535	0.418747425	0.80678512	-0.829457885	-1.348412595	-0.264248125	-0.101232141	0.653007541	-0.941870428	-0.291510205	0.644150154	0.687060932	0.600686507	0.584675386	-0.352856908	NO
G126	-0.31771283	-0.712879127	-1.031408645	-0.297841627	-0.822822023	-0.180351939	-1.217132357	0.102342744	-0.635107708	-0.293465284	0.347102978	-0.108449681	-0.014130654	2.015163993	-0.696224453	-0.582818586	-1.800795717	-0.620051492	0.139367253	-0.874415877	-1.10069394	-0.849904125	0.370230999	0.295756098	-0.272265129	-0.142439958	0.055946086	-0.249500929	-1.002839492	-0.426757809	-0.333971416	0.231625762	-0.622696784	-0.258179507	-0.429572326	-0.244473265	-0.282947412	-0.918616875	0.064515775	-0.519553692	-1.016301752	-0.120359568	1.094122237	0.061700759	-1.059153636	-0.031408645	-0.922702386	-0.752072427	0.625539969	-0.616371145	-0.055950829	0.653452426	-0.862156386	0.23162576	-0.412230429	-0.918933915	-1.057880856	0.077592132	-0.430377776	-0.517149135	-0.302197891	-1.255072723	-0.522394998	-1.103977271	-0.823869352	-1.227805857	-1.512535335	-0.331803578	-0.207659285	0.002143915	0.416657655	0.329473084	NO
G130	1.233282321	1.291385276	2.137255434	1.692233442	0.989356738	1.007278646	0.61458311	1.606740717	1.1057007	1.045624958	0.350278965	-0.358566565	-0.126120479	-0.355756743	0.641433435	1.485963365	2.190694692	1.195807616	1.014891831	2.884932021	1.879945522	3.311284833	1.045390773	1.126367117	0.570847047	1.454737624	2.188428086	2.003162538	1.05461293	2.092644547	2.254294855	6.355678952	1.064518817	1.871156353	-1.103752666	0.817020643	1.672032177	0.915356157	2.151504389	0.974249846	1.874221028	1.432300234	1.265481144	1.780770117	1.829133138	1.64831982	4.378483533	0.222017496	1.21343751	5.007140926	0.96336153	3.247719704	0.881600559	1.005476404	-0.961119356	1.633212928	0.783772605	1.840752222	1.448788357	1.034767198	1.445585925	1.044769859	0.838531836	1.464531093	2.711822763	0.689796457	0.393746994	0.297209649	1.982662086	0.95898309	0.879945522	0.602516131	AE
