	hsa-miR-1208	hsa_piR_014959_DQ590455	hsa-miR-3617-3p	hsa-miR-1207-3p	hsa-miR-6740-3p	hsa-miR-1227-3p	hsa-miR-10b-5p	hsa-miR-4726-5p	hsa_piR_019752_DQ597110	hsa-miR-8082	hsa-miR-4802-5p	hsa-miR-3661	hsa-miR-6830-3p	hsa-miR-1537-5p	hsa-miR-1468-3p	hsa-miR-4694-3p	hsa-miR-130b-3p	hsa_piR_002808_DQ573776	hsa-miR-675-5p	hsa-miR-3675-5p	hsa-miR-3928-3p	hsa-miR-367-5p	hsa-miR-3689a-3p	hsa-miR-3682-5p	hsa-miR-363-3p	hsa-miR-3663-5p	hsa-miR-6086	hsa_piR_002811_DQ573780	hsa-miR-15a-5p	hsa-miR-6769b-3p	hsa-miR-424-5p	hsa-miR-5001-5p	hsa-miR-31-5p	hsa-miR-130a-5p	hsa-miR-6784-3p	hsa-miR-7150	hsa-miR-298	hsa-miR-5687	hsa-miR-196b-5p	hsa-let-7b-5p	hsa-miR-486-5p	hsa-miR-601	hsa-miR-1224-5p	hsa-miR-4736	hsa-miR-6790-5p	hsa-miR-150-3p	hsa-miR-6842-3p	hsa-miR-4722-5p	hsa-miR-6130	hsa-miR-3944-5p	hsa-miR-5699-3p	hsa-miR-10a-3p	hsa-miR-203b-3p	hsa-miR-374b-5p	hsa-miR-5590-5p	hsa-miR-548ak	hsa-miR-8060	hsa-miR-4778-5p	hsa-miR-451a	hsa-miR-3153	hsa_piR_019068_DQ596183	hsa-miR-514a-3p	hsa-miR-7156-3p	hsa-miR-4727-5p	hsa-miR-30b-5p	hsa-miR-215-3p	hsa_piR_021303_DQ599270	hsa-miR-572	Class
G103	0.016004192	0.487827717	-0.029824849	1.285121184	-0.187737332	-0.429902111	-1.003479668	0.668399963	1.428934029	-0.595313518	-1.802391518	-1.228379316	-0.912102889	-1.005086574	-1.465455784	-0.29195096	-1.458591242	-0.834100377	0.04036874	-0.817226558	-0.016098211	-0.599635123	-0.74012423	-0.767757882	-0.66615574	-0.024577618	1.053424893	-3.004025379	2.31023518	-0.06627382	-0.979298293	2.563717224	0.482474483	-0.450527648	2.210909358	-0.041332992	-0.526918868	-0.865464549	-0.259121966	0.178533443	0.524358532	-0.961544395	-0.467145204	-0.017812331	0.413632925	-0.342247281	1.980108215	0.526301865	-0.122726497	-0.888866181	-0.853336597	-0.820025192	-1.073927392	0.295182639	-0.765928875	-1.490145976	-0.59344575	0.070852414	0.227059119	0.019389901	-0.834100377	-0.917972935	-0.388474559	-0.029824848	0.243902134	0.853955616	1.165899622	0.245419962	Waned
G104	-1.298630325	4.420633268	-0.776513202	-2.164329232	-1.194076576	0.691280858	-0.568642481	-0.983756987	-1.076866392	-1.50536615	-4.623760851	-0.057414029	1.276243359	0.183594071	-0.727265427	-0.556646656	0.354544077	-4.334254234	-0.567088402	0.420633268	0.131126651	0.572636361	-0.164329233	-1.579366732	0.000730013	-1.226613511	-0.998319282	-1.127803356	0.82169299	-0.341206995	0.121072986	-0.763618515	-1.304259494	-0.350742357	-1.127803356	-1.749291734	-0.093939904	0.723196038	0.408088015	-0.075251997	0.942840575	0.330435459	-1.45415415	0.30515605	-1.116234945	-1.959010325	-1.316332326	-0.842401138	0.572636361	0.835670767	-0.125855085	-0.375833338	1.211537669	-0.219611668	-0.344901478	0.21418239	-0.305191769	0.024302782	1.218275145	-1.003864561	-0.164329233	1.420633268	-1.391739729	-0.600428348	0.204638617	-3.86476895	-0.164329233	-0.153836859	Persistent
G108	-0.291919639	-1.097007955	0.869976988	-0.061384045	-0.608508294	0.160002663	-0.524182058	0.01450036	0.697407911	-0.319400376	-0.333448151	-0.249011049	0.667062869	-1.242307507	-0.540614607	0.417565218	0.443873477	0.487954546	0.22492014	-0.036125713	-0.49293663	-0.140076677	-0.218314251	-0.750085481	-1.635222197	0.162859172	0.575951027	1.426554001	-0.587848278	0.097639476	-0.284093507	0.400006846	0.312715744	0.447653181	1.585740437	-0.761659345	0.011516502	-0.05469715	-0.548996591	-0.025576382	-1.40441711	0.492058945	0.914380439	1.634795934	-0.698557485	0.247437576	0.435005666	-0.626117221	-0.855190034	-0.615957355	0.403794098	-0.454901547	0.697131348	-0.400077021	-0.7510121	0.063456717	-0.541969091	1.030919783	-2.284400354	-0.169764297	-0.009545113	0.422366204	-0.237870491	-0.39213599	-0.497545884	0.464870933	-1.097007955	-0.007632147	Persistent
G110	-0.190694843	0.185681035	-0.410294457	0.211934276	-0.668888525	-0.333693123	0.028765095	-0.248721788	-0.305305317	-0.146894303	0.013914688	-0.363876128	0.629287687	-0.07902219	-0.206636387	0.340190985	0.071002432	0.43360855	-0.600421338	0.044504973	-0.351187177	0.13621236	0.14741102	-0.570649883	-0.536251743	-0.112096159	-0.069132863	-5.062246478	-0.264484687	-0.796018147	-0.033487485	0.695577721	0.047352879	-0.129249333	-1.712112203	-0.06075686	-0.219957765	-0.073053232	-0.704136046	-0.400402793	-1.097478329	-0.157206678	-0.928587533	-0.41335665	-0.24396455	-0.584837118	0.34487963	-0.430990325	-0.755691234	0.089584446	0.19082434	-0.538257878	-0.716708167	0.71505121	0.403098642	-0.031910399	-0.720303629	-0.043083468	-0.736810028	-0.006393243	5.677534132	0.320927073	-0.081799275	-0.582993418	-0.130248319	-0.714783291	0.185681035	0.231484726	Persistent
G111	-0.250823139	-0.552478837	-0.486461666	0.188967178	-0.72240384	-0.657661075	0.040791269	-0.366382546	-0.09304722	-0.73081608	-1.377392132	-0.395888476	-0.167561328	-0.912021225	-0.63048135	-0.809254254	0.823030297	-5.137441339	0.061970427	-0.037905666	-1.098568448	-0.1147926	0.340605957	-0.939501962	0.499988581	-1.166124094	-1.34338324	-1.506675149	-0.273903582	-1.096799355	1.110486174	-0.937946016	-0.855041609	-0.442469834	0.096048791	-0.85203912	-0.109177487	0.401717472	0.163728195	0.402646628	0.720985236	0.481180473	-2.21313027	-0.262972221	-0.890929389	-1.657448398	-0.364618824	-1.552478839	0.162682385	-0.571638417	-0.457482325	-0.594299014	0.316627095	0.318534721	-1.107997561	0.870732593	-2.399536185	-0.059931972	1.244264527	-1.589004714	-5.681761855	-0.857500157	0.362908934	-1.663510151	0.047635888	-0.464122964	-0.552478837	-0.655327247	Persistent
G119	-0.412882495	-2.894353117	-1.262566179	-0.533513927	-0.19283636	0.5512727	-0.683294725	-1.058739936	0.481513784	-1.603573722	-2.602172367	-1.607914108	0.526784581	-1.750517346	-0.068382518	-0.727891972	-0.898653255	-1.181929708	-0.812226352	-1.180348672	1.056991076	-0.584668619	0.143515067	-0.68849242	0.44724201	-0.809819608	-0.664618722	-5.031856642	-1.778979718	-0.783321806	0.0290256	-0.918484781	-0.850072557	-0.546940052	-0.426308369	-2.032632493	-0.050943481	0.759140764	-0.583565581	-0.369237208	0.164252003	0.86145009	-1.886250138	1.459996454	-0.760013401	-1.631318713	-1.290077142	-1.294156104	0.665074291	0.586773572	0.599341324	-2.053831332	0.269662493	-1.461393711	-1.185956676	1.500948163	0.385754802	-0.532334002	-0.50833867	-0.890668072	-5.701708039	-1.464365278	-1.022677215	-0.72559866	-0.941778464	-0.633486549	-0.894353117	-0.404903904	Persistent
G120	0.714862631	1.888398886	0.82362863	1.231942659	-0.10059279	-1.052148107	0.254693627	0.266237767	1.566470791	1.736395792	0.492470209	0.332980661	0.661738304	0.36483693	0.065945392	0.664651185	-1.151506703	0.96074973	0.070513295	-0.056323784	1.023774017	-1.151385981	0.538273899	-0.340419805	0.558857607	0.403532219	0.328200625	1.994764387	-1.713294893	0.500381601	-0.60073471	0.472143408	1.204649968	0.584618137	0.42218561	1.203900711	1.016820771	-0.021850722	0.776155772	0.951682989	0.804812443	0.268291299	1.983410328	0.590317533	-0.504846614	0.527476658	1.781296104	-0.608615916	-0.239136469	-0.126479949	0.133225673	0.364836929	-0.951008113	0.752146314	0.572117355	0.437187774	2.136266843	-1.25949981	0.861045429	-0.403429602	1.829505197	0.065978776	0.476358372	2.858534245	0.56040479	0.409173398	0.244542696	0.61086491	Waned
G126	-1.567780408	0.231625762	-0.565002755	-1.276168879	-1.073876786	-0.363753355	-0.447017802	-0.968046584	0.066039695	-1.52153706	-1.30038786	-1.096700105	0.181872726	-0.114149076	-0.837269321	-0.282947412	0.833076384	-5.32296309	-0.440799581	0.381868396	-1.086450009	0.199204283	1.0299919	0.317355634	-1.616912596	-0.820841659	-0.521281377	-3.675264834	-0.829015591	-0.819000312	0.503878696	0.162140661	0.24374932	-0.341110437	-1.382191603	1.038980683	-1.214173992	-0.548408555	-0.160061251	-0.213799619	-0.583963949	0.447603343	-0.314077309	0.869055682	1.098749165	0.018632038	0.838283333	-0.811018577	-0.006778978	-0.298888956	-0.044705467	-0.455586798	-0.180568989	0.729745002	0.566809953	0.068127029	-0.581442812	-0.246023716	-0.815225531	-1.644502581	-5.353336739	0.984985793	-0.495608295	-1.257412319	-0.570247096	-0.31771283	0.231625762	-1.141527657	Persistent
G130	0.075906771	6.419809289	0.917942405	2.088892412	0.867678182	1.589585996	-0.177570224	0.455674743	2.021778216	0.379997583	0.861481915	0.057183552	1.118639755	0.588125039	1.144174848	1.066172335	0.500318658	1.896247333	1.367868361	-0.08798535	0.947231263	-0.589179493	-1.676642334	0.549228258	-0.11860043	0.134619686	2.007278646	3.149077488	0.625393424	1.026307875	0.076068372	1.849249855	1.854427159	0.155334556	1.128420776	1.537793363	0.861200387	-0.179040793	0.453303838	0.491347342	-0.141593914	0.84894162	0.42341367	-1.174141994	3.279756751	1.815757416	1.362815134	0.929414198	-0.234456358	0.181649553	-0.620811103	1.191703218	0.238639532	0.691132903	1.351926818	-0.577683854	2.400289839	0.60079145	0.092916121	0.627430576	1.896247333	-0.523291557	0.923903677	1.591392752	0.366426387	1.233282321	3.896247333	1.311284833	Waned
G305	-0.2677044	1.788590097	-0.264928797	1.564588423	-1.773446006	-1.18887218	0.051781603	-1.975979958	0.486027327	-0.965855741	-1.339670578	-1.332212689	-0.319136629	0.8570454	0.548482088	-1.065945093	-1.083308957	0.900616715	-0.34409641	-2.678937824	-0.111120345	-1.970685659	-1.43415279	-0.640253201	0.748960722	-1.052162035	-1.59157634	1.408721601	1.120548006	-0.043094154	-1.150009358	-0.911721614	-1.71595989	0.056441519	-2.008732671	-0.169638165	-0.606035269	-0.270863753	-0.004906971	0.45911343	1.004698111	-2.26155601	0.968083808	-1.97852889	-0.758888365	-0.815891854	-1.271999883	-0.349618384	-1.53566305	-1.537032481	-1.455511905	-1.043094154	-0.708782334	1.233416233	1.051624503	-1.639814626	0.020675157	-1.854218859	1.276220556	-0.404250645	4.682880656	-1.980084357	-0.743239475	-0.707491122	0.321222681	0.075282954	-1.150009359	-1.113133356	Waned
