	hsa-miR-1208	hsa-miR-3617-3p	hsa-miR-1207-3p	hsa-miR-1227-3p	hsa_piR_019752_DQ597110	hsa-miR-8082	hsa-miR-6830-3p	hsa-miR-1537-5p	hsa-miR-6086	hsa_piR_002811_DQ573780	hsa-miR-6769b-3p	hsa-miR-5001-5p	Class
G103	0.016004192	-0.029824849	1.285121184	-0.429902111	1.428934029	-0.595313518	-0.912102889	-1.005086574	1.053424893	-3.004025379	-0.06627382	2.563717224	w
G104	-1.298630325	-0.776513202	-2.164329232	0.691280858	-1.076866392	-1.50536615	1.276243359	0.183594071	-0.998319282	-1.127803356	-0.341206995	-0.763618515	P
G108	-0.291919639	0.869976988	-0.061384045	0.160002663	0.697407911	-0.319400376	0.667062869	-1.242307507	0.575951027	1.426554001	0.097639476	0.400006846	P
G110	-0.190694843	-0.410294457	0.211934276	-0.333693123	-0.305305317	-0.146894303	0.629287687	-0.07902219	-0.069132863	-5.062246478	-0.796018147	0.695577721	P
G111	-0.250823139	-0.486461666	0.188967178	-0.657661075	-0.09304722	-0.73081608	-0.167561328	-0.912021225	-1.34338324	-1.506675149	-1.096799355	-0.937946016	P
G119	-0.412882495	-1.262566179	-0.533513927	0.5512727	0.481513784	-1.603573722	0.526784581	-1.750517346	-0.664618722	-5.031856642	-0.783321806	-0.918484781	P
G120	0.714862631	0.82362863	1.231942659	-1.052148107	1.566470791	1.736395792	0.661738304	0.36483693	0.328200625	1.994764387	0.500381601	0.472143408	w
G126	-1.567780408	-0.565002755	-1.276168879	-0.363753355	0.066039695	-1.52153706	0.181872726	-0.114149076	-0.521281377	-3.675264834	-0.819000312	0.162140661	P
G130	0.075906771	0.917942405	2.088892412	1.589585996	2.021778216	0.379997583	1.118639755	0.588125039	2.007278646	3.149077488	1.026307875	1.849249855	w
G305	-0.2677044	-0.264928797	1.564588423	-1.18887218	0.486027327	-0.965855741	-0.319136629	0.8570454	-1.59157634	1.408721601	-0.043094154	-0.911721614	w
G313	-0.54389248	-0.621994016	-1.80442003	0.200067361	-2.440008604	-1.430024516	0.555475915	-1.260099514	-2.008292364	-1.301399143	-0.938171419	-0.850088832	P
G314	0.198581059	0.231187273	-0.965879068	-1.060754126	1.267510651	0.405014175	-0.857116003	0.821541292	0.572021693	-1.375855576	0.617317779	-0.029110068	w
G315	-1.04371694	-0.969015791	-1.549378688	-0.345301434	-0.520619694	-1.037536808	-0.232638932	-0.839194355	-2.036586102	-2.350694693	-0.433835929	-1.167965084	P
G322	-0.207158752	-0.120982308	-0.362114537	1.602272289	-0.606929494	-0.554177828	0.503503002	-0.283957967	-0.615276837	-2.102189192	0.337750499	-0.55397476	P
G332	-0.366153269	-0.678369868	-0.006867224	0.044311501	0.401863505	-0.376984989	1.498689891	-0.831598152	-1.437557507	-0.277616594	-0.292723487	-1.47145349	P
G337	0.002217183	0.261233287	-0.024104095	-1.586872416	-0.245907541	0.076578009	-0.819013164	-0.187546638	0.181670254	3.260829792	-0.870547629	0.423784214	w
