	hsa-miR-1208	hsa_piR_014959_DQ590455	hsa-miR-3617-3p	hsa-miR-1207-3p	hsa-miR-1227-3p	hsa-miR-10b-5p	hsa_piR_019752_DQ597110	hsa-miR-8082	hsa-miR-6830-3p	hsa-miR-1537-5p	hsa-miR-1468-3p	hsa-miR-4694-3p	hsa_piR_002808_DQ573776	hsa-miR-675-5p	hsa-miR-3675-5p	hsa-miR-3928-3p	hsa-miR-367-5p	hsa-miR-6086	hsa_piR_002811_DQ573780	hsa-miR-15a-5p	hsa-miR-6769b-3p	hsa-miR-424-5p	hsa-miR-5001-5p	hsa-miR-130a-5p	hsa-miR-7150	hsa-miR-298	hsa-miR-5687	hsa-miR-196b-5p	hsa-let-7b-5p	hsa-miR-486-5p	hsa-miR-6790-5p	hsa-miR-150-3p	hsa-miR-4722-5p	hsa-miR-6130	Class
G103	0.016004192	0.487827717	-0.029824849	1.285121184	-0.429902111	-1.003479668	1.428934029	-0.595313518	-0.912102889	-1.005086574	-1.465455784	-0.29195096	-0.834100377	0.04036874	-0.817226558	-0.016098211	-0.599635123	1.053424893	-3.004025379	2.31023518	-0.06627382	-0.979298293	2.563717224	-0.450527648	-0.041332992	-0.526918868	-0.865464549	-0.259121966	0.178533443	0.524358532	0.413632925	-0.342247281	0.526301865	-0.122726497	w
G104	-1.298630325	4.420633268	-0.776513202	-2.164329232	0.691280858	-0.568642481	-1.076866392	-1.50536615	1.276243359	0.183594071	-0.727265427	-0.556646656	-4.334254234	-0.567088402	0.420633268	0.131126651	0.572636361	-0.998319282	-1.127803356	0.82169299	-0.341206995	0.121072986	-0.763618515	-0.350742357	-1.749291734	-0.093939904	0.723196038	0.408088015	-0.075251997	0.942840575	-1.116234945	-1.959010325	-0.842401138	0.572636361	P
G108	-0.291919639	-1.097007955	0.869976988	-0.061384045	0.160002663	-0.524182058	0.697407911	-0.319400376	0.667062869	-1.242307507	-0.540614607	0.417565218	0.487954546	0.22492014	-0.036125713	-0.49293663	-0.140076677	0.575951027	1.426554001	-0.587848278	0.097639476	-0.284093507	0.400006846	0.447653181	-0.761659345	0.011516502	-0.05469715	-0.548996591	-0.025576382	-1.40441711	-0.698557485	0.247437576	-0.626117221	-0.855190034	P
G110	-0.190694843	0.185681035	-0.410294457	0.211934276	-0.333693123	0.028765095	-0.305305317	-0.146894303	0.629287687	-0.07902219	-0.206636387	0.340190985	0.43360855	-0.600421338	0.044504973	-0.351187177	0.13621236	-0.069132863	-5.062246478	-0.264484687	-0.796018147	-0.033487485	0.695577721	-0.129249333	-0.06075686	-0.219957765	-0.073053232	-0.704136046	-0.400402793	-1.097478329	-0.24396455	-0.584837118	-0.430990325	-0.755691234	P
G111	-0.250823139	-0.552478837	-0.486461666	0.188967178	-0.657661075	0.040791269	-0.09304722	-0.73081608	-0.167561328	-0.912021225	-0.63048135	-0.809254254	-5.137441339	0.061970427	-0.037905666	-1.098568448	-0.1147926	-1.34338324	-1.506675149	-0.273903582	-1.096799355	1.110486174	-0.937946016	-0.442469834	-0.85203912	-0.109177487	0.401717472	0.163728195	0.402646628	0.720985236	-0.890929389	-1.657448398	-1.552478839	0.162682385	P
G119	-0.412882495	-2.894353117	-1.262566179	-0.533513927	0.5512727	-0.683294725	0.481513784	-1.603573722	0.526784581	-1.750517346	-0.068382518	-0.727891972	-1.181929708	-0.812226352	-1.180348672	1.056991076	-0.584668619	-0.664618722	-5.031856642	-1.778979718	-0.783321806	0.0290256	-0.918484781	-0.546940052	-2.032632493	-0.050943481	0.759140764	-0.583565581	-0.369237208	0.164252003	-0.760013401	-1.631318713	-1.294156104	0.665074291	P
G120	0.714862631	1.888398886	0.82362863	1.231942659	-1.052148107	0.254693627	1.566470791	1.736395792	0.661738304	0.36483693	0.065945392	0.664651185	0.96074973	0.070513295	-0.056323784	1.023774017	-1.151385981	0.328200625	1.994764387	-1.713294893	0.500381601	-0.60073471	0.472143408	0.584618137	1.203900711	1.016820771	-0.021850722	0.776155772	0.951682989	0.804812443	-0.504846614	0.527476658	-0.608615916	-0.239136469	w
G126	-1.567780408	0.231625762	-0.565002755	-1.276168879	-0.363753355	-0.447017802	0.066039695	-1.52153706	0.181872726	-0.114149076	-0.837269321	-0.282947412	-5.32296309	-0.440799581	0.381868396	-1.086450009	0.199204283	-0.521281377	-3.675264834	-0.829015591	-0.819000312	0.503878696	0.162140661	-0.341110437	1.038980683	-1.214173992	-0.548408555	-0.160061251	-0.213799619	-0.583963949	1.098749165	0.018632038	-0.811018577	-0.006778978	P
G130	0.075906771	6.419809289	0.917942405	2.088892412	1.589585996	-0.177570224	2.021778216	0.379997583	1.118639755	0.588125039	1.144174848	1.066172335	1.896247333	1.367868361	-0.08798535	0.947231263	-0.589179493	2.007278646	3.149077488	0.625393424	1.026307875	0.076068372	1.849249855	0.155334556	1.537793363	0.861200387	-0.179040793	0.453303838	0.491347342	-0.141593914	3.279756751	1.815757416	0.929414198	-0.234456358	w
G305	-0.2677044	1.788590097	-0.264928797	1.564588423	-1.18887218	0.051781603	0.486027327	-0.965855741	-0.319136629	0.8570454	0.548482088	-1.065945093	0.900616715	-0.34409641	-2.678937824	-0.111120345	-1.970685659	-1.59157634	1.408721601	1.120548006	-0.043094154	-1.150009358	-0.911721614	0.056441519	-0.169638165	-0.606035269	-0.270863753	-0.004906971	0.45911343	1.004698111	-0.758888365	-0.815891854	-0.349618384	-1.53566305	w
