	LYSINE-N-N-O-TMS_1-1-M/z102	THREONINE-N-O-O-TMS-1-M/z293	ISOLEUCINE-N-O-TMS-1-M/z233	TYROSINE-N-O-O-TMS-1-M/z382	FUMARICACID-2TMS-1-M/z246	GALACTURONICACID-MEOX5TMS_2-1-M/z334	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	ERYTHRITOL-4TMS-1-M/z277	DODECANOIC-ACID-TMS-1-M/z257	FRUCTOSE-MEOX5TMS_1-1-M/z366	GLUTAMINE-N-N-O-TMS_1-1-M/z347	GLUCURONICACID-MEOX5TMS_2-1-M/z334	CREATININE-3TMS-1-M/z329	HYPOXANTHINE-2TMS-1-M/z282	HEXADECANOICACID-TMS-1-M/z171	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	GLYCERICACID-3TMS-1-M/z307	CYSTEINE-N-O-S-TMS-1-M/z218	CITRULLINE-3TMS_1(Ornthine)-1	INOSITOL-scyllo-6TMS-1-M/z432	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	INOSINE-4TMS-1-M/z217	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOCITRICACID-4TMS-1-M/z466	SORBOSE-MEOX5TMS_2-1	SERINE-N-O-O-TMS-1-M/z307	SALICYLICACID-2TMS-1-M/z268	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	ORNITHINE-N-N-O-TMS_1-1-M/z144	SORBOSE-MEOX5TMS_1-1-M/z364	SUCROSE-8TMS-1-M/z362	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	TAURINE-3TMS-1-M/z328	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TRYPTOPHAN-N-N-O-TMS-1-M/z303	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	OCTADECENOICACID-9-(E)-TMS-1-M/z339	Myo_Inositol_phosphate_Ri2399Mz299	LYXOSE-MEOX4TMS_1-1-M/z104	LYSINE-N-N-N-O-TMS_2-1	LEUCINE-N-O-TMS-1-M/z158	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-O-TMS_3-1	MALICACID-3TMS-1-M/z245	OCTADECANOICACID-TMS-1-M/z313	MALTOSE-MEOX8TMS_1-1-M/z361	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	METHYLHISTIDINE-2TMS-1-M/z168	ISOERYTHRITOL-4TMS-1-M/z277	Class
G101	1456.0	-290.0	-86.0	362.0	696.0	-13.0	-479.0	490.0	-7.0	-791.0	451.0	137.0	-5.0	-5857.0	-399.0	83.0	122.0	-603.0	-727.0	1277.0	44115.0	-714.0	618.0	303.0	-357.0	1131.0	-145.0	-217.0	1184.0	380.0	-2002.0	-449.0	462.0	-3086.0	180.0	-855.0	-606.0	4320.0	-5042.0	-932.0	-1964.0	48095.0	-850.0	-595.0	1285.0	1402.0	2646.0	1091.0	-2273.0	-88.0	6.0	-1509.0	-3109.0	2857.0	-1848.0	-1372.0	149.0	-2714.0	354.0	93.0	-247598.0	163926.0	-557.0	-221.0	828.0	-963.0	472.0	868.0	-28.0	-144.0	-146.0	-101.0	-97.0	2883.0	-10.0	Waned
G102	512.0	50.0	145.0	-63.0	1560.0	-106.0	694.0	3743.0	-405.0	14646.0	95.0	945.0	-106.0	1155.0	-442.0	21005.0	2593.0	-2774.0	1265.0	6496.0	14163.0	547.0	2364.0	4790.0	2768.0	-1545.0	679.0	1686.0	-837.0	-631.0	973.0	219.0	-177.0	-7703.0	-3441.0	-36.0	212.0	-58.0	-1693.0	150.0	660.0	7427.0	470.0	117.0	-857.0	306.0	731.0	279.0	-4573.0	27933.0	919.0	959.0	-556.0	-489.0	16372.0	-354.0	-874.0	92463.0	692.0	-100.0	30509.0	-72085.0	-3334.0	-811.0	32.0	-740.0	77.0	2936.0	-3762.0	13624.0	-820.0	-38.0	13.0	0.0	-411.0	Waned
G103	-1553.0	-3406.0	-56.0	-110.0	472.0	-496.0	-731.0	447.0	-396.0	-746.0	143.0	-633.0	-498.0	-2468.0	-2246.0	-855.0	-1154.0	-3243.0	-1455.0	-8979.0	-76167.0	219.0	1770.0	1715.0	-101.0	-26426.0	925.0	-2317.0	227.0	-232.0	-1323.0	-446.0	-1897.0	14721.0	1011.0	290.0	-232.0	-1008.0	-12265.0	-99.0	199.0	41590.0	-1103.0	-865.0	237.0	162.0	-3519.0	1284.0	-617.0	-3305.0	301.0	-1114.0	-1505.0	92.0	-26.0	-1046.0	-543.0	-10891.0	-1067.0	-655.0	433430.0	-252074.0	1146.0	139.0	293.0	-82.0	1120.0	-481.0	1234.0	-395.0	334.0	178.0	1167.0	-141.0	-395.0	Waned
G104	-226.0	-4725.0	-2089.0	-2474.0	30.0	760.0	300.0	-8438.0	574.0	-1574.0	2047.0	-160.0	757.0	-2895.0	-580.0	-2000.0	-1206.0	-916.0	919.0	-8015.0	-76330.0	3613.0	-2808.0	2343.0	1681.0	-22816.0	634.0	4102.0	25.0	-97.0	-1163.0	282.0	-2088.0	27055.0	-277.0	410.0	-35.0	540.0	-4570.0	-200.0	489.0	111869.0	-1485.0	-66.0	-1390.0	-450.0	-1943.0	3232.0	1279.0	-4597.0	-408.0	-1918.0	-57.0	-2724.0	-846.0	-703.0	-1680.0	-17701.0	-314.0	240.0	-194282.0	-171409.0	-1677.0	-212.0	150.0	-3268.0	-516.0	39.0	-434.0	-4758.0	-520.0	-31.0	2238.0	-244.0	575.0	Persistent
G105	-1899.0	-1355.0	2085.0	-439.0	-257.0	88.0	-1732.0	-314.0	-337.0	-1851.0	180.0	164.0	81.0	7230.0	-1541.0	-5638.0	-867.0	1362.0	762.0	-6112.0	-47068.0	-1569.0	-10442.0	2382.0	-828.0	-17326.0	41.0	52.0	34.0	159.0	-3099.0	661.0	-1840.0	4691.0	-203.0	112.0	1067.0	-7070.0	-3920.0	-502.0	-205.0	9335.0	-290.0	-32.0	-2871.0	-656.0	-2787.0	148.0	1055.0	-3528.0	-124.0	91.0	-359.0	-4216.0	-5304.0	65.0	-2036.0	-15722.0	209.0	1872.0	-109338.0	27190.0	-52.0	-322.0	-210.0	-2284.0	-164.0	-1045.0	252.0	-2970.0	-290.0	-255.0	-447.0	-2845.0	-339.0	Waned
G108	201.0	-1939.0	1340.0	670.0	116.0	469.0	-22.0	-279.0	-461.0	-843.0	-98.9	1293.0	473.0	2498.0	744.0	3100.0	799.0	-1256.0	96.0	1522.0	6539.0	-327.0	3855.0	1523.0	324.0	9311.0	956.0	-3039.0	662.0	-50.0	-763.0	-285.0	918.0	-13981.0	3148.0	350.0	51.0	378.0	2291.0	-168.0	536.0	30063.0	-54.0	-91.0	-1374.0	-115.0	1209.0	99.0	476.0	5691.0	130.0	-1097.0	-2172.0	2711.0	-19326.0	-409.0	241.0	18286.0	-853.0	-41.0	-66839.0	108504.0	2771.0	380.0	565.0	769.0	-193.0	983.0	2795.0	2426.0	449.0	28.0	430.0	1405.0	-453.0	Persistent
G110	-1879.0	-4996.0	-1915.0	-1760.0	1093.0	155.0	-1473.0	2312.0	-502.0	-1991.0	202.0	-9187.0	150.0	-8533.0	-1256.0	1702.0	648.0	-619.0	1062.0	-11759.0	-60960.0	5091.0	-3508.0	-2247.0	-301.0	-78282.0	-1613.0	-1761.0	1039.0	207.0	1008.0	524.0	-4289.0	-2259.0	-2171.0	-279.0	-413.0	-515.0	-3531.0	-421.0	-905.0	68699.0	-1663.0	339.0	377.0	-805.0	-3941.0	2046.0	1629.0	4779.0	98.0	-1090.0	-3173.0	-7328.0	-20965.0	-856.0	-2855.0	16126.0	398.0	1761.0	-607402.0	-231128.0	-2037.0	-922.0	-10.0	-296.0	-501.0	240.0	-1718.0	6107.0	-795.0	209.0	540.0	-523.0	-495.0	Persistent
G111	-114.0	-2698.0	1630.0	-481.0	-418.0	-349.0	-325.0	-4217.0	-115.0	-6526.0	-475.0	-1039.0	-335.0	528.0	-201.0	286.0	664.0	1942.0	673.0	345.0	-3989.0	-25.0	-243.0	3121.0	-460.0	-9968.0	-2394.0	-805.0	242.0	59.0	-4244.0	-632.0	-1656.0	-9473.0	-1908.0	839.0	-23.0	1193.0	-2894.0	-9.0	-1399.0	-108020.0	-1.0	62.0	544.0	280.0	-151.0	-2901.0	-2035.0	1266.0	55.0	-142.0	-2331.0	-535.0	19506.0	-2181.0	1559.0	8357.0	-653.0	-155.0	255472.0	91997.0	-1940.0	644.0	-10.0	-559.0	-553.0	204.0	-1521.0	3707.0	755.0	-180.0	-237.0	489.0	-121.0	Persistent
G112	720.0	1409.0	1737.0	-531.0	280.0	73.0	26.0	-288.0	186.0	-1639.0	893.0	1551.0	75.0	-684.0	-1751.0	-371.0	198.0	2678.0	201.0	8774.0	9364.0	-40.0	-245.0	2182.0	216.0	14694.0	-49.0	-1757.0	457.0	800.0	4443.0	-1019.0	1.0	-9676.0	-1145.0	658.0	0.0	-5590.0	-4430.0	28.0	-83.0	119790.0	685.0	363.0	-65.0	-124.0	741.0	3760.0	952.0	-1588.0	42.0	-1148.0	-926.0	32.0	7709.0	-281.0	-1388.0	-4141.0	-1426.0	378.0	-99982.0	178144.0	-1111.0	-156.0	-531.0	-470.0	-536.0	-130.0	-709.0	-1430.0	364.0	92.0	197.0	6004.0	187.0	Waned
G117	-742.0	-2409.0	-81.0	232.0	1518.0	-750.0	154.0	1882.0	381.0	1765.0	-4719.0	-483.0	-752.0	-8412.0	-123.0	2512.0	757.0	249.0	283.0	-4071.0	-5117.0	-894.0	7519.0	-3828.0	351.0	-3696.0	-8008.0	1247.0	400.0	61.0	-4606.0	217.0	-1356.0	-1283.0	-826.0	-122.0	464.0	343.0	-678.0	-390.0	-5123.0	-621164.0	525.0	183.0	1032.0	-227.0	-410.0	-21340.0	-874.0	4420.0	85.0	339.0	-830.0	-1062.0	5535.0	-575.0	-346.0	16542.0	439.0	-316.0	2512.0	-17830.0	-1370.0	479.0	-74.0	-2968.0	-913.0	-1152.0	-948.0	1893.0	591.0	147.0	-690.0	2195.0	381.0	Waned
