	FRUCTOSE-MEOX5TMS_1-1-M/z366	GALACTURONICACID-MEOX5TMS_2-1-M/z334	FUMARICACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	GLUCURONICACID-MEOX5TMS_2-1-M/z334	DODECANOIC-ACID-TMS-1-M/z257	CYSTINE-N-N-O-O-TMS-1-M/z297	GAMMA-TOCOPHEROL-TMS-1	GLUTAMINE-N-N-O-TMS_1-1-M/z347	Myo_Inositol_phosphate_Ri2399Mz299	HYPOXANTHINE-2TMS-1-M/z282	INOSITOL-scyllo-6TMS-1-M/z432	INOSINE-4TMS-1-M/z217	HEXADECANOICACID-TMS-1-M/z171	GLYCERICACID-3TMS-1-M/z307	HEPTADECANOICACID-TMS-1-M/z132	GLYCINE-N-N-O-TMS-1-M/z246	CYSTEINE-N-O-S-TMS-1-M/z218	CREATININE-3TMS-1-M/z329	CITRULLINE-3TMS_1(Ornthine)-1	3-HYDROXYBUTYRICACID-2TMS-1-M/z204	ACONITICACID-trans-3TMS-1	ACETAMINOPHEN-2TMS-1-M/z297	2-AMINOBUTYRICACID-O-N-TMS-1-M/z130	CITRICACID-4TMS-1-M/z465	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMSderivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE-N-N-O-TMS-1-M/z304	BENZOICACID-TMS-1	ISOCITRICACID-4TMS-1-M/z466	Kynuerine_Mz192-Time:373.01to374.92Mass:192to192	ISOLEUCINE-N-O-TMS-1-M/z233	SERINE-N-O-O-TMS-1-M/z307	SORBOSE-MEOX5TMS_2-1	SORBOSE-MEOX5TMS_1-1-M/z364	SALICYLICACID-2TMS-1-M/z268	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	PYROGLUTAMICACID-N-O-TMS-1-M/z159	PHENYLALANINE-N-O-TMS-1-M/z268	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	TRYPTOPHAN-N-N-O-TMS-1-M/z303	Benzenebutanoic_acid_Ri2182Mz192	Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URICACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	ORNITHINE-N-N-O-TMS_1-1-M/z144	OCTADECENOICACID--9-(Z)-TMS-1-M/z222	LACTOSE-MEOX8TMS_1-1-M/z204	LYSINE-N-N-N-O-TMS_2-1	LYSINE-N-N-O-TMS_3-1	LYSINE-N-N-O-TMS_1-1-M/z102	LEUCINE-N-O-TMS-1-M/z158	OCTADECENOICACID-9-(E)-TMS-1-M/z339	LAMINARIBIOSE-MEOX8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LYXOSE-MEOX4TMS_1-1-M/z104	MALICACID-3TMS-1-M/z245	MALTOSE-MEOX8TMS_1-1-M/z361	METHYLHISTIDINE-2TMS-1-M/z168	OCTADECANOICACID-TMS-1-M/z313	OCTADECADIENOICACID-9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYLGLUCOSAMINE-MEOXN-O-O-O-O-TMS_2-1-M/z159	ISOERYTHRITOL-4TMS-1-M/z277	Class
G101	-31.0	105.0	923.0	76.0	111.0	3701.0	-271.0	-1739.0	2273.0	649.0	3964.0	-5323.0	36159.0	12350.0	-927.0	1538.0	-3514.0	-4122.0	-2303.0	36105.0	6374.0	2528.0	-111.0	-16330.0	657.0	715.0	7028.0	161.0	-6099.0	743.0	-73.0	-10307.0	487.0	-696.0	-515.0	956.0	286.0	-744.0	-385.0	-1208.0	-31516.0	-1352.0	-592.0	-673.0	-873.0	306.0	-1175.0	-101.0	-5618.0	-1216.0	-1610.0	-3673.0	-115.0	-20250.0	146.0	1751.0	16624.0	-2147.0	-75090.0	-1662.0	-148.0	51910.0	53881.0	-1937.0	3.0	7529.0	284.0	-953.0	-241.0	1891.0	10687.0	122.0	-287.0	-1102.0	75.0	NO
G102	444.0	-176.0	519.0	381.0	-182.0	5342.0	1247.0	2811.0	378.0	-211.0	427.0	207.0	-1338.0	8563.0	1052.0	1590.0	-1483.0	-3185.0	1810.0	-8366.0	1041.0	672.0	498.0	-3922.0	707.0	1649.0	-1619.0	-520.0	-1189.0	-464.0	157.0	10487.0	-1701.0	354.0	-146.0	-1780.0	452.0	-154.0	-364.0	-189.0	20913.0	790.0	-432.0	-23.0	996.0	767.0	-6335.0	-51.0	1091.0	-370.0	-138.0	318.0	1101.0	-635.0	-406.0	350.0	10120.0	-756.0	210880.0	-198.0	-117.0	-5314.0	35649.0	-944.0	-760.0	-221.0	35.0	-1925.0	0.0	1712.0	4412.0	-270.0	-71.0	359.0	374.0	NO
G103	107.0	-432.0	496.0	-549.0	-431.0	-381.0	-816.0	-353.0	350.0	-523.0	-2682.0	505.0	-10071.0	721.0	-1047.0	-426.0	-987.0	-2297.0	358.0	-11978.0	2375.0	6047.0	-478.0	56725.0	2083.0	-1585.0	1272.0	-204.0	-3485.0	318.0	1565.0	12297.0	-352.0	2799.0	996.0	-24.0	1014.0	259.0	3079.0	988.0	50840.0	1859.0	-286.0	209.0	1691.0	-216.0	-781.0	0.0	-482.0	-205.0	784.0	-978.0	6179.0	15757.0	1587.0	44.0	95.0	-550.0	996224.0	3443.0	295.0	95020.0	-815.0	-270.0	-401.0	-711.0	855.0	-183.0	6046.0	-323.0	2188.0	-423.0	119.0	972.0	-547.0	NO
G104	104.0	-27.0	-16.0	437.0	-30.0	-922.0	524.0	-8887.0	1295.0	-797.0	340.0	-1622.0	-3544.0	-7851.0	-115.0	-2693.0	-816.0	1469.0	443.0	42634.0	-628.0	-1415.0	264.0	-52546.0	-1022.0	2126.0	-908.0	56.0	552.0	-1293.0	498.0	16381.0	-1576.0	159.0	94.0	-1028.0	-772.0	12.0	-809.0	-371.0	-6357.0	-129.0	98.0	3786.0	-425.0	-350.0	378.0	-605.0	-1199.0	-64.0	-998.0	-1968.0	-948.0	-34844.0	-1156.0	1459.0	-9950.0	432.0	99581.0	-2333.0	1160.0	-54016.0	-36314.0	-2566.0	-60.0	79.0	-728.0	-1531.0	-337.0	-801.0	-9414.0	-237.0	-258.0	-375.0	436.0	AE
G105	205.0	-268.0	-167.0	-279.0	-265.0	-2562.0	-2658.0	1469.0	-4304.0	-313.0	-923.0	-2411.0	-3144.0	-10245.0	445.0	-2368.0	924.0	-22241.0	429.0	-50403.0	-19739.0	-2939.0	-361.0	-59990.0	-3486.0	-3136.0	42.0	669.0	-6939.0	-1081.0	-3331.0	-20543.0	-433.0	-162.0	128.0	-10157.0	-2289.0	-500.0	2594.0	-523.0	-14790.0	-88.0	498.0	-2064.0	-2480.0	-429.0	-29.0	-227.0	-1393.0	-585.0	211.0	-1651.0	-7320.0	-35895.0	-225.0	-3419.0	-9083.0	-128.0	-53644.0	-1738.0	-3926.0	28817.0	-36336.0	-260.0	-301.0	900.0	-552.0	348.0	-27.0	-1877.0	-7095.0	-412.0	-127.0	-1282.0	-281.0	NO
G108	177.0	459.0	-636.0	-350.0	461.0	450.0	-3.0	-1752.0	262.0	-1291.0	-901.0	-2414.0	-6053.0	2627.0	16.0	433.0	-1088.0	-1238.0	1400.0	24368.0	733.0	138.0	458.0	-17191.0	504.0	-2332.0	1471.0	279.0	-599.0	-990.0	2494.0	-11530.0	-470.0	247.0	558.0	3919.0	-55.0	-56.0	266.0	-223.0	24473.0	205.0	-281.0	-1024.0	-1193.0	624.0	468.0	95.0	-3307.0	-741.0	-103.0	-2836.0	295.0	-44900.0	2739.0	1798.0	4905.0	785.0	-235766.0	-1416.0	1281.0	91993.0	12796.0	52.0	-169.0	154.0	-456.0	-786.0	0.0	179.0	-3060.0	-437.0	-174.0	-642.0	-347.0	NO
G109	4102.0	406.0	14.0	226.0	406.0	-378.0	-236.0	4636.0	442.0	-744.0	-1890.0	2394.0	-2934.0	-648.0	-671.0	238.0	187.0	9957.0	1773.0	18618.0	-1146.0	-1682.0	-430.0	-16904.0	-1044.0	-3353.0	-1911.0	170.0	8199.0	-1304.0	-2221.0	-16217.0	-1460.0	389.0	519.0	-3595.0	-393.0	-404.0	1213.0	-488.0	492394.0	20538.0	410.0	-813.0	-1851.0	-161.0	395.0	-114.0	-312.0	-644.0	88.0	-1368.0	-3873.0	-1408.0	-2295.0	164.0	-376.0	-136.0	-268367.0	-1947.0	184.0	160784.0	-2943.0	-1075.0	-8.0	-2146.0	-745.0	-1423.0	-367.0	657.0	-2368.0	-405.0	-252.0	-193.0	226.0	NO
G110	-33.0	464.0	-472.0	-388.0	459.0	-2394.0	461.0	2369.0	-6948.0	583.0	-582.0	3206.0	-2641.0	-1383.0	-378.0	-209.0	-305.0	-2225.0	-3740.0	10195.0	-4809.0	-2300.0	-531.0	-85805.0	-5079.0	-1209.0	1256.0	100.0	5467.0	-697.0	1847.0	-9352.0	-2164.0	-67.0	-301.0	3417.0	-2677.0	-142.0	-2852.0	-782.0	20860.0	975.0	338.0	-694.0	1363.0	-505.0	-311.0	0.0	567.0	-183.0	-335.0	-1694.0	-3678.0	-38681.0	292.0	866.0	-3383.0	25.0	-403779.0	523.0	-578.0	-178026.0	-9399.0	-1423.0	-986.0	1726.0	-581.0	-1806.0	654.0	-575.0	180.0	-768.0	281.0	-82.0	-388.0	NO
G111	-123.0	133.0	-385.0	-252.0	148.0	-7076.0	659.0	-2411.0	-152.0	-212.0	-984.0	670.0	-4094.0	-3340.0	254.0	-903.0	1608.0	18286.0	3067.0	123619.0	-284.0	-824.0	-460.0	-7694.0	-638.0	-2723.0	114.0	165.0	-1008.0	-995.0	6426.0	-18726.0	-2607.0	1641.0	145.0	1752.0	-1206.0	370.0	6276.0	768.0	-12825.0	-522.0	-24.0	3039.0	1575.0	979.0	-2109.0	47.0	3282.0	-602.0	400.0	-2251.0	8725.0	11328.0	2013.0	8335.0	-2595.0	-186.0	602081.0	5100.0	2516.0	478515.0	-4924.0	-2438.0	-112.0	-78.0	-316.0	-2100.0	10715.0	-1099.0	-1683.0	-194.0	-130.0	-569.0	-252.0	NO
G112	748.0	146.0	-817.0	50.0	148.0	-814.0	-254.0	325.0	-437.0	-1606.0	-852.0	100.0	-3242.0	976.0	-79.0	470.0	2202.0	-954.0	2011.0	-18234.0	984.0	14.0	432.0	-58696.0	-984.0	-1585.0	1267.0	-17.0	-4462.0	-721.0	-306.0	-5363.0	-1582.0	639.0	0.0	-3005.0	-969.0	-115.0	131.0	32.0	106128.0	2831.0	110.0	-1977.0	503.0	-301.0	549.0	-152.0	310.0	-37.0	-1350.0	-1050.0	-3678.0	13733.0	-1384.0	-220.0	4901.0	-747.0	-228761.0	-527.0	-210.0	-109339.0	16261.0	-1944.0	-24.0	141.0	-305.0	-782.0	37.0	488.0	4619.0	-248.0	226.0	-157.0	47.0	AE
