	3-HYDROXYBUTYRIC-ACID-2TMS-1-M/z204	LYSINE-N-N-O-TMS_1-1-M/z102	HEPTADECANOIC-ACID-TMS-1-M/z132	Benzenebutanoic_acid_Ri2182Mz192	FUMARIC-ACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	FRUCTOSE-MEOX-5TMS_1-1-M/z366	INOSINE-4TMS-1-M/z217	GAMMA-TOCOPHEROL-TMS-1	DODECANOIC-ACID-TMS-1-M/z257	GALACTURONIC-ACID-MEOX-5TMS_2-1-M/z334	GLUTAMINE-N-N-O-TMS_1-1-M/z347	GLUCURONIC-ACID-MEOX-5TMS_2-1-M/z334	GLYCINE-N-N-O-TMS-1-M/z246	HEXADECANOIC-ACID-TMS-1-M/z171	GLYCERIC-ACID-3TMS-1-M/z307	HYPOXANTHINE-2TMS-1-M/z282	CYSTEINE-N-O-S-TMS-1-M/z218	CYSTINE-N-N-O-O-TMS-1-M/z297	CITRULLINE-3TMS_1-(Ornthine)-1	CREATININE-3TMS-1-M/z329	ACETAMINOPHEN-2TMS-1-M/z297	ADENOSINE-5-MONOPHOSPHATE-5TMS-1-M/z230	ACONITIC-ACID--trans-3TMS-1	2-AMINOBUTYRIC-ACID--O-N-TMS-1-M/z130	ISOCITRIC-ACID-4TMS-1-M/z466	1-PALMITOYL-sn-GLYCERO-3-PHOSPHOCHOLINE-TMS-derivative-1-M/z301	1-MONOPALMITOYLGLYCEROL-2TMS-1-M/z371	ALANINE-N-O-TMS-1-M/z192	ALPHA-TOCOPHEROL-TMS-1-M/z504	ASPARAGINE-N-N-O-TMS-1-M/z231	BENZOIC-ACID-TMS-1	CITRIC-ACID-4TMS-1-M/z465	CHOLESTEROL-TMS-1-M/z247	CELLOBIOSE-MEOX-8TMS_2-1-M/z361	BETA-ALANINE-N-O-TMS-1-M/z218	BETA-ALANINE--N-N-O-TMS-1-M/z304	INOSITOL--scyllo-6TMS-1-M/z432	Kynuerine_Mz192-Time:-373.01-to-374.92-Mass:-192-to-192	Myo_Inositol_phosphate_Ri2399Mz299	SALICYLIC-ACID-2TMS-1-M/z268	SORBOSE-MEOX-5TMS_1-1-M/z364	SERINE-N-O-O-TMS-1-M/z307	PYROGLUTAMIC-ACID-N-O-TMS-1-M/z159	ISOLEUCINE--N-O-TMS-1-M/z233	PHENYLALANINE-N-O-TMS-1-M/z268	ORNITHINE-N-N-O-TMS_1-1-M/z144	SORBOSE-MEOX-5TMS_2-1	SUCROSE-8TMS-1-M/z362	TAURINE-3TMS-1-M/z328	THREONINE-N-O-O-TMS-1-M/z293	-Tryptophan_Ri2161Mz202	VALINE-N-O-TMS-1-M/z246	URIC-ACID-N-O-O-O-TMS-1-M/z72	TYROSINE-N-O-O-TMS-1-M/z382	TRYPTOPHAN-N-N-O-TMS-1-M/z303	ORNITHINE-N-N-N-O-TMS_2-1-M/z420	OCTADECENOIC-ACID--9-(Z)-TMS-1-M/z222	OCTADECENOIC-ACID--9-(E)-TMS-1-M/z339	LYXOSE-MEOX-4TMS_1-1-M/z104	LYSINE-N-N-N-O-TMS_2-1	LEUCINE--N-O-TMS-1-M/z158	LAMINARIBIOSE-MEOX-8TMS_1-1-M/z217	LAMINARIBIOSE-MEOX-8TMS_2-1-M/z361	LACTOSE-MEOX-8TMS_1-1-M/z204	LYSINE-N-N-O-TMS_3-1	MALIC-ACID-3TMS-1-M/z245	OCTADECANOIC-ACID-TMS-1-M/z313	MALTOSE-MEOX-8TMS_1-1-M/z361	OCTADECADIENOIC-ACID--9-12-(Z-Z)-TMS-1-M/z337	NIGEROSE-MEOX-8TMS_2-1-M/z361	NAPROXEN-TMS-1-M/z303	N-ACETYL-GLUCOSAMINE-MEOX-N-O-O-O-O-TMS_2-1-M/z159	METHYL-HISTIDINE-2TMS-1-M/z168	ISOERYTHRITOL-4TMS-1-M/z277	Class
G101	6374.0	-148.0	1538.0	-1610.0	923.0	76.0	-31.0	36159.0	-1739.0	3701.0	105.0	2273.0	111.0	-3514.0	12350.0	-927.0	3964.0	-4122.0	-271.0	36105.0	-2303.0	-111.0	161.0	2528.0	-16330.0	286.0	715.0	7028.0	-6099.0	743.0	-73.0	956.0	657.0	-10307.0	487.0	-696.0	-515.0	-5323.0	-744.0	649.0	-592.0	-1352.0	-1208.0	-873.0	-385.0	306.0	1751.0	-31516.0	-1175.0	-101.0	-5618.0	-3673.0	-115.0	-20250.0	146.0	-1216.0	-673.0	16624.0	53881.0	7529.0	-75090.0	51910.0	-1937.0	3.0	-2147.0	-1662.0	284.0	1891.0	-953.0	10687.0	122.0	-287.0	-1102.0	-241.0	75.0	w
G102	1041.0	-117.0	1590.0	-138.0	519.0	381.0	444.0	-1338.0	2811.0	5342.0	-176.0	378.0	-182.0	-1483.0	8563.0	1052.0	427.0	-3185.0	1247.0	-8366.0	1810.0	498.0	-520.0	672.0	-3922.0	452.0	1649.0	-1619.0	-1189.0	-464.0	157.0	-1780.0	707.0	10487.0	-1701.0	354.0	-146.0	207.0	-154.0	-211.0	-432.0	790.0	-189.0	996.0	-364.0	767.0	350.0	20913.0	-6335.0	-51.0	1091.0	318.0	1101.0	-635.0	-406.0	-370.0	-23.0	10120.0	35649.0	-221.0	210880.0	-5314.0	-944.0	-760.0	-756.0	-198.0	35.0	1712.0	-1925.0	4412.0	-270.0	-71.0	359.0	0.0	374.0	w
G103	2375.0	295.0	-426.0	784.0	496.0	-549.0	107.0	-10071.0	-353.0	-381.0	-432.0	350.0	-431.0	-987.0	721.0	-1047.0	-2682.0	-2297.0	-816.0	-11978.0	358.0	-478.0	-204.0	6047.0	56725.0	1014.0	-1585.0	1272.0	-3485.0	318.0	1565.0	-24.0	2083.0	12297.0	-352.0	2799.0	996.0	505.0	259.0	-523.0	-286.0	1859.0	988.0	1691.0	3079.0	-216.0	44.0	50840.0	-781.0	0.0	-482.0	-978.0	6179.0	15757.0	1587.0	-205.0	209.0	95.0	-815.0	-711.0	996224.0	95020.0	-270.0	-401.0	-550.0	3443.0	855.0	-323.0	-183.0	2188.0	-423.0	119.0	972.0	6046.0	-547.0	w
G104	-628.0	1160.0	-2693.0	-998.0	-16.0	437.0	104.0	-3544.0	-8887.0	-922.0	-27.0	1295.0	-30.0	-816.0	-7851.0	-115.0	340.0	1469.0	524.0	42634.0	443.0	264.0	56.0	-1415.0	-52546.0	-772.0	2126.0	-908.0	552.0	-1293.0	498.0	-1028.0	-1022.0	16381.0	-1576.0	159.0	94.0	-1622.0	12.0	-797.0	98.0	-129.0	-371.0	-425.0	-809.0	-350.0	1459.0	-6357.0	378.0	-605.0	-1199.0	-1968.0	-948.0	-34844.0	-1156.0	-64.0	3786.0	-9950.0	-36314.0	79.0	99581.0	-54016.0	-2566.0	-60.0	432.0	-2333.0	-728.0	-801.0	-1531.0	-9414.0	-237.0	-258.0	-375.0	-337.0	436.0	P
G105	-19739.0	-3926.0	-2368.0	211.0	-167.0	-279.0	205.0	-3144.0	1469.0	-2562.0	-268.0	-4304.0	-265.0	924.0	-10245.0	445.0	-923.0	-22241.0	-2658.0	-50403.0	429.0	-361.0	669.0	-2939.0	-59990.0	-2289.0	-3136.0	42.0	-6939.0	-1081.0	-3331.0	-10157.0	-3486.0	-20543.0	-433.0	-162.0	128.0	-2411.0	-500.0	-313.0	498.0	-88.0	-523.0	-2480.0	2594.0	-429.0	-3419.0	-14790.0	-29.0	-227.0	-1393.0	-1651.0	-7320.0	-35895.0	-225.0	-585.0	-2064.0	-9083.0	-36336.0	900.0	-53644.0	28817.0	-260.0	-301.0	-128.0	-1738.0	-552.0	-1877.0	348.0	-7095.0	-412.0	-127.0	-1282.0	-27.0	-281.0	w
G108	733.0	1281.0	433.0	-103.0	-636.0	-350.0	177.0	-6053.0	-1752.0	450.0	459.0	262.0	461.0	-1088.0	2627.0	16.0	-901.0	-1238.0	-3.0	24368.0	1400.0	458.0	279.0	138.0	-17191.0	-55.0	-2332.0	1471.0	-599.0	-990.0	2494.0	3919.0	504.0	-11530.0	-470.0	247.0	558.0	-2414.0	-56.0	-1291.0	-281.0	205.0	-223.0	-1193.0	266.0	624.0	1798.0	24473.0	468.0	95.0	-3307.0	-2836.0	295.0	-44900.0	2739.0	-741.0	-1024.0	4905.0	12796.0	154.0	-235766.0	91993.0	52.0	-169.0	785.0	-1416.0	-456.0	179.0	-786.0	-3060.0	-437.0	-174.0	-642.0	0.0	-347.0	P
G110	-4809.0	-578.0	-209.0	-335.0	-472.0	-388.0	-33.0	-2641.0	2369.0	-2394.0	464.0	-6948.0	459.0	-305.0	-1383.0	-378.0	-582.0	-2225.0	461.0	10195.0	-3740.0	-531.0	100.0	-2300.0	-85805.0	-2677.0	-1209.0	1256.0	5467.0	-697.0	1847.0	3417.0	-5079.0	-9352.0	-2164.0	-67.0	-301.0	3206.0	-142.0	583.0	338.0	975.0	-782.0	1363.0	-2852.0	-505.0	866.0	20860.0	-311.0	0.0	567.0	-1694.0	-3678.0	-38681.0	292.0	-183.0	-694.0	-3383.0	-9399.0	1726.0	-403779.0	-178026.0	-1423.0	-986.0	25.0	523.0	-581.0	-575.0	-1806.0	180.0	-768.0	281.0	-82.0	654.0	-388.0	P
G111	-284.0	2516.0	-903.0	400.0	-385.0	-252.0	-123.0	-4094.0	-2411.0	-7076.0	133.0	-152.0	148.0	1608.0	-3340.0	254.0	-984.0	18286.0	659.0	123619.0	3067.0	-460.0	165.0	-824.0	-7694.0	-1206.0	-2723.0	114.0	-1008.0	-995.0	6426.0	1752.0	-638.0	-18726.0	-2607.0	1641.0	145.0	670.0	370.0	-212.0	-24.0	-522.0	768.0	1575.0	6276.0	979.0	8335.0	-12825.0	-2109.0	47.0	3282.0	-2251.0	8725.0	11328.0	2013.0	-602.0	3039.0	-2595.0	-4924.0	-78.0	602081.0	478515.0	-2438.0	-112.0	-186.0	5100.0	-316.0	-1099.0	-2100.0	-1683.0	-194.0	-130.0	-569.0	10715.0	-252.0	P
G112	984.0	-210.0	470.0	-1350.0	-817.0	50.0	748.0	-3242.0	325.0	-814.0	146.0	-437.0	148.0	2202.0	976.0	-79.0	-852.0	-954.0	-254.0	-18234.0	2011.0	432.0	-17.0	14.0	-58696.0	-969.0	-1585.0	1267.0	-4462.0	-721.0	-306.0	-3005.0	-984.0	-5363.0	-1582.0	639.0	0.0	100.0	-115.0	-1606.0	110.0	2831.0	32.0	503.0	131.0	-301.0	-220.0	106128.0	549.0	-152.0	310.0	-1050.0	-3678.0	13733.0	-1384.0	-37.0	-1977.0	4901.0	16261.0	141.0	-228761.0	-109339.0	-1944.0	-24.0	-747.0	-527.0	-305.0	488.0	-782.0	4619.0	-248.0	226.0	-157.0	37.0	47.0	w
G117	6884.0	-5.0	-552.0	829.0	236.0	-1.0	-4140.0	5970.0	-487.0	164.0	-1098.0	3895.0	-1097.0	1287.0	-1014.0	-827.0	702.0	-6949.0	-3.0	19908.0	-4582.0	-56.0	-189.0	816.0	-29242.0	-3567.0	207.0	-490.0	-3857.0	-1095.0	133.0	395.0	-5455.0	-19456.0	-843.0	49.0	347.0	1617.0	45.0	89.0	-33.0	-21434.0	323.0	-217.0	-237.0	-425.0	844.0	-621271.0	-271.0	70.0	-842.0	-574.0	-2837.0	-16314.0	192.0	-364.0	484.0	-2338.0	-7928.0	-257.0	405034.0	-77243.0	-1557.0	360.0	-193.0	-3783.0	-1195.0	-1025.0	-1326.0	-2190.0	200.0	-27.0	313.0	1040.0	-3.0	w
