	3-HYDROXYBUTYRIC-ACID-2TMS-1-M/z204	LYSINE-N-N-O-TMS_1-1-M/z102	HEPTADECANOIC-ACID-TMS-1-M/z132	Benzenebutanoic_acid_Ri2182Mz192	FUMARIC-ACID-2TMS-1-M/z246	ERYTHRITOL-4TMS-1-M/z277	INOSINE-4TMS-1-M/z217	GAMMA-TOCOPHEROL-TMS-1	HEXADECANOIC-ACID-TMS-1-M/z171	CYSTINE-N-N-O-O-TMS-1-M/z297	ISOERYTHRITOL-4TMS-1-M/z277	URIC-ACID-N-O-O-O-TMS-1-M/z72	TRYPTOPHAN-N-N-O-TMS-1-M/z303	ASPARAGINE-N-N-O-TMS-1-M/z231	ACONITIC-ACID--trans-3TMS-1	LACTOSE-MEOX-8TMS_1-1-M/z204	Class
G101	6374.0	-148.0	1538.0	-1610.0	923.0	76.0	36159.0	-1739.0	12350.0	-271.0	75.0	-20250.0	-1216.0	-73.0	2528.0	-2147.0	w
G102	1041.0	-117.0	1590.0	-138.0	519.0	381.0	-1338.0	2811.0	8563.0	1247.0	374.0	-635.0	-370.0	157.0	672.0	-756.0	w
G103	2375.0	295.0	-426.0	784.0	496.0	-549.0	-10071.0	-353.0	721.0	-816.0	-547.0	15757.0	-205.0	1565.0	6047.0	-550.0	w
G104	-628.0	1160.0	-2693.0	-998.0	-16.0	437.0	-3544.0	-8887.0	-7851.0	524.0	436.0	-34844.0	-64.0	498.0	-1415.0	432.0	P
G105	-19739.0	-3926.0	-2368.0	211.0	-167.0	-279.0	-3144.0	1469.0	-10245.0	-2658.0	-281.0	-35895.0	-585.0	-3331.0	-2939.0	-128.0	w
G108	733.0	1281.0	433.0	-103.0	-636.0	-350.0	-6053.0	-1752.0	2627.0	-3.0	-347.0	-44900.0	-741.0	2494.0	138.0	785.0	P
G110	-4809.0	-578.0	-209.0	-335.0	-472.0	-388.0	-2641.0	2369.0	-1383.0	461.0	-388.0	-38681.0	-183.0	1847.0	-2300.0	25.0	P
G111	-284.0	2516.0	-903.0	400.0	-385.0	-252.0	-4094.0	-2411.0	-3340.0	659.0	-252.0	11328.0	-602.0	6426.0	-824.0	-186.0	P
G112	984.0	-210.0	470.0	-1350.0	-817.0	50.0	-3242.0	325.0	976.0	-254.0	47.0	13733.0	-37.0	-306.0	14.0	-747.0	w
G117	6884.0	-5.0	-552.0	829.0	236.0	-1.0	5970.0	-487.0	-1014.0	-3.0	-3.0	-16314.0	-364.0	133.0	816.0	-193.0	w
G119	-61.0	-224.0	223.0	-405.0	59.0	-262.0	-1834.0	-534.0	2549.0	-859.0	-263.0	-52195.0	-1037.0	-388.0	1653.0	-468.0	P
G120	5540.0	180.0	854.0	2371.0	593.0	263.0	1812.0	2379.0	8870.0	273.0	261.0	498.0	567.0	1882.0	1023.0	390.0	w
G126	-4080.0	2099.0	-462.0	589.0	-626.0	-515.0	2141.0	-2763.0	-6440.0	1230.0	-518.0	-42129.0	-402.0	1434.0	-2254.0	31.0	P
G130	-422.0	874.0	788.0	252.0	-226.0	-68.0	-928.0	781.0	-2164.0	-767.0	-62.0	-8604.0	-289.0	559.0	-239.0	959.0	w
G304	-40.0	-1208.0	-1396.0	1250.0	384.0	248.0	-3720.0	-1343.0	-5415.0	27.0	249.0	-6353.0	-450.0	31.0	97.0	-320.0	w
G305	3751.0	-2606.0	1123.0	619.0	9.0	154.0	3125.0	4916.0	9770.0	-438.0	155.0	1606.0	195.0	-231.0	1030.0	-41.0	w
G306	-4347.0	-4.0	-571.0	1006.0	-1434.0	190.0	-500.0	-1637.0	-5426.0	278.0	187.0	-6397.0	-120.0	-1343.0	1358.0	794.0	w
G311	-1666.0	1326.0	257.0	77.0	231.0	86.0	-4583.0	670.0	1209.0	420.0	87.0	19959.0	-60.0	2273.0	-229.0	-98.0	P
G313	-1111.0	111.0	-803.0	-805.0	-865.0	-337.0	371.0	-1170.0	-4868.0	-742.0	-335.0	-17629.0	-897.0	856.0	2352.0	-133.0	P
G314	-43606.0	946.0	-4008.0	1290.0	-1305.0	33.0	-2340.0	-993.0	-21945.0	-1314.0	27.0	-12797.0	1194.0	1818.0	1007.0	-415.0	w
G315	349.0	-378.0	-584.0	-293.0	-21.0	-93.0	-1147.0	-450.0	-2162.0	-152.0	-88.0	16017.0	215.0	3628.0	3460.0	-60.0	P
G322	849.0	108.0	-847.0	-558.0	-942.0	-69.0	-1710.0	79.0	-725.0	-481.0	-67.0	-9329.0	-765.0	-1962.0	-445.0	140.0	P
G324	-3863.0	1510.0	-1204.0	-523.0	131.0	-303.0	-9142.0	-1889.0	346.0	595.0	-302.0	-26083.0	-402.0	1450.0	-27.0	102.0	P
G332	511.0	-3794.0	-634.0	-522.0	-597.0	-223.0	-320.0	-225.0	-160.0	-686.0	-221.0	4321.0	-2912.0	-2142.0	207.0	-31.0	P
G336	-739.0	2869.0	-312.0	674.0	-1344.0	-588.0	499.0	-1172.0	-641.0	355.0	-585.0	-891.0	-760.0	4979.0	668.0	-366.0	P
G337	1001.0	515.0	98.0	-193.0	5.0	-224.0	-1636.0	2508.0	3329.0	-91.0	-221.0	2437.0	645.0	1387.0	4328.0	-546.0	w
G347	-10310.0	14.0	-1351.0	587.0	-827.0	127.0	-5485.0	-4.0	-6884.0	115.0	126.0	-3551.0	-553.0	1626.0	-2514.0	285.0	P
