Probes,G101,G102,G103,G104,G105,G108,G109,G110,G111,G112,G114,G117,G119,G120,G126,G128,G130,G302,G303,G304,G305,G306,G311,G313,G314,G315,G317,G322,G324,G332,G336,G337,G347,G358
MARCH9,-0.579897293,-0.77154502,-0.664128612,-0.87488306,-0.01477265,-0.567966704,-0.831043391,-0.952172549,-1.151691274,-1.042892624,-0.649482869,-0.712925966,-0.316199394,-1.225535211,-0.787965906,-0.307622688,-1.715793946,-0.771669615,-0.497216119,-1.139672794,0.317386172,0.114015624,-0.805131148,-1.127232297,-1.075088395,-0.2516236,-1.421755736,-0.976232068,-1.932177064,-1.746421317,-2.171381139,-0.681353031,-1.078421257,0.07598251
ABAT,-1.14818739,-1.096581913,-1.048564304,-0.955439713,-0.571555535,-1.10728281,-0.261334363,-0.418236478,-1.253118437,-0.503959489,-1.005838353,-0.706988651,-1.441946568,-0.130775863,-0.530546674,-0.116738945,0.056793825,-1.207292244,0.490283522,-0.377232189,0.235811822,-0.639318259,-0.953504026,-1.507499278,0.254326133,-1.221161656,-0.816698535,-0.419862994,-0.370291807,-0.242240575,0.771458215,-1.029442415,-1.76950722,0.722071367
ABCA3,-1.7528146,-2.78387034,-0.572593004,-1.867586073,-1.664043817,-0.47293671,-1.552146503,-1.412635134,-1.116464994,0.113781342,-1.151979424,-1.349338079,-0.910959962,-1.244147724,-2.266660396,-0.201701506,-0.068388967,-0.900682963,0.465887861,-1.946495188,-0.840022163,0.177964306,-1.598419823,-2.21717889,0.077273659,-0.459216565,-1.791753502,-1.821648382,-0.79231577,-0.702164685,-2.921613274,-1.288751696,-1.008620566,-0.372539737
ABCD3,0.065974629,0.04019287,-0.495674106,-1.204547071,-0.373725712,-0.367639426,-0.374020315,-0.388624121,-0.10675619,-0.412302001,-0.378400429,-0.183001845,0.058932883,-0.188944065,-0.743690065,-0.800273618,-0.946425243,-0.284537731,-0.968163186,-0.566228511,-0.233125078,0.173764913,-0.098573744,-0.646241575,0.077672465,0.220144989,-0.755706676,-1.038040162,-1.159281542,-1.658768243,-0.655374696,-0.505816987,-0.561673416,-1.109868391
ABHD6,-0.311488369,0.379957565,-0.309816729,-1.973290717,-0.694088101,-0.767520532,-0.335301189,0.142803235,-0.65971615,-1.234155515,1.26705277,-0.545877269,0.017252806,-0.447220955,-0.376166828,0.549449803,-1.515990898,-0.76684879,-0.884003461,-0.990278331,0.410419043,-1.059025044,0.198528173,-0.248634203,-1.237925536,-0.123620152,-1.157870935,-0.61241622,-0.827658028,-0.617604552,-1.897730419,-0.218614178,-1.23199312,-1.103881003
ACAP1,-0.776645545,-0.475263185,-0.469647171,-0.657493813,0.033555324,-0.524405483,-0.184711279,-0.39580154,-0.567029241,-0.193687796,0.141821421,-0.579902273,-0.539948243,-0.162414306,-0.451274361,0.05089597,0.767432776,-0.421102544,0.572494299,-0.432026966,-0.159925843,0.007851707,-0.258341948,-0.336464802,-0.489563149,-0.182598311,-0.650061596,-0.425372286,-0.098071595,0.128970105,0.033648299,-0.495838833,-0.811130037,0.418586705
ACTA2,0.473364941,1.027650877,1.327251107,2.893519739,1.22206973,0.68589534,1.459247908,1.463820465,0.758755511,0.967673435,1.301692866,1.254449878,1.509717411,1.088864359,2.245806401,0.981223063,2.399384835,1.313548527,1.474239665,1.525523151,0.703864347,1.407200305,0.820282507,2.139423839,0.870706717,1.73548593,1.673367321,1.891751891,2.015592921,2.258457691,2.561128394,2.069757207,1.235916794,1.048662959
ACTG1,-0.90845599,-0.67153872,-0.00950274,0.09404072,0.19188912,0.06255127,-0.3092982,0.11675669,-0.32460743,-0.34534658,0.47829955,-0.88646112,-0.32051786,-0.58205844,0.06518201,0.53410094,0.68107816,-0.2913225,0.71918226,0.04049505,-0.04700749,-0.13921833,-0.2873513,-0.27189811,-0.95350467,-0.17627418,-0.35273302,-0.23535043,-0.03743596,0.47717096,-0.16410013,0.16074517,-0.80100035,0.70010707
AFTPH,0.291929194,0.132842413,0.363006834,1.090825756,-1.253175202,0.295184294,0.23418038,0.745271522,0.767456292,0.709203492,0.495415381,0.49889122,-0.131036278,0.170111846,0.059341137,0.377198142,0.030601076,0.159181371,-0.397785034,0.342808202,-0.181488341,-0.367779364,0.024899659,0.085351402,-0.019596835,-0.277458049,0.380087406,0.643519378,0.987461412,0.783717136,0.904701731,0.267190349,0.058294032,0.825726656
AGFG1,1.168871556,0.573983744,-0.273833911,-1.779507901,0.134568478,-1.070994878,1.35084317,0.451447239,-0.02816114,-1.010939551,0.653376881,-1.243470082,0.466995267,0.768700858,0.402776977,0.723835205,-0.88629257,-0.581244852,-0.291533169,2.225338752,0.402993358,-0.716676399,1.226350813,-0.845037543,-0.217475831,1.119841378,0.32975085,0.486202602,-1.939810569,-0.729476099,0.319050439,0.888070096,0.465466901,-2.031699814
AIP,0.505980204,-0.336467158,-0.675912019,-0.009165789,0.736203626,0.337970309,-0.67221039,-0.345711839,0.319860958,-0.762205076,-0.543367092,-0.1497879,-0.007975663,-1.486125809,-0.928820354,-0.015258228,-1.599796167,-0.042900284,-2.152722669,-0.625307822,0.320419827,-0.429034621,0.483942658,0.10994029,-0.737492815,-0.819786478,0.610379861,0.635593184,-1.500332521,-0.364392106,-0.089164895,0.008978613,-1.114498109,-0.624504713
AKAP6,-0.967131326,0.592364201,-1.01724197,-1.110585195,0.803993358,0.026742253,0.025241639,-1.900346176,-2.018029974,2.201641573,-1.126685008,-1.703931721,-0.969312193,-0.088418188,-1.164192708,-2.3355537,3.245692767,-1.771038607,-0.29952338,-1.00040434,-0.455698727,-0.04311599,-1.924282378,-0.346959398,1.204254927,1.217166184,-0.202091901,-0.646017656,-0.326705563,0.62118564,-2.994297997,-1.397723075,-1.192739542,1.189055743
AKT1S1,-1.13071812,0.02917913,0.173677096,-0.674757755,0.89233163,1.015893306,-1.997687381,0.566195589,-0.447897174,-1.564175502,-0.051963415,0.922269869,-0.871508064,0.491296564,0.713293875,0.641002988,0.155055783,0.735310735,-1.309127368,0.367859313,0.497165124,0.006875351,0.592981384,0.556668148,-2.382970905,-0.112510394,0.097600515,0.753787274,-0.690313789,-0.489072944,-0.226536394,0.67620468,1.085872839,-0.416220825
